,Concept_ID,,ku
0,Auge::N,,çav
1,Ohr::N,,guh
2,Nase::N,,bêvil
3,Mund::N,,dev
4,Zahn::N,,didan
5,Zunge::N,,ziman
6,Lippe::N,,lêv
7,Wange::N,,dêm
8,Wange::N,,hinarik
9,Gesicht::N,,rû
10,Stirn::N,,enî
11,Haar::N,,por
12,Schnurrbart::N,,simbêl
13,Bart::N,,rih
14,Kinn::N,,zenî
15,Kiefer[Anatomie]::N,,arguşk
16,Kehle::N,,qirik
17,Hals::N,,stû
18,Hals::N,,qirik
19,Genick::N,,stû
20,Kopf::N,,serî
21,Rücken::N,,pişt
22,Bauch::N,,ûr
23,Bauch::N,,zik
24,Nabel::N,,navik
25,Busen::N,,sîng
26,Brust::N,,sîng
27,Schulter::N,,mil
28,Arm::N,,çepil
29,Ellenbogen::N,,enîşk
30,Hand::N,,dest
31,Handfläche::N,,kefadest
32,Finger::N,,tilî
33,Fingernagel::N,,neynuk
34,Nagel[Anatomie]::N,,bizmar
35,Zeh::N,,tilî linga
36,Fuß::N,,ling
37,Ferse::N,,pahnî
38,Knie::N,,kabok
39,Oberschenkel::N,,rahn
40,Bein::N,,çip
41,Körper::N,,laş
42,Körper::N,,gowde
43,Haut::N,,çerm
44,Blut::N,,xwîn
45,Ader::N,,reh
46,Sehne::N,,reh
47,Knochen::N,,hestî
48,Gehirn::N,,mêjî
49,Herz::N,,dil
50,Magen::N,,navêş
51,Leber::N,,kezeb
52,Atem::N,,hilm
53,Hunger::N,,birçîtî
54,Träne::N,,hêstir
55,Geschmack::N,,tam
56,Geruch::N,,bêhn
57,Schlaf::N,,xew
58,Traum::N,,xewn
59,Himmel::N,,ezman
60,Sonne::N,,roj
61,Mond::N,,heyv
62,Stern::N,,stêrk
63,Luft::N,,ba
64,Wind::N,,ba
65,Welle::N,,şewl
66,Wasser::N,,av
67,Stein::N,,kevir
68,Boden::N,,herd
69,Erde::N,,ax
70,Staub::N,,toz
71,Rauch::N,,dû
72,Funke::N,,çirûşk
73,Feuer::N,,agir
74,Licht::N,,ronahî
75,Schatten::N,,sî
76,Wetter::N,,hewa
77,Nebel::N,,mij
78,Wolke::N,,ewr
79,Regen::N,,baran
80,Schnee::N,,berf
81,Eis::N,,qeşa
82,Frost::N,,xûsik
83,Kälte::N,,serma
84,Hitze::N,,germayî
85,Raureif::N,,şext
86,Regenbogen::N,,heftreng
87,Donner::N,,gire-gir
88,Strömung::N,,şewl
89,Tropfen::N,,dilop
90,Schaum::N,,kef
91,Schmutz::N,,gemar
92,See::N,,gol
93,Sumpf::N,,hezek
94,Moor::N,,mafêl
95,Wiese::N,,sûrik
96,Wald::N,,çiya
97,Wald::N,,daristan
98,Hügel::N,,gir
99,Anhöhe::N,,sere gir
100,Berg::N,,kaş
101,Gipfel::N,,sere gir
102,Höhle::N,,şikeft
103,Abhang::N,,kaş
104,Quelle::N,,kanî
105,Bach::N,,çem
106,Fluss::N,,çem
107,Fluss::N,,rûbar
108,Ufer::N,,kevî
109,Küste::N,,berav
110,Festland::N,,bejahî
111,Meer::N,,behr
112,Bucht::N,,derav
113,Insel::N,,girav
114,Blume::N,,kulînk
115,Gras::N,,giha
116,Wurzel::N,,reh
117,Baum::N,,dar
118,Stamm::N,,bavik
119,Rinde::N,,qaqil
120,Ast::N,,gulî
121,Zweig::N,,şax
122,Blatt::N,,pel
123,Birke::N,,dara sipî
124,Kiefer[Baum]::N,,dara bî
125,Weide[Baum]::N,,dara belalûk
126,Tanne::N,,merx
127,Horn::N,,strô
128,Feder::N,,pîrtîk
129,Fell::N,,heyar
130,Flügel::N,,per
131,Klaue::N,,napîk
132,Kralle::N,,dinik
133,Kralle::N,,dirnax
134,Schwanz::N,,dûv
135,Ei::N,,hêk
136,Nest::N,,hêlîn
137,Bau::N,,avahî
138,Tier::N,,heywan
139,Herde::N,,hoz
140,Kuh::N,,çêlek
141,Bulle::N,,ga
142,Pferd::N,,hesp
143,Schaf::N,,mîh
144,Schwein::N,,beraz
145,Hund::N,,seh
146,Katze::N,,pişîk
147,Bär::N,,hirç
148,Eichhörnchen::N,,pilûr
149,Elch::N,,pazkovî
150,Fuchs::N,,rovî
151,Hase::N,,kîroşk
152,Maus::N,,mişk
153,Wolf::N,,gur
154,Vogel::N,,çûk
155,Schwarm::N,,lufik
156,Huhn::N,,mirîşk
157,Hahn::N,,dîk
158,Gans::N,,qaz
159,Adler::N,,eylo
160,Ente::N,,werdek
161,Eule::N,,bûm
162,Eule::N,,kund
163,Kranich::N,,quling
164,Krähe::N,,qijik
165,Kuckuck::N,,pepûk
166,Schwan::N,,qû
167,Fisch::N,,masî
168,Barsch::N,,okûn
169,Hecht::N,,mesîyê lûf
170,Schlange[Tier]::N,,mar
171,Wurm::N,,kurm
172,Spinne::N,,pîrê
173,Ameise::N,,mîro
174,Ameise::N,,gêrîk
175,Laus::N,,spi
176,Mücke::N,,mêş
177,Fliege::N,,mêş
178,Schmetterling::N,,perperîk
179,Beere::N,,hirç
180,Apfel::N,,sêv
181,Pilz::N,,bîrov
182,Zwiebel::N,,pîvaz
183,Saat::N,,tov
184,Korn::N,,dexl
185,Heu::N,,sap
186,Schale::N,,qaşik
187,Grube::N,,çahl
188,Falle::N,,dafik
189,Schlinge::N,,dahf
190,Spur::N,,rêç
191,Asche::N,,xweli
192,Dreck::N,,gemarî
193,Eisen::N,,hesing
194,Gold::N,,zêr
195,Silber::N,,zîv
196,Kohle::N,,komir
197,Glas::N,,qedeh
198,Lehm::N,,kelpîç
199,Sand::N,,qûm
200,Mensch::N,,mirov
201,Mann::N,,mêr
202,Frau::N,,jin
203,Kind::N,,zarok
204,Junge::N,,kur
205,Mädchen::N,,keç
206,Mädchen::N,,keçik
207,Familie::N,,malbat
208,Großvater::N,,bapîr
209,Großmutter::N,,pîrik
210,Eltern::N,,bavudê
211,Vater::N,,bav
212,Mutter::N,,dê
213,Mutter::N,,dayik
214,Sohn::N,,kur
215,Tochter::N,,keç
216,Bruder::N,,bira
217,Schwester::N,,xweh
218,Onkel::N,,am
219,Onkel::N,,xal
220,Tante::N,,metik
221,Tante::N,,xaltîk
222,Ehemann::N,,mêr
223,Ehefrau::N,,kulfet
224,Freude::N,,kêfxweşî
225,Gelächter::N,,pîrqînî
226,Glück::N,,bext
227,Kummer::N,,derd
228,Wunsch::N,,daxwaz
229,Wunsch::N,,xwestek
230,Lust::N,,şewq
231,Geist::N,,aqil
232,Gedanke::N,,fikir
233,Gedächtnis::N,,aqil
234,Verstand::N,,fêm
235,Sinn::N,,aqil
236,Grund::N,,asas
237,Wahrheit::N,,rastî
238,Gespräch::N,,guftûgo
239,Märchen::N,,çirok
240,Erzählung::N,,çirok
241,Erzählung::N,,vegotin
242,Nachricht::N,,nûçe
243,Neuigkeit::N,,hewal
244,Name::N,,nav
245,Name::N,,paşnav
246,Rätsel::N,,tiştonek
247,Rede::N,,gotar
248,Rede::N,,axavtin
249,Sprache::N,,ziman
250,Stimme::N,,pejn
251,Wort::N,,gotin
252,Zeichen::N,,şanek
253,Ruf::N,,hawar
254,Lärm::N,,xarbalix
255,Laut::N,,deng
256,Laut::N,,hês
257,Ton::N,,awaz
258,Lied::N,,sitran
259,Ruhe::N,,rihetî
260,Leute::N,,xelk
261,Volk::N,,xelk
262,Arbeit::N,,xebat
263,Gast::N,,mêvan
264,Geschenk::N,,diyarî
265,Spiel::N,,lîstik
266,Gesellschaft::N,,komal
267,Hilfe::N,,alîkarî
268,Freund::N,,heval
269,Kamerad::N,,heval
270,Angelegenheit::N,,pirsgirêk
271,Anzahl::N,,çend
272,Art::N,,çeh
273,Stück::N,,lib
274,Stück::N,,parçe
275,Teil::N,,parçe
276,Hälfte::N,,nîvî
277,Kreis::N,,çemil
278,Kreuz::N,,xaç
279,Linie::N,,xezik
280,Strich::N,,xezik
281,Abstand::N,,dûrahî
282,Entfernung::N,,dûrahî
283,Gegend::N,,dever
284,Platz::N,,çih
285,Ort::N,,dever
286,Seite::N,,rûpel
287,Mitte::N,,nav
288,Mitte::N,,nabênê
289,Gegenstand::N,,tişt
290,Sache::N,,tişt
291,Rand::N,,kevî
292,Kante::N,,kevî
293,Ecke::N,,qunç
