,Concept_ID,bn,br
0,Auge::N,চক্ষু,lagad
1,Ohr::N,কর্ণ,skouarn
2,Nase::N,নাক,fri
3,Mund::N,মুখ,genoù
4,Zahn::N,দাঁত,dant
5,Zunge::N,জিহবা,teod
6,Lippe::N,অধর,muzell
7,Wange::N,গণ্ড,chot
8,Gesicht::N,মুখমণ্ডল,dremm
9,Stirn::N,কপাল,tal
10,Haar::N,চুল,blev
11,Schnurrbart::N,গোঁফ,mourenn
12,Bart::N,শ্মশ্রু,barv
13,Kinn::N,চিবুক,groñj
14,Kiefer[Anatomie]::N,চোয়াল,javed
15,Kehle::N,কণ্ঠ,gouzoug
16,Hals::N,গল,gouzoug
17,Genick::N,ঘাড়,choug
18,Kopf::N,মাথা,penn
19,Rücken::N,পৃষ্ঠ,kein
20,Bauch::N,উদর,kof
21,Nabel::N,নাভি,begel
22,Busen::N,স্তন,bronn
23,Brust::N,বুক,bruched
24,Schulter::N,স্কন্ধ,skoaz
25,Arm::N,বাহু,brec'h
26,Ellenbogen::N,কনুই,ilin
27,Hand::N,হাত,dorn
28,Handfläche::N,করতল,palv
29,Finger::N,আঙ্গুল,biz
30,Fingernagel::N,হাতের নখ,ivin
31,Nagel[Anatomie]::N,নখ,ivin
32,Zeh::N,আঙ্গুল,biz-troad
33,Fuß::N,পা,troad
34,Ferse::N,গোড়ালি,seul
35,Knie::N,হাঁটু,glin
36,Oberschenkel::N,ঊরু,morzhed
37,Bein::N,পা,gar
38,Körper::N,দেহ,korf
39,Haut::N,ত্বক,kroc'hen
40,Blut::N,রক্ত,gwad
41,Ader::N,শিরা,gwazhi
42,Sehne::N,কণ্ডরা,stir
43,Knochen::N,অস্থি,askorn
44,Gehirn::N,মস্তিষ্ক,empenn
45,Herz::N,হৃৎপিণ্ড,kalon
46,Magen::N,পাকস্থলী,stomog
47,Leber::N,যকৃৎ,avu
48,Atem::N,শ্বাস,anal
49,Hunger::N,ক্ষুধা,naon
50,Träne::N,অশ্রু,daer
51,Geschmack::N,স্বাদ,blaz
52,Geruch::N,গন্ধ,c'hwezh
53,Schlaf::N,ঘুম,kousked
54,Traum::N,স্বপ্ন,hune
55,Himmel::N,আকাশ,oabl
56,Sonne::N,সূর্য,heol
57,Mond::N,চন্দ্র,loar
58,Stern::N,নক্ষত্র,steredenn
59,Luft::N,বায়ু,aer
60,Wind::N,বাতাস,avel
61,Welle::N,ঢেউ,houlenn
62,Welle::N,তরঙ্গ,houlenn
63,Wasser::N,জল,dour
64,Stein::N,ঢিল,maen
65,Stein::N,প্রস্তর,maen
66,Boden::N,ভূতল,tachenn
67,Erde::N,ভূমি,douar
68,Staub::N,ধুলা,poultr
69,Rauch::N,ধোঁয়া,moged
70,Funke::N,স্ফুলিঙ্গ,ful
71,Feuer::N,অগ্নি,tan
72,Licht::N,আলো,gouloù
73,Schatten::N,ছায়া,disheol
74,Wetter::N,আবহাওয়া,amzer
75,Nebel::N,কুহেলিকা,brumenn
76,Wolke::N,মেঘ,koumoulenn
77,Regen::N,বৃষ্টি,glav
78,Schnee::N,তুষার,erc'h
79,Eis::N,বরফ,skorn
80,Frost::N,তুষার,rev
81,Kälte::N,শৈত্য,yen
82,Hitze::N,তাপ,tommder
83,Raureif::N,তুহিন,frim
84,Regenbogen::N,রামধনু,gwareg-ar-glav
85,Donner::N,বজ্রধ্বনি,kurun
86,Strömung::N,স্রোত,red
87,Tropfen::N,ফোঁটা,bannac'h
88,Tropfen::N,ফোঁটা,takenn
89,Schaum::N,ফেনা,spoum
90,Schmutz::N,ধুলা,fank
91,See::N,হ্রদ,lenn
92,Sumpf::N,জলা,gwern
93,Moor::N,মাঠ,taouarc'heg
94,Wiese::N,তৃণভূমি,prad
95,Wald::N,বন,koad
96,Hügel::N,পাহাড়,torgenn
97,Anhöhe::N,টিলা,run
98,Berg::N,পর্বত,menez
99,Gipfel::N,শীর্ষ,barr
100,Höhle::N,গুহা,kav
101,Abhang::N,ঢাল,naou
102,Quelle::N,উৎস,feunteun
103,Bach::N,ক্ষুদ্র নদী,gwazh
104,Fluss::N,নদী,stêr
105,Ufer::N,উপকূল,ribl
106,Küste::N,তীর,aod
107,Festland::N,ভূমি,douar
108,Meer::N,সমুদ্র,mor
109,Bucht::N,উপসাগর,mor-bihan
110,Insel::N,দ্বীপ,enez
111,Blume::N,ফুল,bleunienn
112,Gras::N,ঘাস,geot
113,Wurzel::N,শিকড়,gwrizienn
114,Baum::N,গাছ,gwezenn
115,Stamm::N,স্কন্ধ,kef
116,Rinde::N,বল্কল,rusk
117,Ast::N,শাখা,barr
118,Zweig::N,ডাল,bod
119,Blatt::N,পর্ণ,delienn
120,Birke::N,ভুর্জ,bezvenn
121,Kiefer[Baum]::N,পাইন গাছ,pinenn
122,Weide[Baum]::N,উইলো,halegenn
123,Tanne::N,দেবদারূ গাছ,sapenn
124,Horn::N,শিং,korn
125,Feder::N,পালক,pluñv
126,Fell::N,রোম,kreoñ
127,Flügel::N,ডানা,askell
128,Klaue::N,নখর,skilf
129,Kralle::N,নখর,skilf
130,Schwanz::N,লেজ,lost
131,Ei::N,ডিম,vi
132,Nest::N,কুলায়,neizh
133,Bau::N,ডেরা,douarenn
134,Tier::N,জন্তু,loen
135,Herde::N,ঝাঁক,tropell
136,Kuh::N,গোরু,buoc'h
137,Bulle::N,বৃষ,tarv
138,Pferd::N,ঘোড়া,marc'h
139,Schaf::N,ভেড়া,dañvad
140,Schwein::N,শূকর,pemoc'h
141,Hund::N,কুকুর,ki
142,Katze::N,বেড়াল,kazh
143,Bär::N,ভল্লুক,arzh
