,Concept_ID,zh,sl
0,Auge::N,眼睛,okó
1,Ohr::N,耳朵,uhó
2,Nase::N,鼻子,nós
3,Mund::N,嘴,ústa
4,Zahn::N,牙齿,zób
5,Zunge::N,舌头,jêzik
6,Lippe::N,嘴唇,ústnica
7,Wange::N,面颊,líce
8,Gesicht::N,脸,oblíčje
9,Stirn::N,额,čêlo
10,Haar::N,头发,lás
11,Schnurrbart::N,髭须,bŕki
12,Bart::N,胡子,bráda
13,Kinn::N,下巴,bráda
14,Kiefer[Anatomie]::N,颌,čeljúst
15,Kehle::N,嗓子,gŕlo
16,Hals::N,颈,vrát
17,Genick::N,后颈,zatílnik
18,Kopf::N,头,gláva
19,Rücken::N,背,hrbèt
20,Bauch::N,肚子,trébuh
21,Nabel::N,肚脐,pópek
22,Busen::N,胸脯,nédrja
23,Brust::N,胸,pŕsi
24,Schulter::N,肩膀,ráma
25,Schulter::N,肩膀,plêče
26,Arm::N,臂膀,rôka
27,Ellenbogen::N,肘,komólec
28,Hand::N,手,rôka
29,Handfläche::N,手掌,dlán
30,Finger::N,手指,pŕst
31,Fingernagel::N,指甲,nóht na rôki
32,Nagel[Anatomie]::N,指甲,nóht
33,Zeh::N,脚趾,pŕst na nôgi
34,Fuß::N,脚,nôga
35,Ferse::N,后跟,pêta
36,Knie::N,膝,koléno
37,Oberschenkel::N,大腿,stêgno
38,Bein::N,腿,nôga
39,Körper::N,身体,teló
40,Haut::N,皮肤,kóža
41,Blut::N,血,krí
42,Ader::N,血管,žíla
43,Sehne::N,腱,kíta
44,Knochen::N,骨,kóst
45,Gehirn::N,脑,možgáni
46,Herz::N,心,srcé
47,Magen::N,胃,želódec
48,Leber::N,肝,jétra
49,Atem::N,呼吸,díh
50,Hunger::N,饿,glád
51,Träne::N,眼泪,sólza
52,Geschmack::N,味道,okús
53,Geruch::N,气味,vónj
54,Schlaf::N,睡眠,sèn
55,Schlaf::N,睡眠,spánec
56,Traum::N,梦,sánje
57,Himmel::N,天空,nebó
58,Sonne::N,太阳,sónce
59,Mond::N,月亮,lúna
60,Mond::N,月亮,mésec
61,Stern::N,星,zvézda
62,Luft::N,空气,zràk
63,Wind::N,风,véter
64,Welle::N,波,vál
65,Wasser::N,水,vôda
66,Stein::N,石头,kámen
67,Boden::N,地面,tlà
68,Erde::N,地,pŕst
69,Erde::N,地,zêmlja
70,Staub::N,灰尘,práh
71,Rauch::N,烟,dìm
72,Funke::N,火花,ískra
73,Feuer::N,火,ôgenj
74,Licht::N,光,lúč
75,Schatten::N,影子,sénca
76,Wetter::N,天气,vrême
77,Nebel::N,雾,meglà
78,Wolke::N,云,oblák
79,Regen::N,雨,dèž
80,Schnee::N,雪,snég
81,Eis::N,冰,léd
82,Frost::N,霜冻,zmrzál
83,Kälte::N,寒冷,mràz
84,Hitze::N,炎热,pripéka
85,Raureif::N,霜,ívje
86,Raureif::N,霜,slána
87,Regenbogen::N,虹,mávrica
88,Donner::N,雷,gròm
89,Strömung::N,水流,strúja
90,Tropfen::N,滴,káplja
91,Schaum::N,泡沫,péna
92,Schmutz::N,赃物,nesnága
93,See::N,湖,jézero
94,Sumpf::N,沼泽,močvírje
95,Moor::N,沼泽,bárje
96,Wiese::N,草地,trávnik
97,Wald::N,森林,lés
98,Wald::N,森林,gòzd
99,Hügel::N,丘陵,brég
100,Hügel::N,丘陵,goríca
101,Anhöhe::N,山丘,gríč
102,Anhöhe::N,山丘,višína
103,Berg::N,山,gôra
104,Berg::N,山,planína
105,Gipfel::N,峰,vŕh
106,Höhle::N,洞穴,jáma
107,Höhle::N,洞穴,votlína
108,Abhang::N,斜坡,pobóčje
109,Quelle::N,泉,izvír
110,Bach::N,溪,pôtok
111,Fluss::N,河流,réka
112,Ufer::N,岸,brég
113,Küste::N,海岸,obála
114,Küste::N,海岸,obréžje
115,Festland::N,大陆,celína
116,Festland::N,大陆,kopnína
117,Meer::N,海,mórje
118,Bucht::N,海湾,zalív
119,Insel::N,岛,ôtok
120,Blume::N,花,cvetlíca
121,Gras::N,草,tráva
122,Wurzel::N,根,korenína
123,Baum::N,树,drevó
124,Stamm::N,树干,dêblo
125,Rinde::N,树皮,lúbje
126,Rinde::N,树皮,skórja
127,Ast::N,树枝,véja
128,Zweig::N,树枝,véja
129,Blatt::N,叶子,líst
130,Birke::N,桦木,bréza
131,Kiefer[Baum]::N,松树,bòr
132,Weide[Baum]::N,柳树,vŕba
133,Tanne::N,冷杉,hója
134,Horn::N,角,róg
135,Feder::N,羽毛,peró
136,Fell::N,皮毛,kŕzno
137,Flügel::N,翅膀,krílo
138,Klaue::N,爪子,párkelj
139,Kralle::N,爪子,krémpelj
140,Schwanz::N,尾巴,rèp
141,Ei::N,蛋,jájce
142,Nest::N,巢,gnézdo
143,Bau::N,穴,brlòg
144,Tier::N,动物,živál
145,Herde::N,群,čréda
146,Kuh::N,母牛,kráva
147,Bulle::N,公牛,bìk
148,Pferd::N,马,kònj
149,Schaf::N,羊,ôvca
150,Schwein::N,猪,svínja
151,Hund::N,狗,pès
152,Katze::N,猫,máčka
