,Concept_ID,be,hy
0,Auge::N,вока,աչք
1,Ohr::N,вуха,ականջ
2,Nase::N,нос,քիթ
3,Mund::N,рот,բերան
4,Zahn::N,зуб,ատամ
5,Zunge::N,язык,լեզու
6,Lippe::N,губа,շրթունք
7,Wange::N,шчака,այտ
8,Wange::N,шчака,թուշ
9,Gesicht::N,твар,դեմք
10,Stirn::N,лоб,ճակատ
11,Haar::N,волас,մազ
12,Haar::N,валасы,մազ
13,Schnurrbart::N,вус,բեղ
14,Schnurrbart::N,вусы,բեղ
15,Bart::N,барада,մորուք
16,Kinn::N,падбародак,կզակ
17,Kiefer[Anatomie]::N,сківіца,ծնոտ
18,Kehle::N,горла,կոկորդ
19,Hals::N,шыя,վիզ
20,Hals::N,шыя,պարանոց
21,Genick::N,патыліца,ծոծրակ
22,Kopf::N,галава,գլուխ
23,Rücken::N,спіна,մեջք
24,Bauch::N,жывот,փոր
25,Bauch::N,жывот,որովայն
26,Nabel::N,пупок,պորտ
27,Busen::N,грудзі,ծոց
28,Brust::N,грудзі,կուրծք
29,Schulter::N,плячо,ուս
30,Arm::N,рука,թեւ
31,Arm::N,рука,բազուկ
32,Ellenbogen::N,локаць,արմունկ
33,Hand::N,кісць,ձեռք
34,Handfläche::N,далонь,ափ
35,Finger::N,палец,մատ
36,Fingernagel::N,ногаць,եղունգ
37,Nagel[Anatomie]::N,ногаць,եղունգ
38,Zeh::N,палец,ոտքի մատ
39,Fuß::N,нага,ոտք
40,Ferse::N,пята,գարշապար
41,Ferse::N,пятка,գարշապար
42,Knie::N,калена,ծունկ
43,Oberschenkel::N,бядро,ազդր
44,Oberschenkel::N,сцягно,ազդր
45,Bein::N,нага,ոտք
46,Körper::N,цела,մարմին
47,Haut::N,скура,մաշկ
48,Blut::N,кроў,արյուն
49,Ader::N,вена,երակ
50,Ader::N,сасуд,երակ
51,Sehne::N,жыла,ջիղ
52,Sehne::N,жыла,ձգտան
53,Sehne::N,цеціва,ջիղ
54,Sehne::N,цеціва,ձգտան
55,Sehne::N,сухажылле,ջիղ
56,Sehne::N,сухажылле,ձգտան
57,Knochen::N,косць,ոսկոր
58,Gehirn::N,мозг,խելք
59,Herz::N,сэрца,սիրտ
60,Magen::N,страўнік,ստամոքս
61,Leber::N,печань,լյարդ
62,Atem::N,дыханне,շունչ
63,Hunger::N,голад,քաղց
64,Träne::N,сляза,արտասուք
65,Geschmack::N,смак,համ
66,Geschmack::N,смак,բուրմունք
67,Geruch::N,пах,հոտ
68,Geruch::N,пах,բուրում
69,Schlaf::N,сон,քուն
70,Traum::N,сон,երազ
71,Himmel::N,неба,երկինք
72,Sonne::N,сонца,արեւ
73,Mond::N,месяц,լուսին
74,Stern::N,зорка,աստղ
75,Luft::N,паветра,օդ
76,Wind::N,вецер,քամի
77,Welle::N,хваля,ալիք
78,Wasser::N,вада,ջուր
79,Stein::N,камень,քար
80,Boden::N,глеба,գետին
81,Erde::N,зямля,հող
82,Staub::N,пыл,փոշի
83,Rauch::N,дым,ծուխ
84,Funke::N,іскра,կայծ
85,Feuer::N,агонь,կրակ
86,Feuer::N,агонь,հրդեհ
87,Licht::N,святло,լույս
88,Schatten::N,цень,ստվեր
89,Wetter::N,пагода,եղանակ
90,Wetter::N,надворʼе,եղանակ
91,Nebel::N,туман,մեգ
92,Nebel::N,туман,մառախուղ
93,Wolke::N,воблака,ամպ
94,Regen::N,дождж,անձրև
95,Schnee::N,снег,ձյուն
96,Eis::N,лёд,սառույց
97,Frost::N,мароз,սառնամանիք
98,Kälte::N,холад,դող
99,Hitze::N,спёка,շոգ
100,Raureif::N,іней,ցօղեղեամ
101,Regenbogen::N,вясёлка,ծիածան
102,Donner::N,гром,որոտ
103,Strömung::N,цячэнне,հոսանք
104,Tropfen::N,кропля,կաթիլ
105,Schaum::N,пена,փրփուր
106,Schmutz::N,гразь,կեղտ
