,Concept_ID,kn,he
132,Nest::N,ಗೂಡು,קן
133,Bau::N,ಅಡಗುದಾಣ,מחלה
134,Tier::N,ಪ್ರಾಣಿ,חיה
135,Herde::N,ಗುಂಪು,עדר
136,Kuh::N,ಹಸು,פרה
137,Bulle::N,ಗೂಳಿ,פר
138,Pferd::N,ಕುದುರೆ,סוס
139,Schaf::N,ಕುರಿ,כבשה
140,Schwein::N,ಹಂದಿ,חזיר
141,Hund::N,ನಾಯಿ,כלב
142,Katze::N,ಬೆಕ್ಕು,חתול
143,Bär::N,ಕರಡಿ,דב
144,Eichhörnchen::N,ಉಡುತೆ,סנאי
145,Elch::N,ಕಡವೆ,דישון
146,Fuchs::N,ನರಿ,שועל
147,Hase::N,ಮೊಲ,ארנב
148,Maus::N,ಇಲಿ,עכבר
149,Wolf::N,ತೋಳ,זאב
150,Vogel::N,ಪಕ್ಷಿ,צפור
151,Schwarm::N,ಗುಂಪು,נחיל
152,Schwarm::N,ಗುಂಪು,להקה
153,Huhn::N,ಚಿಕ್,תרנגלת
154,Hahn::N,ಹುಂಜ,תרנגול
155,Gans::N,ವರಟೆ,אוז
156,Adler::N,ಗರುಡ,עיט
157,Ente::N,ಬಾತು,ברוז
158,Eule::N,ಗೂಬೆ,ינשוף
159,Kranich::N,ಕೊಕ್ಕರ,עגור
160,Kranich::N,ಕೊಕ್ಕರ,כרוכיה
161,Krähe::N,ಕಾಗೆ,עורב
162,Kuckuck::N,ಕೋಗಿಲೆ,קוקיה
163,Schwan::N,ಹಂಸಪಕ್ಷಿ,ברבור
164,Fisch::N,ಮೀನು,דג
165,Barsch::N,ಪರ್ಚ್ ಮೀನು,אוקונוס
166,Hecht::N,ಪೈಕ್ ಮೀನು,זאב הים
167,Schlange[Tier]::N,ಹಾವು,נחש
168,Wurm::N,ಹುಳು,תולעת
169,Spinne::N,ಊರ್ಣನಾಭ,עכביש
170,Ameise::N,ಇರುವೆ,נמלה
171,Laus::N,ಹೇನು,כנה
172,Mücke::N,ಸೊಳ್ಳೆ,יתוש
173,Fliege::N,ನೊಣ,זבוב
174,Schmetterling::N,ಪತಂಗ,פרפר
175,Beere::N,ನಯವಣ್ಣು,ענבה
176,Apfel::N,ಸೇಬು,תפוח
177,Pilz::N,ಅಣಬೆ,פטריה
178,Zwiebel::N,ನೀರುಳ್ಳಿ,בצל
179,Saat::N,ಬಿತ್ತ,זרעים
180,Korn::N,ಬೀಜ,גרעין
181,Heu::N,ಕರಡ,חציר
182,Schale::N,ಹೊಟ್ಟು,קלפה
183,Grube::N,ಗುಂಡಿ,בור
184,Grube::N,ಗುಂಡಿ,שוחה
185,Falle::N,ಬೋನು,מלכדת
186,Schlinge::N,ಉರುಲು,לולאה
187,Spur::N,ಜಾಡು,עקבה
188,Asche::N,ಬೂದಿ,אפר
189,Dreck::N,ಹೊಲಸು,זהמה
190,Eisen::N,ಕಬ್ಬಿಣ,ברזל
191,Gold::N,ಚಿನ್ನ,זהב
192,Silber::N,ಬೆಳ್ಳಿ,כסף
193,Kohle::N,ಕಲ್ಲಿದ್ದಲು,פחם
194,Glas::N,ಗಾಜು,זכוכית
195,Lehm::N,ಜೇಡಿಮಣ್ಣು,חרסית
196,Sand::N,ಮರಳು,חול
197,Mensch::N,ಪುರುಷ,אדם
198,Mann::N,ಆಳು,איש
199,Mann::N,ಆಳು,גבר
200,Frau::N,ಹೆಣ್ಣು,אשה
201,Frau::N,ಹೆಣ್ಣು,גברת
202,Kind::N,ಮಗು,ילד
203,Junge::N,ಹುಡುಗ,ילד
204,Mädchen::N,ಹುಡುಗಿ,נערה
205,Familie::N,ಕುಟುಂಬ,משפחה
206,Großvater::N,ಅಜ್ಜ,סבא
207,Großmutter::N,ಅಮ್ಮ,סבתא
208,Eltern::N,ಹೆತ್ತವರು,הורים
209,Vater::N,ತಂದೆ,אב
210,Mutter::N,ಅಮ್ಮ,אם
211,Sohn::N,ಮಗ ,בן
212,Tochter::N,ಮಗಳು,בת
213,Bruder::N,ತಮ್ಮ,אח
214,Schwester::N,ತಂಗಿ,אחות
215,Onkel::N,ಸೋದರಮಾವ,דוד
216,Onkel::N,ದೊಡ್ಡಪ್ಪ,דוד
217,Tante::N,ಚಿಕ್ಕಮ್ಮ,דודה
218,Ehemann::N,ಗಂಡ,איש
219,Ehemann::N,ಗಂಡ,בעל
220,Ehefrau::N,ಹೆಂಡತಿ,אשה
221,Freude::N,ನಲಿವು,שמחה
222,Gelächter::N,ನಗೆ,צחוק
223,Glück::N,ಆನಂದ,אשר
224,Kummer::N,ದುಃಖ,יגון
225,Kummer::N,ದುಃಖ,עגמה
226,Wunsch::N,ಬಯಕೆ,אחול
227,Wunsch::N,ಬಯಕೆ,משאלה
228,Lust::N,ಇಷ್ಟ,חשק
229,Lust::N,ಇಷ್ಟ,תשוקה
230,Geist::N,ಆತ್ಮ,רוח
231,Gedanke::N,ಯೋಚನೆ,מחשבה
232,Gedächtnis::N,ಸ್ಮರಣೆ,זכרון
233,Verstand::N,ಮನಸ್ಸು,שכל
234,Sinn::N,ಅರ್ಥ,מובן
235,Sinn::N,ಅರ್ಥ,משמעות
236,Grund::N,ಕಾರಣ,סבה
237,Wahrheit::N,ಸತ್ಯ,אמת
238,Gespräch::N,ಸಂಭಾಷಣೆ,דיון
239,Märchen::N,ಸುಳ್ಳು ಕಥೆ,אגדה
240,Erzählung::N,ಕಥೆ,ספור
241,Nachricht::N,ಸಂದೇಶ,ידיעה
242,Neuigkeit::N,ಸುದ್ದಿ,חדשה
243,Name::N,ಹೆಸರು,שם
244,Rätsel::N,ಒಗಟು,תעלומה
245,Rede::N,ಮಾತು,נאום
246,Sprache::N,ಭಾಷೆ,לשון
247,Stimme::N,ಧ್ವನಿ,קול
248,Wort::N,ಮಾತು,מלה
249,Zeichen::N,ಗುರುತು,סימן
250,Ruf::N,ಕೂಗು,קריאה
251,Lärm::N,ಸದ್ದು,רעש
252,Laut::N,ಶಬ್ದ,הגה
253,Ton::N,ನಾದ,צליל
254,Lied::N,ಗಾನ,שיר
255,Ruhe::N,ಶಾಂತಿ,שלוה
256,Leute::N,ಮಂದಿ,אנשים
257,Volk::N,ಜನಾಂಗ,עם
258,Arbeit::N,ಕೆಲಸ,עבודה
259,Gast::N,ಅತಿಥಿ,אורח
260,Geschenk::N,ಕಾಣಿಕೆ,מתנה
261,Spiel::N,ಆಟ,משחק
262,Gesellschaft::N,ಸಂಗ,חברה
263,Hilfe::N,ಸಹಾಯ,עזרה
264,Freund::N,ಸ್ನೇಹಿತ,חבר
265,Freund::N,ಸ್ನೇಹಿತ,ידיד
266,Kamerad::N,ಜೊತೆಗಾರ,רע
267,Angelegenheit::N,ವಿಚಾರ,ענין
268,Anzahl::N,ಎಣಿಕೆ,מספר
269,Art::N,ತರ,סוג
270,Stück::N,ತುಂಡು,חתיכה
271,Teil::N,ಭಾಗ,פרק
272,Hälfte::N,ಅರ್ಧ,חצי
273,Kreis::N,ವೃತ್ತ,מעגל
274,Kreuz::N,ಶಿಲುಬೆ,צלב
275,Linie::N,ರೀಖೆ,קו
276,Strich::N,ಗೀಟು,קו קצר
277,Abstand::N,ಅಂತರ,מרחק
278,Entfernung::N,ದೂರ,מרחק
279,Gegend::N,ವಿಸ್ತೀರ್ಣ,נוף
280,Platz::N,ಅಂತರ,שטח
281,Ort::N,ಸ್ಥಳ,אתר
282,Ort::N,ಸ್ಥಳ,מקום
283,Seite::N,ಪಕ್ಷ,צד
284,Mitte::N,ನಡು,אמצע
285,Gegenstand::N,ವಸ್ತು,אוביקט
286,Sache::N,ವಸ್ತು,דבר
287,Rand::N,ಅಂಚು,פרור
288,Kante::N,ಅಂಚು,קצה
289,Ecke::N,ಮೂಲೆ,פנה
290,Spitze::N,ತುದಿ,קצה
291,Ende::N,ಕೊನೆ,סוף
292,Loch::N,ತೂತು,חר
293,Winkel::N,ಕೋನ,פנה
294,Muster::N,ನಮೂನೆ,תבנית
295,Größe::N,ಪ್ರಮಾಣ,גדל
296,Länge::N,ಉದ್ದ,ארך
297,Höhe::N,ಎತ್ತರ,קומה
