,Concept_ID,sl,ar
0,Auge::N,okó,عين
1,Ohr::N,uhó,أذن
2,Nase::N,nós,أنف
3,Mund::N,ústa,فم
4,Zahn::N,zób,سن
5,Zunge::N,jêzik,لسان
6,Lippe::N,ústnica,شفة
7,Wange::N,líce,خد
8,Wange::N,líce,وجنة
9,Gesicht::N,oblíčje,وجه
10,Stirn::N,čêlo,جبين
11,Haar::N,lás,شعر
12,Schnurrbart::N,bŕki,شارب
13,Bart::N,bráda,لحية
14,Kinn::N,bráda,ذقن
15,Kiefer[Anatomie]::N,čeljúst,فك
16,Kehle::N,gŕlo,حلق
17,Hals::N,vrát,عنق
18,Hals::N,vrát,رقبة
19,Genick::N,zatílnik,قفا
20,Kopf::N,gláva,رأس
21,Rücken::N,hrbèt,ظهر
22,Bauch::N,trébuh,بطن
23,Nabel::N,pópek,سرة
24,Busen::N,nédrja,ثدي
25,Brust::N,pŕsi,صدر
26,Schulter::N,ráma,كتف
27,Schulter::N,plêče,كتف
28,Arm::N,rôka,ذراع
29,Ellenbogen::N,komólec,كوع
30,Hand::N,rôka,يد
31,Handfläche::N,dlán,كف
32,Finger::N,pŕst,إصبع
33,Fingernagel::N,nóht na rôki,ظفر
34,Nagel[Anatomie]::N,nóht,ظفر
35,Zeh::N,pŕst na nôgi,إصبع القدم
36,Fuß::N,nôga,قدم
37,Ferse::N,pêta,كعب
38,Knie::N,koléno,ركبة
39,Oberschenkel::N,stêgno,فخذ
40,Bein::N,nôga,ساق
41,Körper::N,teló,جسم
42,Haut::N,kóža,بشرة
43,Blut::N,krí,دم
44,Ader::N,žíla,عرق
45,Sehne::N,kíta,طنب
46,Knochen::N,kóst,عظم
47,Gehirn::N,možgáni,دماغ
48,Herz::N,srcé,قلب
49,Magen::N,želódec,معدة
50,Leber::N,jétra,كبد
51,Atem::N,díh,نفس
52,Hunger::N,glád,جوع
53,Träne::N,sólza,دمعة
54,Geschmack::N,okús,طعم
55,Geschmack::N,okús,مذاق
56,Geruch::N,vónj,رائحة
57,Schlaf::N,sèn,نوم
58,Schlaf::N,sèn,منام
59,Schlaf::N,spánec,نوم
60,Schlaf::N,spánec,منام
61,Traum::N,sánje,حلم
62,Himmel::N,nebó,سماء
63,Sonne::N,sónce,شمس
64,Mond::N,lúna,قمر
65,Mond::N,mésec,قمر
66,Stern::N,zvézda,نجم
67,Stern::N,zvézda,كوكب
68,Luft::N,zràk,هواء
69,Wind::N,véter,ريح
70,Welle::N,vál,موجة
71,Wasser::N,vôda,ماء
72,Stein::N,kámen,حجر
73,Boden::N,tlà,تراب
74,Erde::N,pŕst,أرض
75,Erde::N,zêmlja,أرض
76,Staub::N,práh,غبار
77,Rauch::N,dìm,دخان
78,Funke::N,ískra,شرارة
79,Feuer::N,ôgenj,نار
80,Licht::N,lúč,نور
81,Licht::N,lúč,ضوء
82,Schatten::N,sénca,ظل
83,Schatten::N,sénca,فيء
84,Wetter::N,vrême,جو
85,Wetter::N,vrême,طقس
86,Nebel::N,meglà,ضباب
87,Wolke::N,oblák,غيمة
88,Wolke::N,oblák,سحابة
89,Regen::N,dèž,مطر
90,Schnee::N,snég,ثلج
91,Eis::N,léd,جليد
92,Frost::N,zmrzál,صقيع
93,Kälte::N,mràz,برد
94,Hitze::N,pripéka,حر
95,Hitze::N,pripéka,حرارة
96,Raureif::N,ívje,صقيع
97,Raureif::N,slána,صقيع
98,Regenbogen::N,mávrica,قوس قزح
99,Donner::N,gròm,رعد
100,Strömung::N,strúja,تيار
101,Tropfen::N,káplja,قطرة
102,Schaum::N,péna,زبد
103,Schaum::N,péna,رغوة
104,Schmutz::N,nesnága,وسخ
105,See::N,jézero,بحيرة
106,Sumpf::N,močvírje,مستنقع
107,Moor::N,bárje,مستنقع
108,Wiese::N,trávnik,مرج
109,Wald::N,lés,غابة
110,Wald::N,gòzd,غابة
111,Hügel::N,brég,تل
112,Hügel::N,goríca,تل
113,Anhöhe::N,gríč,تل
114,Anhöhe::N,višína,تل
115,Berg::N,gôra,جبل
116,Berg::N,planína,جبل
117,Gipfel::N,vŕh,قمة
118,Höhle::N,jáma,كهف
119,Höhle::N,votlína,كهف
120,Abhang::N,pobóčje,منحدر
121,Quelle::N,izvír,منبع
122,Bach::N,pôtok,مجرى
123,Fluss::N,réka,نهر
124,Ufer::N,brég,ضفة
125,Küste::N,obála,ساحل
126,Küste::N,obréžje,ساحل
127,Festland::N,celína,بر
128,Festland::N,kopnína,بر
129,Meer::N,mórje,بحر
130,Bucht::N,zalív,خليج
131,Insel::N,ôtok,جزيرة
132,Blume::N,cvetlíca,زهرة
133,Gras::N,tráva,حشيش
134,Wurzel::N,korenína,أصل
135,Baum::N,drevó,شجرة
136,Stamm::N,dêblo,جذع
137,Rinde::N,lúbje,قشرة
138,Rinde::N,skórja,قشرة
139,Ast::N,véja,فرع
140,Zweig::N,véja,غصن
141,Blatt::N,líst,ورقة
142,Birke::N,bréza,قضبان
143,Kiefer[Baum]::N,bòr,صنوبرة
144,Weide[Baum]::N,vŕba,صفصاف
145,Tanne::N,hója,شوح
146,Tanne::N,hója,تبوب
147,Horn::N,róg,قرن
148,Feder::N,peró,ريشة
149,Fell::N,kŕzno,فرو
150,Flügel::N,krílo,جناح
151,Klaue::N,párkelj,مخلب
152,Kralle::N,krémpelj,مخلب
153,Schwanz::N,rèp,ذيل
154,Ei::N,jájce,بيض
155,Nest::N,gnézdo,عش
156,Bau::N,brlòg,جحر
157,Tier::N,živál,حيوان
158,Herde::N,čréda,قطيع
159,Kuh::N,kráva,بقرة
160,Bulle::N,bìk,ثور
161,Pferd::N,kònj,خيل
162,Schaf::N,ôvca,شاة
163,Schwein::N,svínja,خنزير
164,Hund::N,pès,كلب
165,Katze::N,máčka,قطة
166,Bär::N,mêdved,دب
167,Eichhörnchen::N,véverica,سنجاب
168,Elch::N,lós,موظ
169,Fuchs::N,lisíca,ثعلب
170,Hase::N,zájec,أرنب
171,Maus::N,mìš,فأرة
172,Wolf::N,vólk,ذئب
173,Vogel::N,ptìč,طير
174,Vogel::N,ptíca,طير
175,Schwarm::N,játa,سرب
176,Huhn::N,kokóš,دجاجة
177,Hahn::N,petêlin,ديك
178,Gans::N,gós,وزة
179,Adler::N,ôrel,نسر
180,Ente::N,ráca,بطة
181,Eule::N,sôva,بوم
182,Kranich::N,žerjàv,كركي
183,Krähe::N,vrána,غراب
184,Kuckuck::N,kúkavica,وقواق
185,Schwan::N,labód,إوز عراقي
186,Fisch::N,ríba,سمك
187,Barsch::N,ostríž,فرخ أوربي
