,Concept_ID,hy,ps
0,Auge::N,աչք,سترګه
1,Ohr::N,ականջ,غوږ
2,Nase::N,քիթ,پوزه
3,Mund::N,բերան,خوله
4,Zahn::N,ատամ,غاښ
5,Zunge::N,լեզու,جبه
6,Lippe::N,շրթունք,شونډه
7,Wange::N,այտ,باړخو
8,Wange::N,թուշ,باړخو
9,Gesicht::N,դեմք,مخ
10,Stirn::N,ճակատ,تندی
11,Stirn::N,ճակատ,وچولی
12,Haar::N,մազ,وېښته
13,Schnurrbart::N,բեղ,برېت
14,Bart::N,մորուք,ږیره
15,Kinn::N,կզակ,زنه
16,Kiefer[Anatomie]::N,ծնոտ,جامه
17,Kehle::N,կոկորդ,غاړه
18,Hals::N,վիզ,غاړه
19,Hals::N,պարանոց,غاړه
20,Genick::N,ծոծրակ,ورمېږ
21,Kopf::N,գլուխ,سر
22,Rücken::N,մեջք,شا
23,Bauch::N,փոր,نس
24,Bauch::N,փոր,ګېډه
25,Bauch::N,որովայն,نس
26,Bauch::N,որովայն,ګېډه
27,Nabel::N,պորտ,نوم
28,Busen::N,ծոց,تی
29,Brust::N,կուրծք,سینه
30,Schulter::N,ուս,اوږه
31,Arm::N,թեւ,لاس
32,Arm::N,բազուկ,لاس
33,Ellenbogen::N,արմունկ,څنګل
34,Hand::N,ձեռք,لاس
35,Handfläche::N,ափ,ورغوی
36,Finger::N,մատ,ګوته
37,Fingernagel::N,եղունգ,نوک
38,Nagel[Anatomie]::N,եղունգ,نوک
39,Zeh::N,ոտքի մատ,ګوته
40,Fuß::N,ոտք,پښه
41,Ferse::N,գարշապար,پونده
42,Knie::N,ծունկ,زنګون
43,Oberschenkel::N,ազդր,پتون
44,Bein::N,ոտք,پښه
45,Körper::N,մարմին,ځان
46,Haut::N,մաշկ,پوټکی
47,Blut::N,արյուն,وینه
48,Ader::N,երակ,رګ
49,Sehne::N,ջիղ,پله
50,Sehne::N,ձգտան,پله
51,Knochen::N,ոսկոր,هډوکی
52,Gehirn::N,խելք,ماغزه
53,Herz::N,սիրտ,زړه
54,Magen::N,ստամոքս,معده
55,Leber::N,լյարդ,ينه
56,Leber::N,լյարդ,ځیګر
57,Atem::N,շունչ,نفس
58,Hunger::N,քաղց,ولږه
59,Träne::N,արտասուք,اوښکه
60,Geschmack::N,համ,مزه
61,Geschmack::N,համ,خوند
62,Geschmack::N,բուրմունք,مزه
63,Geschmack::N,բուրմունք,خوند
64,Geruch::N,հոտ,بوی
65,Geruch::N,բուրում,بوی
66,Schlaf::N,քուն,خوب
67,Traum::N,երազ,خوب
68,Himmel::N,երկինք,اسمان
69,Sonne::N,արեւ,لمر
70,Mond::N,լուսին,سپوږمۍ
71,Stern::N,աստղ,ستوری
72,Luft::N,օդ,هوا
73,Wind::N,քամի,ورښ
74,Welle::N,ալիք,موج
75,Wasser::N,ջուր,اوبه
76,Stein::N,քար,ډبره
77,Boden::N,գետին,مځکه
78,Erde::N,հող,خاوره
79,Staub::N,փոշի,ګرد
80,Staub::N,փոշի,خاوره
81,Rauch::N,ծուխ,دود
82,Rauch::N,ծուխ,لوګی
83,Funke::N,կայծ,سپرغۍ
84,Feuer::N,կրակ,اور
85,Feuer::N,հրդեհ,اور
86,Licht::N,լույս,رڼا
87,Schatten::N,ստվեր,سیوری
88,Wetter::N,եղանակ,هوا
89,Nebel::N,մեգ,لړه
90,Nebel::N,մառախուղ,لړه
91,Wolke::N,ամպ,ورېځ
92,Regen::N,անձրև,وریا
93,Regen::N,անձրև,باران
94,Schnee::N,ձյուն,واوره
95,Eis::N,սառույց,یخ
96,Eis::N,սառույց,کنګل
97,Frost::N,սառնամանիք,یخ
98,Kälte::N,դող,ساړه
99,Hitze::N,շոգ,تودوخي
100,Raureif::N,ցօղեղեամ,سپینه پرخه
101,Regenbogen::N,ծիածան,بوډۍ ټال
102,Regenbogen::N,ծիածան,سره زرغونه
103,Donner::N,որոտ,تالنده
104,Strömung::N,հոսանք,بهېدنه
105,Tropfen::N,կաթիլ,قطره
106,Tropfen::N,կաթիլ,څاڅکی
107,Schaum::N,փրփուր,ځګ
108,Schmutz::N,կեղտ,ناپاکي
109,See::N,լիճ,جهیل
110,Sumpf::N,ճահիճ,جبه
111,Moor::N,ճահիճ,جبه
