,Concept_ID,cv,br
0,Auge::N,куҫ,lagad
1,Ohr::N,хӑлха,skouarn
2,Nase::N,сӑмса,fri
3,Mund::N,ҫӑвар,genoù
4,Zahn::N,шӑл,dant
5,Zunge::N,чӗлхе,teod
6,Lippe::N,тута,muzell
7,Wange::N,пит ҫӑмарти,chot
8,Gesicht::N,пит,dremm
9,Gesicht::N,пит-куҫ,dremm
10,Stirn::N,ҫамка,tal
11,Haar::N,ҫӳҫ,blev
12,Schnurrbart::N,усси,mourenn
13,Bart::N,сухал,barv
14,Kinn::N,янах,groñj
15,Kiefer[Anatomie]::N,янах,javed
16,Kehle::N,пыр,gouzoug
17,Kehle::N,карланкӑ,gouzoug
18,Hals::N,пыр,gouzoug
19,Genick::N,ӗнсе,choug
20,Kopf::N,пуҫ,penn
21,Rücken::N,ҫурӑм,kein
22,Nabel::N,кӑвапа,begel
23,Busen::N,кӑкӑр,bronn
24,Brust::N,умӗ,bruched
25,Schulter::N,хул пуҫҫи,skoaz
26,Arm::N,алӑ,brec'h
27,Ellenbogen::N,чавса,ilin
28,Hand::N,алӑ сыппи,dorn
29,Handfläche::N,ал лаппи,palv
30,Finger::N,пӳрне,biz
31,Fingernagel::N,чӗрне,ivin
32,Nagel[Anatomie]::N,чӗрне,ivin
33,Zeh::N,пӳрне,biz-troad
34,Fuß::N,ура лаппи,troad
35,Ferse::N,кӗле,seul
36,Knie::N,чӗркуҫҫи,glin
37,Oberschenkel::N,пӗҫӗ,morzhed
38,Bein::N,ура,gar
39,Körper::N,ӳт,korf
40,Körper::N,ӳт-пӳ,korf
41,Haut::N,тир,kroc'hen
42,Blut::N,юн,gwad
43,Ader::N,вена,gwazhi
44,Sehne::N,шӑнӑр,stir
45,Knochen::N,шӑмӑ,askorn
46,Gehirn::N,миме,empenn
47,Herz::N,чӗре,kalon
48,Magen::N,хырӑмлӑх,stomog
49,Leber::N,пӗвер,avu
50,Atem::N,сывлав,anal
51,Hunger::N,выҫлӑх,naon
52,Träne::N,куҫҫуль,daer
53,Geschmack::N,техӗм,blaz
54,Geruch::N,шӑршӑ,c'hwezh
55,Schlaf::N,ыйхӑ,kousked
56,Traum::N,тӗлӗк,hune
57,Himmel::N,пӗлӗт,oabl
58,Sonne::N,хӗвел,heol
59,Mond::N,уйӑх,loar
60,Stern::N,ҫӑлтӑр,steredenn
61,Luft::N,сывлӑш,aer
