,Concept_ID,he,mhr
0,Auge::N,עין,шинча́
1,Ohr::N,אזן,пы́лыш
2,Nase::N,אף,нер
3,Nase::N,חטם,нер
4,Mund::N,פה,умша́
5,Zahn::N,שן,пӱй
6,Zunge::N,לשון,йы́лме
7,Lippe::N,שפה,тӱ́рвӧ
8,Wange::N,לחי,шӱ́ргӧ
9,Gesicht::N,פנים,чури́й
10,Stirn::N,מצח,саҥга́
11,Haar::N,שערה,ӱп
12,Schnurrbart::N,שפם,ӧ́рыш
13,Bart::N,זקן,понда́ш
14,Kinn::N,סנטר,оҥыла́ш
15,Kiefer[Anatomie]::N,לסת,пӱйдӱ́ҥ
16,Kiefer[Anatomie]::N,לסת,пӱйората́
17,Kehle::N,גרון,лога́р
18,Hals::N,צואר,шӱй
19,Genick::N,ערף,шӱйло́дыш
20,Kopf::N,ראש,вуй
21,Rücken::N,גב,туп
22,Bauch::N,בטן,мӱ́шкыр
23,Nabel::N,טבור,кы́лымде
24,Busen::N,שד,чы́зе
25,Brust::N,חזה,оҥ
26,Schulter::N,כתף,ва́че
27,Arm::N,זרוע,кид
28,Ellenbogen::N,מרפק,кынерву́й
29,Hand::N,יד,кид
30,Hand::N,יד,копа́
31,Handfläche::N,כף יד,со́во
32,Finger::N,אצבע,парня́
33,Fingernagel::N,צפרן,кидкӱ́ч
34,Fingernagel::N,צפרן,парнягӱ́ч
35,Nagel[Anatomie]::N,צפרן,кӱч
36,Zeh::N,אצבע,йолварня́
37,Fuß::N,רגל,йол
38,Fuß::N,רגל,йолкопа́
39,Ferse::N,עקב,тага́н
40,Knie::N,ברך,пулву́й
41,Oberschenkel::N,ירך,э́рде
42,Bein::N,רגל,йол
43,Körper::N,גוף,кап
44,Haut::N,עור,кова́ште
45,Blut::N,דם,вӱр
46,Ader::N,וריד,шӧн
47,Sehne::N,גיד,шӧн
48,Sehne::N,גיד,кӱсе́н
49,Knochen::N,עצם,лу
50,Gehirn::N,מוח,вем
51,Gehirn::N,מוח,вуйве́м
52,Herz::N,לב,шӱм
53,Magen::N,קבה,пага́р
54,Leber::N,כבד,мокш
55,Atem::N,נשימה,шӱ́лыш
56,Hunger::N,רעב,шужыма́ш
57,Träne::N,דמעה,шинчавӱ́д
58,Geschmack::N,טעם,там
59,Geruch::N,ריח,пуш
60,Schlaf::N,שנה,о́мо
61,Traum::N,חלום,йӱдо́мо
62,Himmel::N,שמים,кава́
63,Sonne::N,שמש,ке́че
64,Mond::N,ירח,ты́лзе
65,Stern::N,כוכב,шӱ́дыр
66,Luft::N,אויר,юж
67,Wind::N,רוח,марде́ж
68,Welle::N,גל,то́лкын
69,Wasser::N,מים,вӱд
70,Stein::N,אבן,кӱ
71,Boden::N,קרקע,рок
72,Erde::N,אדמה,мла́нде
73,Staub::N,אבק,пура́к
74,Rauch::N,עשן,шикш
75,Funke::N,ניצוץ,сеске́м
76,Funke::N,ניצוץ,тулйы́п
77,Feuer::N,אש,тул
78,Licht::N,אור,со́то
79,Schatten::N,צל,ӱ́мыл
80,Wetter::N,מזג אויר,иге́че
81,Nebel::N,ערפל,тӱтыра́
82,Wolke::N,ענן,пыл
83,Regen::N,גשם,йӱр
84,Schnee::N,שלג,лум
85,Eis::N,קרח,ий
86,Frost::N,צנה,чатлама́
87,Kälte::N,קר,йӱ́штӧ
88,Hitze::N,חם,шо́кшо
89,Raureif::N,כפור,пӧрш
90,Raureif::N,כפור,по́кшым
91,Regenbogen::N,קשת,шонанпы́л
92,Donner::N,רעם,кӱ́дырчӧ
93,Strömung::N,זרימה,йо́гын
94,Tropfen::N,טפה,чӱча́лтыш
95,Schaum::N,קצף,шоҥ
96,Schmutz::N,לכלוך,лавыра́
97,See::N,אגם,ер
98,Sumpf::N,בצה,лӱ́кӧ
99,Moor::N,בצה,куп
100,Wiese::N,מרעה,о́лык
