,Concept_ID,mhr,de
0,Auge::N,шинча́,Auge
1,Ohr::N,пы́лыш,Ohr
2,Nase::N,нер,Nase
3,Mund::N,умша́,Mund
4,Zahn::N,пӱй,Zahn
5,Zunge::N,йы́лме,Zunge
6,Lippe::N,тӱ́рвӧ,Lippe
7,Wange::N,шӱ́ргӧ,Wange
8,Gesicht::N,чури́й,Gesicht
9,Stirn::N,саҥга́,Stirn
10,Haar::N,ӱп,Haar
11,Schnurrbart::N,ӧ́рыш,Schnurrbart
12,Bart::N,понда́ш,Bart
13,Kinn::N,оҥыла́ш,Kinn
14,Kiefer[Anatomie]::N,пӱйдӱ́ҥ,Kiefer
15,Kiefer[Anatomie]::N,пӱйората́,Kiefer
16,Kehle::N,лога́р,Kehle
17,Hals::N,шӱй,Hals
18,Genick::N,шӱйло́дыш,Genick
19,Kopf::N,вуй,Kopf
20,Rücken::N,туп,Rücken
21,Bauch::N,мӱ́шкыр,Bauch
22,Nabel::N,кы́лымде,Nabel
23,Busen::N,чы́зе,Busen
24,Brust::N,оҥ,Brust
25,Schulter::N,ва́че,Schulter
26,Arm::N,кид,Arm
27,Ellenbogen::N,кынерву́й,Ellenbogen
28,Hand::N,кид,Hand
29,Hand::N,копа́,Hand
30,Handfläche::N,со́во,Handfläche
31,Finger::N,парня́,Finger
32,Fingernagel::N,кидкӱ́ч,Fingernagel
33,Fingernagel::N,парнягӱ́ч,Fingernagel
34,Nagel[Anatomie]::N,кӱч,Nagel
35,Zeh::N,йолварня́,Zeh
36,Fuß::N,йол,Fuß
37,Fuß::N,йолкопа́,Fuß
38,Ferse::N,тага́н,Ferse
39,Knie::N,пулву́й,Knie
40,Oberschenkel::N,э́рде,Oberschenkel
41,Bein::N,йол,Bein
42,Körper::N,кап,Körper
43,Haut::N,кова́ште,Haut
44,Blut::N,вӱр,Blut
45,Ader::N,шӧн,Ader
46,Sehne::N,шӧн,Sehne
47,Sehne::N,кӱсе́н,Sehne
48,Knochen::N,лу,Knochen
49,Gehirn::N,вем,Gehirn
50,Gehirn::N,вуйве́м,Gehirn
51,Herz::N,шӱм,Herz
52,Magen::N,пага́р,Magen
53,Leber::N,мокш,Leber
54,Atem::N,шӱ́лыш,Atem
55,Hunger::N,шужыма́ш,Hunger
56,Träne::N,шинчавӱ́д,Träne
57,Geschmack::N,там,Geschmack
58,Geruch::N,пуш,Geruch
59,Schlaf::N,о́мо,Schlaf
60,Traum::N,йӱдо́мо,Traum
61,Himmel::N,кава́,Himmel
62,Sonne::N,ке́че,Sonne
63,Mond::N,ты́лзе,Mond
64,Stern::N,шӱ́дыр,Stern
65,Luft::N,юж,Luft
66,Wind::N,марде́ж,Wind
67,Welle::N,то́лкын,Welle
68,Wasser::N,вӱд,Wasser
69,Stein::N,кӱ,Stein
70,Boden::N,рок,Boden
71,Erde::N,мла́нде,Erde
72,Staub::N,пура́к,Staub
73,Rauch::N,шикш,Rauch
74,Funke::N,сеске́м,Funke
75,Funke::N,тулйы́п,Funke
76,Feuer::N,тул,Feuer
77,Licht::N,со́то,Licht
78,Schatten::N,ӱ́мыл,Schatten
79,Wetter::N,иге́че,Wetter
80,Nebel::N,тӱтыра́,Nebel
81,Wolke::N,пыл,Wolke
82,Regen::N,йӱр,Regen
83,Schnee::N,лум,Schnee
84,Eis::N,ий,Eis
85,Frost::N,чатлама́,Frost
86,Kälte::N,йӱ́штӧ,Kälte
87,Hitze::N,шо́кшо,Hitze
88,Raureif::N,пӧрш,Raureif
89,Raureif::N,по́кшым,Raureif
90,Regenbogen::N,шонанпы́л,Regenbogen
