,Concept_ID,en,ar
0,Auge::N,eye,عين
1,Ohr::N,ear,أذن
2,Nase::N,nose,أنف
3,Mund::N,mouth,فم
4,Zahn::N,tooth,سن
5,Zunge::N,tongue,لسان
6,Lippe::N,lip,شفة
7,Wange::N,cheek,خد
8,Wange::N,cheek,وجنة
9,Gesicht::N,face,وجه
10,Stirn::N,forehead,جبين
11,Haar::N,hair,شعر
12,Schnurrbart::N,moustache,شارب
13,Bart::N,beard,لحية
14,Kinn::N,chin,ذقن
15,Kiefer[Anatomie]::N,jaw,فك
16,Kehle::N,throat,حلق
17,Hals::N,neck,عنق
18,Hals::N,neck,رقبة
19,Genick::N,nape,قفا
20,Kopf::N,head,رأس
21,Rücken::N,back,ظهر
22,Rücken::N,spine,ظهر
23,Bauch::N,belly,بطن
24,Nabel::N,navel,سرة
25,Busen::N,bosom,ثدي
26,Brust::N,chest,صدر
27,Brust::N,breast,صدر
28,Schulter::N,shoulder,كتف
29,Arm::N,arm,ذراع
30,Ellenbogen::N,elbow,كوع
31,Hand::N,hand,يد
32,Handfläche::N,palm,كف
33,Finger::N,finger,إصبع
34,Fingernagel::N,fingernail,ظفر
35,Nagel[Anatomie]::N,nail,ظفر
36,Zeh::N,toe,إصبع القدم
37,Fuß::N,foot,قدم
38,Ferse::N,heel,كعب
39,Knie::N,knee,ركبة
40,Oberschenkel::N,thigh,فخذ
41,Bein::N,leg,ساق
42,Körper::N,body,جسم
43,Haut::N,skin,بشرة
44,Blut::N,blood,دم
45,Ader::N,vein,عرق
46,Sehne::N,sinew,طنب
47,Knochen::N,bone,عظم
48,Gehirn::N,brain,دماغ
49,Herz::N,heart,قلب
50,Magen::N,stomach,معدة
51,Leber::N,liver,كبد
52,Atem::N,breath,نفس
53,Hunger::N,hunger,جوع
54,Träne::N,tear,دمعة
55,Geschmack::N,flavour,طعم
56,Geschmack::N,flavour,مذاق
57,Geschmack::N,flavor,طعم
58,Geschmack::N,flavor,مذاق
59,Geruch::N,odour,رائحة
60,Geruch::N,odor,رائحة
61,Schlaf::N,sleep,نوم
62,Schlaf::N,sleep,منام
63,Traum::N,dream,حلم
64,Himmel::N,sky,سماء
65,Sonne::N,sun,شمس
66,Mond::N,moon,قمر
67,Stern::N,star,نجم
68,Stern::N,star,كوكب
69,Luft::N,air,هواء
70,Wind::N,wind,ريح
71,Welle::N,wave,موجة
72,Wasser::N,water,ماء
73,Stein::N,stone,حجر
74,Boden::N,soil,تراب
75,Boden::N,ground,تراب
76,Erde::N,earth,أرض
77,Staub::N,dust,غبار
78,Rauch::N,smoke,دخان
79,Funke::N,spark,شرارة
80,Feuer::N,fire,نار
81,Licht::N,light,نور
82,Licht::N,light,ضوء
83,Schatten::N,shadow,ظل
84,Schatten::N,shadow,فيء
85,Wetter::N,weather,جو
