,Concept_ID,ta,pt
0,Auge::N,கண்,olho
1,Ohr::N,காது,orelha
2,Nase::N,மூக்கு,nariz
3,Mund::N,வாய்,boca
4,Zahn::N,பல்,dente
5,Zunge::N,நாக்கு,língua
6,Lippe::N,உதடு,lábio
7,Wange::N,கன்னம்,face
8,Gesicht::N,முகம்,cara
9,Gesicht::N,முகம்,rosto
10,Stirn::N,முன்னெற்றி,testa
11,Haar::N,முடி,cabelo
12,Schnurrbart::N,மீசை,bigode
13,Bart::N,தாடி,barba
14,Kinn::N,கீழதாடை,queixo
15,Kiefer[Anatomie]::N,தாடை,maxila
16,Kiefer[Anatomie]::N,தாடை,mandíbula
17,Kehle::N,தொண்டை,garganta
18,Hals::N,கழுத்து,colo
19,Hals::N,கழுத்து,pescoço
20,Genick::N,கழுத்து,nuca
21,Kopf::N,தலை,cabeça
22,Rücken::N,முதுகு,dorso
23,Rücken::N,முதுகு,costas
24,Bauch::N,வயிறு,ventre
25,Bauch::N,வயிறு,barriga
26,Nabel::N,தொப்புள்,umbigo
27,Busen::N,மார்பகம்,seio
28,Brust::N, மார்பு,peito
29,Schulter::N,தோள்பட்டை,ombro
30,Arm::N,கரம்,braço
31,Ellenbogen::N,முழங்கை,cotovelo
32,Hand::N,கை,mão
33,Handfläche::N,உள்ளங்கை,palma
34,Handfläche::N,உள்ளங்கை,palma da mão
35,Finger::N,விரல்,dedo
36,Fingernagel::N,விரல் நகம்,unha
37,Nagel[Anatomie]::N,நகம்,unha
38,Zeh::N,கால்விரல்,dedo do pé
39,Fuß::N,கால்,pé
40,Ferse::N,குதிகால்,calcanhar
41,Knie::N,முழங்கால்,joelho
42,Oberschenkel::N,தொடை,coxa
43,Bein::N,கால்,perna
44,Körper::N,உடல்,corpo
45,Haut::N,சருமம்,pele
46,Blut::N,இரத்தம்,sangue
47,Ader::N,நாளம்,veia
48,Sehne::N,தசைநார்,tendão
49,Knochen::N,எலுமபு,osso
50,Gehirn::N,மூனை,cérebro
51,Herz::N,இதயம,coração
52,Magen::N,வயிறு,estômago
53,Leber::N,கல்லீரல்,fígado
54,Atem::N,மூச்சு,fôlego
55,Hunger::N,பசி,fome
56,Träne::N,கண்ணீர்,lágrima
57,Geschmack::N,நறுமணம்,gosto
58,Geruch::N,துர்நாற்றம்,odor
59,Geruch::N,துர்நாற்றம்,cheiro
60,Schlaf::N,தூக்கம்,sono
61,Traum::N,கனவு,sonho
62,Himmel::N,வானம்,céu
63,Sonne::N,சூரியன்,sol
64,Mond::N,சந்திரன்,lua
65,Stern::N,நட்சத்திரம்,estrela
66,Luft::N,காறறு,ar
67,Wind::N,காற்று,vento
68,Welle::N,அலை,onda
69,Wasser::N,நீர்,água
70,Stein::N,கல்,pedra
71,Boden::N,தரை,solo
72,Erde::N,மண்,terra
73,Staub::N,தூசி,pó
74,Rauch::N,புகை,fumo
75,Funke::N,தீப்பொறி,faísca
76,Funke::N,தீப்பொறி,centelha
77,Feuer::N,தீ,fogo
78,Licht::N,வெளிச்சம்,luz
79,Schatten::N,நிழல்,sombra
80,Wetter::N,வானிலை,tempo
81,Nebel::N,பனிமூட்டம்,nevoeiro
82,Wolke::N,மேகம்,nuvem
83,Regen::N,மழை,chuva
84,Schnee::N,உறைபனி,neve
85,Eis::N,பனிக்கட்டி,gelo
86,Frost::N,உறைபனி,gelo
87,Frost::N,உறைபனி,geada
88,Kälte::N,குளிர்ந்த,frio
89,Hitze::N,சூடு,ardor
90,Raureif::N,உறைபனி வெண்திரை,geada
91,Regenbogen::N,வானவில்,arco-iris
92,Donner::N,இடி,trovão
93,Strömung::N,நீரோட்டம்,corrente
94,Tropfen::N,துளி,gota
95,Schaum::N,நுரை,espuma
96,Schmutz::N,அழுக்கு,sujidade
97,Schmutz::N,அழுக்கு,imundície
98,See::N,ஏரி,lago
99,Sumpf::N,சதுப்பு நிலம்,charco
100,Sumpf::N,சதுப்பு நிலம்,pântano
101,Moor::N,முட்புதற்காடு,pântano
102,Wiese::N,பசும் புல்தரை,prado
103,Wald::N,காடு,bosque
104,Wald::N,காடு,floresta
105,Hügel::N,குன்று,colina
106,Anhöhe::N,பதுக்கை,alto
107,Anhöhe::N,பதுக்கை,outeiro
108,Berg::N,மலை,monte
109,Berg::N,மலை,montanha
110,Gipfel::N,உச்சி மாநாடு,pico
111,Höhle::N,குகை,caverna
112,Abhang::N,சரிவு,encosta
113,Quelle::N,மூலம்,fonte
114,Bach::N,ஓடை,regato
115,Bach::N,ஓடை,ribeiro
116,Fluss::N,ஆறு,rio
117,Ufer::N,நீர்க்கரை,beira
118,Küste::N,கடற்கரை,costa
119,Festland::N,நிலம்,terra firme
120,Meer::N,கடல்,mar
121,Bucht::N,சிறுகுடா,baía
122,Insel::N,தீவு,ilha
123,Blume::N,பூ,flor
124,Gras::N,புல்தரை,erva
125,Wurzel::N,வேர்,raiz
126,Baum::N,மரம்,árvore
127,Stamm::N,அடிமரம்,tronco
128,Rinde::N,பட்டை,casca
129,Rinde::N,மரப்பட்டை,casca
130,Ast::N,கினை,ramo
131,Zweig::N,குச்சி,galho
132,Blatt::N,இலை,folha
133,Birke::N,பிர்ச் மரம்,bétula
134,Kiefer[Baum]::N,தேவதாரு மரம்,pinheiro
135,Weide[Baum]::N,மர வகைகளுள் ஒன்று,salgueiro
136,Tanne::N,சாதிக்கய்,abeto
137,Horn::N,கொம்பு,corno
138,Horn::N,கொம்பு,chifre
139,Feder::N,இறகு,pena
140,Fell::N,மென்முடி,pele
141,Flügel::N,இறக்கை,asa
142,Klaue::N,நகம்,pata
143,Kralle::N,நகம்,unha
144,Kralle::N,நகம்,garra
145,Schwanz::N,வால்,rabo
146,Schwanz::N,வால்,cauda
147,Ei::N,முட்டை,ovo
148,Nest::N,கூடு,ninho
149,Bau::N,குகை,toca
150,Bau::N,குகை,covil
151,Tier::N,விலங்கு,animal
152,Herde::N,கூட்டம்,rebanho
153,Kuh::N,பசு,vaca
154,Bulle::N,காளை,touro
155,Pferd::N,குதிரை,cavalo
156,Schaf::N,செம்மறிஆடு,ovelha
157,Schwein::N,பன்றி,porco
158,Hund::N,நாய்,cão
159,Katze::N,பூனை,gata
160,Bär::N,கரடி,urso
161,Eichhörnchen::N,அணில்,esquilo
162,Elch::N,கடம்பை,alce
163,Fuchs::N,நரி,raposa
164,Hase::N,முயல்,lebre
165,Maus::N,எலி,rato
166,Wolf::N,ஓநாய்,lobo
167,Vogel::N,பறவை,ave
168,Vogel::N,பறவை,pássaro
169,Schwarm::N,தொகுதி,bando
170,Schwarm::N,தொகுதி,enxame
171,Huhn::N,கோழிக்குஞசு,galinha
172,Hahn::N,சேவல்,galo
173,Gans::N,பெண் வாத்து,ganso
174,Adler::N,பருநது,águia
175,Ente::N,வாத்து,pata
176,Eule::N,ஆந்தை,mocho
177,Eule::N,ஆந்தை,coruja
178,Kranich::N,நாரை,grou
179,Krähe::N,காகம்,gralha
180,Kuckuck::N,குயில்,cuco
181,Schwan::N,அன்னம்,cisne
182,Fisch::N,மீன்,peixe
183,Barsch::N,பேர்ச்,perca
184,Hecht::N,கோலாச்சி மீன்,lúcio
185,Schlange[Tier]::N,பாம்பு,serpente
186,Wurm::N,புழு,verme
187,Spinne::N,சிலந்தி,aranha
188,Ameise::N,எறும்பு,formiga
189,Laus::N,பேன்,piolho
190,Mücke::N,கொசுவினப்பூச்சி,mosquito
191,Fliege::N,ஈ,mosca
192,Schmetterling::N,வண்ணத்துப்பூச்சி,borboleta
193,Beere::N,சதைப்பழம்,bago
194,Apfel::N,ஆப்பிள பழம்,maçã
195,Pilz::N,காளான்,fungo
196,Pilz::N,காளான்,cogumelo
197,Zwiebel::N,வெங்காயம்,cebola
198,Saat::N,விதை,sementeira
199,Korn::N,தானியம்,grão
200,Heu::N,வைக்கோல்,feno
201,Schale::N,தோல்,casca
202,Grube::N,குழி,cova
203,Grube::N,குழி,fossa
204,Falle::N,பொறி,armadilha
205,Schlinge::N,கண்ணி,laço
206,Spur::N,சுவடு,pista
207,Spur::N,சுவடு,vestígio
208,Asche::N,சாம்பல்,cinza
209,Dreck::N,அழுக்கு,sujidade
210,Eisen::N,இரும்பு,ferro
211,Gold::N,தங்கம்,ouro
212,Silber::N,வெள்ளி,prata
213,Kohle::N,நிலக்கரி,carvão
214,Glas::N,கண்ணாடி,vidro
215,Lehm::N,களிமண்,barro
216,Lehm::N,களிமண்,argila
217,Sand::N,மணல்,areia
218,Mensch::N,மனிதர்கள்,homem
219,Mensch::N,மனிதர்கள்,pessoa
220,Mann::N,மனிதன்,homem
221,Frau::N,பெண்,mulher
222,Kind::N,குழந்தை,filho
223,Kind::N,குழந்தை,criança
224,Junge::N,பையன்,rapaz
225,Junge::N,பையன்,menino
226,Mädchen::N,சிறுமி,menina
227,Mädchen::N,சிறுமி,rapariga
228,Familie::N,குடும்பம்,família
229,Großvater::N,தாத்தா,avô
230,Großmutter::N,பாட்டி,avó
231,Eltern::N,பெற்றோர்,pais
232,Vater::N,தந்தை,pai
233,Mutter::N,தாய்,mãe
234,Sohn::N,மகன்,filho
235,Tochter::N,மகள்,filha
236,Bruder::N,சகோதரன்,irmão
237,Schwester::N,அக்கா,irmã
238,Onkel::N,தாய் மாமன்,tio
239,Tante::N,அத்தை,tia
240,Ehemann::N,கணவன்,esposo
241,Ehefrau::N,மனைவி,esposa
242,Freude::N,கொண்டாட்டம்,prazer
243,Freude::N,கொண்டாட்டம்,alegria
244,Gelächter::N,சிரிப்பு,risada
245,Gelächter::N,சிரிப்பு,gargalhada
246,Glück::N,மகிழ்ச்சி,felicidade
247,Kummer::N,துயரம்,aflição
248,Kummer::N,துயரம்,desgosto
249,Wunsch::N,விருப்பம்,desejo
250,Lust::N,விருப்பம்,vontade
251,Geist::N,ஆன்மா,mente
252,Geist::N,ஆன்மா,espírito
253,Gedanke::N,எண்ணம்,ideia
254,Gedanke::N,எண்ணம்,pensamento
255,Gedächtnis::N,ஞாபகம்,memória
256,Verstand::N,மனம்,razão
257,Verstand::N,மனம்,inteligência
258,Sinn::N,அர்த்தம்,sentido
259,Sinn::N,அர்த்தம்,significado
260,Grund::N,காரணம்,causa
261,Grund::N,காரணம்,motivo
262,Wahrheit::N,உண்நை,verdade
263,Gespräch::N,பெசு,conversa
264,Gespräch::N,பெசு,conversação
265,Märchen::N,நம்பத்தகாத கதை,conto
266,Erzählung::N,கதை,conto
267,Erzählung::N,கதை,narrativa
268,Nachricht::N,செய்தி,mensagem
269,Neuigkeit::N,செய்தி,notícia
270,Neuigkeit::N,செய்தி,novidade
271,Name::N,பெயர்,nome
272,Rätsel::N,புதிர்,adivinha
273,Rede::N,பேச்சு,oração
274,Rede::N,பேச்சு,discurso
275,Sprache::N,மொழி,língua
276,Stimme::N,குரல்,voz
277,Wort::N,வார்த்தை,palavra
278,Zeichen::N,குறி,marca
279,Ruf::N,அழைப்பு,grito
280,Ruf::N,அழைப்பு,chamada
281,Lärm::N,சத்தம்,ruído
282,Lärm::N,சத்தம்,barulho
283,Laut::N,ஒலி,som
284,Ton::N,குரல்,tom
285,Lied::N,பாட்டு,canção
286,Ruhe::N,அமைதி,calma
287,Ruhe::N,அமைதி,silêncio
288,Leute::N,மக்கள்,gente
289,Leute::N,மக்கள்,pessoas
290,Volk::N,மக்கள்,povo
291,Volk::N,மக்கள்,nação
292,Arbeit::N,வேலை,trabalho
293,Gast::N,விருந்தாளி,hóspede
294,Gast::N,விருந்தாளி,convidado
295,Geschenk::N,பரிசுப் பொருள்,prenda
296,Geschenk::N,பரிசுப் பொருள்,presente
297,Spiel::N,விளையாட்டு,jogo
298,Gesellschaft::N,சமுதாயம்,companhia
299,Hilfe::N,உதவி,ajuda
300,Hilfe::N,உதவி,socorro
301,Freund::N,நண்பன்,amigo
302,Kamerad::N,உடனிருப்பவன்,camarada
303,Angelegenheit::N,செய்தி,assunto
304,Anzahl::N,எண்ணிக்கை,número
305,Anzahl::N,எண்ணிக்கை,quantidade
306,Art::N,வகை,tipo
307,Art::N,வகை,espécie
308,Stück::N,துண்டம்,pedaço
309,Teil::N,பகுதி,peça
310,Teil::N,பகுதி,parte
311,Hälfte::N,பாதி,metade
312,Kreis::N,வட்டம்,círculo
313,Kreuz::N,சிலுவை,cruz
314,Linie::N,கோடு,linha
315,Strich::N,வாத நோய்,traço
316,Abstand::N,இடைவெளி,distância
317,Entfernung::N,தூரம்,distância
318,Gegend::N,வட்டாரம்,área
319,Gegend::N,வட்டாரம்,região
320,Platz::N,வெற்றிடம்,lugar
321,Ort::N,இடம்,sítio
322,Seite::N,பக்கம்,lado
323,Mitte::N,இடைப்பகுதி,meio
324,Gegenstand::N,உருப்படி,objecto
325,Sache::N,பொருள்,coisa
326,Rand::N,தொங்கு,bordo
327,Rand::N,தொங்கு,margem
328,Kante::N,விளிம்பு,borda
329,Kante::N,விளிம்பு,aresta
330,Ecke::N,மூலை,esquina
331,Spitze::N,முனை,ponta
332,Ende::N,முடிவு,cabo
333,Ende::N,முடிவு,extremo
334,Loch::N,துளை,furo
335,Loch::N,துளை,buraco
336,Winkel::N,கோணம்,canto
337,Winkel::N,கோணம்,ângulo
338,Muster::N,பாங்கு,padrão
339,Muster::N,பாங்கு,desenho
340,Größe::N,அளவு,tamanho
341,Länge::N,நீளம்,comprimento
342,Höhe::N,உயரம்,altura
343,Höhe::N,உயரம்,altitude
344,Gewicht::N,எடை,peso
345,Menge::N,தொகை,quantidade
346,Haufen::N,குவியல்,pilha
347,Reihe::N,வரிசை,fila
348,Boot::N,படகு,barco
349,Ruder::N,துடுப்பு,remo
350,Schlitten::N,சகடையிலா வண்டி,trenó
351,Ski::N,பனிச் சறுக்கல்,esqui
352,Lagerfeuer::N,மூட்டம்,fogueira
353,Last::N,பாரம்,carga
354,Gang::N,நடை,curso
355,Gang::N,நடை,caminhada
356,Schritt::N,காலடி,passo
357,Norden::N,வடக்கு,norte
358,Süden::N,தெற்கு,sul
359,Westen::N,மேற்கு திசை,oeste
360,Westen::N,மேற்கு திசை,ocidente
361,Osten::N,கிழக்கு,este
362,Osten::N,கிழக்கு,leste
363,Osten::N,கிழக்கு,oriente
364,Holz::N,மரக்கட்டை,madeira
365,Brett::N,பலகை,tábua
366,Brett::N,பலகை,prancha
367,Platte::N,பலகம்,laje
368,Platte::N,பலகம்,chapa
369,Stütze::N,அடைப்புகன்,apoio
370,Stütze::N,அடைப்புகன்,suporte
371,Stange::N,கம்பம்,vara
372,Stange::N,கம்பம்,barra
373,Stock::N,குச்சி,pau
374,Stock::N,குச்சி,bengala
375,Stab::N,கம்பு,bastão
