,Concept_ID,sq,nl
0,Auge::N,sy,oog
1,Ohr::N,vesh,oor
2,Nase::N,hundë,neus
3,Mund::N,gojë,mond
4,Zahn::N,dhëmb,tand
5,Zunge::N,gjuhë,tong
6,Lippe::N,buzë,lip
7,Wange::N,faqe,wang
8,Wange::N,mollëz,wang
9,Gesicht::N,fytyrë,gelaat
10,Gesicht::N,fytyrë,gezicht
11,Stirn::N,ballë,voorhoofd
12,Haar::N,flokë,haar
13,Schnurrbart::N,mustaqe,snor
14,Bart::N,mjekër,baard
15,Kinn::N,mjekër,kin
16,Kiefer[Anatomie]::N,nofull,kaak
17,Kehle::N,fyt,keel
18,Kehle::N,fyt,strot
19,Kehle::N,grykë,keel
20,Kehle::N,grykë,strot
21,Hals::N,qafë,hals
22,Genick::N,arrëz,nek
23,Kopf::N,kokë,hoofd
24,Rücken::N,kurriz,rug
25,Bauch::N,bark,buik
26,Nabel::N,kërthizë,navel
27,Busen::N,gji,boezem
28,Brust::N,gjoks,borst
29,Brust::N,kraharor,borst
30,Schulter::N,sup,schouder
31,Schulter::N,krah,schouder
32,Arm::N,krah,arm
33,Ellenbogen::N,bërryl,elleboog
34,Hand::N,dorë,hand
35,Handfläche::N,pëllëmbë,handpalm
36,Finger::N,gisht,vinger
37,Fingernagel::N,thua,nagel
38,Nagel[Anatomie]::N,thua,nagel
39,Zeh::N,gisht i këmbës,teen
40,Fuß::N,këmbë,voet
41,Ferse::N,thembër,hak
42,Ferse::N,thembër,hiel
43,Knie::N,gju,knie
44,Oberschenkel::N,kofshë,dij
45,Bein::N,këmbë,been
46,Körper::N,trup,lichaam
47,Haut::N,lëkurë,huid
48,Blut::N,gjak,bloed
49,Ader::N,venë,ader
50,Sehne::N,dell,pees
51,Knochen::N,asht,bot
52,Knochen::N,asht,been
53,Knochen::N,asht,knook
54,Knochen::N,kockë,bot
55,Knochen::N,kockë,been
56,Knochen::N,kockë,knook
57,Gehirn::N,tru,hersenen
58,Herz::N,zemër,hart
59,Magen::N,stomak,maag
60,Leber::N,mëlçi,lever
61,Atem::N,frymë,adem
62,Hunger::N,uri,honger
63,Träne::N,lot,traan
64,Geschmack::N,shije,smaak
65,Geruch::N,erë,geur
66,Schlaf::N,gjumë,slaap
67,Traum::N,ëndërr,droom
68,Himmel::N,qiell,hemel
69,Sonne::N,diell,zon
70,Mond::N,hënë,maan
71,Stern::N,yll,ster
72,Luft::N,ajër,lucht
73,Wind::N,erë,wind
74,Welle::N,valë,golf
75,Welle::N,dallgë,golf
76,Wasser::N,ujë,water
77,Stein::N,gur,steen
78,Boden::N,tokë,grond
79,Boden::N,truall,grond
80,Erde::N,dhe,aarde
81,Erde::N,baltë,aarde
82,Staub::N,pluhur,stof
83,Rauch::N,tym,rook
84,Funke::N,xixë,vonk
85,Funke::N,shkëndijë,vonk
86,Feuer::N,zjarr,vuur
87,Licht::N,dritë,licht
88,Schatten::N,hije,schaduw
89,Wetter::N,mot,weer
90,Nebel::N,mjegull,mist
