,Concept_ID,de,myv
0,Auge::N,Auge,сельме
1,Ohr::N,Ohr,пиле
2,Nase::N,Nase,судо
3,Mund::N,Mund,курго
4,Zahn::N,Zahn,пей
5,Zunge::N,Zunge,кель
6,Lippe::N,Lippe,турва
7,Wange::N,Wange,чамабока
8,Wange::N,Wange,чамаумарь
9,Gesicht::N,Gesicht,чама
10,Stirn::N,Stirn,коня
11,Haar::N,Haar,черь
12,Schnurrbart::N,Schnurrbart,ус
13,Schnurrbart::N,Schnurrbart,муюк
14,Bart::N,Bart,сакал
15,Kinn::N,Kinn,уло
16,Kiefer[Anatomie]::N,Kiefer,пейпакар
17,Kiefer[Anatomie]::N,Kiefer,пейловажа
18,Kehle::N,Kehle,кирьгапарь
19,Hals::N,Hals,кирьга
20,Genick::N,Genick,човонь
21,Kopf::N,Kopf,пря
22,Rücken::N,Rücken,копорь
23,Bauch::N,Bauch,пеке
24,Nabel::N,Nabel,почо
25,Busen::N,Busen,поте
26,Brust::N,Brust,меште
27,Schulter::N,Schulter,лавтов
28,Arm::N,Arm,кедь
29,Ellenbogen::N,Ellenbogen,кенерепакарь
30,Hand::N,Hand,кедь
31,Handfläche::N,Handfläche,кедькуншка
32,Handfläche::N,Handfläche,кедьлапушка
33,Finger::N,Finger,сур
34,Fingernagel::N,Fingernagel,кенже
35,Nagel[Anatomie]::N,Nagel,кенже
36,Zeh::N,Zeh,пильге сур
37,Fuß::N,Fuß,пильге
38,Ferse::N,Ferse,кочкаря
39,Knie::N,Knie,эле
40,Knie::N,Knie,эзне
41,Knie::N,Knie,кумажа
42,Oberschenkel::N,Oberschenkel,качо
43,Bein::N,Bein,пильге
44,Körper::N,Körper,рунго
45,Haut::N,Haut,киське
46,Blut::N,Blut,верь
47,Ader::N,Ader,сан
48,Sehne::N,Sehne,коське сан
49,Knochen::N,Knochen,пакарь
50,Gehirn::N,Gehirn,удем
51,Herz::N,Herz,седей
52,Magen::N,Magen,пеке
53,Leber::N,Leber,максо
54,Atem::N,Atem,лексема
55,Atem::N,Atem,оймень таргсема
56,Hunger::N,Hunger,вачочи
57,Träne::N,Träne,селведь
58,Geschmack::N,Geschmack,тансть
59,Geruch::N,Geruch,чине
60,Schlaf::N,Schlaf,удома
61,Traum::N,Traum,он
62,Himmel::N,Himmel,менель
63,Sonne::N,Sonne,чи
64,Mond::N,Mond,ков
65,Stern::N,Stern,теште
66,Luft::N,Luft,кошт
67,Wind::N,Wind,варма
68,Welle::N,Welle,толкун
69,Wasser::N,Wasser,ведь
70,Stein::N,Stein,кев
71,Boden::N,Boden,мода
72,Erde::N,Erde,мастор
73,Staub::N,Staub,пуль
74,Rauch::N,Rauch,качамо
75,Funke::N,Funke,сятко
76,Feuer::N,Feuer,тол
77,Licht::N,Licht,валдо
78,Schatten::N,Schatten,сулей
79,Schatten::N,Schatten,сулейкс
80,Wetter::N,Wetter,ушо
81,Nebel::N,Nebel,сув
82,Wolke::N,Wolke,пель
83,Regen::N,Regen,пиземс
84,Schnee::N,Schnee,лов
85,Eis::N,Eis,эй
86,Frost::N,Frost,кельме
87,Kälte::N,Kälte,якшамо
88,Hitze::N,Hitze,пси
89,Raureif::N,Raureif,лекш
90,Regenbogen::N,Regenbogen,пурьгинечирьке
91,Regenbogen::N,Regenbogen,пурьгинеёнкс
92,Donner::N,Donner,пурьгине
93,Strömung::N,Strömung,чудема
94,Strömung::N,Strömung,чудевкс
95,Tropfen::N,Tropfen,петнявкс
96,Schaum::N,Schaum,чов
97,Schmutz::N,Schmutz,рудаз
98,See::N,See,эрьке
99,Sumpf::N,Sumpf,чей
100,Moor::N,Moor,чей
101,Wiese::N,Wiese,луга
102,Wald::N,Wald,вирь
103,Hügel::N,Hügel,губорь
104,Hügel::N,Hügel,пандыне
105,Anhöhe::N,Anhöhe,губорь
106,Anhöhe::N,Anhöhe,пандыне
107,Berg::N,Berg,пандо
108,Gipfel::N,Gipfel,пря
109,Höhle::N,Höhle,пещера
110,Abhang::N,Abhang,пандочама
111,Quelle::N,Quelle,ушодкс
112,Bach::N,Bach,чудикерькс
113,Fluss::N,Fluss,лей
114,Ufer::N,Ufer,чире
115,Küste::N,Küste,лейчире
116,Festland::N,Festland,мода
117,Meer::N,Meer,моря
118,Bucht::N,Bucht,усия
119,Insel::N,Insel,усия
120,Blume::N,Blume,цеця
121,Gras::N,Gras,тикше
122,Wurzel::N,Wurzel,юр
123,Wurzel::N,Wurzel,ундокс
124,Baum::N,Baum,чувто
125,Stamm::N,Stamm,рунго
126,Rinde::N,Rinde,суд
127,Rinde::N,Rinde,керь
128,Ast::N,Ast,морго
129,Zweig::N,Zweig,тарад
130,Blatt::N,Blatt,лопа
131,Birke::N,Birke,килей
132,Kiefer[Baum]::N,Kiefer,пиче
133,Weide[Baum]::N,Weide,каль
134,Tanne::N,Tanne,куз
135,Horn::N,Horn,сюро
136,Feder::N,Feder,толга
137,Fell::N,Fell,пона
138,Flügel::N,Flügel,сёлмо
139,Klaue::N,Klaue,кенже
140,Kralle::N,Kralle,кенже
141,Schwanz::N,Schwanz,пуло
142,Ei::N,Ei,ал
143,Nest::N,Nest,пизэ
144,Bau::N,Bau,варя
145,Bau::N,Bau,пизе
146,Tier::N,Tier,ракша
147,Herde::N,Herde,стада
148,Kuh::N,Kuh,скал
149,Bulle::N,Bulle,бука
150,Pferd::N,Pferd,лишме
151,Schaf::N,Schaf,реве
152,Schwein::N,Schwein,туво
153,Hund::N,Hund,пине
154,Hund::N,Hund,киска
155,Katze::N,Katze,псака
156,Bär::N,Bär,овто
157,Eichhörnchen::N,Eichhörnchen,ур
158,Elch::N,Elch,сярдо
159,Fuchs::N,Fuchs,ривезь
160,Hase::N,Hase,нумоло
161,Maus::N,Maus,чеерь
162,Wolf::N,Wolf,верьгиз
163,Vogel::N,Vogel,нармунь
164,Schwarm::N,Schwarm,полк
165,Schwarm::N,Schwarm,стада
166,Huhn::N,Huhn,сараз
167,Hahn::N,Hahn,атякш
168,Gans::N,Gans,гала
169,Gans::N,Gans,мацей
170,Adler::N,Adler,куцькан
171,Adler::N,Adler,тумоатякш
172,Ente::N,Ente,яксярго
173,Eule::N,Eule,корж
174,Kranich::N,Kranich,карго
175,Krähe::N,Krähe,варака
176,Kuckuck::N,Kuckuck,куко
177,Schwan::N,Schwan,локсей
178,Fisch::N,Fisch,кал
179,Barsch::N,Barsch,окунь
180,Hecht::N,Hecht,щука
181,Schlange[Tier]::N,Schlange,гуй
182,Wurm::N,Wurm,сукс
183,Spinne::N,Spinne,шанжав
184,Ameise::N,Ameise,коткудав
185,Laus::N,Laus,сий
186,Mücke::N,Mücke,сеське
187,Fliege::N,Fliege,карво
188,Schmetterling::N,Schmetterling,нимиляв
189,Beere::N,Beere,умарь
190,Apfel::N,Apfel,умарь
191,Pilz::N,Pilz,панго
192,Zwiebel::N,Zwiebel,чурька
193,Saat::N,Saat,видьметь
194,Korn::N,Korn,сюро
195,Heu::N,Heu,тикше
196,Schale::N,Schale,кедь
197,Schale::N,Schale,ваткавкс
198,Grube::N,Grube,латко
199,Falle::N,Falle,тувор
200,Falle::N,Falle,кундамка
201,Schlinge::N,Schlinge,килькш
202,Spur::N,Spur,челькс
203,Spur::N,Spur,пильгеки
204,Asche::N,Asche,кулов
205,Dreck::N,Dreck,рудаз
206,Eisen::N,Eisen,кшни
207,Gold::N,Gold,сырне
208,Silber::N,Silber,сия
209,Kohle::N,Kohle,сэдь
210,Kohle::N,Kohle,уголия
211,Glas::N,Glas,сулика
212,Lehm::N,Lehm,сёвонь
213,Sand::N,Sand,човар
214,Mensch::N,Mensch,ломань
215,Mann::N,Mann,аля
216,Mann::N,Mann,цёраломань
217,Frau::N,Frau,ава
218,Kind::N,Kind,эйкакш
219,Junge::N,Junge,цёрыне
220,Mädchen::N,Mädchen,тейтерне
221,Familie::N,Familie,семия
222,Großvater::N,Großvater,покштя
223,Großmutter::N,Großmutter,баба
