,Concept_ID,be,es
0,Auge::N,вока,ojo
1,Ohr::N,вуха,oreja
2,Nase::N,нос,nariz
3,Mund::N,рот,boca
4,Zahn::N,зуб,diente
5,Zunge::N,язык,lengua
6,Lippe::N,губа,labio
7,Wange::N,шчака,mejilla
8,Gesicht::N,твар,cara
9,Stirn::N,лоб,frente
10,Haar::N,волас,cabello
11,Haar::N,валасы,cabello
12,Schnurrbart::N,вус,bigote
13,Schnurrbart::N,вусы,bigote
14,Bart::N,барада,barba
15,Kinn::N,падбародак,barbilla
16,Kiefer[Anatomie]::N,сківіца,mandíbula
17,Kehle::N,горла,garganta
18,Hals::N,шыя,cuello
19,Genick::N,патыліца,nuca
20,Genick::N,патыліца,cerviz
21,Kopf::N,галава,cabeza
22,Rücken::N,спіна,espalda
23,Bauch::N,жывот,vientre
24,Nabel::N,пупок,ombligo
25,Busen::N,грудзі,pecho
26,Brust::N,грудзі,pecho
27,Schulter::N,плячо,hombro
28,Arm::N,рука,brazo
29,Ellenbogen::N,локаць,codo
30,Hand::N,кісць,mano
31,Handfläche::N,далонь,palma
32,Finger::N,палец,dedo
33,Fingernagel::N,ногаць,uña
34,Nagel[Anatomie]::N,ногаць,uña
35,Zeh::N,палец,dedo del pie
36,Fuß::N,нага,pie
37,Ferse::N,пята,talón
38,Ferse::N,пятка,talón
39,Knie::N,калена,rodilla
40,Oberschenkel::N,бядро,muslo
41,Oberschenkel::N,сцягно,muslo
42,Bein::N,нага,pierna
43,Körper::N,цела,cuerpo
44,Haut::N,скура,piel
45,Blut::N,кроў,sangre
46,Ader::N,вена,vena
47,Ader::N,сасуд,vena
48,Sehne::N,жыла,tendón
49,Sehne::N,цеціва,tendón
50,Sehne::N,сухажылле,tendón
51,Knochen::N,косць,hueso
52,Gehirn::N,мозг,cerebro
53,Gehirn::N,мозг,encéfalo
54,Herz::N,сэрца,corazón
55,Magen::N,страўнік,estómago
56,Leber::N,печань,hígado
57,Atem::N,дыханне,aliento
58,Hunger::N,голад,hambre
59,Träne::N,сляза,lágrima
60,Geschmack::N,смак,gusto
61,Geruch::N,пах,olor
62,Schlaf::N,сон,sueño
63,Traum::N,сон,sueño
64,Traum::N,сон,ensueño
65,Himmel::N,неба,cielo
66,Sonne::N,сонца,sol
67,Mond::N,месяц,luna
68,Stern::N,зорка,estrella
69,Luft::N,паветра,aire
70,Wind::N,вецер,viento
71,Welle::N,хваля,ola
72,Welle::N,хваля,onda
73,Wasser::N,вада,agua
74,Stein::N,камень,piedra
75,Boden::N,глеба,suelo
76,Erde::N,зямля,tierra
77,Staub::N,пыл,polvo
78,Rauch::N,дым,humo
79,Funke::N,іскра,chispa
80,Feuer::N,агонь,fuego
81,Licht::N,святло,luz
82,Schatten::N,цень,sombra
83,Wetter::N,пагода,tiempo
84,Wetter::N,надворʼе,tiempo
85,Nebel::N,туман,niebla
86,Wolke::N,воблака,nube
87,Regen::N,дождж,lluvia
88,Schnee::N,снег,nieve
89,Eis::N,лёд,hielo
90,Frost::N,мароз,helada
91,Kälte::N,холад,frío
92,Hitze::N,спёка,calor
93,Raureif::N,іней,escarcha
94,Regenbogen::N,вясёлка,arco iris
95,Donner::N,гром,trueno
96,Strömung::N,цячэнне,corriente
97,Tropfen::N,кропля,gota
98,Schaum::N,пена,espuma
99,Schmutz::N,гразь,suciedad
100,See::N,возера,lago
101,Sumpf::N,багна,pantano
102,Moor::N,балота,turbera
103,Wiese::N,луг,prado
104,Wiese::N,луг,pradera
105,Wald::N,лес,bosque
106,Hügel::N,узгорак,colina
107,Anhöhe::N,узвышша,cerro
108,Berg::N,гара,monte
109,Berg::N,гара,montaña
110,Gipfel::N,вяршыня,cima
111,Gipfel::N,вяршыня,cumbre
112,Höhle::N,пячора,cueva
113,Höhle::N,пячора,caverna
114,Abhang::N,схіл,cuesta
115,Abhang::N,схіл,declive
116,Quelle::N,крыніца,fuente
117,Quelle::N,крыніца,manantial
118,Bach::N,ручай,arroyo
119,Fluss::N,рака,río
120,Ufer::N,бераг,orilla
121,Küste::N,узбярэжжа,costa
122,Festland::N,суша,tierra firme
123,Meer::N,мора,mar
124,Bucht::N,бухта,cala
125,Bucht::N,бухта,bahía
126,Insel::N,востраў,isla
127,Blume::N,кветка,flor
128,Gras::N,трава,hierba
129,Wurzel::N,корань,raíz
130,Baum::N,дрэва,árbol
131,Stamm::N,ствол,tronco
132,Rinde::N,кара,corteza
133,Ast::N,сук,rama
134,Zweig::N,галіна,ramo
135,Blatt::N,ліст,hoja
136,Birke::N,бяроза,abedul
137,Kiefer[Baum]::N,хвоя,pino
138,Kiefer[Baum]::N,сасна,pino
139,Weide[Baum]::N,вярба,sauce
140,Tanne::N,яліна,abeto
141,Horn::N,рог,asta
142,Horn::N,рог,cuerno
143,Feder::N,пяро,pluma
144,Fell::N,шкура,piel
145,Flügel::N,крыло,ala
146,Klaue::N,кіпцюр,garra
147,Kralle::N,лапа,uña
148,Kralle::N,лапа,garra
149,Schwanz::N,хвост,cola
150,Ei::N,яйка,huevo
151,Nest::N,гняздо,nido
152,Bau::N,нара,madriguera
153,Tier::N,жывёла,animal
154,Herde::N,статак,rebaño
155,Kuh::N,карова,vaca
156,Bulle::N,бык,toro
157,Pferd::N,конь,caballo
158,Schaf::N,авечка,oveja
159,Schwein::N,свіння,cerdo
160,Hund::N,сабака,perro
161,Katze::N,кошка,gato
162,Bär::N,мядзведзь,oso
163,Eichhörnchen::N,вавёрка,ardilla
164,Elch::N,лось,alce
165,Fuchs::N,ліса,zorro
166,Hase::N,заяц,liebre
167,Maus::N,мыш,ratón
168,Wolf::N,воўк,lobo
169,Vogel::N,птах,ave
170,Vogel::N,птах,pájaro
171,Vogel::N,птушка,ave
172,Vogel::N,птушка,pájaro
173,Schwarm::N,чарада,bandada
174,Huhn::N,курыца,gallina
175,Hahn::N,певень,gallo
176,Gans::N,гусь,oca
177,Gans::N,гусь,ganso
178,Adler::N,арол,águila
179,Ente::N,качка,pato
180,Eule::N,сава,lechuza
181,Kranich::N,жораў,grulla
182,Kranich::N,журавель,grulla
183,Krähe::N,варона,corneja
184,Kuckuck::N,зязюля,cuco
185,Schwan::N,лебедзь,cisne
186,Fisch::N,рыба,pez
187,Barsch::N,акунь,perca
188,Hecht::N,шчупак,lucio
189,Schlange[Tier]::N,змяя,serpiente
190,Wurm::N,чарвяк,gusano
191,Spinne::N,павук,araña
192,Ameise::N,мурашка,hormiga
193,Laus::N,вош,piojo
194,Mücke::N,камар,mosquito
195,Fliege::N,муха,mosca
196,Schmetterling::N,матыль,mariposa
197,Beere::N,ягада,baya
198,Apfel::N,яблык,manzana
199,Pilz::N,грыб,seta
200,Pilz::N,грыб,hongo
201,Zwiebel::N,цыбуля,cebolla
202,Saat::N,семя,siembra
203,Korn::N,зерне,grano
204,Heu::N,сена,heno
205,Schale::N,шалупінне,cáscara
206,Grube::N,яма,foso
207,Falle::N,пастка,trampa
208,Schlinge::N,сіло,lazo
209,Spur::N,след,huella
210,Asche::N,попел,ceniza
211,Dreck::N,бруд,suciedad
212,Eisen::N,жалеза,hierro
213,Gold::N,золата,oro
214,Silber::N,сребра,plata
215,Kohle::N,вугаль,carbón
216,Glas::N,шкло,vidrio
217,Glas::N,шкло,cristal
218,Lehm::N,гліна,barro
219,Sand::N,пясок,arena
220,Mensch::N,чалавек,hombre
221,Mensch::N,чалавек,ser humano
222,Mann::N,мужчына,hombre
223,Frau::N,жанчына,mujer
224,Kind::N,дзіця,niño
225,Junge::N,хлопчык,chico
226,Junge::N,хлопчык,muchacho
227,Mädchen::N,дзяўчынка,chica
228,Mädchen::N,дзяўчынка,muchacha
229,Familie::N,сямʼя,familia
230,Großvater::N,дзядуля,abuelo
231,Großmutter::N,бабуля,abuela
232,Eltern::N,бацькі,padres
233,Vater::N,бацька,padre
234,Mutter::N,маці,madre
235,Sohn::N,сын,hijo
236,Tochter::N,дачка,hija
237,Bruder::N,брат,hermano
238,Schwester::N,сястра,hermana
239,Onkel::N,дзядзька,tío
240,Tante::N,цётка,tía
241,Ehemann::N,муж,esposo
242,Ehefrau::N,жонка,esposa
243,Freude::N,радасць,placer
244,Freude::N,радасць,alegría
245,Gelächter::N,смех,risa
246,Gelächter::N,смех,carcajada
247,Glück::N,шчасце,felicidad
248,Kummer::N,гора,pena
249,Wunsch::N,жаданне,deseo
250,Lust::N,цяга,ganas
251,Geist::N,дух,mente
252,Geist::N,дух,espíritu
253,Gedanke::N,думка,idea
254,Gedanke::N,думка,pensamiento
255,Gedächtnis::N,памяць,memoria
256,Verstand::N,розум,razón
257,Verstand::N,розум,entendimiento
258,Sinn::N,сэнс,sentido
259,Sinn::N,сэнс,significado
260,Grund::N,зачэпка,causa
261,Wahrheit::N,праўда,verdad
262,Gespräch::N,размова,conversación
263,Märchen::N,казка,cuento
264,Erzählung::N,расказ,cuento
265,Erzählung::N,расказ,narración
266,Erzählung::N,апавяданне,cuento
267,Erzählung::N,апавяданне,narración
268,Nachricht::N,вестка,mensaje
269,Nachricht::N,паведамленне,mensaje
270,Neuigkeit::N,навіна,noticia
271,Name::N,імя,nombre
272,Rätsel::N,загадка,acertijo
273,Rätsel::N,загадка,adivinanza
274,Rede::N,прамова,discurso
275,Sprache::N,мова,lengua
276,Stimme::N,голас,voz
277,Wort::N,слова,palabra
278,Zeichen::N,знак,señal
279,Ruf::N,кліч,llamada
280,Lärm::N,шум,ruido
281,Lärm::N,шум,barullo
282,Laut::N,гук,sonido
283,Ton::N,гучанне,tono
284,Lied::N,песня,canción
285,Ruhe::N,спакой,calma
286,Ruhe::N,спакой,silencio
287,Leute::N,людзі,gente
288,Volk::N,народ,pueblo
289,Arbeit::N,праца,trabajo
290,Arbeit::N,работа,trabajo
291,Gast::N,госць,huésped
292,Gast::N,госць,invitado
293,Geschenk::N,падарунак,regalo
294,Spiel::N,гульня,juego
295,Gesellschaft::N,таварыства,compañía
296,Hilfe::N,дапамога,ayuda
297,Hilfe::N,дапамога,socorro
298,Freund::N,друг,amigo
299,Freund::N,сябар,amigo
300,Kamerad::N,прыяцель,camarada
301,Kamerad::N,прыяцель,compañero
302,Angelegenheit::N,справа,asunto
303,Anzahl::N,колькасць,cantidad
304,Art::N,від,tipo
305,Art::N,від,clase
306,Stück::N,кусок,pieza
307,Stück::N,кавалак,pieza
308,Teil::N,частка,parte
309,Hälfte::N,палова,mitad
310,Hälfte::N,палавіна,mitad
311,Kreis::N,круг,círculo
312,Kreuz::N,крыж,cruz
313,Linie::N,лінія,línea
314,Strich::N,рыса,raya
315,Strich::N,рыса,trazo
316,Abstand::N,прамежак,distancia
317,Entfernung::N,адлегласць,distancia
318,Gegend::N,мясцовасць,región
319,Gegend::N,мясцовасць,comarca
320,Platz::N,месца,espacio
321,Ort::N,месца,sitio
322,Seite::N,бок,lado
323,Seite::N,бок,costado
324,Mitte::N,сярэдзіна,medio
325,Mitte::N,сярэдзіна,centro
326,Gegenstand::N,прадмет,objeto
327,Sache::N,рэч,cosa
328,Rand::N,край,borde
329,Kante::N,руб,borde
330,Kante::N,кант,borde
331,Ecke::N,вугал,esquina
332,Spitze::N,кончык,punta
333,Ende::N,канец,cabo
334,Ende::N,канец,extremo
335,Loch::N,дзірка,agujero
336,Loch::N,дзірка,abertura
337,Winkel::N,вугал,ángulo
338,Muster::N,узор,dibujo
339,Größe::N,памер,tamaño
340,Länge::N,даўжыня,longitud
341,Höhe::N,вышыня,altura
342,Höhe::N,вышыня,altitud
343,Gewicht::N,вага,peso
344,Menge::N,колькасць,cantidad
345,Haufen::N,куча,montón
346,Reihe::N,рад,fila
347,Boot::N,лодка,bote
348,Boot::N,лодка,barca
349,Ruder::N,вясло,remo
350,Schlitten::N,сані,trineo
351,Ski::N,лыжа,esquí
352,Lagerfeuer::N,вогнішча,hoguera
353,Last::N,цяжар,carga
354,Gang::N,ход,marcha
355,Schritt::N,шаг,paso
356,Schritt::N,крок,paso
357,Norden::N,поўнач,norte
358,Süden::N,поўдзень,sur
359,Westen::N,захад,oeste
360,Osten::N,усход,este
361,Holz::N,дрэва,madera
362,Holz::N,драўніна,madera
363,Brett::N,дошка,tabla
364,Platte::N,пліта,placa
365,Platte::N,пліта,plancha
366,Stütze::N,падпорка,sostén
367,Stütze::N,падпорка,soporte
368,Stange::N,жэрдка,vara
369,Stange::N,жэрдка,percha
370,Stock::N,палка,palo
371,Stock::N,палка,bastón
372,Stab::N,шост,vara
373,Stab::N,шост,bastón
374,Rohr::N,труба,tubo
375,Haus::N,дом,casa
376,Heim::N,дом,hogar
377,Heim::N,хата,hogar
378,Ofen::N,печ,estufa
379,Fußboden::N,падлога,suelo
380,Tisch::N,стол,mesa
381,Stuhl::N,стул,silla
382,Stuhl::N,крэсла,silla
383,Wiege::N,калыска,cuna
384,Bett::N,ложак,cama
385,Bett::N,пасцель,cama
386,Regal::N,паліца,estantería
387,Kiste::N,скрынка,caja
388,Fenster::N,акно,ventana
389,Tür::N,дзверы,puerta
390,Tor::N,вароты,puerta
391,Zaun::N,агароджа,valla
392,Zaun::N,агароджа,cercado
393,Dach::N,дах,techo
394,Dach::N,дах,tejado
395,Leiter::N,лесвіца,escalera
396,Besen::N,мятла,escoba
397,Spaten::N,лапата,pala
398,Spaten::N,жалязняк,pala
399,Schaufel::N,шуфлік,pala
400,Schaufel::N,шуфлік,paleta
401,Schaufel::N,лапатка,pala
402,Schaufel::N,лапатка,paleta
403,Gabel::N,відэлец,tenedor
404,Löffel::N,лыжка,cuchara
405,Messer::N,нож,cuchillo
406,Nagel::N,цвік,clavo
407,Netz::N,сетка,red
408,Haken::N,крук,gancho
409,Haken::N,крук,corchete
410,Griff::N,ручка,asa
411,Griff::N,ручка,mango
412,Schloss::N,замок,cerradura
413,Bild::N,карціна,imagen
414,Figur::N,фігура,figura
415,Puppe::N,лялька,muñeca
416,Beutel::N,мяшок,bolsa
417,Bündel::N,вязка,haz
418,Tasche::N,торба,bolso
419,Eimer::N,вядро,cubo
420,Deckel::N,накрыўка,tapa
421,Deckel::N,накрыўка,tapadera
422,Geschirr::N,пасуда,vajilla
423,Sack::N,мех,saco
424,Tasse::N,кубак,taza
425,Topf::N,каструля,olla
426,Topf::N,каструля,marmita
427,Kessel::N,кацёл,caldera
428,Essen::N,ежа,comida
429,Nahrung::N,харч,alimento
430,Speise::N,страва,plato
431,Fleisch::N,мяса,carne
432,Getreide::N,збожжа,cereales
433,Brei::N,каша,puré
434,Brei::N,каша,papilla
435,Brot::N,хлеб,pan
436,Scheibe::N,луста,lonja
437,Scheibe::N,луста,rebanada
438,Scheibe::N,скібка,lonja
439,Scheibe::N,скібка,rebanada
440,Fett::N,тлушч,grasa
441,Butter::N,масла,mantequilla
442,Öl::N,алей,aceite
443,Salz::N,соль,sal
444,Suppe::N,суп,sopa
445,Honig::N,мёд,miel
446,Milch::N,малако,leche
447,Tee::N,чай,té
448,Tee::N,гарбата,té
449,Leder::N,скура,cuero
450,Wolle::N,воўна,lana
451,Stoff::N,тканіна,tela
452,Stoff::N,тканіна,tejido
453,Nadel::N,іголка,aguja
454,Faden::N,нітка,hilo
455,Knopf::N,гузік,botón
456,Knoten::N,вузел,nudo
457,Farbe::N,фарба,pintura
458,Kleidung::N,адзенне,ropa
