,Concept_ID,sl,lbe
0,Auge::N,okó,я
1,Ohr::N,uhó,вичӏи
2,Nase::N,nós,май
3,Mund::N,ústa,кьацӏ
4,Zahn::N,zób,ккарччи
5,Zunge::N,jêzik,маз
6,Lippe::N,ústnica,мурччи
7,Wange::N,líce,чӏав
8,Gesicht::N,oblíčje,лажин
9,Stirn::N,čêlo,ненттабакӏ
10,Haar::N,lás,чӏара
11,Schnurrbart::N,bŕki,ссирссилтту
12,Bart::N,bráda,чӏири
13,Kinn::N,bráda,лунттубакӏ
14,Kiefer[Anatomie]::N,čeljúst,ххинчулул
15,Kehle::N,gŕlo,кьакьари
16,Hals::N,vrát,ссурссу
17,Genick::N,zatílnik,махъабакӏ
18,Kopf::N,gláva,бакӏ
19,Rücken::N,hrbèt,ттиликӏ
20,Bauch::N,trébuh,лякьа
21,Nabel::N,pópek,цӏумуккутӏ
22,Busen::N,nédrja,ккукку
23,Brust::N,pŕsi,хъазам
24,Schulter::N,ráma,хъачӏ
25,Schulter::N,plêče,хъачӏ
26,Arm::N,rôka,ка
27,Ellenbogen::N,komólec,ссюрхъ
28,Hand::N,rôka,бартка
29,Handfläche::N,dlán,хъат
30,Handfläche::N,dlán,битӏянхъ
31,Finger::N,pŕst,кӏисса
32,Fingernagel::N,nóht na rôki,михь
33,Nagel[Anatomie]::N,nóht,михь
34,Zeh::N,pŕst na nôgi,кӏисса
35,Fuß::N,nôga,чӏанччан
36,Ferse::N,pêta,никъа
37,Knie::N,koléno,ник
38,Oberschenkel::N,stêgno,жира
39,Bein::N,nôga,ччан
40,Körper::N,teló,чурх
41,Haut::N,kóža,бурчу
42,Blut::N,krí,оь
43,Ader::N,žíla,тунну
44,Sehne::N,kíta,хьхьа
45,Knochen::N,kóst,ттаркӏ
46,Gehirn::N,možgáni,ня
47,Herz::N,srcé,дакӏ
48,Herz::N,srcé,къюкӏ
49,Magen::N,želódec,лякьа
50,Leber::N,jétra,
51,Atem::N,díh,ссихӏ ласаву
52,Atem::N,díh,ссихӏ бигьаву
53,Hunger::N,glád,ккаши
54,Träne::N,sólza,макь
55,Geschmack::N,okús,тӏин
56,Geschmack::N,okús,тӏааьн
57,Geruch::N,vónj,кьанкь
