,Concept_ID,cs,cv
0,Auge::N,oko,куҫ
1,Ohr::N,ucho,хӑлха
2,Nase::N,nos,сӑмса
3,Mund::N,pusa,ҫӑвар
4,Zahn::N,zub,шӑл
5,Zunge::N,jazyk,чӗлхе
6,Lippe::N,ret,тута
7,Wange::N,tvář,пит ҫӑмарти
8,Gesicht::N,obličej,пит
9,Gesicht::N,obličej,пит-куҫ
10,Stirn::N,čelo,ҫамка
11,Haar::N,vlas,ҫӳҫ
12,Haar::N,vlasy,ҫӳҫ
13,Schnurrbart::N,kníry,усси
14,Bart::N,vousy,сухал
15,Kinn::N,brada,янах
16,Kiefer[Anatomie]::N,čelist,янах
17,Kehle::N,hrdlo,пыр
18,Kehle::N,hrdlo,карланкӑ
19,Hals::N,krk,пыр
20,Genick::N,týl,ӗнсе
21,Kopf::N,hlava,пуҫ
22,Rücken::N,záda,ҫурӑм
23,Rücken::N,hřbet,ҫурӑм
24,Bauch::N,břicho,
25,Nabel::N,pupek,кӑвапа
26,Busen::N,ňadra,кӑкӑр
27,Brust::N,prsa,умӗ
28,Schulter::N,plece,хул пуҫҫи
29,Schulter::N,rameno,хул пуҫҫи
30,Arm::N,ruka,алӑ
31,Ellenbogen::N,loket,чавса
32,Hand::N,ruka,алӑ сыппи
33,Handfläche::N,dlaň,ал лаппи
34,Finger::N,prst,пӳрне
35,Fingernagel::N,nehet,чӗрне
36,Nagel[Anatomie]::N,nehet,чӗрне
37,Zeh::N,prst u nohy,пӳрне
38,Fuß::N,noha,ура лаппи
39,Ferse::N,pata,кӗле
40,Knie::N,koleno,чӗркуҫҫи
41,Oberschenkel::N,stehno,пӗҫӗ
42,Bein::N,noha,ура
43,Körper::N,tělo,ӳт
44,Körper::N,tělo,ӳт-пӳ
45,Haut::N,kůže,тир
46,Blut::N,krev,юн
47,Ader::N,céva,вена
48,Sehne::N,šlacha,шӑнӑр
49,Knochen::N,kost,шӑмӑ
50,Gehirn::N,mozek,миме
51,Herz::N,srdce,чӗре
52,Magen::N,žaludek,хырӑмлӑх
53,Leber::N,játra,пӗвер
54,Atem::N,dech,сывлав
55,Hunger::N,hlad,выҫлӑх
56,Träne::N,slza,куҫҫуль
57,Geschmack::N,vkus,техӗм
58,Geruch::N,vůně,шӑршӑ
59,Geruch::N,zápach,шӑршӑ
60,Schlaf::N,spánek,ыйхӑ
61,Traum::N,sen,тӗлӗк
62,Himmel::N,nebe,пӗлӗт
63,Sonne::N,slunce,хӗвел
64,Mond::N,měsíc,уйӑх
65,Stern::N,hvězda,ҫӑлтӑр
66,Luft::N,vzduch,сывлӑш
67,Wind::N,vítr,ҫил
68,Welle::N,vlna,хум
69,Wasser::N,voda,шыв
70,Wasser::N,voda,шыв-шур
71,Stein::N,kámen,чул
72,Boden::N,půda,тӑпра
73,Erde::N,země,ҫӗр
74,Staub::N,prach,тусан
75,Rauch::N,dým,тӗтӗм
76,Rauch::N,kouř,тӗтӗм
77,Funke::N,jiskra,хӗм
78,Feuer::N,oheň,вут
79,Feuer::N,oheň,ҫулӑм
80,Licht::N,světlo,ҫутӑ
81,Schatten::N,stín,сулхӑн
82,Wetter::N,počasí,ҫанталӑк
83,Nebel::N,mlha,тӗтре
84,Wolke::N,mrak,пӗлӗт
85,Wolke::N,oblak,пӗлӗт
86,Regen::N,déšť,ҫумӑр
87,Schnee::N,sníh,юр
88,Eis::N,led,пӑр
89,Frost::N,mráz,сивӗ
90,Kälte::N,chlad,сивӗ
91,Hitze::N,horko,вӗри
92,Hitze::N,horko,шӑрӑх
93,Raureif::N,jinovatka,пас
94,Regenbogen::N,duha,асамат кӗперӗ
95,Donner::N,hrom,аслати
96,Strömung::N,proudění,юхӑ
97,Tropfen::N,kapka,тумлам
98,Schaum::N,pěna,кӑпӑк
99,Schmutz::N,špína,пылчӑк
100,See::N,jezero,кӳлӗ
101,Sumpf::N,močál,шур
102,Sumpf::N,močál,шурлӑх
103,Sumpf::N,bažina,шур
104,Sumpf::N,bažina,шурлӑх
105,Moor::N,bažina,торфлӑ шурлӑх
106,Moor::N,slatina,торфлӑ шурлӑх
107,Wiese::N,louka,улӑх
108,Wiese::N,louka,ҫаран
109,Wald::N,les,вӑрман
110,Hügel::N,kopec,сӑрт
111,Hügel::N,kopec,тӗмеске
112,Anhöhe::N,pahorek,сӑрт
113,Berg::N,hora,ту
114,Gipfel::N,vrchol,тӳпе
115,Höhle::N,jeskyně,ҫӗр хӑвӑлӗ
116,Abhang::N,svah,тӑвайкки
117,Abhang::N,stráň,тӑвайкки
118,Quelle::N,pramen,ҫӑл куҫ
119,Bach::N,potok,пӗчӗк шыв
120,Fluss::N,řeka,юхан шыв
121,Ufer::N,břeh,ҫыран
122,Küste::N,pobřeží,тинӗс ҫыранӗ
123,Festland::N,souš,тип ҫӗр
124,Festland::N,pevnina,тип ҫӗр
125,Meer::N,moře,тинӗс
126,Bucht::N,záliv,тинӗс кукӑрӗ
127,Bucht::N,zátoka,тинӗс кукӑрӗ
128,Insel::N,ostrov,утрав
129,Blume::N,květina,чечек
130,Gras::N,tráva,курӑк
131,Wurzel::N,kořen,тымар
132,Baum::N,strom,йывӑҫ
133,Stamm::N,kmen,вулӑ
134,Rinde::N,kůra,хуйӑр
135,Ast::N,větev,турат
136,Zweig::N,větev,турат
137,Blatt::N,lupen,ҫулҫӑ
138,Birke::N,bříza,хурӑн
139,Kiefer[Baum]::N,sosna,хыр
140,Kiefer[Baum]::N,borovice,хыр
141,Weide[Baum]::N,vrba,хӑва
142,Tanne::N,jedle,чӑрӑш
143,Horn::N,roh,мӑйрака
144,Feder::N,pero,тӗк
145,Fell::N,srst,ҫӑм
146,Flügel::N,křídlo,ҫунат
147,Klaue::N,dráp,чӗрне
148,Klaue::N,pazneht,чӗрне
149,Kralle::N,dráp,ура
150,Schwanz::N,ocas,хӳре
151,Ei::N,vejce,ҫӑмарта
152,Nest::N,hnízdo,йӑва
153,Bau::N,nora,йӗнӗ
154,Tier::N,zvíře,выльӑх
155,Herde::N,stádo,кӗтӳ
156,Kuh::N,kráva,ӗне
157,Bulle::N,býk,вӑкӑр
158,Pferd::N,kůň,лаша
159,Schaf::N,ovce,сурӑх
160,Schwein::N,vepř,сысна
161,Schwein::N,prase,сысна
162,Hund::N,pes,йытӑ
163,Katze::N,kočka,кушак
164,Bär::N,medvěd,упа
165,Eichhörnchen::N,veverka,пакша
166,Elch::N,los,пӑши
167,Fuchs::N,liška,тилӗ
168,Hase::N,zajíc,куян
169,Hase::N,zajíc,мулкач
170,Maus::N,myš,шӑши
171,Wolf::N,vlk,кашкӑр
172,Vogel::N,pták,кайӑк
173,Vogel::N,pták,вӗҫен кайӑк
174,Schwarm::N,roj,ушкӑн
175,Schwarm::N,hejno,ушкӑн
176,Huhn::N,kuře,чӑх
177,Huhn::N,kuře,чӑхӑ
178,Huhn::N,slepice,чӑх
179,Huhn::N,slepice,чӑхӑ
180,Hahn::N,kohout,автан
181,Gans::N,husa,хур
182,Adler::N,orel,ӑмӑрт кайӑк
183,Ente::N,kachna,кӑвакал
184,Eule::N,sova,тӑмана
185,Kranich::N,jeřáb,тӑрна
186,Krähe::N,vrána,ула курак
187,Kuckuck::N,kukačka,куккук
188,Schwan::N,labuť,акӑш
189,Fisch::N,ryba,пулӑ
190,Barsch::N,okoun,уланкӑ
191,Hecht::N,štika,ҫӑрттан
192,Schlange[Tier]::N,had,ҫӗлен
193,Wurm::N,červ,ӑман
194,Spinne::N,pavouk,эрешмен
195,Ameise::N,mravenec,кӑткӑ
196,Laus::N,veš,пыйтӑ
197,Mücke::N,komár,вӑрӑм туна
198,Fliege::N,moucha,шӑна
199,Schmetterling::N,motýl,лӗпӗш
200,Beere::N,bobule,ҫырла
201,Apfel::N,jablko,улма
202,Apfel::N,jablko,пан улми
203,Pilz::N,houba,кӑмпа
204,Zwiebel::N,cibule,сухан
205,Saat::N,osivo,вӑрӑ
206,Korn::N,zrno,тӗшӗ
207,Korn::N,zrno,пӗрчӗ
208,Heu::N,seno,утӑ
209,Schale::N,slupka,хупӑ
210,Schale::N,skořápka,хупӑ
211,Grube::N,jáma,шӑтӑк
212,Falle::N,past,тапӑ
213,Falle::N,past,капкӑн
214,Falle::N,léčka,тапӑ
215,Falle::N,léčka,капкӑн
216,Schlinge::N,smyčka,йӑлӑ
217,Spur::N,stopa,йӗр
218,Asche::N,popel,кӗл
219,Dreck::N,špína,пылчӑк
220,Eisen::N,železo,тимӗр
221,Gold::N,zlato,ылтӑн
222,Silber::N,stříbro,кӗмӗл
223,Kohle::N,uhlí,кӑмрӑк
224,Glas::N,sklo,кӗленче
225,Lehm::N,jíl,тӑм
226,Lehm::N,hlína,тӑм
227,Sand::N,písek,хӑйӑр
228,Mensch::N,člověk,ҫын
229,Mensch::N,člověk,этем
230,Mann::N,muž,ар
231,Frau::N,žena,хӗрарӑм
232,Kind::N,dítě,ача
233,Junge::N,hoch,ача
234,Junge::N,hoch,ар ҫын ача
235,Junge::N,chlapec,ача
236,Junge::N,chlapec,ар ҫын ача
237,Mädchen::N,děvče,хӗр ача
238,Familie::N,rodina,ҫемье
239,Familie::N,rodina,кил-йыш
240,Großvater::N,děd,кукаҫи
241,Großvater::N,dědeček,кукаҫи
242,Großmutter::N,babička,кукамай
243,Eltern::N,rodiče,аҫа-ама
244,Vater::N,otec,атте
245,Mutter::N,matka,анне
246,Sohn::N,syn,ывӑл
247,Tochter::N,dcera,хӗр
248,Bruder::N,bratr,ар тӑван
249,Schwester::N,sestra,аппа
250,Schwester::N,sestra,йӑмӑк
251,Onkel::N,strýc,мучи
252,Onkel::N,strýc,пичче
253,Tante::N,teta,аппа
254,Ehemann::N,choť,упӑшка
255,Ehemann::N,manžel,упӑшка
256,Ehefrau::N,choť,арӑм
257,Ehefrau::N,manželka,арӑм
258,Freude::N,radost,савӑнӑҫ
259,Freude::N,radost,хаваслӑх
260,Gelächter::N,smích,кулӑ
261,Glück::N,štěstí,телей
262,Glück::N,štěstí,ӑраскал
263,Kummer::N,žal,хурлӑх
264,Kummer::N,trápení,хурлӑх
265,Wunsch::N,přání,ӗмӗт
266,Wunsch::N,přání,кӑмӑл
267,Lust::N,chuť,кӑмӑл
268,Geist::N,duch,чун-чӗм
269,Geist::N,duch,ыр-усал
270,Geist::N,duch,чун хавалӗ
271,Gedanke::N,myšlenka,шухӑш
272,Gedächtnis::N,paměť,ас
273,Verstand::N,rozum,ӑс
274,Verstand::N,rozum,ӑс-тӑн
275,Verstand::N,rozum,ӑс-хакӑл
276,Sinn::N,smysl,тупсӑм
277,Sinn::N,smysl,пӗлтерӗш
278,Grund::N,důvod,сӑлтав
