,Concept_ID,kv,is
1127,tanzen::V,йӧктыны,dansa
1128,sich trennen::V,торьясьны,skiljast
1129,verlassen::V,кольны,yfirgefa
1130,retten::V,мынтны,bjarga
1131,bewachen::V,смекайтны,gæta
1132,bewachen::V,смекайтны,hafa vörð á
1133,schützen::V,дорйыны,vernda
1134,verteidigen::V,дорйыны,verja
1135,sich schlagen::V,тышкасьны,slást
1136,sich schlagen::V,тышкасьны,berjast
1137,schießen::V,лыйны,skjóta
1138,siegen::V,вермыны,sigra
1139,ärgern::V,лӧгӧтны,ergja
1140,ärgern::V,лӧгӧтны,skaprauna
1141,schlagen::V,базнитны,slá
1142,schlagen::V,базнитны,lemja
1143,treten::V,чужьявны,sparka
1144,stechen::V,бытшкыны,stinga
1145,stoßen::V,тапкыны,hrinda
1146,stoßen::V,тойыштны,hrinda
1147,stehlen::V,гусявны,stela
1148,stören::V,костіавны,trufla
1149,belästigen::V,назыляйтны,ónáða
1150,verbergen::V,дзебны,leyna
1151,täuschen::V,бӧбӧтны,gabba
1152,täuschen::V,бӧбӧтны,blekkja
1153,täuschen::V,пӧрьявны,gabba
1154,täuschen::V,пӧрьявны,blekkja
1155,betrügen::V,муклачитны,svíkja
1156,betrügen::V,муклачитны,blekkja
1157,töten::V,вийны,drepa
1158,wohnen::V,овны,búa
1159,arbeiten::V,уджавны,vinna
1160,sammeln::V,ӧктыны,safna
1161,pflücken::V,судзлавны,tína
1162,pflücken::V,судзлавны,reyta
1163,jagen::V,вӧравны,veiða
1164,fischen::V,чериавны,fiska
1165,fassen::V,кутны,veiða
1166,hüten::V,вердны,gæta
1167,hüten::V,вердны,vakta
1168,hüten::V,йирсьӧтны,gæta
1169,hüten::V,йирсьӧтны,vakta
1170,treiben::V,вашӧтны,reka
1171,anbinden::V,кӧртавны,binda við
1172,anbinden::V,кӧртавны,binda fast
1173,füttern::V,вердны,fóðra
1174,melken::V,высьтыны,mjólka
1175,melken::V,чилькӧтны,mjólka
1176,hacken::V,керавны,höggva
1177,gießen::V,киськавны,hella
1178,reifen::V,кисьмыны,þroskast
1179,zubereiten::V,лӧсьӧтны,elda
1180,zubereiten::V,лӧсьӧтны,tilbúa
1181,kochen::V,пуны,sjóða
1182,backen::V,пӧжавны,baka
1183,braten::V,жаритны,steikja
1184,umrühren::V,соравны,hræra í
1185,stricken::V,домавны,prjóna
1186,nähen::V,вурны,sauma
1187,färben::V,краситны,lita
1188,reinigen::V,весӧтны,hreinsa
1189,waschen::V,пеславны,þvo
1190,abwischen::V,чышкыны,þerra
1191,spülen::V,гывьявны,skola
1192,spülen::V,гывьявны,þvo upp
1193,fegen::V,чышкыны,sópa
1194,fegen::V,чышкыны,hreinsa
1195,kehren::V,чышкыны,sópa
1196,baden::V,купайтчыны ,baða sig
1197,sich waschen::V,миссьыны,þvo sér
1198,ausziehen::V,гыжтӧтны,fara úr
1199,ausziehen::V,пӧрччавны,fara úr
1200,anziehen::V,пасьтавны,fara í
1201,sich anziehen::V,пасьтасьны,klæðast
1202,kämmen::V,сынавны,greiða
1203,schmücken::V,баситны,prýða
1204,schmücken::V,баситны,skreyta
1205,sagen::V,висьтавны,segja
1206,sprechen::V,шуны,tala
1207,reden::V,баитны,ræða
1208,sich unterhalten::V,сёрнитны,spjalla
1209,sich unterhalten::V,сёрнитны,ræðast við
1210,fragen::V,юавны,spyrja
1211,bitten::V,корны,biðja
1212,erzählen::V,висьтавны,segja frá
1213,mitteilen::V,висьтавны,tilkynna
1214,nennen::V,нимтны,nefna
1215,rufen::V,китсавны,kalla
1216,rufen::V,корны,kalla
1217,rufen::V,чукӧстны,kalla
1218,prahlen::V,ошшасьны,gorta
1219,übersetzen::V,вуджӧтны,þýða
1220,denken::V,чайтны,hugsa
1221,glauben::V,веритны,trúa
1222,bemerken::V,казявны,taka eftir
1223,erkennen::V,тӧдсавны,þekkja
1224,begreifen::V,вежӧртны,skilja
1225,verstehen::V,кывны,skilja
1226,lernen::V,велӧтчыны,læra
1227,wissen::V,тӧдны,vita
1228,sich erinnern an::V,касьтывны,minnast
1229,vergessen::V,вунӧтны,gleyma
1230,messen::V,меряйтны,mæla
1231,zählen::V,лыддьыны,telja
1232,rechnen::V,лыддьыны,reikna
1233,lesen::V,лыддьӧтны,lesa
1234,zeichnen::V,гижмавны,teikna
1235,schreiben::V,гижны,skrifa
1236,besitzen::V,лоны,hafa
1237,kaufen::V,небны,kaupa
1238,verkaufen::V,вузавны,selja
1239,bezahlen::V,вештыны,borga
1240,zahlen::V,вештыны,borga
1241,ertragen::V,терпитны,þola
1242,Insel::N,,eyja
1243,Menge::N,,magn
1244,Gewalt::N,,ofbeldi
1245,Alter::N,,aldur
1246,richtig::A,,réttur
1247,wahr::A,,sannur
1248,berühmt::A,,frægur
1249,allein::ADV,,einn
1250,allein::ADV,,aleinn
1251,rennen::V,,hlaupa
1252,malen::V,,mála
1253,beherrschen::V,,hafa á valdi sínu
