,Concept_ID,sq,myv
0,Auge::N,sy,сельме
1,Ohr::N,vesh,пиле
2,Nase::N,hundë,судо
3,Mund::N,gojë,курго
4,Zahn::N,dhëmb,пей
5,Zunge::N,gjuhë,кель
6,Lippe::N,buzë,турва
7,Wange::N,faqe,чамабока
8,Wange::N,faqe,чамаумарь
9,Wange::N,mollëz,чамабока
10,Wange::N,mollëz,чамаумарь
11,Gesicht::N,fytyrë,чама
12,Stirn::N,ballë,коня
13,Haar::N,flokë,черь
14,Schnurrbart::N,mustaqe,ус
15,Schnurrbart::N,mustaqe,муюк
16,Bart::N,mjekër,сакал
17,Kinn::N,mjekër,уло
18,Kiefer[Anatomie]::N,nofull,пейпакар
19,Kiefer[Anatomie]::N,nofull,пейловажа
20,Kehle::N,fyt,кирьгапарь
21,Kehle::N,grykë,кирьгапарь
22,Hals::N,qafë,кирьга
23,Genick::N,arrëz,човонь
24,Kopf::N,kokë,пря
25,Rücken::N,kurriz,копорь
26,Bauch::N,bark,пеке
27,Nabel::N,kërthizë,почо
28,Busen::N,gji,поте
29,Brust::N,gjoks,меште
30,Brust::N,kraharor,меште
31,Schulter::N,sup,лавтов
32,Schulter::N,krah,лавтов
33,Arm::N,krah,кедь
34,Ellenbogen::N,bërryl,кенерепакарь
35,Hand::N,dorë,кедь
36,Handfläche::N,pëllëmbë,кедькуншка
37,Handfläche::N,pëllëmbë,кедьлапушка
38,Finger::N,gisht,сур
39,Fingernagel::N,thua,кенже
40,Nagel[Anatomie]::N,thua,кенже
41,Zeh::N,gisht i këmbës,пильге сур
42,Fuß::N,këmbë,пильге
43,Ferse::N,thembër,кочкаря
44,Knie::N,gju,эле
45,Knie::N,gju,эзне
46,Knie::N,gju,кумажа
47,Oberschenkel::N,kofshë,качо
48,Bein::N,këmbë,пильге
49,Körper::N,trup,рунго
50,Haut::N,lëkurë,киське
51,Blut::N,gjak,верь
52,Ader::N,venë,сан
53,Sehne::N,dell,коське сан
54,Knochen::N,asht,пакарь
55,Knochen::N,kockë,пакарь
56,Gehirn::N,tru,удем
57,Herz::N,zemër,седей
58,Magen::N,stomak,пеке
59,Leber::N,mëlçi,максо
60,Atem::N,frymë,лексема
61,Atem::N,frymë,оймень таргсема
62,Hunger::N,uri,вачочи
63,Träne::N,lot,селведь
64,Geschmack::N,shije,тансть
65,Geruch::N,erë,чине
66,Schlaf::N,gjumë,удома
67,Traum::N,ëndërr,он
68,Himmel::N,qiell,менель
69,Sonne::N,diell,чи
70,Mond::N,hënë,ков
71,Stern::N,yll,теште
72,Luft::N,ajër,кошт
73,Wind::N,erë,варма
74,Welle::N,valë,толкун
75,Welle::N,dallgë,толкун
76,Wasser::N,ujë,ведь
77,Stein::N,gur,кев
78,Boden::N,tokë,мода
79,Boden::N,truall,мода
80,Erde::N,dhe,мастор
81,Erde::N,baltë,мастор
82,Staub::N,pluhur,пуль
83,Rauch::N,tym,качамо
84,Funke::N,xixë,сятко
85,Funke::N,shkëndijë,сятко
86,Feuer::N,zjarr,тол
87,Licht::N,dritë,валдо
88,Schatten::N,hije,сулей
89,Schatten::N,hije,сулейкс
90,Wetter::N,mot,ушо
91,Nebel::N,mjegull,сув
92,Wolke::N,re,пель
93,Regen::N,shi,пиземс
94,Schnee::N,borë,лов
95,Eis::N,akull,эй
96,Frost::N,ngricë,кельме
97,Kälte::N,të ftohtë,якшамо
98,Hitze::N,vapë,пси
99,Hitze::N,nxehtësi,пси
100,Raureif::N,cikmë,лекш
101,Regenbogen::N,ylber,пурьгинечирьке
102,Regenbogen::N,ylber,пурьгинеёнкс
103,Donner::N,gjëmim,пурьгине
104,Donner::N,bubullimë,пурьгине
105,Strömung::N,rrymë,чудема
106,Strömung::N,rrymë,чудевкс
107,Tropfen::N,pikë,петнявкс
108,Schaum::N,shkumë,чов
109,Schmutz::N,baltë,рудаз
110,See::N,liqen,эрьке
111,Sumpf::N,batak,чей
112,Moor::N,kënetë,чей
113,Wiese::N,livadh,луга
114,Wald::N,pyll,вирь
115,Hügel::N,kodër,губорь
116,Hügel::N,kodër,пандыне
117,Anhöhe::N,bregore,губорь
118,Anhöhe::N,bregore,пандыне
119,Berg::N,mal,пандо
120,Gipfel::N,kulm,пря
121,Höhle::N,shpellë,пещера
122,Höhle::N,zgafelle,пещера
123,Abhang::N,shpat,пандочама
124,Abhang::N,tatëpjetë,пандочама
125,Quelle::N,krua,ушодкс
126,Quelle::N,burim,ушодкс
127,Bach::N,virua,чудикерькс
128,Fluss::N,lumë,лей
129,Ufer::N,breg,чире
130,Küste::N,anëdet,лейчире
131,Küste::N,bregdet,лейчире
132,Festland::N,kontinent,мода
133,Meer::N,det,моря
134,Bucht::N,gji deti,усия
135,Insel::N,ishull,усия
136,Insel::N,ujdhesë,усия
137,Blume::N,lule,цеця
138,Gras::N,bar,тикше
139,Wurzel::N,rrënjë,юр
140,Wurzel::N,rrënjë,ундокс
141,Baum::N,pemë,чувто
142,Stamm::N,trung,рунго
143,Rinde::N,lëvore,суд
144,Rinde::N,lëvore,керь
145,Ast::N,degë,морго
146,Zweig::N,bisk,тарад
147,Blatt::N,fletë,лопа
148,Blatt::N,gjethe,лопа
149,Birke::N,mështekën,килей
150,Kiefer[Baum]::N,pishë,пиче
151,Weide[Baum]::N,shelg,каль
152,Tanne::N,bredh,куз
153,Horn::N,bri,сюро
154,Feder::N,pupël,толга
155,Fell::N,lëkurë,пона
156,Flügel::N,krah,сёлмо
157,Flügel::N,fletë,сёлмо
158,Klaue::N,kthetër,кенже
159,Kralle::N,thua,кенже
160,Kralle::N,kthetër,кенже
161,Schwanz::N,bisht,пуло
162,Ei::N,vezë,ал
163,Nest::N,fole,пизэ
164,Bau::N,strofkë,варя
165,Bau::N,strofkë,пизе
166,Tier::N,kafshë,ракша
167,Herde::N,kope,стада
168,Herde::N,grigjë,стада
169,Kuh::N,lopë,скал
170,Bulle::N,dem,бука
171,Pferd::N,kalë,лишме
172,Schaf::N,dele,реве
173,Schwein::N,derr,туво
174,Hund::N,qen,пине
175,Hund::N,qen,киска
176,Katze::N,mace,псака
177,Bär::N,ari,овто
178,Eichhörnchen::N,ketër,ур
179,Elch::N,dre brilopatë,сярдо
180,Fuchs::N,dhelpër,ривезь
181,Hase::N,lepur,нумоло
182,Maus::N,mi,чеерь
183,Wolf::N,ujk,верьгиз
