,Concept_ID,mdf,mn
0,Auge::N,сельме,нүд
1,Ohr::N,пиле,чих
2,Nase::N,шалхка,хамар
3,Mund::N,курга,ам
4,Zahn::N,пей,шүд
5,Zunge::N,кяль,хэл
6,Lippe::N,търва́,уруул
7,Wange::N,щёка,хацар
8,Gesicht::N,шама,царай
9,Gesicht::N,шама,нүүр
10,Stirn::N,коня,дух
11,Haar::N,шя́ярь,үс
12,Schnurrbart::N,уса́,дээд сахал
13,Schnurrbart::N,уса́,живэр сахал
14,Bart::N,сакал,сахал
15,Kinn::N,ула,эрүү
16,Kiefer[Anatomie]::N,саласка,эрүү
17,Kehle::N,кълдома,хоолой
18,Kehle::N,кърга́парь,хоолой
19,Hals::N,сялдаз,хүзүү
20,Genick::N,шовонь,шил
21,Genick::N,шовонь,хүзүү
22,Kopf::N,пря,толгой
23,Rücken::N,копорь,ар
24,Rücken::N,копорь,нуруу
25,Bauch::N,пеке,хэвлий
26,Bauch::N,пеке,гэдэс
27,Nabel::N,по́кон,хүйс
28,Busen::N,потя,хөх
29,Brust::N,мяште,цээж
30,Schulter::N,лафту,мөр
31,Schulter::N,лафту,бугалга
32,Arm::N,кядь,гар
33,Ellenbogen::N,кенерьба́карь,тохой
34,Hand::N,кядь,гар
35,Hand::N,кядь,алга
36,Handfläche::N,кядьлапш,алга
37,Finger::N,сур,хуруу
38,Fingernagel::N,кенже,хурууны хумс
39,Nagel[Anatomie]::N,кенже,хумс
40,Zeh::N,пильгосу́р,хуруу
41,Fuß::N,пильге,хөл
42,Fuß::N,пильгелапа,хөл
43,Ferse::N,кочкяря,өсгий
44,Knie::N,эль,өвдөг
45,Knie::N,пълма́нжа,өвдөг
46,Oberschenkel::N,пильгепукша,гуя
47,Bein::N,пильге,хөл
48,Körper::N,ро́нга,бие
49,Körper::N,по́нда,бие
50,Haut::N,киське,арьс
51,Blut::N,вер,цус
52,Ader::N,сан,судас
53,Ader::N,верза́н,судас
54,Sehne::N,коське сан,бүлх
55,Sehne::N,коське сан,шандас
56,Knochen::N,пакарь,яс
57,Gehirn::N,уй,тархи
58,Herz::N,седи,зүрх
59,Magen::N,коткърдазь,ходоод
60,Leber::N,макса,элэг
61,Atem::N,лекома,амьсгаа
62,Atem::N,ваймонь тарксема,амьсгаа
63,Hunger::N,вачеши,өлсгөлөн
64,Träne::N,сельмове́дь,нулимс
65,Geschmack::N,таньф,амт
66,Geruch::N,шине,үнэр
67,Schlaf::N,удома́,нойр
68,Traum::N,он,зүүд
69,Himmel::N,менель,тэнгэр
70,Himmel::N,менель,огторгуй
71,Sonne::N,ши,нар
72,Mond::N,ков,сар
73,Stern::N,тяште,од
74,Luft::N,кожф,агаар
75,Wind::N,варма,салхи
76,Welle::N,тавла,долгио
77,Welle::N,тавла,давалгаа
78,Wasser::N,ведь,ус
79,Stein::N,кев,чулуу
80,Boden::N,мода,хөрс
81,Boden::N,потмакс,хөрс
82,Erde::N,мода,газар
83,Erde::N,мода,шороо
84,Erde::N,мастор,газар
85,Erde::N,мастор,шороо
86,Staub::N,пуль,тоос
87,Rauch::N,качам,утаа
88,Funke::N,ця́тка,оч
89,Feuer::N,тол,гал
90,Licht::N,ва́лда,гэрэл
91,Licht::N,ва́лда,гэгээ
92,Schatten::N,цильф,сүүдэр
93,Wetter::N,уша,тэнгэр
94,Wetter::N,уша,цаг уур
95,Nebel::N,тума́н,будан
96,Wolke::N,ковол,үүл
97,Regen::N,пизем,бороо
98,Schnee::N,лов,цас
99,Eis::N,эй,мөс
100,Frost::N,ке́льме,хүйт
101,Kälte::N,якшама,хүйт
102,Hitze::N,пси,халуун
103,Raureif::N,леш,цан
104,Raureif::N,леш,хяруу
105,Regenbogen::N,а́тямъёнга,солонго
106,Donner::N,атям,тэнгэрийн дуу
107,Strömung::N,шудема́,урсгал
108,Tropfen::N,путькс,дусал
109,Tropfen::N,пътняфкс,дусал
110,Schaum::N,шов,хөөс
111,Schmutz::N,ърда́з,хир
112,Schmutz::N,ърда́з,шавхай
113,See::N,эрьхке,нуур
114,Sumpf::N,шяй,намаг
115,Sumpf::N,шяй,балчиг
