,Concept_ID,bg,kn
0,Auge::N,око,ಕಣ್ಣು
1,Ohr::N,ухо,ಕಿವಿ
2,Nase::N,нос,ಮೂಗು
3,Mund::N,уста,ಬಾಯಿ
4,Zahn::N,зъб,ಹಲ್ಲು
5,Zunge::N,език,ನಾಲಿಗೆ
6,Lippe::N,устна,ತುಟಿ
7,Wange::N,буза,ಗಲ್ಲ
8,Gesicht::N,лице,ಮುಖ
9,Gesicht::N,образ,ಮುಖ
10,Stirn::N,чело,ಹಣೆ
11,Haar::N,коса,ಕೂದಲು
12,Haar::N,косъм,ಕೂದಲು
13,Schnurrbart::N,мустаци,ಮೀಸೆ
14,Bart::N,брада,ಗಡ್ಡ
15,Kinn::N,брада,ಗದ್ದ
16,Kinn::N,брадичка,ಗದ್ದ
17,Kiefer[Anatomie]::N,челюст,ದವಡೆ
18,Kehle::N,гърло,ಗಂಟಲು
19,Hals::N,врат,ಕೊರಳು
20,Genick::N,тил,ಹಿಂಗತ್ತು
21,Kopf::N,глава,ತಲೆ
22,Rücken::N,гръб,ಬೆನ್ನು
23,Bauch::N,корем,ಹೊಟ್ಟೆ
24,Nabel::N,пъп,ಹೊಕ್ಕುಳು
25,Busen::N,бозка,ಸ್ತನ
26,Brust::N,гръд,ಎದೆ
27,Schulter::N,рамо,ಭುಜ
28,Schulter::N,плещи,ಭುಜ
29,Arm::N,ръка,ತೋಳು
30,Ellenbogen::N,лакът,ಮೊಣಕೈ
31,Hand::N,ръка,ಕೈ
32,Hand::N,китка,ಕೈ
33,Handfläche::N,длан,ಅಂಗೈ
34,Finger::N,пръст,ಕೈಬೆರಳು
35,Fingernagel::N,нокът,ಉಗುರು
36,Nagel[Anatomie]::N,нокът,ಉಗುರು
37,Zeh::N,пръст на крак,ಕಾಲ್ಬೆರಳು
38,Fuß::N,крак,ಪಾದ
39,Fuß::N,нога,ಪಾದ
40,Ferse::N,пета,ಹಿಮ್ಮಡಿ
41,Knie::N,коляно,ಮಂಡಿ
42,Oberschenkel::N,бедро,ತೊಡೆ
43,Bein::N,крак,ಕಾಲು
44,Bein::N,нога,ಕಾಲು
45,Körper::N,тяло,ದೇಹ
46,Haut::N,кожа,ಚರ್ಮ
47,Blut::N,кръв,ರಕ್ತ
48,Ader::N,вена,ನರ
49,Ader::N,артерия,ನರ
50,Sehne::N,жила,ನರ
51,Sehne::N,сухожилие,ನರ
52,Knochen::N,кост,ಮೂಳೆ
53,Gehirn::N,мозък,ಮಿದುಳು
54,Herz::N,сърце,ಹೃದಯ
55,Magen::N,стомах,ಉದರ
56,Leber::N,черен дроб,ಯಕೃತ್ತು
57,Atem::N,дишане,ಉಸಿರು
58,Hunger::N,глад,ಹಸಿವು
59,Träne::N,сълза,ಕಣ್ಣೀರು
60,Geschmack::N,вкус,ರುಚಿ
61,Geruch::N,миризма,ವಾಸನೆ
62,Schlaf::N,сън,ನಿದ್ರೆ
63,Traum::N,сън,ಕನಸು
64,Himmel::N,небе,ಬಾನು
65,Sonne::N,слънце,ಸೂರ್ಯ
66,Mond::N,луна,ಚಂದ್ರ
67,Mond::N,месец,ಚಂದ್ರ
68,Stern::N,звезда,ಚುಕ್ಕಿ
69,Luft::N,въздух,ವಾಯು
70,Wind::N,вятър,ಗಾಳಿ
71,Welle::N,вълна,ಅಲೆ
72,Wasser::N,вода,ನೀರು
73,Stein::N,камък,ಕಲ್ಲು
74,Boden::N,земя,ನೆಲ
75,Boden::N,почва,ನೆಲ
76,Erde::N,земя,ಭೂಮಿ
77,Erde::N,почва,ಭೂಮಿ
78,Staub::N,прах,ದೂಳು
79,Rauch::N,дим,ಹೊಗೆ
80,Rauch::N,пушек,ಹೊಗೆ
81,Funke::N,искра,ಕಿಡಿ
