,Concept_ID,ar,uk
0,Auge::N,عين,око
1,Ohr::N,أذن,вухо
2,Nase::N,أنف,ніс
3,Mund::N,فم,рот
4,Zahn::N,سن,зуб
5,Zunge::N,لسان,язик
6,Lippe::N,شفة,губа
7,Wange::N,خد,щока
8,Wange::N,وجنة,щока
9,Gesicht::N,وجه,обличчя
10,Stirn::N,جبين,лоб
11,Haar::N,شعر,волосся
12,Schnurrbart::N,شارب,вуса
13,Bart::N,لحية,борода
14,Kinn::N,ذقن,підборіддя
15,Kiefer[Anatomie]::N,فك,щелепа
16,Kehle::N,حلق,горло
17,Hals::N,عنق,шия
18,Hals::N,رقبة,шия
19,Genick::N,قفا,потилиця
20,Kopf::N,رأس,голова
21,Rücken::N,ظهر,спина
22,Bauch::N,بطن,живіт
23,Nabel::N,سرة,пупок
24,Busen::N,ثدي,груди
25,Brust::N,صدر,груди
26,Schulter::N,كتف,плече
27,Arm::N,ذراع,рука
28,Ellenbogen::N,كوع,лікоть
29,Hand::N,يد,рука
30,Handfläche::N,كف,долоня
31,Finger::N,إصبع,палець
32,Fingernagel::N,ظفر,ніготь
33,Nagel[Anatomie]::N,ظفر,ніготь
34,Zeh::N,إصبع القدم,палець на нозі
35,Fuß::N,قدم,нога
36,Ferse::N,كعب,п’ятка
37,Knie::N,ركبة,коліно
38,Oberschenkel::N,فخذ,стегно
39,Bein::N,ساق,нога
40,Körper::N,جسم,тіло
41,Haut::N,بشرة,шкіра
42,Blut::N,دم,кров
43,Ader::N,عرق,вена
44,Sehne::N,طنب,сухожилля
45,Knochen::N,عظم,кістка
46,Gehirn::N,دماغ,мозок
47,Herz::N,قلب,серце
48,Magen::N,معدة,шлунок
49,Leber::N,كبد,печінка
50,Atem::N,نفس,дихання
51,Hunger::N,جوع,голод
52,Träne::N,دمعة,сльоза
53,Geschmack::N,طعم,смак
54,Geschmack::N,مذاق,смак
55,Geruch::N,رائحة,запах
56,Schlaf::N,نوم,сон
57,Schlaf::N,نوم,сплячка
58,Schlaf::N,منام,сон
59,Schlaf::N,منام,сплячка
60,Traum::N,حلم,сон
61,Himmel::N,سماء,небо
62,Sonne::N,شمس,сонце
63,Mond::N,قمر,місяць
64,Stern::N,نجم,зірка
65,Stern::N,كوكب,зірка
66,Luft::N,هواء,повітря
67,Wind::N,ريح,вітер
68,Welle::N,موجة,хвиля
69,Wasser::N,ماء,вода
70,Stein::N,حجر,камінь
71,Boden::N,تراب,ґрунт
72,Erde::N,أرض,земля
73,Staub::N,غبار,пил
74,Rauch::N,دخان,дим
75,Funke::N,شرارة,іскра
76,Feuer::N,نار,вогонь
77,Licht::N,نور,світло
78,Licht::N,ضوء,світло
79,Schatten::N,ظل,тінь
80,Schatten::N,فيء,тінь
81,Wetter::N,جو,погода
82,Wetter::N,طقس,погода
83,Nebel::N,ضباب,туман
84,Wolke::N,غيمة,хмара
85,Wolke::N,سحابة,хмара
86,Regen::N,مطر,дощ
87,Schnee::N,ثلج,сніг
88,Eis::N,جليد,лід
89,Frost::N,صقيع,мороз
90,Kälte::N,برد,холод
91,Hitze::N,حر,жар
92,Hitze::N,حرارة,жар
93,Raureif::N,صقيع,іній
94,Regenbogen::N,قوس قزح,райдуга
95,Donner::N,رعد,грім
96,Strömung::N,تيار,струмина
97,Tropfen::N,قطرة,крапля
98,Schaum::N,زبد,піна
99,Schaum::N,رغوة,піна
100,Schmutz::N,وسخ,бруд
101,See::N,بحيرة,озеро
102,Sumpf::N,مستنقع,драговина
103,Moor::N,مستنقع,болото
104,Wiese::N,مرج,луг
105,Wiese::N,مرج,лука
