,Concept_ID,sl,lt
0,Auge::N,okó,akis
1,Ohr::N,uhó,ausis
2,Nase::N,nós,nosis
3,Mund::N,ústa,burna
4,Zahn::N,zób,dantis
5,Zunge::N,jêzik,liežuvis
6,Lippe::N,ústnica,lūpa
7,Wange::N,líce,žandas
8,Wange::N,líce,skruostas
9,Gesicht::N,oblíčje,veidas
10,Stirn::N,čêlo,kakta
11,Haar::N,lás,plaukai
12,Schnurrbart::N,bŕki,ūsai
13,Bart::N,bráda,barzda
14,Kinn::N,bráda,smakras
15,Kiefer[Anatomie]::N,čeljúst,žandikaulis
16,Kehle::N,gŕlo,gerklė
17,Hals::N,vrát,kaklas
18,Genick::N,zatílnik,sprandas
19,Kopf::N,gláva,galva
20,Rücken::N,hrbèt,nugara
21,Bauch::N,trébuh,pilvas
22,Nabel::N,pópek,bamba
23,Busen::N,nédrja,krūtinė
24,Brust::N,pŕsi,krūtis
25,Schulter::N,ráma,petys
26,Schulter::N,plêče,petys
27,Arm::N,rôka,ranka
28,Ellenbogen::N,komólec,alkūnė
29,Hand::N,rôka,ranka
30,Hand::N,rôka,plaštaka
31,Handfläche::N,dlán,delnas
32,Handfläche::N,dlán,plaštaka
33,Finger::N,pŕst,pirštas
34,Fingernagel::N,nóht na rôki,nagas
35,Nagel[Anatomie]::N,nóht,nagas
36,Zeh::N,pŕst na nôgi,pirštas
37,Fuß::N,nôga,pėda
38,Ferse::N,pêta,kulnas
39,Knie::N,koléno,kelis
40,Oberschenkel::N,stêgno,kulšis
41,Oberschenkel::N,stêgno,šlaunis
42,Bein::N,nôga,koja
43,Körper::N,teló,kūnas
44,Haut::N,kóža,oda
45,Blut::N,krí,kraujas
46,Ader::N,žíla,kraujagyslė
47,Sehne::N,kíta,sausgyslė
48,Knochen::N,kóst,kaulas
49,Gehirn::N,možgáni,smegenys
50,Herz::N,srcé,širdis
51,Magen::N,želódec,skrandis
52,Leber::N,jétra,kepenys
53,Atem::N,díh,kvapas
54,Hunger::N,glád,badas
55,Hunger::N,glád,alkis
56,Träne::N,sólza,ašara
57,Geschmack::N,okús,skonis
58,Geruch::N,vónj,kvapas
59,Schlaf::N,sèn,miegas
60,Schlaf::N,spánec,miegas
61,Traum::N,sánje,sapnas
62,Himmel::N,nebó,dangus
63,Sonne::N,sónce,saulė
64,Mond::N,lúna,mėnulis
65,Mond::N,mésec,mėnulis
66,Stern::N,zvézda,žvaigždė
67,Luft::N,zràk,oras
68,Wind::N,véter,vėjas
69,Welle::N,vál,banga
70,Welle::N,vál,vilnis
71,Wasser::N,vôda,vanduo
72,Stein::N,kámen,akmuo
73,Boden::N,tlà,žemė
74,Boden::N,tlà,dugnas
75,Erde::N,pŕst,žemė
76,Erde::N,zêmlja,žemė
77,Staub::N,práh,dulkės
78,Rauch::N,dìm,dūmai
79,Funke::N,ískra,kibirkštis
80,Feuer::N,ôgenj,ugnis
81,Licht::N,lúč,šviesa
82,Schatten::N,sénca,paūksmė
83,Wetter::N,vrême,oras
84,Nebel::N,meglà,migla
85,Nebel::N,meglà,rūkas
86,Wolke::N,oblák,debesis
87,Regen::N,dèž,lietus
88,Schnee::N,snég,sniegas
89,Eis::N,léd,ledas
90,Frost::N,zmrzál,šalna
91,Kälte::N,mràz,šaltis
92,Hitze::N,pripéka,karštis
93,Raureif::N,ívje,šerkšnas
