,Concept_ID,el,ab
0,Auge::N,μάτι,ала
1,Auge::N,οφθαλμός,ала
2,Ohr::N,αυτί,алымҳа
3,Nase::N,μύτη,аҧынҵа
4,Mund::N,στόμα,аҧышə
5,Zahn::N,δόντι,ахаҧыц
6,Zunge::N,γλώσσα,абз
7,Lippe::N,χείλος,ақьышə
8,Wange::N,παρειά,аӡамҩа
9,Wange::N,μάγουλο,аӡамҩа
10,Gesicht::N,πρόσωπο,аҿы
11,Stirn::N,μέτωπο,алахь
12,Haar::N,μαλλιά,ахəыц
13,Schnurrbart::N,μουστάκι,аҧаҵа
14,Bart::N,γένια,ажакьа
15,Kinn::N,πιγούνι,ацламкəыгə
16,Kiefer[Anatomie]::N,σαγόνι,ацламҳəа
17,Kehle::N,λαρύγγι,ахəда
18,Hals::N,λαιμός,ахəда
19,Genick::N,σβέρκος,ахəдаџьал
20,Kopf::N,κεφάλι,ахы
21,Rücken::N,ράχη,азқəа
22,Bauch::N,κοιλιά,амгəа
23,Nabel::N,αφαλός,аҷапан
24,Busen::N,στήθος,агəыҧҳəы
25,Brust::N,στήθος,агəышҧы
26,Schulter::N,ώμος,ажəҩахыр
27,Arm::N,χέρι,амахəар
28,Arm::N,μπράτςο,амахəар
29,Ellenbogen::N,αγκώνας,амашьхəылҵ
30,Hand::N,χέρι,анапы
31,Handfläche::N,παλάμη,анапсаргəыҵа
32,Finger::N,δάχτυλο,анацəа
33,Fingernagel::N,νύχι,анапхыц
34,Nagel[Anatomie]::N,νύχι,ашьапхыц
35,Zeh::N,δάχτυλο του ποδιού,ашьацəа
36,Fuß::N,πόδι,ашьапсыргəыҵа
37,Ferse::N,φτέρνα,ашьхəа
38,Knie::N,γόνατο,ашьамхы
39,Oberschenkel::N,μηρός,ауаҭəа
40,Bein::N,πόδι,ашьапы
41,Körper::N,σώμα,ацəеижь
42,Körper::N,κορμί,ацəеижь
43,Haut::N,πετσί,ацəа
44,Blut::N,αίμα,ашьа
45,Ader::N,φλέβα,ада
46,Sehne::N,νεύρο,адаш
47,Sehne::N,τένοντας,адаш
48,Knochen::N,οστό,абаҩ
49,Knochen::N,κόκκαλο,абаҩ
50,Gehirn::N,μυαλό,ахшлыбаҩ
51,Gehirn::N,μυαλό,ахшыбаҩ
52,Gehirn::N,εγκέφαλος,ахшлыбаҩ
53,Gehirn::N,εγκέφαλος,ахшыбаҩ
54,Herz::N,καρδιά,агəы
55,Magen::N,στομάχι,аца
56,Magen::N,στομάχι,ацар
57,Leber::N,ήπαρ,агəаҵəа
58,Leber::N,συκωτί,агəаҵəа
59,Atem::N,αναπνοή,аҧсыҧлагаҩгара
60,Hunger::N,πείνα,амла
61,Träne::N,δάκρυ,алабжыш
62,Geschmack::N,γεύση,агьама
63,Geruch::N,οσμή,афҩы
64,Geruch::N,μυρωδία,афҩы
65,Schlaf::N,ύπνος,ацəа
66,Traum::N,όνειρο,аҧхыӡ
67,Himmel::N,ουρανός,ажəҩан
68,Sonne::N,ήλιος,амра
69,Mond::N,σελήνη,амза
70,Mond::N,φεγγάρι,амза
71,Stern::N,άστρο,аеҵəа
72,Stern::N,αστέρι,аеҵəа
73,Luft::N,αέρας,аҳаир
74,Wind::N,αέρας,аҧша
75,Wind::N,άνεμος,аҧша
76,Welle::N,κύμα,ацəқəырҧа
77,Wasser::N,νερό,аӡы
78,Stein::N,πέτρα,ахаҳə
79,Boden::N,χώμα,адгьыл
80,Erde::N,γη,адгьыл
81,Staub::N,σκόνη,асаба
82,Rauch::N,καπνός,алҩа
83,Funke::N,σπίθα,акəиц
84,Funke::N,σπίθα,ацҧхь
85,Funke::N,σπινθήρας,акəиц
86,Funke::N,σπινθήρας,ацҧхь
87,Feuer::N,φωτιά,амца
88,Licht::N,φως,алашара
89,Schatten::N,σκιά,ашəшьыра
90,Schatten::N,ίσκιος,ашəшьыра
91,Wetter::N,καιρός,амш
92,Nebel::N,ομίχλη,анаҟəа
93,Wolke::N,σύννεφο,аҧсҭҳəа
94,Regen::N,βροχή,ақəа
95,Schnee::N,χιόνι,асы
96,Eis::N,πάγος,аҵаа
97,Frost::N,παγωνία,аҵаа
98,Kälte::N,κρύο,ахьҭа
99,Kälte::N,ψύχος,ахьҭа
100,Hitze::N,ζέστη,ашоура
101,Raureif::N,πάχνη,аҵааҧшқа
102,Regenbogen::N,ουράνιο τόξο,ацəаҟəа
103,Donner::N,βροντή,адыд
104,Strömung::N,ρεύμα,аиасра
105,Strömung::N,ρεύμα,амҩасра
106,Tropfen::N,στάλα,ацəыкəбар
107,Schaum::N,αφρός,ашəах
108,Schmutz::N,βρωμιά,алымт
109,See::N,λίμνη,аӡиа
110,Sumpf::N,βάλτος,аӡмах
111,Moor::N,έλος,
112,Wiese::N,λιβάδι,адəы
113,Wald::N,δάσος,абна
114,Hügel::N,λόφος,ахəы
115,Anhöhe::N,ύψωμα,аҳаракыра
116,Berg::N,όρος,ашьха
117,Berg::N,βουνό,ашьха
118,Gipfel::N,κορυφή,ацəқəа
119,Höhle::N,σπηλιά,аҳаҧы
120,Abhang::N,πλαγιά,анаара
121,Quelle::N,πηγή,аҵҵырҭа
122,Quelle::N,βρύση,аҵҵырҭа
123,Bach::N,ρυάκι,акəараҷҷа
124,Fluss::N,ποτάμι,аӡиас
125,Fluss::N,ποταμός,аӡиас
126,Ufer::N,όχθη,ахықə
127,Küste::N,ακτή,ахықə
128,Küste::N,ακρογιαλιά,ахықə
129,Festland::N,στεριά,абарра
130,Meer::N,θάλασσα,амшын
131,Bucht::N,κόλπος,аӡбжьахала
132,Insel::N,νησί,адгьылбжьаха
133,Insel::N,νήσος,адгьылбжьаха
134,Blume::N,άνθος,ашəҭ
135,Blume::N,λουλούδι,ашəҭ
136,Gras::N,χόρτο,аҳасакьын
137,Gras::N,χορτάρι,аҳасакьын
138,Wurzel::N,ρίζα,адац
139,Baum::N,δέντρο,аҵла
140,Stamm::N,κορμός,ашьапы
141,Rinde::N,φλούδα,ацəа
142,Ast::N,κλαδί,амахə
143,Ast::N,κλαδί,амахəҭа
144,Zweig::N,κλαδί,амахə
145,Zweig::N,κλαδί,амахəҭа
146,Zweig::N,κλάδος,амахə
