,Concept_ID,az,tr
0,Auge::N,göz,göz
1,Ohr::N,qulaq,kulak
2,Nase::N,burun,burun
3,Mund::N,ağız,ağız
4,Zahn::N,diş,diş
5,Zunge::N,dil,dil
6,Lippe::N,dodaq,dudak
7,Wange::N,yanaq,yanak
8,Gesicht::N,üz,yüz
9,Stirn::N,alın,alın
10,Haar::N,saç,saç
11,Schnurrbart::N,bığ,bıyık
12,Bart::N,saqqal,sakal
13,Kinn::N,çənə,çene
14,Kiefer[Anatomie]::N,çənə,çene
15,Kehle::N,boğaz,boğaz
16,Hals::N,boyun,boyun
17,Hals::N,boyun,gerdan
18,Genick::N,ənsə,ense
19,Kopf::N,baş,baş
20,Kopf::N,baş,kafa
21,Rücken::N,bel,arka
22,Bauch::N,qarın,karın
23,Nabel::N,göbək,göbek
24,Busen::N,məmə,koyun
25,Brust::N,döş,göğüs
26,Schulter::N,çiyin,omuz
27,Arm::N,qol,kol
28,Ellenbogen::N,dirsək,dirsek
29,Hand::N,əl,el
30,Handfläche::N,ovuc,avuç
31,Handfläche::N,ovuc,el ayası
32,Finger::N,barmaq,parmak
33,Fingernagel::N,barmaq dırnağı,el tırnağı
34,Nagel[Anatomie]::N,dırnak,tırnak
35,Zeh::N,ayaq barmağı,ayak parmağı
36,Fuß::N,ayaq,ayak
37,Ferse::N,daban,topuk
38,Knie::N,diz,diz
39,Oberschenkel::N,bud,uyluk
40,Bein::N,qıç,bacak
41,Körper::N,əndam,vücut
42,Haut::N,dəri,cilt
43,Blut::N,qan,kan
44,Ader::N,damar,damar
45,Sehne::N,vətər,kiriş
46,Knochen::N,sümük,kemik
47,Gehirn::N,beyin,beyin
48,Herz::N,ürək,kalp
49,Herz::N,ürək,yürek
50,Magen::N,mədə,mide
51,Leber::N,qara ciyər,karaciğer
52,Atem::N,nəfəs,nefes
53,Hunger::N,aclıq,açlık
54,Träne::N,göz yaşı,gözyaşı
55,Geschmack::N,tam,tat
56,Geschmack::N,tam,lezzet
57,Geschmack::N,ləzzət,tat
