,Concept_ID,la,ab
0,Auge::N,oculus,ала
1,Ohr::N,auris,алымҳа
2,Nase::N,nasus,аҧынҵа
3,Mund::N,os,аҧышə
4,Zahn::N,dens,ахаҧыц
5,Zunge::N,lingua,абз
6,Lippe::N,labrum,ақьышə
7,Wange::N,gena,аӡамҩа
8,Gesicht::N,vultus,аҿы
9,Stirn::N,frons,алахь
10,Haar::N,capillus,ахəыц
11,Schnurrbart::N,barba labri superioris,аҧаҵа
12,Bart::N,barba,ажакьа
13,Kinn::N,mentum,ацламкəыгə
14,Kiefer[Anatomie]::N,mala,ацламҳəа
15,Kehle::N,iugulums,ахəда
16,Hals::N,collum,ахəда
17,Genick::N,cervices,ахəдаџьал
18,Kopf::N,caput,ахы
19,Rücken::N,tergum,азқəа
20,Bauch::N,venter,амгəа
21,Nabel::N,umbilicus,аҷапан
22,Busen::N,sinus,агəыҧҳəы
23,Brust::N,pectus,агəышҧы
24,Schulter::N,umerus,ажəҩахыр
25,Arm::N,bracchium,амахəар
26,Ellenbogen::N,cubitum,амашьхəылҵ
27,Hand::N,manus,анапы
28,Handfläche::N,palma,анапсаргəыҵа
29,Finger::N,digitus,анацəа
30,Fingernagel::N,unguiculus,анапхыц
31,Nagel[Anatomie]::N,unguis,ашьапхыц
32,Zeh::N,digitus,ашьацəа
33,Fuß::N,pes,ашьапсыргəыҵа
34,Ferse::N,calx,ашьхəа
35,Knie::N,genu,ашьамхы
36,Oberschenkel::N,femur,ауаҭəа
37,Bein::N,crus,ашьапы
38,Körper::N,corpus,ацəеижь
39,Haut::N,cutis,ацəа
40,Haut::N,pellis,ацəа
41,Blut::N,sanguis,ашьа
42,Ader::N,vena,ада
43,Sehne::N,nervus,адаш
44,Knochen::N,os,абаҩ
45,Gehirn::N,cerebrum,ахшлыбаҩ
46,Gehirn::N,cerebrum,ахшыбаҩ
47,Herz::N,cor,агəы
48,Herz::N,animus,агəы
49,Magen::N,stomachus,аца
50,Magen::N,stomachus,ацар
51,Leber::N,iecur,агəаҵəа
52,Atem::N,spiritus,аҧсыҧлагаҩгара
53,Hunger::N,fames,амла
54,Träne::N,lacrima,алабжыш
55,Geschmack::N,sapor,агьама
56,Geschmack::N,gustus,агьама
57,Geruch::N,odor,афҩы
58,Schlaf::N,somnus,ацəа
59,Traum::N,somnium,аҧхыӡ
60,Himmel::N,caelum,ажəҩан
61,Sonne::N,sol,амра
62,Mond::N,luna,амза
63,Stern::N,sidus,аеҵəа
64,Stern::N,stella,аеҵəа
65,Luft::N,aer,аҳаир
66,Wind::N,ventus,аҧша
67,Welle::N,unda,ацəқəырҧа
68,Wasser::N,aqua,аӡы
69,Stein::N,lapis,ахаҳə
70,Boden::N,solum,адгьыл
71,Erde::N,terra,адгьыл
72,Staub::N,pulvis,асаба
73,Rauch::N,fumus,алҩа
74,Funke::N,scintilla,акəиц
75,Funke::N,scintilla,ацҧхь
76,Feuer::N,ignis,амца
77,Licht::N,lux,алашара
78,Licht::N,lumen,алашара
79,Schatten::N,umbra,ашəшьыра
80,Wetter::N,caelum,амш
81,Wetter::N,tempestas,амш
82,Nebel::N,nebula,анаҟəа
83,Wolke::N,nubes,аҧсҭҳəа
84,Regen::N,imber,ақəа
85,Regen::N,pluvia,ақəа
86,Schnee::N,nix,асы
87,Eis::N,glacies,аҵаа
88,Frost::N,gelu,аҵаа
89,Kälte::N,frigus,ахьҭа
90,Hitze::N,calor,ашоура
91,Hitze::N,aestus,ашоура
92,Raureif::N,pruina,аҵааҧшқа
93,Regenbogen::N,arcus,ацəаҟəа
94,Donner::N,tonitrus,адыд
95,Strömung::N,fluctus,аиасра
96,Strömung::N,fluctus,амҩасра
97,Tropfen::N,gutta,ацəыкəбар
98,Schaum::N,spuma,ашəах
99,Schmutz::N,sordes,алымт
100,Schmutz::N,squalor,алымт
101,See::N,lacus,аӡиа
102,Sumpf::N,palus,аӡмах
103,Moor::N,palus,
104,Wiese::N,pratum,адəы
105,Wald::N,silva,абна
106,Hügel::N,collis,ахəы
107,Anhöhe::N,specula,аҳаракыра
108,Berg::N,mons,ашьха
109,Gipfel::N,vertex,ацəқəа
110,Höhle::N,caverna,аҳаҧы
111,Höhle::N,spelunca,аҳаҧы
112,Abhang::N,declivum,анаара
113,Quelle::N,fons,аҵҵырҭа
114,Bach::N,rivus,акəараҷҷа
115,Fluss::N,flumen,аӡиас
116,Ufer::N,ripa,ахықə
117,Küste::N,litus,ахықə
118,Festland::N,continens,абарра
119,Meer::N,mare,амшын
120,Bucht::N,sinus,аӡбжьахала
121,Insel::N,insula,адгьылбжьаха
122,Blume::N,flos,ашəҭ
123,Gras::N,herba,аҳасакьын
124,Gras::N,gramen,аҳасакьын
125,Wurzel::N,radix,адац
126,Baum::N,arbor,аҵла
127,Stamm::N,truncus,ашьапы
128,Rinde::N,cortex,ацəа
129,Ast::N,ramus,амахə
130,Ast::N,ramus,амахəҭа
131,Zweig::N,ramus,амахə
132,Zweig::N,ramus,амахəҭа
133,Blatt::N,folium,абҕьы
134,Birke::N,betulla,аҵааҵла
135,Kiefer[Baum]::N,pinus,амза
136,Weide[Baum]::N,salix,аҧслыш
137,Tanne::N,abies,аҧсаӡ
138,Horn::N,cornu,атəыҩа
139,Feder::N,penna,ахӡы
140,Fell::N,pellis,ацəа
141,Flügel::N,ala,амҵəыжəа
142,Klaue::N,unguis,ашьапхыц
143,Kralle::N,unguis,
144,Schwanz::N,cauda,аҵыхəа
145,Ei::N,ovum,акəтаӷь
146,Nest::N,nidus,аҭра
