,Concept_ID,ab,no
0,Auge::N,ала,øye
1,Ohr::N,алымҳа,øre
2,Nase::N,аҧынҵа,nese
3,Mund::N,аҧышə,munn
4,Zahn::N,ахаҧыц,tann
5,Zunge::N,абз,tunge
6,Lippe::N,ақьышə,leppe
7,Wange::N,аӡамҩа,kinn
8,Gesicht::N,аҿы,fjes
9,Gesicht::N,аҿы,ansikt
10,Stirn::N,алахь,panne
11,Haar::N,ахəыц,hår
12,Schnurrbart::N,аҧаҵа,bart
13,Bart::N,ажакьа,skjegg
14,Kinn::N,ацламкəыгə,hake
15,Kiefer[Anatomie]::N,ацламҳəа,kjeve
16,Kehle::N,ахəда,strupe
17,Hals::N,ахəда,hals
18,Genick::N,ахəдаџьал,nakke
19,Kopf::N,ахы,hode
20,Rücken::N,азқəа,rygg
21,Bauch::N,амгəа,buk
22,Bauch::N,амгəа,mage
23,Nabel::N,аҷапан,navle
24,Busen::N,агəыҧҳəы,barm
25,Brust::N,агəышҧы,bryst
26,Schulter::N,ажəҩахыр,skulder
27,Arm::N,амахəар,arm
28,Ellenbogen::N,амашьхəылҵ,albue
29,Hand::N,анапы,hånd
30,Handfläche::N,анапсаргəыҵа,håndflate
31,Finger::N,анацəа,finger
32,Fingernagel::N,анапхыц,fingernegl
33,Nagel[Anatomie]::N,ашьапхыц,negl
34,Zeh::N,ашьацəа,tå
35,Fuß::N,ашьапсыргəыҵа,fot
36,Ferse::N,ашьхəа,hæl
37,Knie::N,ашьамхы,kne
38,Oberschenkel::N,ауаҭəа,lår
39,Bein::N,ашьапы,bein
40,Körper::N,ацəеижь,kropp
41,Körper::N,ацəеижь,legeme
42,Haut::N,ацəа,hud
43,Haut::N,ацəа,skinn
44,Blut::N,ашьа,blod
45,Ader::N,ада,åre
46,Sehne::N,адаш,sene
47,Knochen::N,абаҩ,bein
48,Knochen::N,абаҩ,knokkel
49,Gehirn::N,ахшлыбаҩ,hjerne
50,Gehirn::N,ахшыбаҩ,hjerne
51,Herz::N,агəы,hjerte
52,Magen::N,аца,mage
53,Magen::N,ацар,mage
54,Leber::N,агəаҵəа,lever
55,Atem::N,аҧсыҧлагаҩгара,pust
56,Hunger::N,амла,sult
57,Träne::N,алабжыш,tåre
58,Geschmack::N,агьама,smak
59,Geruch::N,афҩы,lukt
60,Schlaf::N,ацəа,søvn
61,Traum::N,аҧхыӡ,drøm
62,Himmel::N,ажəҩан,himmel
63,Sonne::N,амра,sol
64,Mond::N,амза,måne
65,Stern::N,аеҵəа,stjerne
66,Luft::N,аҳаир,luft
67,Wind::N,аҧша,vind
68,Welle::N,ацəқəырҧа,bølge
69,Wasser::N,аӡы,vann
70,Stein::N,ахаҳə,stein
71,Boden::N,адгьыл,bakke
72,Erde::N,адгьыл,jord
73,Staub::N,асаба,støv
74,Rauch::N,алҩа,røyk
75,Funke::N,акəиц,gnist
76,Funke::N,ацҧхь,gnist
77,Feuer::N,амца,ild
78,Licht::N,алашара,lys
79,Schatten::N,ашəшьыра,skygge
80,Wetter::N,амш,vær
81,Nebel::N,анаҟəа,tåke
