,Concept_ID,ce,sah
0,Auge::N,бӏаьрг,харах
1,Ohr::N,лерг,кулгаах
2,Nase::N,мара,мурун
3,Mund::N,бага,айах
4,Zahn::N,церг,тиис
5,Zunge::N,мотт,тыл
6,Lippe::N,балда,уос
7,Wange::N,бесни,иэдэс
8,Gesicht::N,юьхь,сирэй
9,Stirn::N,хьаж,сүүс
10,Haar::N,мас,баттах
11,Schnurrbart::N,мекх,уос бытыга
12,Bart::N,маж,сэҥийэ бытыга
13,Kinn::N,чӏениг,сэҥийэ
14,Kiefer[Anatomie]::N,мочхал,сыҥаах
15,Kehle::N,къамкъарг,тамах
16,Kehle::N,къамкъарг,күөмэй
17,Hals::N,ворта,моой
18,Genick::N,кӏесаркӏаг,кэтэх
19,Kopf::N,корта,бас
20,Rücken::N,букъ,көҕүс
21,Bauch::N,кийра,ис
22,Nabel::N,цӏонга,киин
23,Busen::N,зударийн накха,эмиий
24,Brust::N,накха,түөс
25,Schulter::N,белш,сарын
26,Arm::N,пхьарс,илии
27,Ellenbogen::N,пхьаьрсан гола,тоҕонох
28,Hand::N,куьг,илии
29,Handfläche::N,кераюкъ,ытыс
30,Finger::N,пӏелг,тарбах
31,Fingernagel::N,мӏара,тыҥырах
32,Nagel[Anatomie]::N,мӏара,тыҥырах
33,Zeh::N,кога пӏелг,тарбах
34,Fuß::N,ког,уллуҥах
35,Ferse::N,кӏажа,тилэх
36,Knie::N,гола,тобук
37,Knie::N,гола,дьилбэк
38,Oberschenkel::N,варе,уллук
39,Oberschenkel::N,варе,өттүк
40,Bein::N,ког,атах
41,Körper::N,хӏума,бэйэ
42,Haut::N,чкъор,тирии
43,Blut::N,цӏий,хаан
44,Ader::N,пха,вена
45,Ader::N,пха,күөх_тымыр
46,Sehne::N,хьорзам,иҥиир
47,Knochen::N,даьӏахк,уҥуох
48,Knochen::N,даьӏахк,уҥгуох
49,Gehirn::N,хье,мэйии
50,Herz::N,дог,сүрэх
51,Magen::N,зорх,куртах
52,Leber::N,доӏах,быар
53,Atem::N,садеӏар,тыын
54,Hunger::N,мацалла,аас
55,Träne::N,бӏаьрхи,харах уута
56,Geschmack::N,чам,амтан
57,Geruch::N,хьожа,сыт
58,Schlaf::N,наб,утуйуу
59,Traum::N,гӏан,түүл
60,Himmel::N,стигал,халлаан
