,Concept_ID,kk,uk
0,Auge::N,көз,око
1,Ohr::N,құлақ,вухо
2,Nase::N,мұрын,ніс
3,Mund::N,ауыз,рот
4,Zahn::N,тіс,зуб
5,Zunge::N,тіл,язик
6,Lippe::N,ерін,губа
7,Wange::N,ұрт,щока
8,Gesicht::N,бет-аузы,обличчя
9,Stirn::N,маңдай,лоб
10,Haar::N,қыл,волосся
11,Schnurrbart::N,мұрт,вуса
12,Bart::N,сақал,борода
13,Kinn::N,иек,підборіддя
14,Kiefer[Anatomie]::N,жақ,щелепа
15,Kehle::N,алқым,горло
16,Hals::N,мойын,шия
17,Genick::N,желке,потилиця
18,Kopf::N,кәллә,голова
19,Rücken::N,арқа,спина
20,Bauch::N,қарын,живіт
21,Nabel::N,кіндік,пупок
22,Busen::N,омырау,груди
23,Brust::N,кеуде,груди
24,Schulter::N,иық,плече
25,Arm::N,қол,рука
26,Ellenbogen::N,шынтақ,лікоть
27,Hand::N,қол,рука
28,Handfläche::N,алақан,долоня
29,Finger::N,саусақ,палець
30,Fingernagel::N,тырнақ,ніготь
31,Nagel[Anatomie]::N,тырнақ,ніготь
32,Zeh::N,тырнақ,палець на нозі
33,Zeh::N,тұяқ,палець на нозі
34,Fuß::N,аяқ-басы,нога
35,Ferse::N,өкше,п’ятка
36,Ferse::N,өкшелік,п’ятка
37,Knie::N,тізе,коліно
38,Oberschenkel::N,жамбас,стегно
39,Bein::N,аяқ,нога
40,Körper::N,дене,тіло
41,Haut::N,тері,шкіра
42,Blut::N,қан,кров
43,Ader::N,көктамыр,вена
44,Ader::N,күретамыр,вена
45,Sehne::N,сіңір,сухожилля
46,Knochen::N,жілік,кістка
47,Gehirn::N,ми,мозок
48,Herz::N,жүрек,серце
49,Magen::N,асқазан,шлунок
50,Leber::N,бауыр,печінка
51,Atem::N,леп,дихання
52,Hunger::N,ашаршылық,голод
53,Träne::N,жас,сльоза
54,Geschmack::N,дәм,смак
55,Geschmack::N,татым,смак
56,Geschmack::N,талғам,смак
57,Geruch::N,иіс,запах
58,Schlaf::N,ұйқы,сон
59,Schlaf::N,ұйқы,сплячка
60,Schlaf::N,ұйықтау,сон
61,Schlaf::N,ұйықтау,сплячка
62,Traum::N,түс,сон
63,Himmel::N,аспан,небо
64,Himmel::N,көқ,небо
65,Himmel::N,таңдай,небо
66,Sonne::N,күн,сонце
67,Mond::N,ай,місяць
68,Stern::N,жұлдыз,зірка
69,Luft::N,әуе,повітря
70,Wind::N,жел,вітер
71,Welle::N,толқын,хвиля
72,Wasser::N,су,вода
73,Stein::N,тас,камінь
74,Boden::N,қыртыс,ґрунт
75,Erde::N,топырақ,земля
76,Staub::N,шаң,пил
77,Rauch::N,түтін,дим
78,Funke::N,ұшқын,іскра
79,Feuer::N,алау,вогонь
80,Licht::N,шұғыла,світло
81,Schatten::N,көлеңке,тінь
82,Wetter::N,ауа райы,погода
83,Nebel::N,тұман,туман
84,Wolke::N,бұлт,хмара
85,Regen::N,жаңбыр,дощ
86,Schnee::N,қар,сніг
87,Eis::N,мұз,лід
88,Frost::N,суық,мороз
89,Kälte::N,ызғар,холод
90,Kälte::N,суықтық,холод
91,Hitze::N,аптап,жар
92,Raureif::N,қырау,іній
93,Regenbogen::N,кемпірқосақ,райдуга
94,Donner::N,күн күркіреу,грім
95,Strömung::N,ағын,струмина
96,Tropfen::N,тамшы,крапля
97,Schaum::N,көбік,піна
98,Schmutz::N,кір,бруд
99,See::N,көл,озеро
100,Sumpf::N,саз,драговина
101,Moor::N,саз,болото
102,Wiese::N,шалғын,луг
103,Wiese::N,шалғын,лука
104,Wald::N,орман,ліс
105,Hügel::N,төбе,горб
106,Hügel::N,белес,горб
107,Hügel::N,белес-белес,горб
108,Anhöhe::N,дөң,височина
109,Anhöhe::N,адыр,височина
110,Anhöhe::N,қырат,височина
111,Berg::N,тау,гора
112,Gipfel::N,төбе,вершина
113,Höhle::N,үңгір,печера
114,Abhang::N,бауыр,схил
115,Quelle::N,қайнар,джерело
116,Bach::N,жылға,струмок
117,Fluss::N,өзен,річка
118,Ufer::N,жиек,берег
119,Küste::N,жиегі,узбережжя
120,Küste::N,жағалау,узбережжя
121,Festland::N,құрылық,суша
122,Meer::N,теңіз,море
123,Bucht::N,шығанақ,бухта
124,Bucht::N,шығанақ,затока
125,Insel::N,арал,острів
126,Blume::N,гүл,квітка
127,Gras::N,от,трава
128,Wurzel::N,түбір,корінь
129,Baum::N,ағаш,дерево
130,Baum::N,дарақ,дерево
