,Concept_ID,pl,hr
0,Auge::N,oko,oko
1,Ohr::N,ucho,uho
2,Nase::N,nos,nos
3,Mund::N,usta,usta
4,Zahn::N,ząb,zub
5,Zunge::N,język,jezik
6,Lippe::N,warga,usna
7,Wange::N,policzek,obraz
8,Gesicht::N,twarz,lice
9,Stirn::N,czoło,čelo
10,Haar::N,włos,kosa
11,Haar::N,włosy,kosa
12,Schnurrbart::N,wąsy,brkovi
13,Bart::N,broda,brada
14,Kinn::N,podbródek,brada
15,Kinn::N,podbródek,podbradak
16,Kiefer[Anatomie]::N,czeluść,čeljust
17,Kehle::N,gardło,grlo
18,Hals::N,szyja,vrat
19,Genick::N,kark,zatiljak
20,Kopf::N,głowa,glava
21,Rücken::N,plecy,leđa
22,Rücken::N,plecy,hrbat
23,Rücken::N,grzbiet,leđa
24,Rücken::N,grzbiet,hrbat
25,Bauch::N,brzuch,trbuh
26,Nabel::N,pępek,pupak
27,Busen::N,biust,sisa
28,Busen::N,biust,njedra
29,Brust::N,pierś,prsa
30,Schulter::N,bark,rame
31,Schulter::N,bark,pleći
32,Schulter::N,ramię,rame
33,Schulter::N,ramię,pleći
34,Arm::N,ręka,ruka
35,Arm::N,ramię,ruka
36,Ellenbogen::N,łokieć,lakat
37,Hand::N,dłoń,ruka
38,Handfläche::N,dłoń,dlan
39,Finger::N,palec,prst
40,Fingernagel::N,paznokieć,nokat
41,Nagel[Anatomie]::N,paznokieć,nokat
42,Zeh::N,palec,nozni prst
43,Fuß::N,stopa,noga
44,Fuß::N,stopa,stopalo
45,Ferse::N,pięta,peta
46,Knie::N,kolano,koljeno
47,Oberschenkel::N,udo,bedro
48,Bein::N,noga,noga
49,Körper::N,ciało,tijelo
50,Haut::N,skóra,put
51,Haut::N,skóra,koža
52,Blut::N,krew,krv
53,Ader::N,żyła,žila
54,Sehne::N,ścięgno,tetiva
55,Knochen::N,kość,kost
56,Gehirn::N,mózg,
57,Herz::N,serce,srce
58,Magen::N,żołądek,stomak
59,Magen::N,żołądek,želudac
60,Leber::N,wątroba,jetra
61,Atem::N,dech,dah
62,Atem::N,oddech,dah
63,Hunger::N,głód,glad
64,Träne::N,łza,suza
65,Geschmack::N,smak,ukus
66,Geruch::N,woń,njuh
