,Concept_ID,et,ta
0,Auge::N,silm,கண்
1,Ohr::N,kõrv,காது
2,Nase::N,nina,மூக்கு
3,Mund::N,suu,வாய்
4,Zahn::N,hammas,பல்
5,Zunge::N,keel,நாக்கு
6,Lippe::N,huul,உதடு
7,Wange::N,põsk,கன்னம்
8,Gesicht::N,nägu,முகம்
9,Stirn::N,otsmik,முன்னெற்றி
10,Haar::N,juus,முடி
11,Schnurrbart::N,vurrud,மீசை
12,Schnurrbart::N,vuntsid,மீசை
13,Bart::N,habe,தாடி
14,Kinn::N,lõug,கீழதாடை
15,Kiefer[Anatomie]::N,lõualuu,தாடை
16,Kehle::N,kõri,தொண்டை
17,Hals::N,kael,கழுத்து
18,Genick::N,kukal,கழுத்து
19,Kopf::N,pea,தலை
20,Rücken::N,selg,முதுகு
21,Bauch::N,kõht,வயிறு
22,Nabel::N,naba,தொப்புள்
23,Busen::N,rind,மார்பகம்
24,Brust::N,rind, மார்பு
25,Schulter::N,õlg,தோள்பட்டை
26,Arm::N,käsivars,கரம்
27,Ellenbogen::N,küünarnukk,முழங்கை
28,Hand::N,käsi,கை
29,Handfläche::N,pihk,உள்ளங்கை
30,Finger::N,sõrm,விரல்
31,Fingernagel::N,küüs,விரல் நகம்
32,Nagel[Anatomie]::N,küüs,நகம்
33,Zeh::N,varvas,கால்விரல்
34,Fuß::N,jalg,கால்
35,Ferse::N,kand,குதிகால்
36,Knie::N,põlv,முழங்கால்
37,Oberschenkel::N,reis,தொடை
38,Bein::N,jalg,கால்
39,Körper::N,ihu,உடல்
40,Körper::N,keha,உடல்
41,Haut::N,nahk,சருமம்
42,Blut::N,veri,இரத்தம்
43,Ader::N,veen,நாளம்
44,Sehne::N,kõõlus,தசைநார்
45,Knochen::N,luu,எலுமபு
46,Gehirn::N,aju,மூனை
47,Herz::N,süda,இதயம
48,Magen::N,magu,வயிறு
49,Leber::N,maks,கல்லீரல்
50,Atem::N,hingeõhk,மூச்சு
51,Atem::N,hingamine,மூச்சு
52,Hunger::N,nälg,பசி
53,Träne::N,pisar,கண்ணீர்
54,Geschmack::N,maitse,நறுமணம்
55,Geruch::N,lõhn,துர்நாற்றம்
56,Schlaf::N,uni,தூக்கம்
57,Traum::N,unenägu,கனவு
58,Himmel::N,taevas,வானம்
59,Sonne::N,päike,சூரியன்
60,Mond::N,kuu,சந்திரன்
61,Stern::N,täht,நட்சத்திரம்
62,Luft::N,õhk,காறறு
63,Wind::N,tuul,காற்று
64,Welle::N,laine,அலை
65,Wasser::N,vesi,நீர்
66,Stein::N,kivi,கல்
67,Boden::N,maa,தரை
68,Boden::N,pinnas,தரை
69,Erde::N,maa,மண்
70,Staub::N,põrm,தூசி
71,Rauch::N,suits,புகை
72,Funke::N,säde,தீப்பொறி
73,Feuer::N,tuli,தீ
74,Licht::N,valgus,வெளிச்சம்
75,Schatten::N,vari,நிழல்
76,Wetter::N,ilm,வானிலை
77,Nebel::N,udu,பனிமூட்டம்
78,Wolke::N,pilv,மேகம்
79,Regen::N,sadu,மழை
80,Schnee::N,lumi,உறைபனி
