,Concept_ID,myv,uz
0,Auge::N,сельме,ko'z
1,Ohr::N,пиле,quloq
2,Nase::N,судо,burun
3,Mund::N,курго,og'iz
4,Zahn::N,пей,tish
5,Zunge::N,кель,til
6,Lippe::N,турва,dudoq
7,Wange::N,чамабока,bet
8,Wange::N,чамаумарь,bet
9,Gesicht::N,чама,yuz
10,Stirn::N,коня,manglay
11,Haar::N,черь,soch
12,Schnurrbart::N,ус,mo'ylov
13,Schnurrbart::N,муюк,mo'ylov
14,Bart::N,сакал,soqol
15,Kinn::N,уло,ängak
16,Kiefer[Anatomie]::N,пейпакар,iyak
17,Kiefer[Anatomie]::N,пейловажа,iyak
18,Kehle::N,кирьгапарь,bo'g'iz
19,Hals::N,кирьга,bo'yin
20,Genick::N,човонь,gardan
21,Kopf::N,пря,bosh
22,Rücken::N,копорь,orqa
23,Bauch::N,пеке,qorin
24,Nabel::N,почо,kindik
25,Busen::N,поте,ämchak
26,Brust::N,меште,ko'krak
27,Schulter::N,лавтов,elka
28,Arm::N,кедь,bilak
29,Ellenbogen::N,кенерепакарь,tirsak
30,Hand::N,кедь,qo'l
31,Handfläche::N,кедькуншка,kaft
32,Handfläche::N,кедьлапушка,kaft
33,Finger::N,сур,barmoq
34,Fingernagel::N,кенже,tirnoq
35,Nagel[Anatomie]::N,кенже,tirnoq
36,Zeh::N,пильге сур,oyoq barmog'i
37,Fuß::N,пильге,oyoq
38,Ferse::N,кочкаря,tovon
39,Knie::N,эле,tiz
40,Knie::N,эзне,tiz
41,Knie::N,кумажа,tiz
42,Oberschenkel::N,качо,son
43,Bein::N,пильге,oyoq
44,Körper::N,рунго,badna
45,Haut::N,киське,teri
46,Blut::N,верь,qon
47,Ader::N,сан,qon tomir
48,Sehne::N,коське сан,tomir
49,Knochen::N,пакарь,suyak
50,Gehirn::N,удем,miya
51,Herz::N,седей,qalb
52,Magen::N,пеке,oshqozon
53,Leber::N,максо,bag'ir
54,Atem::N,лексема,dam
55,Atem::N,оймень таргсема,dam
56,Hunger::N,вачочи,ochlik
57,Träne::N,селведь,yosh
58,Geschmack::N,тансть,tam
59,Geruch::N,чине,jid
60,Schlaf::N,удома,uyqu
61,Traum::N,он,tush
62,Himmel::N,менель,osmon
63,Sonne::N,чи,quyosh
64,Mond::N,ков,oy
65,Stern::N,теште,yulduz
66,Luft::N,кошт,havo
67,Wind::N,варма,el
68,Welle::N,толкун,to'lqin
69,Wasser::N,ведь,suv
70,Stein::N,кев,tosh
71,Boden::N,мода,tuproq
72,Erde::N,мастор,er
73,Staub::N,пуль,chang
74,Rauch::N,качамо,tutun
75,Funke::N,сятко,yalt
76,Feuer::N,тол,o't
77,Licht::N,валдо,yorug'
78,Schatten::N,сулей,soya
79,Schatten::N,сулейкс,soya
80,Wetter::N,ушо,havo
81,Nebel::N,сув,tuman
82,Wolke::N,пель,bulut
83,Regen::N,пиземс,yomg'ir
84,Schnee::N,лов,qor
85,Eis::N,эй,muz
86,Frost::N,кельме,ajoz
87,Kälte::N,якшамо,ajoz
88,Hitze::N,пси,issiq
89,Raureif::N,лекш,qirov
90,Regenbogen::N,пурьгинечирьке,kamalak
91,Regenbogen::N,пурьгинеёнкс,kamalak
92,Donner::N,пурьгине,guldur
93,Strömung::N,чудема,oqim
94,Strömung::N,чудевкс,oqim
95,Tropfen::N,петнявкс,tomchi
96,Schaum::N,чов,ko'pik
