,Concept_ID,bg,vep
0,Auge::N,око,sil'm
1,Ohr::N,ухо,korv
2,Nase::N,нос,nena
3,Mund::N,уста,su
4,Zahn::N,зъб,pi
5,Zahn::N,зъб,hambaz
6,Zunge::N,език,kel'
7,Lippe::N,устна,hul'
8,Wange::N,буза,modpolišk
9,Gesicht::N,лице,mod
10,Gesicht::N,образ,mod
11,Stirn::N,чело,oc
12,Haar::N,коса,tuk
13,Haar::N,коса,hibuz
14,Haar::N,косъм,tuk
15,Haar::N,косъм,hibuz
16,Schnurrbart::N,мустаци,habinod
17,Bart::N,брада,bard
18,Kinn::N,брада,löug
19,Kinn::N,брадичка,löug
20,Kiefer[Anatomie]::N,челюст,hambazlu
21,Kehle::N,гърло,kurk
22,Hals::N,врат,kagl
23,Genick::N,тил,tagarai
24,Kopf::N,глава,pä
25,Rücken::N,гръб,sel'g
26,Bauch::N,корем,vac
27,Bauch::N,корем,koht
28,Nabel::N,пъп,naba
29,Busen::N,бозка,niža
30,Brust::N,гръд,rind
31,Schulter::N,рамо,oug
32,Schulter::N,плещи,oug
33,Arm::N,ръка,käzi
34,Ellenbogen::N,лакът,künambruz
35,Hand::N,ръка,käzi
36,Hand::N,ръка,käzitera
37,Hand::N,китка,käzi
38,Hand::N,китка,käzitera
39,Handfläche::N,длан,kämen
40,Finger::N,пръст,sor'm
41,Fingernagel::N,нокът,künz'
42,Nagel[Anatomie]::N,нокът,künz'
43,Zeh::N,пръст на крак,barbaz
44,Fuß::N,крак,jaug
45,Fuß::N,нога,jaug
46,Ferse::N,пета,kand
47,Knie::N,коляно,komb
48,Knie::N,коляно,pol'v
49,Oberschenkel::N,бедро,riiže
50,Bein::N,крак,jaug
51,Bein::N,нога,jaug
52,Körper::N,тяло,hibj
53,Haut::N,кожа,nahk
54,Blut::N,кръв,čak
55,Blut::N,кръв,veri
56,Ader::N,вена,son'
57,Ader::N,артерия,son'
58,Sehne::N,жила,jände
59,Sehne::N,сухожилие,jände
60,Knochen::N,кост,lu
61,Gehirn::N,мозък,aivod
62,Herz::N,сърце,südäin
63,Magen::N,стомах,südäikoht
64,Leber::N,черен дроб,maks
65,Atem::N,дишане,hengaiduz
66,Hunger::N,глад,näl'g
67,Träne::N,сълза,kündal'
68,Geschmack::N,вкус,magu
69,Geruch::N,миризма,haju
70,Schlaf::N,сън,uni
71,Traum::N,сън,unikuva
72,Himmel::N,небе,taivaz
73,Sonne::N,слънце,päiväine
74,Mond::N,луна,kudmaine
75,Mond::N,месец,kudmaine
76,Stern::N,звезда,tähtaz
77,Luft::N,въздух,il'm
78,Wind::N,вятър,döl
79,Wind::N,вятър,tullei
80,Welle::N,вълна,ald
81,Welle::N,вълна,laineh
82,Wasser::N,вода,vezi
83,Stein::N,камък,kivi
84,Boden::N,земя,ma
85,Boden::N,земя,pohj
86,Boden::N,почва,ma
87,Boden::N,почва,pohj
88,Erde::N,земя,ma
89,Erde::N,почва,ma
90,Staub::N,прах,pölü
91,Rauch::N,дим,savu
92,Rauch::N,пушек,savu
93,Funke::N,искра,kibin
94,Feuer::N,огън,lämoi
95,Licht::N,светлина,vauktuz
96,Schatten::N,сянка,pil'vez
97,Schatten::N,сянка,kuvahaine
98,Wetter::N,време,sä
99,Nebel::N,мъгла,sumeg
100,Wolke::N,облак,pil'v
101,Regen::N,дъжд,vihm
102,Schnee::N,сняг,lumi
103,Eis::N,лед,jä
104,Frost::N,мраз,hala
105,Frost::N,мраз,pakaine
106,Kälte::N,студ,vilu
107,Hitze::N,жега,räk
108,Hitze::N,горещина,räk
109,Raureif::N,скреж,hüde
110,Raureif::N,слана,hüde
111,Regenbogen::N,дъга,jumalanbembel'
112,Donner::N,гръм,juru
113,Donner::N,гръм,jumalanjuru
114,Strömung::N,течение,joksmuz
115,Tropfen::N,капка,tilkuine
116,Schaum::N,пяна,vaht
117,Schmutz::N,кал,redu
118,Schmutz::N,кал,pačak
119,Schmutz::N,мръсотия,redu
120,Schmutz::N,мръсотия,pačak
121,See::N,езеро,järv
122,Sumpf::N,блато,so
123,Moor::N,мочурище,so
124,Wiese::N,ливада,nit
125,Wald::N,гора,mec
126,Hügel::N,рид,kukaz
127,Hügel::N,хълм,kukaz
128,Anhöhe::N,могила,kukaz
129,Anhöhe::N,възвишение,kukaz
130,Berg::N,планина,mägi
131,Gipfel::N,връх,ladv
132,Höhle::N,пещера,mägionduz
133,Abhang::N,склон,paute
134,Abhang::N,стръмнина,paute
135,Quelle::N,извор,lähte
136,Bach::N,поток,oja
137,Fluss::N,река,jogi
138,Ufer::N,бряг,rand
139,Küste::N,бряг,randišt
140,Küste::N,крайбрежие,randišt
141,Festland::N,суша,kuivma
142,Meer::N,море,meri
143,Bucht::N,залив,laht
144,Insel::N,остров,sar'
145,Blume::N,цвете,änik
146,Gras::N,трева,hein
147,Wurzel::N,корен,jur'
148,Baum::N,дърво,pu
149,Stamm::N,стъбло,tüvi
150,Rinde::N,кора,kor'
151,Ast::N,клон,oks
152,Zweig::N,клон,oks
153,Zweig::N,клон,barb
154,Blatt::N,лист,lehtez
155,Birke::N,бреза,koiv
156,Kiefer[Baum]::N,бор,pedai
157,Weide[Baum]::N,върба,raid
158,Tanne::N,ела,kuz'
159,Horn::N,рог,sar'v
160,Feder::N,перо,höuneh
161,Fell::N,кожа,nahk
162,Flügel::N,крило,suug
163,Klaue::N,нокът,künz'
164,Kralle::N,нокът,künz'
165,Schwanz::N,опашка,händ
166,Ei::N,яйце,muna
167,Nest::N,гнездо,peza
168,Bau::N,дупка,uru
169,Tier::N,животно,živat
170,Herde::N,стадо,kogo
171,Kuh::N,крава,lehm
172,Bulle::N,бик,härg
173,Pferd::N,кон,hebo
174,Schaf::N,овца,lambaz
175,Schwein::N,свиня,siga
176,Hund::N,куче,koir
177,Katze::N,котка,kaži
178,Bär::N,мечка,kondi
179,Eichhörnchen::N,катерица,orav
180,Elch::N,лос,hirb'
181,Fuchs::N,лисица,reboi
182,Hase::N,заек,jäniš
183,Maus::N,мишка,hir'
184,Wolf::N,вълк,händikaz
185,Vogel::N,птица,lind
186,Schwarm::N,рой,parveh
187,Schwarm::N,рояк,parveh
188,Huhn::N,кокошка,kana
189,Hahn::N,петел,kukoi
190,Gans::N,гъска,hanh'
191,Adler::N,орел,orl
192,Ente::N,патица,sorz
193,Eule::N,сова,hir'pulo
194,Kranich::N,жерав,kurg
195,Krähe::N,врана,variš
196,Kuckuck::N,кукувица,kägi
197,Schwan::N,лебед,joucen
198,Fisch::N,риба,kala
199,Barsch::N,костур,ahven
200,Hecht::N,щука,haug'
201,Schlange[Tier]::N,змия,kü
202,Schlange[Tier]::N,змия,mado
203,Wurm::N,червей,mado
204,Spinne::N,паяк,hämähouk
205,Ameise::N,мравка,murahaine
206,Laus::N,въшка,täi
207,Mücke::N,комар,säs'k
208,Fliege::N,муха,kärbhaine
209,Schmetterling::N,пеперуда,lipkaine
210,Beere::N,плод,marj
211,Apfel::N,ябълка,jablok
212,Pilz::N,гъба,sen'
213,Pilz::N,гъба,babuk
214,Zwiebel::N,лук,lauk
215,Zwiebel::N,кромид,lauk
216,Saat::N,семе,semned
217,Korn::N,зърно,jüvä
218,Korn::N,зърно,vill'
219,Heu::N,сено,hein
220,Schale::N,кора,kor'
221,Grube::N,яма,kop
222,Grube::N,дупка,kop
223,Falle::N,примка,rida
224,Schlinge::N,клуп,rihm
225,Spur::N,диря,jäl'g
226,Spur::N,следа,jäl'g
227,Asche::N,пепел,tuhk
228,Dreck::N,кал,redu
229,Dreck::N,кал,pačak
230,Eisen::N,желязо,raud
231,Gold::N,злато,kuld
232,Silber::N,сребро,hobed
233,Kohle::N,въглища,hil'
234,Glas::N,стъкло,stökol
235,Lehm::N,глина,savi
236,Sand::N,пясък,lete
237,Mensch::N,човек,mez'
238,Mensch::N,човек,ristit
239,Mann::N,мъж,mez'
240,Frau::N,жена,naine
241,Kind::N,дете,laps'
242,Junge::N,момче,poig
243,Junge::N,момче,prihaine
244,Mädchen::N,момиче,neičukaine
245,Familie::N,фамилия,kanz
246,Familie::N,фамилия,pereh
247,Familie::N,семейство,kanz
248,Familie::N,семейство,pereh
249,Großvater::N,дядо,ded
250,Großmutter::N,баба,bab
251,Eltern::N,родители,vanhembad
252,Eltern::N,родители,kazvatajad
253,Vater::N,баща,tat
254,Mutter::N,майка,mam
255,Sohn::N,син,poig
256,Tochter::N,дъщеря,tütär
257,Bruder::N,брат,veik
258,Bruder::N,брат,vell'
259,Schwester::N,сестра,čiža
260,Schwester::N,сестра,sizar
261,Onkel::N,чичо,däd'
262,Onkel::N,вуйчо,däd'
263,Tante::N,леля,tädi
264,Ehemann::N,съпруг,mužik
265,Ehefrau::N,съпруга,ak
266,Freude::N,радост,ilo
267,Freude::N,радост,ihastuz
268,Gelächter::N,смях,nagr
269,Glück::N,щастие,oza
270,Kummer::N,тъга,gor'a
271,Wunsch::N,желание,taht
272,Lust::N,желание,himo
273,Geist::N,дух,heng
274,Gedanke::N,мисъл,meletuz
275,Gedächtnis::N,памет,mušt
276,Verstand::N,ум,mel'
277,Verstand::N,разум,mel'
278,Sinn::N,смисъл,jüvä
279,Grund::N,причина,sü
280,Wahrheit::N,правда,tozi
281,Gespräch::N,разговор,lodu
282,Gespräch::N,разговор,pagin
283,Märchen::N,приказка,sarn
284,Erzählung::N,разказ,sanutez
285,Nachricht::N,вест,tedotuz
286,Nachricht::N,известие,tedotuz
287,Neuigkeit::N,новина,uzištuz
288,Name::N,име,nimi
289,Rätsel::N,гатанка,ozoitez
290,Rede::N,реч,pagin
291,Rede::N,реч,sanad
292,Rede::N,слово,pagin
293,Rede::N,слово,sanad
294,Sprache::N,език,kel'
295,Stimme::N,глас,än'
296,Wort::N,дума,sana
297,Zeichen::N,знак,znam
298,Ruf::N,зов,kida
299,Ruf::N,зов,kucund
300,Lärm::N,шум,judu
301,Lärm::N,глъчка,judu
302,Laut::N,звук,kulund
303,Ton::N,тон,kulund
304,Lied::N,песен,pajo
305,Ruhe::N,тишина,lebu
306,Ruhe::N,спокойствие,lebu
307,Leute::N,хора,rahvaz
308,Volk::N,народ,rahvaz
309,Arbeit::N,труд,tö
310,Arbeit::N,труд,rad
311,Arbeit::N,работа,tö
312,Arbeit::N,работа,rad
313,Gast::N,гост,adiv
314,Geschenk::N,дар,lahj
315,Geschenk::N,подарък,lahj
316,Spiel::N,игра,vänd
317,Gesellschaft::N,общество,sebr
318,Hilfe::N,помощ,abu
319,Freund::N,приятел,sebranik
320,Kamerad::N,другар,sebranik
321,Angelegenheit::N,работа,azj
322,Anzahl::N,брой,lugu
323,Anzahl::N,количество,lugu
324,Art::N,вид,rod
325,Art::N,вид,rodsugu
326,Stück::N,къс,pala
327,Stück::N,къс,supal
328,Stück::N,парче,pala
329,Stück::N,парче,supal
330,Teil::N,дял,pala
331,Teil::N,част,pala
332,Hälfte::N,половина,pol'
333,Kreis::N,кръг,ümbruz
334,Kreis::N,кръг,kehkruz
335,Kreuz::N,кръст,rist
336,Linie::N,черта,pird
337,Strich::N,щрих,pird
338,Strich::N,черта,pird
339,Abstand::N,дистанция,keskust
340,Abstand::N,разстояние,keskust
341,Entfernung::N,разстояние,matk
342,Gegend::N,местност,taho
343,Platz::N,място,avaruz'
344,Ort::N,място,koht
345,Seite::N,страна,pol'
346,Seite::N,страна,kül'g
347,Mitte::N,среда,kesk
348,Gegenstand::N,предмет,kalu
349,Sache::N,вещ,azj
350,Rand::N,ръб,röun
351,Kante::N,ръб,röun
352,Kante::N,кант,röun
353,Ecke::N,ъгъл,saum
354,Spitze::N,връх,agjaine
355,Spitze::N,острие,agjaine
356,Ende::N,край,agj
357,Loch::N,дупка,reig
358,Winkel::N,кът,čoga
359,Winkel::N,кът,saum
360,Winkel::N,ъгъл,čoga
361,Winkel::N,ъгъл,saum
362,Muster::N,десен,kirjam
363,Muster::N,образец,kirjam
364,Größe::N,големина,suruz'
365,Länge::N,дължина,piduz
366,Höhe::N,висота,korktuz'
367,Höhe::N,височина,korktuz'
368,Gewicht::N,тегло,jügu
369,Gewicht::N,тегло,vedäduz
370,Gewicht::N,тежест,jügu
371,Gewicht::N,тежест,vedäduz
372,Menge::N,количество,äjüz'
373,Haufen::N,куп,kogo
374,Haufen::N,грамада,kogo
375,Reihe::N,ред,rivi
376,Reihe::N,редица,rivi
377,Boot::N,лодка,veneh
378,Ruder::N,весло,air
379,Ruder::N,гребло,air
380,Schlitten::N,шейна,regi
381,Schlitten::N,шейна,regut
382,Ski::N,ски,suks'
383,Lagerfeuer::N,огнище,nodj
384,Lagerfeuer::N,огнище,pažag
385,Last::N,товар,jüguz
386,Gang::N,ход,astund
387,Gang::N,вървеж,astund
388,Schritt::N,стъпка,hašk
389,Norden::N,север,pohjoine
390,Süden::N,юг,suvi
391,Westen::N,запад,päivlaskm
392,Osten::N,изток,päivnouzm
393,Holz::N,дърво,pu
394,Brett::N,дъска,laud
395,Stange::N,прът,arz'
396,Stange::N,върлина,arz'
397,Stock::N,прът,kalu
398,Stock::N,тояга,kalu
399,Stab::N,прът,seibaz
400,Rohr::N,цев,torv
401,Rohr::N,тръба,torv
402,Haus::N,къща,pert'
403,Heim::N,дом,kodi
404,Ofen::N,печка,päč
405,Fußboden::N,под,lava
406,Tisch::N,маса,laud
407,Tisch::N,маса,stal'c
408,Stuhl::N,стол,ištim
409,Wiege::N,люлка,kätte
410,Bett::N,легло,sija
411,Bett::N,легло,magaduzsija
412,Bett::N,креват,sija
413,Bett::N,креват,magaduzsija
414,Regal::N,рафт,palič
415,Regal::N,етажерка,palič
416,Kiste::N,кутия,mülütim
417,Kiste::N,сандък,mülütim
418,Fenster::N,прозорец,ikun
419,Tür::N,врата,uks'
420,Tor::N,врата,verai
421,Zaun::N,ограда,aid
