,Concept_ID,sk,en
0,Auge::N,oko,eye
1,Ohr::N,ucho,ear
2,Nase::N,nos,nose
3,Mund::N,ústa,mouth
4,Zahn::N,zub,tooth
5,Zunge::N,jazyk,tongue
6,Lippe::N,pera,lip
7,Wange::N,líce,cheek
8,Gesicht::N,tvár,face
9,Gesicht::N,obličaj,face
10,Stirn::N,čelo,forehead
11,Haar::N,vlas,hair
12,Schnurrbart::N,fúzy,moustache
13,Bart::N,brada,beard
14,Kinn::N,brada,chin
15,Kiefer[Anatomie]::N,čeľusť,jaw
16,Kehle::N,hrdlo,throat
17,Hals::N,krk,neck
18,Genick::N,väzy,nape
19,Kopf::N,hlava,head
20,Rücken::N,chrbát,back
21,Rücken::N,chrbát,spine
22,Bauch::N,brucho,belly
23,Nabel::N,pupok,navel
24,Busen::N,prsia,bosom
25,Brust::N,hruď,chest
26,Brust::N,hruď,breast
27,Schulter::N,plece,shoulder
28,Arm::N,rameno,arm
29,Ellenbogen::N,lakeť,elbow
30,Hand::N,ruka,hand
31,Handfläche::N,dlaň,palm
32,Finger::N,prst,finger
33,Fingernagel::N,necht,fingernail
34,Nagel[Anatomie]::N,necht,nail
35,Zeh::N,prst na nohe,toe
36,Fuß::N,noha,foot
37,Ferse::N,päta,heel
38,Knie::N,koleno,knee
39,Oberschenkel::N,stehno,thigh
40,Bein::N,noha,leg
41,Körper::N,telo,body
42,Haut::N,koža,skin
43,Blut::N,krv,blood
44,Ader::N,žila,vein
45,Sehne::N,šľacha,sinew
46,Knochen::N,kosť,bone
47,Gehirn::N,mozog,brain
48,Herz::N,srdce,heart
49,Magen::N,žalúdok,stomach
50,Leber::N,pečeň,liver
51,Atem::N,dych,breath
52,Hunger::N,hlad,hunger
53,Träne::N,slza,tear
54,Geschmack::N,chuť,flavour
55,Geschmack::N,chuť,flavor
56,Geruch::N,pach,odour
57,Geruch::N,pach,odor
58,Schlaf::N,spánok,sleep
59,Traum::N,sen,dream
60,Himmel::N,nebo,sky
61,Sonne::N,slnko,sun
62,Mond::N,mesiac,moon
63,Stern::N,hviezda,star
64,Luft::N,vzduch,air
65,Wind::N,vietor,wind
66,Welle::N,vlna,wave
67,Wasser::N,voda,water
68,Stein::N,kameň,stone
69,Boden::N,zem,soil
70,Boden::N,zem,ground
71,Boden::N,pôda,soil
72,Boden::N,pôda,ground
73,Erde::N,zem,earth
74,Staub::N,prach,dust
75,Rauch::N,dym,smoke
76,Funke::N,iskra,spark
77,Feuer::N,oheň,fire
78,Licht::N,svetlo,light
79,Schatten::N,tieň,shadow
80,Wetter::N,počasie,weather
81,Nebel::N,hmla,fog
82,Wolke::N,oblak,cloud
83,Wolke::N,mračno,cloud
84,Regen::N,dážď,rain
85,Schnee::N,sneh,snow
86,Eis::N,ľad,ice
87,Frost::N,mráz,frost
88,Kälte::N,zima,chill
89,Kälte::N,chlad,chill
90,Hitze::N,horúčava,heat
91,Raureif::N,srieň,hoarfrost
92,Raureif::N,inovať,hoarfrost
93,Regenbogen::N,dúha,rainbow
94,Donner::N,hrom,thunder
95,Strömung::N,prúdenie,current
96,Tropfen::N,kvapka,drop
97,Schaum::N,pena,foam
98,Schmutz::N,špina,dirt
99,Schmutz::N,nečistota,dirt
100,See::N,jazero,lake
101,Sumpf::N,bahno,swamp
102,Moor::N,močiar,moor
103,Wiese::N,lúka,meadow
104,Wald::N,les,forest
105,Wald::N,hora,forest
106,Hügel::N,vŕšok,hill
107,Anhöhe::N,výšina,elevation
108,Anhöhe::N,vyvýšenina,elevation
109,Berg::N,hora,mountain
110,Gipfel::N,vrchol,summit
111,Höhle::N,jaskyňa,cave
112,Abhang::N,úbočie,slope
113,Quelle::N,prameň,source
114,Bach::N,potok,brook
115,Fluss::N,rieka,river
116,Ufer::N,breh,shore
117,Küste::N,pobrežie,coast
118,Festland::N,pevnina,land
119,Meer::N,more,sea
120,Bucht::N,záliv,cove
121,Bucht::N,zátoka,cove
122,Insel::N,ostrov,island
123,Blume::N,kvet,flower
124,Blume::N,kvetina,flower
125,Gras::N,tráva,grass
126,Wurzel::N,koreň,root
127,Baum::N,strom,tree
128,Stamm::N,kmeň,trunk
129,Rinde::N,kôra,bark
130,Ast::N,konár,limb
131,Zweig::N,vetva,branch
132,Blatt::N,list,leaf
133,Birke::N,breza,birch
134,Kiefer[Baum]::N,sosna,pine
135,Kiefer[Baum]::N,borovica,pine
136,Weide[Baum]::N,vŕba,willow
137,Tanne::N,jedľa,fir
138,Horn::N,roh,horn
139,Feder::N,pero,feather
140,Fell::N,koža,fur
141,Fell::N,kožušina,fur
142,Flügel::N,krídlo,wing
143,Klaue::N,paznecht,claw
144,Kralle::N,pazúr,claw
145,Schwanz::N,chvost,tail
146,Ei::N,vajce,egg
147,Ei::N,vajíčko,egg
148,Nest::N,hniezdo,nest
149,Bau::N,nora,lair
150,Tier::N,zviera,animal
151,Herde::N,stádo,flock
152,Kuh::N,krava,cow
153,Bulle::N,býk,bull
154,Pferd::N,kôň,horse
155,Schaf::N,ovca,sheep
156,Schwein::N,sviňa,pig
157,Hund::N,pes,dog
158,Katze::N,mačka,cat
159,Bär::N,medveď,bear
160,Eichhörnchen::N,veverička,squirrel
161,Elch::N,los,elk
162,Fuchs::N,líška,fox
163,Hase::N,zajac,hare
164,Maus::N,myš,mouse
165,Wolf::N,vlk,wolf
166,Vogel::N,vták,bird
167,Schwarm::N,roj,swarm
168,Huhn::N,kurča,chicken
169,Huhn::N,sliepka,chicken
170,Hahn::N,kohút,cock
171,Gans::N,hus,goose
172,Adler::N,orol,eagle
173,Ente::N,kačka,duck
174,Ente::N,kačica,duck
175,Eule::N,sova,owl
176,Kranich::N,žeriav,crane
177,Krähe::N,vrana,crow
178,Kuckuck::N,kukučka,cuckoo
179,Schwan::N,labuť,swan
180,Fisch::N,ryba,fish
181,Barsch::N,ostriež,perch
182,Hecht::N,šťuka,pike
183,Schlange[Tier]::N,had,snake
184,Wurm::N,červ,worm
185,Spinne::N,pavúk,spider
186,Ameise::N,mravec,ant
187,Laus::N,voš,louse
188,Mücke::N,komár,midge
189,Fliege::N,mucha,fly
190,Schmetterling::N,motýľ,butterfly
191,Beere::N,bobuľa,berry
192,Apfel::N,jablko,apple
193,Pilz::N,hríb,mushroom
194,Zwiebel::N,cibuľa,onion
195,Saat::N,osivo,seed
196,Korn::N,zrno,grain
197,Heu::N,seno,hay
198,Schale::N,šupa,husk
199,Schale::N,škrupina,husk
200,Grube::N,jama,pit
201,Falle::N,pasca,trap
202,Falle::N,klepec,trap
203,Schlinge::N,slučka,noose
204,Spur::N,stopa,track
205,Asche::N,popol,ashes
206,Dreck::N,kal,filth
207,Dreck::N,blato,filth
208,Eisen::N,železo,iron
209,Gold::N,zlato,gold
210,Silber::N,striebro,silver
211,Kohle::N,uhlie,coal
212,Glas::N,sklo,glass
213,Lehm::N,íl,clay
214,Lehm::N,hlina,clay
215,Sand::N,piesok,sand
216,Mensch::N,človek,human
217,Mann::N,muž,man
218,Mann::N,chlap,man
219,Frau::N,žena,woman
220,Kind::N,dieťa,child
221,Junge::N,chlapec,boy
222,Mädchen::N,dievka,girl
223,Familie::N,rodina,family
