,Concept_ID,sq,az
0,Auge::N,sy,göz
1,Ohr::N,vesh,qulaq
2,Nase::N,hundë,burun
3,Mund::N,gojë,ağız
4,Zahn::N,dhëmb,diş
5,Zunge::N,gjuhë,dil
6,Lippe::N,buzë,dodaq
7,Wange::N,faqe,yanaq
8,Wange::N,mollëz,yanaq
9,Gesicht::N,fytyrë,üz
10,Stirn::N,ballë,alın
11,Haar::N,flokë,saç
12,Schnurrbart::N,mustaqe,bığ
13,Bart::N,mjekër,saqqal
14,Kinn::N,mjekër,çənə
15,Kiefer[Anatomie]::N,nofull,çənə
16,Kehle::N,fyt,boğaz
17,Kehle::N,grykë,boğaz
18,Hals::N,qafë,boyun
19,Genick::N,arrëz,ənsə
20,Kopf::N,kokë,baş
21,Rücken::N,kurriz,bel
22,Bauch::N,bark,qarın
23,Nabel::N,kërthizë,göbək
24,Busen::N,gji,məmə
25,Brust::N,gjoks,döş
26,Brust::N,kraharor,döş
27,Schulter::N,sup,çiyin
28,Schulter::N,krah,çiyin
29,Arm::N,krah,qol
30,Ellenbogen::N,bërryl,dirsək
31,Hand::N,dorë,əl
32,Handfläche::N,pëllëmbë,ovuc
33,Finger::N,gisht,barmaq
34,Fingernagel::N,thua,barmaq dırnağı
35,Nagel[Anatomie]::N,thua,dırnak
36,Zeh::N,gisht i këmbës,ayaq barmağı
37,Fuß::N,këmbë,ayaq
38,Ferse::N,thembër,daban
39,Knie::N,gju,diz
40,Oberschenkel::N,kofshë,bud
41,Bein::N,këmbë,qıç
42,Körper::N,trup,əndam
43,Haut::N,lëkurë,dəri
44,Blut::N,gjak,qan
45,Ader::N,venë,damar
46,Sehne::N,dell,vətər
47,Knochen::N,asht,sümük
48,Knochen::N,kockë,sümük
49,Gehirn::N,tru,beyin
50,Herz::N,zemër,ürək
51,Magen::N,stomak,mədə
52,Leber::N,mëlçi,qara ciyər
53,Atem::N,frymë,nəfəs
54,Hunger::N,uri,aclıq
55,Träne::N,lot,göz yaşı
56,Geschmack::N,shije,tam
57,Geschmack::N,shije,ləzzət
58,Geruch::N,erë,qoxu
59,Schlaf::N,gjumë,yuxu
60,Traum::N,ëndërr,röya
61,Himmel::N,qiell,göy
62,Himmel::N,qiell,səma
63,Sonne::N,diell,günəş
64,Mond::N,hënë,ay
65,Stern::N,yll,ulduz
66,Luft::N,ajër,hava
67,Wind::N,erë,yel
68,Wind::N,erë,külək
69,Welle::N,valë,dalğa
70,Welle::N,dallgë,dalğa
71,Wasser::N,ujë,su
72,Stein::N,gur,daş
73,Boden::N,tokë,yer
74,Boden::N,tokë,zəmin
75,Boden::N,truall,yer
76,Boden::N,truall,zəmin
77,Erde::N,dhe,yer torpaq
78,Erde::N,baltë,yer torpaq
79,Staub::N,pluhur,toz
80,Rauch::N,tym,tüstü
81,Funke::N,xixë,qığılcım
82,Funke::N,shkëndijë,qığılcım
83,Feuer::N,zjarr,od
84,Licht::N,dritë,işıq
85,Schatten::N,hije,kölgə
86,Wetter::N,mot,hava
87,Nebel::N,mjegull,duman
88,Wolke::N,re,bulud
89,Regen::N,shi,yağış
90,Regen::N,shi,yağmur
