,Concept_ID,sk,eu
0,Auge::N,oko,begi
1,Ohr::N,ucho,belarri
2,Nase::N,nos,sudur
3,Mund::N,ústa,aho
4,Zahn::N,zub,hortz
5,Zunge::N,jazyk,mihi
6,Lippe::N,pera,ezpain
7,Wange::N,líce,masail
8,Gesicht::N,tvár,aurpegi
9,Gesicht::N,obličaj,aurpegi
10,Stirn::N,čelo,bekoki
11,Haar::N,vlas,ile
12,Haar::N,vlas,bilo
13,Schnurrbart::N,fúzy,bibote
14,Schnurrbart::N,fúzy,sudurpeko
15,Bart::N,brada,bizar
16,Kinn::N,brada,kokots
17,Kiefer[Anatomie]::N,čeľusť,masailezur
18,Kehle::N,hrdlo,eztarri
19,Hals::N,krk,sama
20,Genick::N,väzy,garondo
21,Kopf::N,hlava,buru
22,Rücken::N,chrbát,bizkar
23,Bauch::N,brucho,sabel
24,Nabel::N,pupok,zilbor
25,Busen::N,prsia,titi
26,Busen::N,prsia,ugatz
27,Brust::N,hruď,bular
28,Schulter::N,plece,besaburu
29,Arm::N,rameno,beso
30,Ellenbogen::N,lakeť,ukondo
31,Hand::N,ruka,esku
32,Handfläche::N,dlaň,ahur
33,Finger::N,prst,hatz
34,Fingernagel::N,necht,azazkal
35,Nagel[Anatomie]::N,necht,azazkal
36,Zeh::N,prst na nohe,behatz
37,Fuß::N,noha,oin
38,Ferse::N,päta,orpo
39,Ferse::N,päta,oinburu
40,Knie::N,koleno,belaun
41,Oberschenkel::N,stehno,izter
42,Bein::N,noha,zango
43,Körper::N,telo,soin
44,Haut::N,koža,azal
45,Blut::N,krv,odol
46,Ader::N,žila,zain
47,Sehne::N,šľacha,gihar-zain
48,Knochen::N,kosť,hezur
49,Gehirn::N,mozog,garun
50,Gehirn::N,mozog,burmuin
51,Herz::N,srdce,bihotz
52,Magen::N,žalúdok,urdail
53,Leber::N,pečeň,gibel
54,Atem::N,dych,hats
55,Atem::N,dych,arnasa
56,Hunger::N,hlad,gose
57,Träne::N,slza,malko
58,Geschmack::N,chuť,dasta
59,Geruch::N,pach,usain
60,Schlaf::N,spánok,lo
61,Traum::N,sen,amets
62,Himmel::N,nebo,zeru
63,Sonne::N,slnko,eguzki
64,Mond::N,mesiac,ilargi
65,Stern::N,hviezda,izar
66,Luft::N,vzduch,aire
67,Wind::N,vietor,haize
68,Welle::N,vlna,uhin
69,Welle::N,vlna,olatu
70,Wasser::N,voda,ur
71,Stein::N,kameň,harri
72,Boden::N,zem,lur
73,Boden::N,zem,zoru
74,Boden::N,pôda,lur
75,Boden::N,pôda,zoru
76,Erde::N,zem,lur
77,Staub::N,prach,hauts
78,Rauch::N,dym,ke
79,Funke::N,iskra,zirta
80,Funke::N,iskra,txinparta
81,Feuer::N,oheň,su
82,Licht::N,svetlo,argi
83,Schatten::N,tieň,itzal
84,Schatten::N,tieň,geriza
85,Wetter::N,počasie,eguraldi
86,Nebel::N,hmla,laino
87,Wolke::N,oblak,hodei
88,Wolke::N,mračno,hodei
89,Regen::N,dážď,euri
90,Schnee::N,sneh,elur
91,Eis::N,ľad,horma
92,Frost::N,mráz,izotzaldi
93,Kälte::N,zima,hotz
94,Kälte::N,chlad,hotz
95,Hitze::N,horúčava,bero
96,Raureif::N,srieň,antzigar
97,Raureif::N,inovať,antzigar
98,Regenbogen::N,dúha,ostadar
99,Regenbogen::N,dúha,ortzadar
100,Donner::N,hrom,ostots
101,Donner::N,hrom,ihurtzuri
102,Strömung::N,prúdenie,laster
103,Tropfen::N,kvapka,xorta
104,Schaum::N,pena,bits
105,Schmutz::N,špina,lohi
106,Schmutz::N,špina,zikin
107,Schmutz::N,nečistota,lohi
108,Schmutz::N,nečistota,zikin
109,See::N,jazero,laku
110,See::N,jazero,aintzira
111,Sumpf::N,bahno,zingira
112,Moor::N,močiar,zohikaztegi
113,Wiese::N,lúka,larre
114,Wiese::N,lúka,belardi
115,Wald::N,les,baso
116,Wald::N,les,oihan
117,Wald::N,hora,baso
118,Wald::N,hora,oihan
119,Hügel::N,vŕšok,muino
120,Hügel::N,vŕšok,pentoka
121,Anhöhe::N,výšina,garai
122,Anhöhe::N,výšina,goragune
123,Anhöhe::N,vyvýšenina,garai
124,Anhöhe::N,vyvýšenina,goragune
125,Berg::N,hora,mendi
126,Gipfel::N,vrchol,gain
127,Gipfel::N,vrchol,tontor
128,Höhle::N,jaskyňa,kobazulo
129,Abhang::N,úbočie,aldapa
130,Quelle::N,prameň,iturri
131,Quelle::N,prameň,iturbegi
132,Bach::N,potok,lats
133,Bach::N,potok,erreka
134,Fluss::N,rieka,ibai
135,Fluss::N,rieka,uhaitz
136,Ufer::N,breh,bazter
137,Küste::N,pobrežie,itsasalde
138,Festland::N,pevnina,lehor
139,Meer::N,more,itsaso
140,Bucht::N,záliv,golko
141,Bucht::N,zátoka,golko
142,Insel::N,ostrov,irla
143,Insel::N,ostrov,uharte
144,Blume::N,kvet,lili
145,Blume::N,kvetina,lili
146,Gras::N,tráva,belar
147,Wurzel::N,koreň,zuztar
148,Wurzel::N,koreň,sustrai
149,Baum::N,strom,zuhaitz
150,Stamm::N,kmeň,enbor
151,Rinde::N,kôra,azal
152,Ast::N,konár,adar
153,Zweig::N,vetva,abar
154,Blatt::N,list,hosto
155,Birke::N,breza,urki
156,Kiefer[Baum]::N,sosna,ler
157,Kiefer[Baum]::N,borovica,ler
158,Weide[Baum]::N,vŕba,zume
159,Weide[Baum]::N,vŕba,sahats
160,Tanne::N,jedľa,izei
161,Horn::N,roh,adar
162,Feder::N,pero,luma
163,Feder::N,pero,hegaki
164,Fell::N,koža,ile
165,Fell::N,koža,larru
166,Fell::N,kožušina,ile
167,Fell::N,kožušina,larru
168,Flügel::N,krídlo,hego
169,Klaue::N,paznecht,atzapar
170,Kralle::N,pazúr,erpe
171,Kralle::N,pazúr,atzapar
172,Schwanz::N,chvost,isats
173,Schwanz::N,chvost,buztan
174,Ei::N,vajce,arrautza
175,Ei::N,vajíčko,arrautza
176,Nest::N,hniezdo,habia
177,Bau::N,nora,ohantze
178,Tier::N,zviera,abere
179,Tier::N,zviera,piztia
180,Herde::N,stádo,saldo
181,Herde::N,stádo,abere talde
182,Kuh::N,krava,behi
183,Bulle::N,býk,zezen
184,Pferd::N,kôň,zaldi
185,Schaf::N,ovca,ardi
186,Schwein::N,sviňa,urde
187,Schwein::N,sviňa,txerri
188,Hund::N,pes,txakur
189,Katze::N,mačka,katu
190,Bär::N,medveď,hartz
191,Eichhörnchen::N,veverička,urtxintxa
192,Elch::N,los,altze
193,Fuchs::N,líška,azeri
194,Hase::N,zajac,erbi
195,Maus::N,myš,sagu
196,Wolf::N,vlk,otso
197,Vogel::N,vták,txori
198,Vogel::N,vták,hegazti
199,Schwarm::N,roj,aldra
200,Huhn::N,kurča,oilo
201,Huhn::N,sliepka,oilo
202,Hahn::N,kohút,oilar
203,Gans::N,hus,antzara
204,Adler::N,orol,arrano
205,Ente::N,kačka,ahate
206,Ente::N,kačica,ahate
207,Eule::N,sova,hontza
208,Kranich::N,žeriav,kurrilo
209,Krähe::N,vrana,bele
210,Kuckuck::N,kukučka,kuku
211,Schwan::N,labuť,beltxarga
212,Fisch::N,ryba,arrain
213,Barsch::N,ostriež,perka
214,Hecht::N,šťuka,lutxo
215,Schlange[Tier]::N,had,suge
216,Wurm::N,červ,har
217,Spinne::N,pavúk,armiarma
218,Ameise::N,mravec,inurri
219,Laus::N,voš,zorri
220,Mücke::N,komár,eltxo
221,Fliege::N,mucha,euli
222,Schmetterling::N,motýľ,pinpirin
223,Schmetterling::N,motýľ,tximeleta
224,Beere::N,bobuľa,baia
225,Apfel::N,jablko,sagar
226,Pilz::N,hríb,onddo
227,Pilz::N,hríb,perretxiko
228,Zwiebel::N,cibuľa,tipula
229,Saat::N,osivo,haziak
230,Korn::N,zrno,ale
231,Korn::N,zrno,pikor
232,Heu::N,seno,belar ondu
233,Schale::N,šupa,azal
234,Schale::N,škrupina,azal
235,Grube::N,jama,hobi
236,Falle::N,pasca,harrapagailu
237,Falle::N,klepec,harrapagailu
238,Schlinge::N,slučka,bilur
239,Schlinge::N,slučka,xedera
240,Spur::N,stopa,lorratz
241,Asche::N,popol,errauts
242,Dreck::N,kal,satsukeria
243,Dreck::N,blato,satsukeria
244,Eisen::N,železo,burdina
245,Gold::N,zlato,urre
246,Gold::N,zlato,urregorri
247,Silber::N,striebro,zilar
248,Silber::N,striebro,urrezuri
249,Kohle::N,uhlie,ikatz
250,Glas::N,sklo,beira
251,Lehm::N,íl,buztin
252,Lehm::N,hlina,buztin
253,Sand::N,piesok,harea
254,Sand::N,piesok,hondar
255,Mensch::N,človek,gizaki
256,Mann::N,muž,gizon
257,Mann::N,chlap,gizon
258,Frau::N,žena,andere
259,Frau::N,žena,emakume
260,Kind::N,dieťa,haur
261,Junge::N,chlapec,mutil
262,Mädchen::N,dievka,neska
263,Familie::N,rodina,sendi
264,Familie::N,rodina,familia
265,Großvater::N,dedo,aitona
266,Großvater::N,dedo,aitatxi
267,Großvater::N,starý otec,aitona
268,Großvater::N,starý otec,aitatxi
269,Großmutter::N,babička,amona
270,Großmutter::N,babička,amatxi
271,Großmutter::N,stará mať,amona
272,Großmutter::N,stará mať,amatxi
273,Eltern::N,rodičia,gurasoak
274,Vater::N,otec,aita
275,Mutter::N,mať,ama
276,Mutter::N,matka,ama
