,Concept_ID,xal,zh
0,Auge::N,нүдн,眼睛
1,Ohr::N,чикн,耳朵
2,Nase::N,хамр,鼻子
3,Mund::N,амн,嘴
4,Zahn::N,шүдн,牙齿
5,Zunge::N,келн,舌头
6,Lippe::N,урл,嘴唇
7,Wange::N,халх,面颊
8,Gesicht::N,нүр,脸
9,Stirn::N,маңна,额
10,Haar::N,үсн,头发
11,Schnurrbart::N,сахл,髭须
12,Bart::N,сахл,胡子
13,Bart::N,өргнә сахл,胡子
14,Kinn::N,өргн,下巴
15,Kiefer[Anatomie]::N,өргн,颌
16,Kehle::N,хол,嗓子
17,Hals::N,күзүн,颈
18,Genick::N,гиҗг,后颈
19,Kopf::N,толһа,头
20,Rücken::N,нурһн,背
21,Bauch::N,гесн,肚子
22,Nabel::N,киисн,肚脐
23,Busen::N,көкн,胸脯
24,Brust::N,чееҗ,胸
25,Schulter::N,ээм,肩膀
26,Arm::N,һар,臂膀
27,Ellenbogen::N,тоха,肘
28,Hand::N,баһлцг,手
29,Handfläche::N,альхн,手掌
30,Finger::N,хурһн,手指
31,Finger::N,һарин хурһн,手指
32,Fingernagel::N,хумсн,指甲
33,Nagel[Anatomie]::N,хумсн,指甲
34,Zeh::N,хурһн,脚趾
35,Zeh::N,көлин хурһн,脚趾
36,Fuß::N,тавг,脚
37,Ferse::N,өскә,后跟
38,Knie::N,өвдг,膝
39,Oberschenkel::N,һуй,大腿
40,Bein::N,көл,腿
41,Körper::N,махмуд,身体
42,Haut::N,арсн,皮肤
43,Blut::N,цусн,血
44,Ader::N,судцн,血管
45,Sehne::N,шүрүсн,腱
46,Knochen::N,ясн,骨
47,Gehirn::N,экн,脑
48,Herz::N,зүркн,心
49,Magen::N,гесн,胃
50,Leber::N,элкн,肝
51,Atem::N,әмсхл,呼吸
52,Hunger::N,харһнлһн,饿
53,Träne::N,нульмсн,眼泪
54,Geschmack::N,амтн,味道
55,Geruch::N,үнр,气味
56,Schlaf::N,нөр,睡眠
57,Traum::N,зүүдн,梦
58,Himmel::N,теңгр,天空
59,Sonne::N,нарн,太阳
60,Mond::N,сар,月亮
61,Stern::N,одн,星
62,Luft::N,аһар,空气
63,Wind::N,салькн,风
