,Concept_ID,vep,nl
0,Auge::N,sil'm,oog
1,Ohr::N,korv,oor
2,Nase::N,nena,neus
3,Mund::N,su,mond
4,Zahn::N,pi,tand
5,Zahn::N,hambaz,tand
6,Zunge::N,kel',tong
7,Lippe::N,hul',lip
8,Wange::N,modpolišk,wang
9,Gesicht::N,mod,gelaat
10,Gesicht::N,mod,gezicht
11,Stirn::N,oc,voorhoofd
12,Haar::N,tuk,haar
13,Haar::N,hibuz,haar
14,Schnurrbart::N,habinod,snor
15,Bart::N,bard,baard
16,Kinn::N,löug,kin
17,Kiefer[Anatomie]::N,hambazlu,kaak
18,Kehle::N,kurk,keel
19,Kehle::N,kurk,strot
20,Hals::N,kagl,hals
21,Genick::N,tagarai,nek
22,Kopf::N,pä,hoofd
23,Rücken::N,sel'g,rug
24,Bauch::N,vac,buik
25,Bauch::N,koht,buik
26,Nabel::N,naba,navel
27,Busen::N,niža,boezem
28,Brust::N,rind,borst
29,Schulter::N,oug,schouder
30,Arm::N,käzi,arm
31,Ellenbogen::N,künambruz,elleboog
32,Hand::N,käzi,hand
33,Hand::N,käzitera,hand
34,Handfläche::N,kämen,handpalm
35,Finger::N,sor'm,vinger
36,Fingernagel::N,künz',nagel
37,Nagel[Anatomie]::N,künz',nagel
38,Zeh::N,barbaz,teen
39,Fuß::N,jaug,voet
40,Ferse::N,kand,hak
41,Ferse::N,kand,hiel
42,Knie::N,komb,knie
43,Knie::N,pol'v,knie
44,Oberschenkel::N,riiže,dij
45,Bein::N,jaug,been
46,Körper::N,hibj,lichaam
47,Haut::N,nahk,huid
48,Blut::N,čak,bloed
49,Blut::N,veri,bloed
50,Ader::N,son',ader
51,Sehne::N,jände,pees
52,Knochen::N,lu,bot
53,Knochen::N,lu,been
54,Knochen::N,lu,knook
55,Gehirn::N,aivod,hersenen
56,Herz::N,südäin,hart
57,Magen::N,südäikoht,maag
58,Leber::N,maks,lever
59,Atem::N,hengaiduz,adem
60,Hunger::N,näl'g,honger
61,Träne::N,kündal',traan
62,Geschmack::N,magu,smaak
63,Geruch::N,haju,geur
64,Schlaf::N,uni,slaap
65,Traum::N,unikuva,droom
66,Himmel::N,taivaz,hemel
67,Sonne::N,päiväine,zon
68,Mond::N,kudmaine,maan
69,Stern::N,tähtaz,ster
70,Luft::N,il'm,lucht
71,Wind::N,döl,wind
72,Wind::N,tullei,wind
73,Welle::N,ald,golf
74,Welle::N,laineh,golf
75,Wasser::N,vezi,water
76,Stein::N,kivi,steen
77,Boden::N,ma,grond
78,Boden::N,pohj,grond
79,Erde::N,ma,aarde
80,Staub::N,pölü,stof
81,Rauch::N,savu,rook
82,Funke::N,kibin,vonk
83,Feuer::N,lämoi,vuur
84,Licht::N,vauktuz,licht
85,Schatten::N,pil'vez,schaduw
86,Schatten::N,kuvahaine,schaduw
87,Wetter::N,sä,weer
88,Nebel::N,sumeg,mist
89,Nebel::N,sumeg,nevel
90,Wolke::N,pil'v,wolk
91,Regen::N,vihm,regen
92,Schnee::N,lumi,sneeuw
93,Eis::N,jä,ijs
94,Frost::N,hala,vorst
95,Frost::N,pakaine,vorst
96,Kälte::N,vilu,kou
97,Kälte::N,vilu,koude
98,Hitze::N,räk,hitte
99,Raureif::N,hüde,rijp
100,Regenbogen::N,jumalanbembel',regenboog
101,Donner::N,juru,donder
102,Donner::N,jumalanjuru,donder
103,Strömung::N,joksmuz,stroming
104,Tropfen::N,tilkuine,druppel
105,Schaum::N,vaht,schuim
106,Schmutz::N,redu,vuil
107,Schmutz::N,pačak,vuil
108,See::N,järv,meer
109,Sumpf::N,so,moeras
110,Moor::N,so,veen
111,Wiese::N,nit,wei
112,Wiese::N,nit,weide
113,Wald::N,mec,bos
114,Hügel::N,kukaz,heuvel
115,Anhöhe::N,kukaz,hoogte
116,Berg::N,mägi,berg
117,Gipfel::N,ladv,top
118,Höhle::N,mägionduz,hol
119,Abhang::N,paute,helling
120,Quelle::N,lähte,bron
121,Bach::N,oja,beek
122,Fluss::N,jogi,stroom
123,Ufer::N,rand,wal
124,Ufer::N,rand,oever
125,Küste::N,randišt,kust
126,Festland::N,kuivma,vasteland
127,Meer::N,meri,zee
128,Bucht::N,laht,baai
129,Bucht::N,laht,inham
130,Insel::N,sar',eiland
131,Blume::N,änik,bloem
132,Gras::N,hein,gras
133,Wurzel::N,jur',wortel
134,Baum::N,pu,boom
135,Stamm::N,tüvi,stam
136,Rinde::N,kor',schors
137,Ast::N,oks,tak
138,Zweig::N,oks,twijg
139,Zweig::N,barb,twijg
140,Blatt::N,lehtez,blad
141,Birke::N,koiv,berk
142,Kiefer[Baum]::N,pedai,den
143,Weide[Baum]::N,raid,wilg
144,Tanne::N,kuz',spar
145,Horn::N,sar'v,hoorn
146,Feder::N,höuneh,veer
147,Feder::N,höuneh,pluim
148,Fell::N,nahk,vel
149,Flügel::N,suug,vleugel
150,Klaue::N,künz',klauw
151,Kralle::N,künz',klauw
152,Schwanz::N,händ,staart
153,Ei::N,muna,ei
154,Nest::N,peza,nest
155,Bau::N,uru,hol
156,Tier::N,živat,dier
157,Herde::N,kogo,kudde
158,Kuh::N,lehm,koe
159,Bulle::N,härg,stier
160,Pferd::N,hebo,paard
161,Schaf::N,lambaz,schaap
162,Schwein::N,siga,varken
163,Hund::N,koir,hond
164,Katze::N,kaži,kat
165,Bär::N,kondi,beer
166,Eichhörnchen::N,orav,eekhoorntje
167,Elch::N,hirb',eland
168,Fuchs::N,reboi,vos
