,Concept_ID,pl,be
0,Auge::N,oko,вока
1,Ohr::N,ucho,вуха
2,Nase::N,nos,нос
3,Mund::N,usta,рот
4,Zahn::N,ząb,зуб
5,Zunge::N,język,язык
6,Lippe::N,warga,губа
7,Wange::N,policzek,шчака
8,Gesicht::N,twarz,твар
9,Stirn::N,czoło,лоб
10,Haar::N,włos,волас
11,Haar::N,włos,валасы
12,Haar::N,włosy,волас
13,Haar::N,włosy,валасы
14,Schnurrbart::N,wąsy,вус
15,Schnurrbart::N,wąsy,вусы
16,Bart::N,broda,барада
17,Kinn::N,podbródek,падбародак
18,Kiefer[Anatomie]::N,czeluść,сківіца
19,Kehle::N,gardło,горла
20,Hals::N,szyja,шыя
21,Genick::N,kark,патыліца
22,Kopf::N,głowa,галава
23,Rücken::N,plecy,спіна
24,Rücken::N,grzbiet,спіна
25,Bauch::N,brzuch,жывот
26,Nabel::N,pępek,пупок
27,Busen::N,biust,грудзі
28,Brust::N,pierś,грудзі
29,Schulter::N,bark,плячо
30,Schulter::N,ramię,плячо
31,Arm::N,ręka,рука
32,Arm::N,ramię,рука
33,Ellenbogen::N,łokieć,локаць
34,Hand::N,dłoń,кісць
35,Handfläche::N,dłoń,далонь
36,Finger::N,palec,палец
37,Fingernagel::N,paznokieć,ногаць
38,Nagel[Anatomie]::N,paznokieć,ногаць
39,Zeh::N,palec,палец
40,Fuß::N,stopa,нага
41,Ferse::N,pięta,пята
42,Ferse::N,pięta,пятка
43,Knie::N,kolano,калена
44,Oberschenkel::N,udo,бядро
45,Oberschenkel::N,udo,сцягно
46,Bein::N,noga,нага
47,Körper::N,ciało,цела
48,Haut::N,skóra,скура
49,Blut::N,krew,кроў
50,Ader::N,żyła,вена
51,Ader::N,żyła,сасуд
52,Sehne::N,ścięgno,жыла
53,Sehne::N,ścięgno,цеціва
54,Sehne::N,ścięgno,сухажылле
55,Knochen::N,kość,косць
56,Gehirn::N,mózg,мозг
57,Herz::N,serce,сэрца
58,Magen::N,żołądek,страўнік
59,Leber::N,wątroba,печань
60,Atem::N,dech,дыханне
61,Atem::N,oddech,дыханне
62,Hunger::N,głód,голад
63,Träne::N,łza,сляза
64,Geschmack::N,smak,смак
65,Geruch::N,woń,пах
66,Geruch::N,zapach,пах
67,Schlaf::N,sen,сон
68,Traum::N,sen,сон
69,Himmel::N,niebo,неба
70,Sonne::N,słońce,сонца
71,Mond::N,księżyc,месяц
72,Stern::N,gwiazda,зорка
73,Luft::N,powietrze,паветра
74,Wind::N,wiatr,вецер
75,Welle::N,fala,хваля
76,Wasser::N,woda,вада
77,Stein::N,kamień,камень
78,Boden::N,grunt,глеба
79,Erde::N,ziemia,зямля
80,Staub::N,pył,пыл
81,Staub::N,kurz,пыл
82,Rauch::N,dym,дым
83,Funke::N,iskra,іскра
84,Feuer::N,ogień,агонь
85,Licht::N,światło,святло
86,Schatten::N,cień,цень
87,Wetter::N,pogoda,пагода
88,Wetter::N,pogoda,надворʼе
89,Nebel::N,mgła,туман
90,Wolke::N,obłok,воблака
91,Wolke::N,chmura,воблака
92,Regen::N,deszcz,дождж
93,Schnee::N,śnieg,снег
94,Eis::N,lód,лёд
95,Frost::N,mróz,мароз
96,Kälte::N,chłód,холад
97,Hitze::N,gorąco,спёка
98,Raureif::N,szron,іней
99,Regenbogen::N,tęcza,вясёлка
100,Donner::N,grzmot,гром
101,Strömung::N,nurt,цячэнне
102,Tropfen::N,kropla,кропля
103,Schaum::N,piana,пена
104,Schmutz::N,brud,гразь
105,See::N,jezioro,возера
106,Sumpf::N,bagno,багна
107,Moor::N,bagno,балота
108,Wiese::N,łąka,луг
109,Wald::N,las,лес
110,Hügel::N,pagórek,узгорак
111,Anhöhe::N,wzgórze,узвышша
112,Berg::N,góra,гара
113,Gipfel::N,szczyt,вяршыня
114,Gipfel::N,wierzchołek,вяршыня
115,Höhle::N,pieczara,пячора
116,Abhang::N,stok,схіл
117,Abhang::N,zbocze,схіл
118,Quelle::N,zdrój,крыніца
119,Quelle::N,źródło,крыніца
120,Bach::N,potok,ручай
121,Bach::N,strumień,ручай
122,Fluss::N,rzeka,рака
123,Ufer::N,brzeg,бераг
124,Küste::N,wybrzeże,узбярэжжа
125,Festland::N,ląd,суша
126,Meer::N,morze,мора
127,Bucht::N,zatoka,бухта
128,Insel::N,wyspa,востраў
129,Blume::N,kwiat,кветка
130,Gras::N,trawa,трава
131,Wurzel::N,korzeń,корань
132,Baum::N,drzewo,дрэва
133,Stamm::N,pień,ствол
134,Rinde::N,kora,кара
135,Ast::N,gałąź,сук
136,Zweig::N,gałąź,галіна
137,Blatt::N,liść,ліст
138,Birke::N,brzoza,бяроза
139,Kiefer[Baum]::N,sosna,хвоя
