,Concept_ID,eu,ga
0,Auge::N,begi,súil
1,Ohr::N,belarri,cluas
2,Nase::N,sudur,soc
3,Mund::N,aho,béal
4,Zahn::N,hortz,fiacail
5,Zunge::N,mihi,teanga
6,Lippe::N,ezpain,liopa
7,Wange::N,masail,grua
8,Wange::N,masail,leiceann
9,Gesicht::N,aurpegi,éadan
10,Gesicht::N,aurpegi,aghaidh
11,Stirn::N,bekoki,baithis
12,Stirn::N,bekoki,clár éadain
13,Haar::N,ile,gruaig
14,Haar::N,bilo,gruaig
15,Schnurrbart::N,bibote,croiméal
16,Schnurrbart::N,sudurpeko,croiméal
17,Bart::N,bizar,féasóg
18,Kinn::N,kokots,smig
19,Kiefer[Anatomie]::N,masailezur,giall
20,Kehle::N,eztarri,scornach
21,Hals::N,sama,muinéal
22,Genick::N,garondo,baic
23,Kopf::N,buru,ceann
24,Rücken::N,bizkar,droim
25,Bauch::N,sabel,bolg
26,Nabel::N,zilbor,imleacán
27,Busen::N,titi,cíoch
28,Busen::N,ugatz,cíoch
29,Brust::N,bular,brollach
30,Schulter::N,besaburu,gualainn
31,Arm::N,beso,lámh
32,Ellenbogen::N,ukondo,uillinn
33,Hand::N,esku,lámh
34,Handfläche::N,ahur,bos
35,Finger::N,hatz,méar
36,Fingernagel::N,azazkal,ionga
37,Nagel[Anatomie]::N,azazkal,ionga
38,Zeh::N,behatz,ladhar
39,Fuß::N,oin,cos
40,Fuß::N,oin,troigh
41,Ferse::N,orpo,sáil
42,Ferse::N,oinburu,sáil
43,Knie::N,belaun,glúin
44,Oberschenkel::N,izter,ceathrú
45,Bein::N,zango,cos
46,Körper::N,soin,corp
47,Körper::N,soin,colainn
48,Haut::N,azal,cneas
49,Haut::N,azal,craiceann
50,Blut::N,odol,fuil
51,Ader::N,zain,
52,Sehne::N,gihar-zain,teannán
53,Sehne::N,gihar-zain,féitheog
54,Knochen::N,hezur,cnámh
55,Gehirn::N,garun,inchinn
56,Gehirn::N,burmuin,inchinn
57,Herz::N,bihotz,croí
58,Magen::N,urdail,bolg
59,Magen::N,urdail,goile
60,Leber::N,gibel,ae
61,Atem::N,hats,anáil
62,Atem::N,arnasa,anáil
63,Hunger::N,gose,ocras
64,Träne::N,malko,deoir
65,Geschmack::N,dasta,blas
66,Geruch::N,usain,boladh
67,Schlaf::N,lo,suan
68,Schlaf::N,lo,codladh
69,Traum::N,amets,taibhreamh
70,Himmel::N,zeru,spéir
71,Sonne::N,eguzki,grian
72,Mond::N,ilargi,ré
73,Mond::N,ilargi,gealach
74,Stern::N,izar,rinn
75,Stern::N,izar,réalta
76,Luft::N,aire,aer
77,Wind::N,haize,gaoth
78,Welle::N,uhin,tonn
79,Welle::N,olatu,tonn
80,Wasser::N,ur,uisce
81,Stein::N,harri,cloch
82,Boden::N,lur,talamh
83,Boden::N,zoru,talamh
84,Erde::N,lur,cré
85,Erde::N,lur,ithir
86,Staub::N,hauts,dusta
87,Staub::N,hauts,deannach
88,Rauch::N,ke,toit
89,Rauch::N,ke,deatach
90,Funke::N,zirta,drithle
91,Funke::N,txinparta,drithle
92,Feuer::N,su,tine
93,Licht::N,argi,solas
94,Schatten::N,itzal,scáth
95,Schatten::N,geriza,scáth
96,Wetter::N,eguraldi,aimsir
97,Nebel::N,laino,ceo
98,Wolke::N,hodei,néal
99,Wolke::N,hodei,scamall
100,Regen::N,euri,báisteach
101,Regen::N,euri,fearthainn
102,Schnee::N,elur,sneachta
103,Eis::N,horma,oighear
104,Frost::N,izotzaldi,sioc
105,Kälte::N,hotz,fuacht
106,Hitze::N,bero,teas
107,Hitze::N,bero,teocht
108,Raureif::N,antzigar,sioc bán
109,Regenbogen::N,ostadar,stua ceatha
110,Regenbogen::N,ostadar,bogha báistí
111,Regenbogen::N,ortzadar,stua ceatha
112,Regenbogen::N,ortzadar,bogha báistí
113,Donner::N,ostots,toirneach
114,Donner::N,ihurtzuri,toirneach
115,Strömung::N,laster,sruth
116,Tropfen::N,xorta,deoir
117,Schaum::N,bits,cúr
118,Schmutz::N,lohi,salachar
119,Schmutz::N,zikin,salachar
120,See::N,laku,loch
121,See::N,aintzira,loch
122,Sumpf::N,zingira,portach
123,Moor::N,zohikaztegi,caorán
124,Moor::N,zohikaztegi,móinteán
125,Wiese::N,larre,cluain
126,Wiese::N,larre,móinéar
127,Wiese::N,belardi,cluain
128,Wiese::N,belardi,móinéar
129,Wald::N,baso,coill
130,Wald::N,baso,foraois
131,Wald::N,oihan,coill
132,Wald::N,oihan,foraois
133,Hügel::N,muino,ard
134,Hügel::N,pentoka,ard
135,Anhöhe::N,garai,ard
136,Anhöhe::N,garai,ardán
137,Anhöhe::N,goragune,ard
138,Anhöhe::N,goragune,ardán
139,Berg::N,mendi,sliabh
140,Gipfel::N,gain,barr
141,Gipfel::N,gain,mullach
142,Gipfel::N,tontor,barr
143,Gipfel::N,tontor,mullach
144,Höhle::N,kobazulo,uaimh
145,Höhle::N,kobazulo,pluais
146,Abhang::N,aldapa,fána
147,Quelle::N,iturri,foinse
148,Quelle::N,iturbegi,foinse
149,Bach::N,lats,sruthán
150,Bach::N,erreka,sruthán
151,Fluss::N,ibai,abhainn
152,Fluss::N,uhaitz,abhainn
153,Ufer::N,bazter,bruach
154,Küste::N,itsasalde,cósta
155,Küste::N,itsasalde,cladach
156,Festland::N,lehor,míntír
157,Meer::N,itsaso,muir
158,Meer::N,itsaso,farraige
159,Bucht::N,golko,bá
160,Bucht::N,golko,cuan
161,Insel::N,irla,inis
162,Insel::N,irla,oileán
163,Insel::N,uharte,inis
164,Insel::N,uharte,oileán
165,Blume::N,lili,bláth
166,Gras::N,belar,féar
167,Wurzel::N,zuztar,rúta
168,Wurzel::N,zuztar,fréamh
169,Wurzel::N,sustrai,rúta
170,Wurzel::N,sustrai,fréamh
171,Baum::N,zuhaitz,crann
172,Stamm::N,enbor,stoc
173,Stamm::N,enbor,tamhan
174,Rinde::N,azal,coirt
175,Rinde::N,azal,craiceann
176,Ast::N,adar,géag
177,Zweig::N,abar,géag
178,Zweig::N,abar,craobh
179,Blatt::N,hosto,duille
180,Blatt::N,hosto,duilleog
181,Birke::N,urki,beith
182,Birke::N,urki,crann beithe
183,Kiefer[Baum]::N,ler,péine
184,Weide[Baum]::N,zume,saileach
185,Weide[Baum]::N,sahats,saileach
186,Tanne::N,izei,giúis
187,Horn::N,adar,adharc
188,Feder::N,luma,cleite
189,Feder::N,hegaki,cleite
190,Fell::N,ile,clúmh
191,Fell::N,larru,clúmh
192,Flügel::N,hego,eite
193,Flügel::N,hego,sciathán
194,Klaue::N,atzapar,crúb
195,Klaue::N,atzapar,crobh
196,Kralle::N,erpe,crobh
197,Kralle::N,atzapar,crobh
198,Schwanz::N,isats,eireaball
199,Schwanz::N,buztan,eireaball
200,Ei::N,arrautza,ubh
201,Nest::N,habia,nead
202,Bau::N,ohantze,brocais
203,Tier::N,abere,ainmhí
204,Tier::N,abere,beithíoch
205,Tier::N,piztia,ainmhí
206,Tier::N,piztia,beithíoch
207,Herde::N,saldo,tréad
208,Herde::N,abere talde,tréad
209,Kuh::N,behi,bó
210,Bulle::N,zezen,tarbh
211,Pferd::N,zaldi,each
212,Pferd::N,zaldi,capall
213,Schaf::N,ardi,caora
214,Schwein::N,urde,muc
215,Schwein::N,txerri,muc
216,Hund::N,txakur,madra
217,Katze::N,katu,cat
218,Bär::N,hartz,béar
219,Eichhörnchen::N,urtxintxa,iora
220,Elch::N,altze,eilc
221,Fuchs::N,azeri,sionnach
222,Fuchs::N,azeri,madra rua
223,Hase::N,erbi,giorria
224,Maus::N,sagu,luch
225,Wolf::N,otso,mac tíre
226,Vogel::N,txori,éan
227,Vogel::N,hegazti,éan
228,Schwarm::N,aldra,saithe
229,Huhn::N,oilo,cearc
230,Hahn::N,oilar,coileach
231,Gans::N,antzara,gé
232,Adler::N,arrano,iolar
233,Ente::N,ahate,lacha
234,Eule::N,hontza,ulchabhán
235,Kranich::N,kurrilo,grús
236,Krähe::N,bele,caróg
237,Krähe::N,bele,préachán
238,Kuckuck::N,kuku,cuach
239,Schwan::N,beltxarga,eala
240,Fisch::N,arrain,iasc
241,Barsch::N,perka,péirse
242,Hecht::N,lutxo,liús
243,Schlange[Tier]::N,suge,nathair
244,Wurm::N,har,péist
245,Spinne::N,armiarma,damhán alla
246,Ameise::N,inurri,seangán
247,Laus::N,zorri,míol
248,Mücke::N,eltxo,muiscít
249,Mücke::N,eltxo,corrmhíol
250,Fliege::N,euli,cuil
251,Fliege::N,euli,cuileog
252,Schmetterling::N,pinpirin,féileacán
253,Schmetterling::N,tximeleta,féileacán
254,Beere::N,baia,caor
255,Apfel::N,sagar,úll
256,Pilz::N,onddo,beacán
257,Pilz::N,onddo,muisiriún
258,Pilz::N,perretxiko,beacán
259,Pilz::N,perretxiko,muisiriún
260,Zwiebel::N,tipula,oinniún
261,Saat::N,haziak,síol
262,Korn::N,ale,gráinne
263,Korn::N,pikor,gráinne
264,Heu::N,belar ondu,féar
265,Schale::N,azal,scaimh
266,Grube::N,hobi,poll
267,Falle::N,harrapagailu,gaiste
268,Schlinge::N,bilur,sealán
