,Concept_ID,sv,cy
0,Auge::N,öga,llygad
1,Ohr::N,öra,clust
2,Nase::N,näsa,trwyn
3,Mund::N,mun,ceg
4,Zahn::N,tand,dant
5,Zunge::N,tunga,tafod
6,Lippe::N,läpp,gwefus
7,Wange::N,kind,boch
8,Gesicht::N,syn,wyneb
9,Gesicht::N,ansikte,wyneb
10,Stirn::N,panna,talcen
11,Haar::N,hår,blew
12,Schnurrbart::N,mustasch,mwstas
13,Bart::N,skägg,barf
14,Kinn::N,haka,gên
15,Kiefer[Anatomie]::N,käke,gên
16,Kehle::N,strupe,gwddf
17,Hals::N,hals,gwddf
18,Genick::N,nacke,gwar
19,Genick::N,nacke,gwegil
20,Kopf::N,huvud,pen
21,Rücken::N,rygg,cefn
22,Bauch::N,buk,bol
23,Bauch::N,mage,bol
24,Nabel::N,navel,bogail
25,Busen::N,barm,bron
26,Brust::N,bröst,brest
27,Schulter::N,skuldra,ysgwydd
28,Arm::N,arm,braich
29,Ellenbogen::N,armbåge,penelin
30,Hand::N,hand,llaw
31,Handfläche::N,handflata,palf
32,Finger::N,finger,bys
33,Fingernagel::N,fingernagel,ewin
34,Nagel[Anatomie]::N,nagel,ewin
35,Zeh::N,tå,bys troed
36,Fuß::N,fot,troed
37,Ferse::N,häl,sawdl
38,Knie::N,knä,glin
39,Oberschenkel::N,lår,clun
40,Bein::N,ben,coes
41,Körper::N,kropp,corff
42,Haut::N,hud,croen
43,Haut::N,skinn,croen
44,Blut::N,blod,gwaed
45,Ader::N,åder,gwythïen
46,Sehne::N,sena,gewyn
47,Knochen::N,ben,asgwrn
48,Gehirn::N,hjärna,ymennydd
49,Herz::N,hjärta,calon
50,Magen::N,mage,cylla
51,Magen::N,mage,stumog
52,Leber::N,lever,iau
53,Atem::N,anda,anadl
54,Atem::N,andedräkt,anadl
55,Hunger::N,svält,newyn
56,Hunger::N,hunger,newyn
57,Träne::N,tår,deigryn
58,Geschmack::N,smak,cyflas
59,Geruch::N,lukt,aroglau
60,Schlaf::N,sömn,cwsg
61,Traum::N,dröm,breuddwyd
62,Himmel::N,himmel,awyr
63,Sonne::N,sol,haul
64,Mond::N,måne,lleuad
65,Stern::N,stjärna,seren
66,Luft::N,luft,awyr
67,Wind::N,vind,gwynt
68,Welle::N,våg,ton
69,Welle::N,bölja,ton
70,Wasser::N,vatten,dŵr
71,Stein::N,sten,carreg
72,Boden::N,mark,llawr
73,Erde::N,jord,pridd
74,Staub::N,damm,llwch
75,Rauch::N,rök,mwg
76,Funke::N,gnista,gwreichioni
77,Feuer::N,eld,tân
78,Licht::N,ljus,golau
79,Schatten::N,skugga,cysgod
80,Wetter::N,väder,tywydd
81,Nebel::N,dimma,niwl
82,Nebel::N,töcken,niwl
83,Wolke::N,sky,cwmwl
84,Wolke::N,moln,cwmwl
85,Regen::N,regn,glaw
86,Schnee::N,snö,ôd
87,Schnee::N,snö,eira
88,Eis::N,is,iâ
89,Frost::N,frost,rhew
90,Kälte::N,köld,oerni
91,Kälte::N,köld,annwyd
92,Hitze::N,hetta,gwres
93,Raureif::N,rimfrost,barrug
94,Regenbogen::N,regnbåge,enfys
95,Donner::N,åska,tyrfau
96,Donner::N,dunder,tyrfau
97,Strömung::N,strömning,cerrynt
98,Tropfen::N,dropper,dafn
99,Tropfen::N,dropper,diferyn
100,Schaum::N,skum,ewyn
101,Schmutz::N,lort,baw
102,Schmutz::N,lort,budreddi
103,Schmutz::N,smuts,baw
104,Schmutz::N,smuts,budreddi
105,See::N,sjö,llyn
106,Sumpf::N,träsk,cors
107,Moor::N,myr,rhos
108,Moor::N,mosse,rhos
109,Wiese::N,äng,dôl
110,Wald::N,skog,coedwig
111,Hügel::N,höjd,bryn
112,Hügel::N,kulle,bryn
113,Anhöhe::N,höjd,bryn
114,Anhöhe::N,backe,bryn
115,Berg::N,berg,mynydd
116,Berg::N,fjäll,mynydd
117,Gipfel::N,topp,copa
118,Höhle::N,håla,ogof
119,Höhle::N,grotta,ogof
120,Abhang::N,slänt,llethr
121,Abhang::N,sluttning,llethr
122,Quelle::N,källa,tarddiad
123,Quelle::N,källa,ffynhonnell
124,Bach::N,bäck,nant
125,Bach::N,bäck,afonig
126,Bach::N,bäck,cornant
127,Fluss::N,älv,afon
128,Fluss::N,flod,afon
129,Ufer::N,strand,glan
130,Küste::N,kust,traeth
131,Küste::N,kust,arfordir
132,Festland::N,fastland,tir
133,Meer::N,hav,môr
134,Bucht::N,vik,bae
135,Bucht::N,bukt,bae
136,Insel::N,ö,ynys
137,Blume::N,blomma,blodyn
138,Blume::N,blomster,blodyn
139,Gras::N,gräs,glaswellt
140,Wurzel::N,rot,gwreiddyn
141,Baum::N,träd,coeden
142,Stamm::N,stam,colfen
143,Stamm::N,stam,boncyff
144,Rinde::N,bark,rhisgl
145,Ast::N,gren,cangen
146,Zweig::N,kvist,cainc
147,Zweig::N,kvist,cangen
148,Blatt::N,löv,deilen
149,Blatt::N,blad,deilen
