,Concept_ID,kl,fa
0,Auge::N,isi,چشم
1,Ohr::N,siut,گوش
2,Mund::N,paaq,دهان
3,Mund::N,qaneq,دهان
4,Zahn::N,kigut,دندان
5,Zunge::N,oqaq,زبان
6,Lippe::N,qarloq,لب
7,Wange::N,ersaq,لپ
8,Gesicht::N,kiinaq,رو
9,Gesicht::N,kiinaq,چهره
10,Stirn::N,qaaq,پیشانی
11,Haar::N,meqqoq,مو
12,Bart::N,umik,ریش
13,Kinn::N,talloq,چانه
14,Kiefer[Anatomie]::N,alleroq,فک
15,Kiefer[Anatomie]::N,alleroq,آرواره
16,Kehle::N,malaq,حلق
17,Hals::N,qungaseq,گردن
18,Genick::N,pukusuk,پشت گردن
19,Kopf::N,niaqoq,سر
20,Kopf::N,niaqoq,کله
21,Rücken::N,qimerlut,پشت
22,Bauch::N,naaq,شکم
23,Nabel::N,qalaseq,ناف
24,Busen::N,iviangeq,پستان
25,Brust::N,iviangeq,سینه
26,Schulter::N,ersik,دوش
27,Schulter::N,ersik,شانه
28,Schulter::N,assaqqoq,دوش
29,Schulter::N,assaqqoq,شانه
30,Arm::N,taleq,بازو
31,Ellenbogen::N,ikusik,آرنج
32,Hand::N,assak,دست
33,Handfläche::N,itumak,کف دست
34,Finger::N,inuak,انگشت
35,Fingernagel::N,kikiak,ناخن دست
36,Nagel[Anatomie]::N,kukik,ناخن
37,Zeh::N,isigak,انگشت پا
38,Ferse::N,kimmik,پاشنه
39,Knie::N,seeqqoq,زانو
40,Oberschenkel::N,uppat,ران
41,Oberschenkel::N,quttoraq,ران
42,Bein::N,isigak,پا
43,Bein::N,isigak,لنگ
44,Körper::N,timi,تن
45,Körper::N,timi,بدن
46,Haut::N,mattak,پوست
47,Blut::N,aak,خون
48,Ader::N,taqaq,رگ
49,Sehne::N,ujalu,زردپی
50,Sehne::N,ujaloq,زردپی
51,Knochen::N,saanikut,استخوان
52,Gehirn::N,qarasaq,مخ
53,Gehirn::N,qarasaq,مغز
54,Herz::N,uummat,دل
55,Herz::N,uummat,قلب
56,Magen::N,aqajaroq,معده
57,Leber::N,tinguk,کبد
58,Atem::N,anerneq,نفس
59,Hunger::N,kaanneq,گرسنگی
60,Träne::N,qia,اشک
61,Träne::N,qiak,اشک
62,Geschmack::N,qilanaartuut,مزه
63,Geruch::N,tipi,بو
64,Geruch::N,tipik,بو
65,Traum::N,sinnattoq,رؤیا
66,Traum::N,sinnattugaq,رؤیا
67,Himmel::N,qilak,فلک
68,Himmel::N,qilak,آسمان
69,Sonne::N,seqineq,آفتاب
70,Sonne::N,seqineq,خورشید
71,Mond::N,qaammat,ماه
72,Stern::N,ulloriaq,ستاره
73,Luft::N,silaannaq,هوا
74,Wind::N,anori,باد
75,Wind::N,anorsarik,باد
76,Welle::N,aalappaa,موج
77,Wasser::N,imeq,آب
78,Stein::N,ujarak,سنگ
