,Concept_ID,mdf,av
0,Auge::N,сельме,
1,Ohr::N,пиле,гӏин
2,Nase::N,шалхка,мегӏер
3,Mund::N,курга,кӏал
4,Zahn::N,пей,гӏус
5,Zunge::N,кяль,мацӏ
6,Lippe::N,търва́,кӏветӏ
7,Wange::N,щёка,гӏоно
8,Gesicht::N,шама,гьумер
9,Stirn::N,коня,нодо
10,Haar::N,шя́ярь,рас
11,Schnurrbart::N,уса́,михъ
12,Bart::N,сакал,мегеж
13,Kinn::N,ула,нилъу
14,Kiefer[Anatomie]::N,саласка,чанагъ
15,Kehle::N,кълдома,щекъер
16,Kehle::N,кърга́парь,щекъер
17,Hals::N,сялдаз,габур
18,Genick::N,шовонь,гъванща
19,Kopf::N,пря,бетӏер
20,Rücken::N,копорь,мугъ
21,Bauch::N,пеке,чехь
22,Nabel::N,по́кон,цӏину
23,Busen::N,потя,керен
24,Brust::N,мяште,керен
25,Schulter::N,лафту,гъажазубетӏер
26,Arm::N,кядь,гъеж
27,Ellenbogen::N,кенерьба́карь,гӏункӏрукь
28,Hand::N,кядь,квер
29,Handfläche::N,кядьлапш,огъохъат
30,Handfläche::N,кядьлапш,жанисахъат
31,Finger::N,сур,килищ
32,Fingernagel::N,кенже,малъ
33,Nagel[Anatomie]::N,кенже,малъ
34,Zeh::N,пильгосу́р,килищ
35,Fuß::N,пильге,хӏетӏ
36,Fuß::N,пильге,хӏетӏе
37,Fuß::N,пильгелапа,хӏетӏ
38,Fuß::N,пильгелапа,хӏетӏе
39,Ferse::N,кочкяря,эгъе
40,Knie::N,эль,наку
41,Knie::N,пълма́нжа,наку
42,Oberschenkel::N,пильгепукша,мачӏ
43,Bein::N,пильге,бох
44,Körper::N,ро́нга,къаркъала
45,Körper::N,по́нда,къаркъала
46,Haut::N,киське,тӏом
47,Blut::N,вер,би
48,Ader::N,сан,бидурихь
49,Ader::N,верза́н,бидурихь
50,Sehne::N,коське сан,
51,Knochen::N,пакарь,ракьа
52,Gehirn::N,уй,гӏадалнах
53,Herz::N,седи,ракӏ
54,Magen::N,коткърдазь,кванирукъ
55,Leber::N,макса,тӏул
56,Atem::N,лекома,хӏухь
57,Atem::N,ваймонь тарксема,хӏухь
58,Hunger::N,вачеши,ракъи
59,Träne::N,сельмове́дь,магӏу
60,Geschmack::N,таньф,тату
61,Geruch::N,шине,махӏ
62,Schlaf::N,удома́,макьу
63,Traum::N,он,макьу
64,Himmel::N,менель,зоб
65,Sonne::N,ши,бакъ
66,Mond::N,ков,моцӏ
