,Concept_ID,ka,cv
0,Auge::N,თვალი,куҫ
1,Ohr::N,ყური,хӑлха
2,Nase::N,ცხვირი,сӑмса
3,Mund::N,პირი,ҫӑвар
4,Zahn::N,კბილი,шӑл
5,Zunge::N,ენა,чӗлхе
6,Lippe::N,ბაგე,тута
7,Wange::N,ლოყა,пит ҫӑмарти
8,Gesicht::N,სახე,пит
9,Gesicht::N,სახე,пит-куҫ
10,Stirn::N,შუბლი,ҫамка
11,Haar::N,თმა,ҫӳҫ
12,Schnurrbart::N,ულვაში,усси
13,Bart::N,წვერი,сухал
14,Kinn::N,ნიკაპი,янах
15,Kiefer[Anatomie]::N,ყბა,янах
16,Kehle::N,ყელი,пыр
17,Kehle::N,ყელი,карланкӑ
18,Hals::N,ყელი,пыр
19,Hals::N,კისერი,пыр
20,Genick::N,კეფა,ӗнсе
21,Kopf::N,თავი,пуҫ
22,Rücken::N,ზურგი,ҫурӑм
23,Bauch::N,მუცელი,
24,Nabel::N,ჭიპი,кӑвапа
25,Busen::N,ძუძუ,кӑкӑр
26,Brust::N,მკერდი,умӗ
27,Schulter::N,მხარი,хул пуҫҫи
28,Schulter::N,მკლავი,хул пуҫҫи
29,Arm::N,ხელი,алӑ
30,Ellenbogen::N,იდაყვი,чавса
31,Hand::N,ხელი,алӑ сыппи
32,Handfläche::N,ნები,ал лаппи
33,Handfläche::N,ხელისგული,ал лаппи
34,Finger::N,თითი,пӳрне
35,Fingernagel::N,ფრჩხილი,чӗрне
36,Nagel[Anatomie]::N,ფრჩხილი,чӗрне
37,Zeh::N,ფეხის თითი,пӳрне
38,Fuß::N,ტერფი,ура лаппи
39,Fuß::N,ფეხისგული,ура лаппи
40,Ferse::N,ქუსლი,кӗле
41,Knie::N,მუხლი,чӗркуҫҫи
42,Oberschenkel::N,ბარძაყი,пӗҫӗ
43,Bein::N,ფეხი,ура
44,Körper::N,ტანი,ӳт
45,Körper::N,ტანი,ӳт-пӳ
46,Körper::N,სხეული,ӳт
47,Körper::N,სხეული,ӳт-пӳ
48,Haut::N,კანი,тир
49,Blut::N,სისხლი,юн
50,Ader::N,ძარღვი,вена
51,Sehne::N,მყესი,шӑнӑр
52,Knochen::N,ძვალი,шӑмӑ
53,Gehirn::N,ტვინი,миме
54,Herz::N,გული,чӗре
55,Magen::N,კუჭი,хырӑмлӑх
56,Leber::N,ღვიძლი,пӗвер
57,Atem::N,სუნთქვა,сывлав
58,Hunger::N,შიმშილი,выҫлӑх
59,Träne::N,ცრემლი,куҫҫуль
60,Geschmack::N,გემო,техӗм
61,Geruch::N,სუნი,шӑршӑ
62,Schlaf::N,ძილი,ыйхӑ
63,Traum::N,სიზმარი,тӗлӗк
64,Himmel::N,ცა,пӗлӗт
65,Sonne::N,მზე,хӗвел
66,Mond::N,მთვარე,уйӑх
67,Stern::N,ვარსკვლავი,ҫӑлтӑр
68,Luft::N,ჰაერი,сывлӑш
69,Wind::N,ქარი,ҫил
70,Welle::N,ტალღა,хум
71,Wasser::N,წყალი,шыв
72,Wasser::N,წყალი,шыв-шур
73,Stein::N,ქვა,чул
74,Boden::N,მიწა,тӑпра
75,Erde::N,ნიადაგი,ҫӗр
76,Staub::N,მტვერი,тусан
77,Rauch::N,ბოლი,тӗтӗм
78,Rauch::N,კვამლი,тӗтӗм
79,Funke::N,ნაკვესი,хӗм
80,Feuer::N,ცეცხლი,вут
81,Feuer::N,ცეცხლი,ҫулӑм
82,Licht::N,შუქი,ҫутӑ
83,Licht::N,სინათლე,ҫутӑ
84,Schatten::N,ლანდი,сулхӑн
85,Schatten::N,ჩრდილი,сулхӑн
86,Wetter::N,ამინდი,ҫанталӑк
87,Nebel::N,ნისლი,тӗтре
88,Wolke::N,ღრუბელი,пӗлӗт
89,Regen::N,წვიმა,ҫумӑр
90,Schnee::N,თოვლი,юр
91,Eis::N,თოში,пӑр
92,Eis::N,ყინული,пӑр
93,Frost::N,ყინვა,сивӗ
94,Kälte::N,სიცივე,сивӗ
95,Hitze::N,სიცხე,вӗри
96,Hitze::N,სიცხე,шӑрӑх
97,Raureif::N,ჭირხლი,пас
98,Raureif::N,თრთვილი,пас
99,Regenbogen::N,ცისარტყელა,асамат кӗперӗ
100,Donner::N,ქუხილი,аслати
101,Strömung::N,დინება,юхӑ
102,Tropfen::N,წვეთი,тумлам
103,Schaum::N,ქაფი,кӑпӑк
104,Schaum::N,დორბლი,кӑпӑк
105,Schmutz::N,ჭუჭყი,пылчӑк
106,Schmutz::N,ტალახი,пылчӑк
107,See::N,ტბა,кӳлӗ
108,Sumpf::N,ჭაობი,шур
109,Sumpf::N,ჭაობი,шурлӑх
110,Moor::N,ტორფნარი,торфлӑ шурлӑх
111,Wiese::N,ველი,улӑх
112,Wiese::N,ველი,ҫаран
113,Wiese::N,მდელო,улӑх
114,Wiese::N,მდელო,ҫаран
115,Wald::N,ტყე,вӑрман
116,Hügel::N,ბორცვი,сӑрт
117,Hügel::N,ბორცვი,тӗмеске
118,Anhöhe::N,მაღლობი,сӑрт
119,Berg::N,მთა,ту
120,Gipfel::N,მწვერვალი,тӳпе
121,Höhle::N,მღვიმე,ҫӗр хӑвӑлӗ
122,Höhle::N,გამოქვებული,ҫӗр хӑвӑлӗ
123,Abhang::N,ფერდობი,тӑвайкки
124,Quelle::N,წყარო,ҫӑл куҫ
125,Quelle::N,სათავე,ҫӑл куҫ
126,Bach::N,რუ,пӗчӗк шыв
127,Bach::N,ნაკადული,пӗчӗк шыв
128,Fluss::N,მდინარე,юхан шыв
129,Ufer::N,კიდე,ҫыран
130,Ufer::N,ნაპირი,ҫыран
131,Küste::N,ნაპირი,тинӗс ҫыранӗ
132,Festland::N,ხმელეთი,тип ҫӗр
133,Meer::N,ზღვა,тинӗс
134,Bucht::N,ყურე,тинӗс кукӑрӗ
135,Insel::N,კუნძული,утрав
136,Blume::N,ყვავილი,чечек
137,Gras::N,ბალახი,курӑк
138,Wurzel::N,ძირი,тымар
139,Wurzel::N,ფესვი,тымар
140,Baum::N,ხე,йывӑҫ
141,Stamm::N,ტანი,вулӑ
142,Rinde::N,ქერქი,хуйӑр
143,Ast::N,ტოტი,турат
144,Zweig::N,შტო,турат
145,Blatt::N,ფოთოლი,ҫулҫӑ
146,Birke::N,არყი,хурӑн
147,Kiefer[Baum]::N,ფიჭვი,хыр
148,Weide[Baum]::N,ტირიფი,хӑва
149,Tanne::N,ნაძვი,чӑрӑш
150,Horn::N,რქა,мӑйрака
151,Feder::N,ფრთა,тӗк
152,Fell::N,ტყავი,ҫӑм
153,Flügel::N,ფრთა,ҫунат
154,Klaue::N,კლანჭი,чӗрне
155,Kralle::N,ტორი,ура
156,Schwanz::N,კუდი,хӳре
157,Ei::N,კვერცხი,ҫӑмарта
158,Nest::N,ბუდე,йӑва
159,Bau::N,სორო,йӗнӗ
160,Tier::N,ნადირი,выльӑх
161,Tier::N,ცხოველი,выльӑх
162,Herde::N,ფარა,кӗтӳ
163,Kuh::N,ფური,ӗне
164,Kuh::N,ძროხა,ӗне
165,Bulle::N,ხარი,вӑкӑр
166,Pferd::N,რაში,лаша
167,Pferd::N,ცხენი,лаша
168,Schaf::N,ცხვარი,сурӑх
169,Schwein::N,ღორი,сысна
170,Hund::N,ძაღლი,йытӑ
171,Katze::N,კატა,кушак
172,Bär::N,დათვი,упа
173,Eichhörnchen::N,ციყვი,пакша
174,Elch::N,ცხენ-ირემი,пӑши
175,Fuchs::N,მელა,тилӗ
176,Hase::N,კურდღელი,куян
177,Hase::N,კურდღელი,мулкач
178,Maus::N,თაგვი,шӑши
179,Wolf::N,მგელი,кашкӑр
180,Vogel::N,ჩიტი,кайӑк
181,Vogel::N,ჩიტი,вӗҫен кайӑк
182,Vogel::N,ფრინველი,кайӑк
183,Vogel::N,ფრინველი,вӗҫен кайӑк
184,Schwarm::N,გუნდი,ушкӑн
185,Huhn::N,დედალი,чӑх
186,Huhn::N,დედალი,чӑхӑ
187,Hahn::N,მამალი,автан
188,Gans::N,ბატი,хур
189,Adler::N,არწივი,ӑмӑрт кайӑк
190,Ente::N,იხვი,кӑвакал
191,Eule::N,ბუ,тӑмана
192,Kranich::N,წერო,тӑрна
193,Krähe::N,ყვავი,ула курак
194,Kuckuck::N,გუგული,куккук
195,Schwan::N,გედი,акӑш
196,Fisch::N,თევზი,пулӑ
197,Barsch::N,ქორჭილა,уланкӑ
198,Hecht::N,ქარიყლაპია,ҫӑрттан
199,Schlange[Tier]::N,გველი,ҫӗлен
200,Wurm::N,ჭია,ӑман
201,Spinne::N,ობობა,эрешмен
202,Ameise::N,ჭიანჭველა,кӑткӑ
203,Laus::N,ტილი,пыйтӑ
204,Laus::N,მკბენარი,пыйтӑ
205,Mücke::N,კოღო,вӑрӑм туна
206,Fliege::N,ბუზი,шӑна
207,Schmetterling::N,პეპელა,лӗпӗш
208,Beere::N,კენკრა,ҫырла
209,Apfel::N,ვაშლი,улма
210,Apfel::N,ვაშლი,пан улми
211,Pilz::N,სოკო,кӑмпа
212,Zwiebel::N,ხახვი,сухан
213,Saat::N,თესლი,вӑрӑ
214,Korn::N,მარცვალი,тӗшӗ
215,Korn::N,მარცვალი,пӗрчӗ
216,Heu::N,თივა,утӑ
217,Schale::N,ჩენჩო,хупӑ
218,Grube::N,ორმო,шӑтӑк
219,Falle::N,ხაფანგი,тапӑ
220,Falle::N,ხაფანგი,капкӑн
221,Schlinge::N,მახე,йӑлӑ
222,Spur::N,კვალი,йӗр
223,Asche::N,ფერფლი,кӗл
224,Dreck::N,ტალახი,пылчӑк
225,Dreck::N,სიბინძურე,пылчӑк
226,Eisen::N,რკინა,тимӗр
227,Gold::N,ოქრო,ылтӑн
228,Silber::N,ვერცხლი,кӗмӗл
229,Kohle::N,ნახშირი,кӑмрӑк
230,Glas::N,მინა,кӗленче
231,Lehm::N,თიხა,тӑм
232,Sand::N,ქვიშა,хӑйӑр
233,Mensch::N,ადამიანი,ҫын
234,Mensch::N,ადამიანი,этем
235,Mann::N,კაცი,ар
236,Frau::N,ქალი,хӗрарӑм
237,Kind::N,ბავშვი,ача
238,Junge::N,ვაჟი,ача
239,Junge::N,ვაჟი,ар ҫын ача
240,Mädchen::N,გოგო,хӗр ача
241,Familie::N,ოჯახი,ҫемье
242,Familie::N,ოჯახი,кил-йыш
243,Großvater::N,პაპა,кукаҫи
244,Großvater::N,ბაბუა,кукаҫи
245,Großmutter::N,ბებია,кукамай
246,Großmutter::N,დიდედა,кукамай
247,Eltern::N,მშობლები,аҫа-ама
248,Vater::N,მამა,атте
249,Mutter::N,დედა,анне
250,Sohn::N,ვაჟიშვილი,ывӑл
251,Tochter::N,ქალიშვილი,хӗр
252,Bruder::N,ძმა,ар тӑван
253,Schwester::N,და,аппа
254,Schwester::N,და,йӑмӑк
255,Onkel::N,ბიძა,мучи
256,Onkel::N,ბიძა,пичче
257,Tante::N,დეიდა,аппа
258,Tante::N,მამიდა,аппа
259,Ehemann::N,ქმარი,упӑшка
260,Ehefrau::N,ცოლი,арӑм
261,Freude::N,სიხარული,савӑнӑҫ
262,Freude::N,სიხარული,хаваслӑх
263,Gelächter::N,სიცილი,кулӑ
264,Glück::N,ბედნიერება,телей
265,Glück::N,ბედნიერება,ӑраскал
266,Kummer::N,მწუხარება,хурлӑх
267,Wunsch::N,წადილი,ӗмӗт
268,Wunsch::N,წადილი,кӑмӑл
269,Wunsch::N,სურვილი,ӗмӗт
270,Wunsch::N,სურვილი,кӑмӑл
271,Lust::N,წადილი,кӑмӑл
272,Geist::N,სული,чун-чӗм
273,Geist::N,სული,ыр-усал
274,Geist::N,სული,чун хавалӗ
275,Gedanke::N,ფიქრი,шухӑш
276,Gedächtnis::N,მეხსიერება,ас
277,Verstand::N,ჭკუა,ӑс
278,Verstand::N,ჭკუა,ӑс-тӑн
279,Verstand::N,ჭკუა,ӑс-хакӑл
280,Verstand::N,გონება,ӑс
281,Verstand::N,გონება,ӑс-тӑн
282,Verstand::N,გონება,ӑс-хакӑл
283,Sinn::N,მნიშვნელობა,тупсӑм
284,Sinn::N,მნიშვნელობა,пӗлтерӗш
285,Grund::N,მიზეზი,сӑлтав
286,Wahrheit::N,სიმართლე,чӑнлӑх
287,Wahrheit::N,ჭეშმარიტება,чӑнлӑх
288,Gespräch::N,ბაასი,калаҫу
289,Gespräch::N,საუბარი,калаҫу
290,Märchen::N,არაკი,юмах
291,Märchen::N,ზღაპარი,юмах
292,Erzählung::N,თქმულება,акалав
293,Erzählung::N,თქმულება,каласа пани
294,Nachricht::N,ცნობა,хыпар
295,Nachricht::N,ამბავი,хыпар
296,Neuigkeit::N,სიახლე,ҫӗнӗ хыпар
297,Name::N,სახელი,ят
298,Rätsel::N,გამოცანა,сутмалли юмах
299,Rede::N,სიტყვა,сӑмах
300,Sprache::N,ენა,чӗлхе
301,Stimme::N,ხმა,сасӑ
302,Wort::N,სიტყვა,сӑмах
303,Zeichen::N,ნიშანი,паллӑ
304,Ruf::N,ძახილი,йыхрав
305,Ruf::N,ძახილი,чӗнӳ
306,Lärm::N,ხმაური,шав
307,Laut::N,ხმა,сасӑ
308,Laut::N,ბგერა,сасӑ
309,Ton::N,ტონი,сасӑ
310,Lied::N,სიმღერა,юрӑ
311,Ruhe::N,სიწყნარე,канӑҫлӑх
312,Ruhe::N,სიწყნარე,лӑпкӑлӑх
313,Leute::N,ადამიანები,ҫамрӑксем
314,Leute::N,ადამიანები,ҫамрӑк ҫынсем
315,Volk::N,ერი,халӑх
316,Volk::N,ხალხი,халӑх
317,Arbeit::N,მუშაობა,ӗҫхӗл
318,Arbeit::N,მუშაობა,ӗҫлев
319,Gast::N,სტუმარი,хӑна
320,Geschenk::N,საჩუქარი,парне
321,Geschenk::N,საჩუქარი,кучченеҫ
322,Spiel::N,თამაში,вӑйӑ
323,Gesellschaft::N,საზოგადოება,общество
324,Hilfe::N,შველა,пулӑшу
325,Hilfe::N,დახმარება,пулӑшу
326,Freund::N,მეგობარი,тус
327,Kamerad::N,ამხანაგი,юлташ
328,Kamerad::N,ამხანაგი,тус
329,Angelegenheit::N,საქმე,ӗҫ
330,Anzahl::N,ოდენობა,йыш
331,Anzahl::N,ოდენობა,хисеп
332,Art::N,სახეობა,тӗс
333,Stück::N,ნატეხი,татӑк
334,Teil::N,წილი,пай
335,Hälfte::N,ნახევარი,ҫурӑ
336,Kreis::N,წრე,ункӑ
337,Kreis::N,წრე,ҫавракӑш
338,Kreuz::N,ჯვარი,хӗрес
339,Linie::N,ხაზი,йӗр
340,Strich::N,შტრიხი,йӗр
341,Abstand::N,მანძილი,хушӑ
342,Entfernung::N,სიშორე,хушӑ
343,Gegend::N,არე,вырӑн
344,Gegend::N,მხარე,вырӑн
345,Platz::N,ფართობი,хутлӑх
346,Ort::N,ადგილი,вырӑн
347,Seite::N,მხარე,ен
348,Seite::N,მხარე,аяк
349,Seite::N,მხარე,айӑк
350,Mitte::N,შუა,варӑ
351,Gegenstand::N,საგანი,япала
352,Sache::N,ნივთი,япала
353,Rand::N,კიდე,вӗҫ
354,Rand::N,კიდე,хӗрӗ
355,Rand::N,კიდე,хӗрри
356,Kante::N,ნაწიბული,хайкача
357,Kante::N,ნაწიბული,хысак
358,Ecke::N,კუთხე,кӗтес
359,Spitze::N,წვეტი,вӗҫ
360,Ende::N,ბოლო,вӗҫ
361,Loch::N,ხვრელი,шӑтӑк
362,Winkel::N,კუთხე,кӗтес
363,Muster::N,მოხატულობა,эреш
364,Größe::N,ზომა,пысӑкӑш
365,Größe::N,სიდიდე,пысӑкӑш
366,Länge::N,სიგრძე,вӑрӑмӑш
367,Höhe::N,სიმაღლე,ҫӳллӗш
368,Gewicht::N,წონა,виҫе
369,Gewicht::N,წონა,йывӑрӑш
370,Menge::N,რაოდენობა,йыш
371,Haufen::N,გროვა,купа
372,Reihe::N,რიგი,рет
373,Reihe::N,წყება,рет
374,Boot::N,გემი,кимӗ
375,Ruder::N,ხოფი,кӗсмен
376,Ruder::N,ნიჩაბი,кӗсмен
377,Schlitten::N,მარხილი,ҫуна
378,Ski::N,თხილამური,йӗлтӗр
379,Lagerfeuer::N,კოცონი,вут
380,Lagerfeuer::N,კოცონი,кӑвайт
381,Last::N,ტვირთი,сулмаклӑх
382,Last::N,ტვირთი,йывӑр япала
383,Gang::N,სვლა,куҫӑм
384,Schritt::N,ბიჯი,утӑм
385,Schritt::N,ბიჯი,пусӑм
386,Norden::N,ჩრდილოეთი,ҫурҫӗр
387,Süden::N,სამხრეთი,кӑнтӑр
388,Westen::N,დასავლეთი,анӑҫ
389,Westen::N,დასავლეთი,хӗвел анӑҫ
390,Osten::N,აღმოსავლეთი,хӗвел тухӑҫ
391,Holz::N,ხე,йывӑҫ
392,Brett::N,დაფა,хӑма
393,Brett::N,ფიცარი,хӑма
394,Platte::N,თლილი ქვა,плита
395,Stütze::N,საყრდენი,ура
396,Stange::N,ჭოკი,шерте
397,Stock::N,კეტი,патак
398,Stab::N,ლატანი,шӑчӑ
399,Rohr::N,მილაკი,пӑрӑх
400,Haus::N,სახლი,ҫурт
401,Heim::N,ოჯახის კერა,кил
402,Ofen::N,ღუმელი,кӑмака
403,Fußboden::N,იატაკი,урай
404,Tisch::N,სუფრა,сӗтел
405,Tisch::N,მაგიდა,сӗтел
406,Stuhl::N,სკამი,пукан
407,Wiege::N,აკვანი,сӑпка
408,Bett::N,საწოლი,кравать
409,Bett::N,სარეცელი,кравать
410,Regal::N,თაროები,ҫӳлӗк
411,Regal::N,თაროები,сентре
412,Kiste::N,ყუთი,ещӗк
413,Kiste::N,ყუთი,сунтӑх
414,Kiste::N,სკივრი,ещӗк
415,Kiste::N,სკივრი,сунтӑх
416,Fenster::N,ფანჯარა,чӳрече
417,Fenster::N,სარკმელი,чӳрече
418,Tür::N,ბჭე,алӑк
419,Tür::N,კარი,алӑк
420,Tor::N,ჭიშკარი,хапха
421,Zaun::N,ღობე,хӳме
422,Zaun::N,გალავანი,хӳме
423,Dach::N,სახურავი,тӑрӑ
424,Leiter::N,კიბე,пусма
425,Besen::N,ცოცხი,шӑпӑр
426,Spaten::N,ნიჩაბი,кӗреҫе
427,Schaufel::N,ბარი,кӗреҫе
428,Gabel::N,ჩანგალი,вилка
429,Löffel::N,კოვზი,кашӑк
430,Messer::N,დანა,ҫӗҫӗ
431,Nagel::N,ლურსმანი,пӑта
432,Netz::N,ბადე,тетел
433,Haken::N,კავი,йӑрхах
434,Haken::N,კავი,ҫекӗл
435,Haken::N,კაუჭი,йӑрхах
436,Haken::N,კაუჭი,ҫекӗл
437,Griff::N,ტარი,хӑлӑп
438,Schloss::N,კლიტე,ҫӑра
439,Schloss::N,საკეტი,ҫӑра
440,Bild::N,სურათი,сӑн
441,Bild::N,სურათი,сӑнлӑх
442,Bild::N,სურათი,картина
443,Figur::N,ფიგურა,кӗлетке
444,Puppe::N,თოჯინა,пукане
445,Beutel::N,პარკი,михӗ
446,Bündel::N,გალა,ҫыхӑ
447,Bündel::N,გალა,тӗрке
448,Bündel::N,ასხმა,ҫыхӑ
449,Bündel::N,ასხმა,тӗрке
450,Tasche::N,ჩანთა,сумка
451,Eimer::N,ჩამჩა,витре
452,Deckel::N,ხუფი,хупӑ
453,Deckel::N,სარქველი,хупӑ
454,Geschirr::N,ჭურჭელი,савӑт-сапа
455,Sack::N,ტომარა,михӗ
456,Tasse::N,ფინჯანი,курка
457,Topf::N,ქოთანი,кастрюль
458,Kessel::N,ქვაბი,хуран
459,Essen::N,ჭამა,апат
460,Nahrung::N,საზრდო,апат-ҫимӗс
461,Nahrung::N,საკვები,апат-ҫимӗс
462,Speise::N,საჭმელი,апат
463,Speise::N,საჭმელი,ҫимӗҫ
464,Fleisch::N,ხორცი,аш
465,Fleisch::N,ხორცი,какай
466,Getreide::N,მარცვლოვანი,тырӑ
467,Brei::N,ფაფა,пӑтӑ
468,Brot::N,პური,ҫӑкӑр
469,Scheibe::N,ნაჭერი,чӗлӗ
470,Scheibe::N,ნაჭერი,касӑк
471,Fett::N,ქონი,ҫу
472,Fett::N,ცხიმი,ҫу
473,Butter::N,კარაქი,ҫу
474,Öl::N,ზეთი,ҫу
475,Salz::N,მარილი,тӑвар
476,Suppe::N,სუფი,яшка
477,Honig::N,თაფლი,пыл
478,Milch::N,რძე,сӗт
479,Tee::N,ჩაი,чей
480,Leder::N,ტყავი,сӑран
481,Wolle::N,მატყლი,ҫӑм
482,Stoff::N,ქსოვილი,тӗртӗм
483,Nadel::N,ნემსი,йӗп
484,Faden::N,ძაფი,ҫип
485,Faden::N,მკედი,ҫип
486,Knopf::N,ღილი,тӳме
487,Knoten::N,ნასკვი,йӑлӑ
488,Farbe::N,საღებავი,сӑрӑ
489,Kleidung::N,ტანსაცმელი,тум
490,Kleidung::N,ტანსაცმელი,ҫипуҫ
491,Kleidung::N,ტანსაცმელი,тум-тир
492,Hemd::N,ხალათი,кӗпе
493,Hemd::N,პერანგი,кӗпе
494,Kragen::N,საყელო,ҫуха
495,Ärmel::N,სახელო,ҫанӑ
496,Hose::N,შარვალი,шӑлавар
497,Gürtel::N,ქამარი,пиҫиххи
498,Mütze::N,ქუდი,ҫӗлӗк
499,Schuh::N,ფეხსაცმელი,пушмак
500,Schuh::N,ფეხსაცმელი,ботинок
501,Stiefel::N,ჩექმა,атӑ
502,Ring::N,ბეჭედი,ҫӗрӗ
503,Band::N,ბაფთი,хаю
504,Band::N,ბაფთი,йӗсме
505,Kamm::N,სავარცხელი,тура
506,Spiegel::N,სარკე,тӗкӗр
507,Spiegel::N,სარკე,куҫ кӗски
508,Riemen::N,ღვედი,чӗн
509,Schnur::N,ლარი,кантра
510,Leine::N,ჯაჭვი,касмӑк
511,Decke::N,საბანი,утиял
512,Kissen::N,ბალიში,ҫытар
513,Kissen::N,ბალიში,минтер
514,Tuch::N,მაუდი,тутӑр
515,Tuch::N,თავშალი,тутӑр
516,Handtuch::N,ხელსახოცი,ал шӑлли
517,Kraft::N,ძალა,вӑй
518,Kraft::N,ძალა,хӑват
519,Stärke::N,ღონე,хал
520,Stärke::N,ღონე,хӑват
521,Gesundheit::N,ჯანმრთელობა,хал
522,Gesundheit::N,ჯანმრთელობა,сывлӑх
523,Krankheit::N,სენი,чир
524,Krankheit::N,ავადმყოფობა,чир
