,Concept_ID,ku,bn
0,Auge::N,çav,চক্ষু
1,Ohr::N,guh,কর্ণ
2,Nase::N,bêvil,নাক
3,Mund::N,dev,মুখ
4,Zahn::N,didan,দাঁত
5,Zunge::N,ziman,জিহবা
6,Lippe::N,lêv,অধর
7,Wange::N,dêm,গণ্ড
8,Wange::N,hinarik,গণ্ড
9,Gesicht::N,rû,মুখমণ্ডল
10,Stirn::N,enî,কপাল
11,Haar::N,por,চুল
12,Schnurrbart::N,simbêl,গোঁফ
13,Bart::N,rih,শ্মশ্রু
14,Kinn::N,zenî,চিবুক
15,Kiefer[Anatomie]::N,arguşk,চোয়াল
16,Kehle::N,qirik,কণ্ঠ
17,Hals::N,stû,গল
18,Hals::N,qirik,গল
19,Genick::N,stû,ঘাড়
20,Kopf::N,serî,মাথা
21,Rücken::N,pişt,পৃষ্ঠ
22,Bauch::N,ûr,উদর
23,Bauch::N,zik,উদর
24,Nabel::N,navik,নাভি
25,Busen::N,sîng,স্তন
26,Brust::N,sîng,বুক
27,Schulter::N,mil,স্কন্ধ
28,Arm::N,çepil,বাহু
29,Ellenbogen::N,enîşk,কনুই
30,Hand::N,dest,হাত
31,Handfläche::N,kefadest,করতল
32,Finger::N,tilî,আঙ্গুল
33,Fingernagel::N,neynuk,হাতের নখ
34,Nagel[Anatomie]::N,bizmar,নখ
35,Zeh::N,tilî linga,আঙ্গুল
36,Fuß::N,ling,পা
37,Ferse::N,pahnî,গোড়ালি
38,Knie::N,kabok,হাঁটু
39,Oberschenkel::N,rahn,ঊরু
40,Bein::N,çip,পা
41,Körper::N,laş,দেহ
42,Körper::N,gowde,দেহ
43,Haut::N,çerm,ত্বক
44,Blut::N,xwîn,রক্ত
45,Ader::N,reh,শিরা
46,Sehne::N,reh,কণ্ডরা
47,Knochen::N,hestî,অস্থি
48,Gehirn::N,mêjî,মস্তিষ্ক
49,Herz::N,dil,হৃৎপিণ্ড
50,Magen::N,navêş,পাকস্থলী
51,Leber::N,kezeb,যকৃৎ
