,Concept_ID,pl,es
0,Auge::N,oko,ojo
1,Ohr::N,ucho,oreja
2,Nase::N,nos,nariz
3,Mund::N,usta,boca
4,Zahn::N,ząb,diente
5,Zunge::N,język,lengua
6,Lippe::N,warga,labio
7,Wange::N,policzek,mejilla
8,Gesicht::N,twarz,cara
9,Stirn::N,czoło,frente
10,Haar::N,włos,cabello
11,Haar::N,włosy,cabello
12,Schnurrbart::N,wąsy,bigote
13,Bart::N,broda,barba
14,Kinn::N,podbródek,barbilla
15,Kiefer[Anatomie]::N,czeluść,mandíbula
16,Kehle::N,gardło,garganta
17,Hals::N,szyja,cuello
18,Genick::N,kark,nuca
19,Genick::N,kark,cerviz
20,Kopf::N,głowa,cabeza
21,Rücken::N,plecy,espalda
22,Rücken::N,grzbiet,espalda
23,Bauch::N,brzuch,vientre
24,Nabel::N,pępek,ombligo
25,Busen::N,biust,pecho
26,Brust::N,pierś,pecho
27,Schulter::N,bark,hombro
28,Schulter::N,ramię,hombro
29,Arm::N,ręka,brazo
30,Arm::N,ramię,brazo
31,Ellenbogen::N,łokieć,codo
32,Hand::N,dłoń,mano
33,Handfläche::N,dłoń,palma
34,Finger::N,palec,dedo
35,Fingernagel::N,paznokieć,uña
36,Nagel[Anatomie]::N,paznokieć,uña
37,Zeh::N,palec,dedo del pie
38,Fuß::N,stopa,pie
39,Ferse::N,pięta,talón
40,Knie::N,kolano,rodilla
41,Oberschenkel::N,udo,muslo
42,Bein::N,noga,pierna
43,Körper::N,ciało,cuerpo
44,Haut::N,skóra,piel
45,Blut::N,krew,sangre
46,Ader::N,żyła,vena
47,Sehne::N,ścięgno,tendón
48,Knochen::N,kość,hueso
49,Gehirn::N,mózg,cerebro
50,Gehirn::N,mózg,encéfalo
51,Herz::N,serce,corazón
52,Magen::N,żołądek,estómago
53,Leber::N,wątroba,hígado
54,Atem::N,dech,aliento
55,Atem::N,oddech,aliento
56,Hunger::N,głód,hambre
57,Träne::N,łza,lágrima
58,Geschmack::N,smak,gusto
59,Geruch::N,woń,olor
60,Geruch::N,zapach,olor
61,Schlaf::N,sen,sueño
62,Traum::N,sen,sueño
63,Traum::N,sen,ensueño
64,Himmel::N,niebo,cielo
65,Sonne::N,słońce,sol
66,Mond::N,księżyc,luna
67,Stern::N,gwiazda,estrella
68,Luft::N,powietrze,aire
69,Wind::N,wiatr,viento
70,Welle::N,fala,ola
71,Welle::N,fala,onda
72,Wasser::N,woda,agua
73,Stein::N,kamień,piedra
74,Boden::N,grunt,suelo
75,Erde::N,ziemia,tierra
76,Staub::N,pył,polvo
77,Staub::N,kurz,polvo
78,Rauch::N,dym,humo
79,Funke::N,iskra,chispa
80,Feuer::N,ogień,fuego
81,Licht::N,światło,luz
82,Schatten::N,cień,sombra
83,Wetter::N,pogoda,tiempo
84,Nebel::N,mgła,niebla
85,Wolke::N,obłok,nube
86,Wolke::N,chmura,nube
87,Regen::N,deszcz,lluvia
88,Schnee::N,śnieg,nieve
89,Eis::N,lód,hielo
90,Frost::N,mróz,helada
91,Kälte::N,chłód,frío
92,Hitze::N,gorąco,calor
93,Raureif::N,szron,escarcha
94,Regenbogen::N,tęcza,arco iris
95,Donner::N,grzmot,trueno
96,Strömung::N,nurt,corriente
97,Tropfen::N,kropla,gota
98,Schaum::N,piana,espuma
99,Schmutz::N,brud,suciedad
100,See::N,jezioro,lago
101,Sumpf::N,bagno,pantano
102,Moor::N,bagno,turbera
103,Wiese::N,łąka,prado
104,Wiese::N,łąka,pradera
105,Wald::N,las,bosque
106,Hügel::N,pagórek,colina
107,Anhöhe::N,wzgórze,cerro
108,Berg::N,góra,monte
109,Berg::N,góra,montaña
110,Gipfel::N,szczyt,cima
111,Gipfel::N,szczyt,cumbre
112,Gipfel::N,wierzchołek,cima
113,Gipfel::N,wierzchołek,cumbre
114,Höhle::N,pieczara,cueva
115,Höhle::N,pieczara,caverna
116,Abhang::N,stok,cuesta
117,Abhang::N,stok,declive
118,Abhang::N,zbocze,cuesta
119,Abhang::N,zbocze,declive
120,Quelle::N,zdrój,fuente
121,Quelle::N,zdrój,manantial
122,Quelle::N,źródło,fuente
123,Quelle::N,źródło,manantial
124,Bach::N,potok,arroyo
125,Bach::N,strumień,arroyo
126,Fluss::N,rzeka,río
127,Ufer::N,brzeg,orilla
128,Küste::N,wybrzeże,costa
129,Festland::N,ląd,tierra firme
130,Meer::N,morze,mar
131,Bucht::N,zatoka,cala
132,Bucht::N,zatoka,bahía
