,Concept_ID,fr,os
0,Auge::N,œil,цӕст
1,Ohr::N,oreille,хъус
2,Nase::N,nez,фындз
3,Mund::N,bouche,дзых
4,Zahn::N,dent,дӕндаг
5,Zunge::N,langue,ӕвзаг
6,Lippe::N,lèvre,был
7,Wange::N,joue,рус
8,Wange::N,joue,уадул
9,Wange::N,joue,ӕхсӕрфарс
10,Gesicht::N,face,цӕсгом
11,Gesicht::N,visage,цӕсгом
12,Stirn::N,front,ных
13,Haar::N,cheveu,хил
14,Schnurrbart::N,moustache,рихи
15,Bart::N,barbe,зачъе
16,Kinn::N,menton,роцъо
17,Kiefer[Anatomie]::N,mâchoire,ӕфсӕр
18,Kehle::N,gorge,хъуыр
19,Hals::N,cou,къубал
20,Genick::N,nuque,къӕбут
21,Kopf::N,tête,сӕр
22,Rücken::N,dos,фӕсонтӕ
23,Bauch::N,ventre,гуыбын
24,Nabel::N,nombril,бикъ
25,Busen::N,sein,дзидзи
26,Brust::N,poitrine,риу
27,Schulter::N,épaule,уӕхск
28,Arm::N,bras,цонг
29,Ellenbogen::N,coude,рæмбын
30,Hand::N,main,къух
31,Handfläche::N,paume,армытъӕпӕн
32,Finger::N,doigt,ӕнруылдз
33,Fingernagel::N,ongle,ных
34,Nagel[Anatomie]::N,ongle,ных
35,Zeh::N,orteil,къух
36,Zeh::N,doigt de pied,къух
37,Fuß::N,pied,фад
38,Ferse::N,talon,зӕвӕт
39,Knie::N,genou,уӕраг
40,Oberschenkel::N,cuisse,агъд
41,Bein::N,jambe,зӕнг
42,Körper::N,corps,буар
43,Haut::N,peau,царм
44,Blut::N,sang,туг
45,Ader::N,veine,дадзин
46,Ader::N,veine,тугдадзин
47,Sehne::N,tendon,хъиутæ
48,Sehne::N,tendon,нуар
49,Knochen::N,os,стӕг
50,Gehirn::N,cerveau,магъз
51,Herz::N,cœur,зӕрдӕ
52,Magen::N,estomac,ахсӕн
53,Leber::N,foie,игæр
54,Atem::N,haleine,улӕфт
55,Hunger::N,faim,стонг
56,Träne::N,larme,цæссыг
57,Geschmack::N,goût,ад
58,Geschmack::N,saveur,ад
59,Geruch::N,odeur,смаг
60,Schlaf::N,sommeil,хуыссӕг
61,Traum::N,songe,фын
62,Himmel::N,ciel,арв
63,Himmel::N,ciel,уӕларв
64,Sonne::N,soleil,хур
65,Mond::N,lune,мӕй
66,Stern::N,étoile,стъалы
67,Luft::N,air,уӕлдӕф
68,Wind::N,vent,дымгӕ
69,Welle::N,vague,уылӕн
70,Wasser::N,eau,дон
71,Stein::N,pierre,дур
72,Boden::N,sol,зӕхх
73,Boden::N,terrain,зӕхх
74,Erde::N,terre,сыджыт
75,Staub::N,poussière,рыг
76,Rauch::N,fumée,фӕздӕг
77,Funke::N,étincelle,цӕхӕр
78,Feuer::N,feu,зынг
79,Licht::N,lumière,рухс
80,Schatten::N,ombre,аууон
81,Wetter::N,temps,боныхъӕд
82,Nebel::N,brume,мигъ
83,Nebel::N,brouillard,мигъ
84,Wolke::N,nuage,ӕврагъ
85,Regen::N,pluie,уарын
86,Schnee::N,neige,мит
87,Eis::N,glace,их
88,Frost::N,gel,ихæн
89,Frost::N,gelée,ихæн
90,Kälte::N,froid,уазал
91,Hitze::N,chaleur,ӕнтӕф
92,Raureif::N,givre,халас
93,Regenbogen::N,arc-en-ciel,арвырон
94,Regenbogen::N,arc-en-ciel,арвырдын
95,Donner::N,tonnerre,æрвнæрын
96,Strömung::N,courant,цыд
97,Tropfen::N,goutte,æртах
98,Schaum::N,écume,фынк
99,Schaum::N,mousse,фынк
100,Schmutz::N,boue,цъыф
101,Schmutz::N,saleté,цъыф
102,See::N,lac,цад
103,Sumpf::N,marais,цъыфдзаст
104,Sumpf::N,marécage,цъыфдзаст
105,Moor::N,tourbière,цъыфдзаст
106,Wiese::N,pré,уыгӕрдӕн
107,Wald::N,bois,хъӕд
108,Wald::N,forêt,хъӕд
109,Hügel::N,coteau,обау
110,Hügel::N,coteau,къуыбыр
111,Hügel::N,colline,обау
112,Hügel::N,colline,къуыбыр
113,Anhöhe::N,éminence,уæлвæз
114,Anhöhe::N,éminence,уæлхох
115,Anhöhe::N,élévation,уæлвæз
116,Anhöhe::N,élévation,уæлхох
117,Berg::N,mont,хох
118,Berg::N,montagne,хох
119,Gipfel::N,cime,цъупп
120,Gipfel::N,sommet,цъупп
121,Höhle::N,caverne,лӕгӕт
122,Abhang::N,pente,къул
123,Abhang::N,versant,къул
124,Quelle::N,source,суадон
125,Quelle::N,fontaine,суадон
126,Bach::N,ruisseau,мӕсчъыдон
127,Fluss::N,fleuve,дон
128,Fluss::N,fleuve,цӕугӕдон
129,Fluss::N,rivière,дон
130,Fluss::N,rivière,цӕугӕдон
131,Ufer::N,bord,был
132,Ufer::N,rivage,был
133,Küste::N,côte,донбыл
134,Festland::N,terre ferme,сурзæхх
135,Meer::N,mer,денджыз
136,Bucht::N,baie,донбакæлæн
137,Insel::N,île,сакъадах
138,Blume::N,fleur,дидинӕг
139,Gras::N,herbe,кӕрдӕг
140,Wurzel::N,racine,уидаг
141,Baum::N,arbre,бӕлас
142,Stamm::N,tronc,хӕтӕл
143,Rinde::N,écorce,цъар
144,Ast::N,branche,арх
145,Zweig::N,rameau,къалиу
146,Blatt::N,feuille,сыф
147,Birke::N,bouleau,бæрз
148,Kiefer[Baum]::N,pin,нӕзы
149,Weide[Baum]::N,saule,хӕрис
150,Tanne::N,sapin,наз
151,Horn::N,corne,сыкъа
152,Feder::N,plume,сис
153,Fell::N,peau,царм
154,Flügel::N,aile,базыр
155,Klaue::N,serre,ных
156,Kralle::N,ongle,дзӕмбы
157,Kralle::N,griffe,дзӕмбы
158,Schwanz::N,queue,къӕдзил
159,Ei::N,œuf,айк
160,Nest::N,nid,ахстон
161,Bau::N,terrier,хуынкъ
162,Tier::N,animal,сырд
163,Tier::N,animal,цӕрӕгой
164,Herde::N,troupeau,дзуг
165,Herde::N,troupeau,рӕгъау
166,Kuh::N,vache,хъуг
167,Bulle::N,taureau,гал
168,Pferd::N,cheval,бӕх
169,Schaf::N,mouton,фыс
170,Schwein::N,porc,хуы
171,Schwein::N,cochon,хуы
172,Hund::N,chien,куыдз
173,Katze::N,chat,гӕды
174,Bär::N,ours,арс
