,Concept_ID,ady,ba
0,Auge::N,нэ,күҙ
1,Ohr::N,тхьакӏу́м,ҡолаҡ
2,Nase::N,пэ,танау
3,Mund::N,жэ,ауыҙ
4,Zahn::N,цэ,теш
5,Zunge::N,бзэгу,тел
6,Lippe::N,ӏупшӏэ́,ирен
7,Wange::N,нэкӏу́шъу,яцаҡтар
8,Gesicht::N,нэ́гу,бит
9,Stirn::N,натӏэ́,маңлай
10,Haar::N,шъхьацы́,сәс
11,Bart::N,жакӏэ́,һаҡал
12,Kinn::N,жэкӏэпэпкъ,эйэк
13,Kiefer[Anatomie]::N,жэпкъы́,яңаҡ һөйәге
14,Kehle::N,чый,тамаҡ
15,Hals::N,пшъэ,муйын
16,Genick::N,шъхьэпхэтыку,соңҡа
17,Kopf::N,шъхьэ́,баш
18,Rücken::N,кӏыбы́,арҡа
19,Bauch::N,ныбэ́,ҡорһаҡ
20,Busen::N,бгъэ́,күкрәк
21,Brust::N,бгъэ́,түш
22,Schulter::N,блыпкъ,яурын
23,Arm::N,ӏэ,ҡул
24,Ellenbogen::N,ӏэнтэ́гъу,терһәк
25,Hand::N,ӏэтхьэцу,ҡул
26,Hand::N,ӏэтхьэцу,ҡул суғы
27,Handfläche::N,ӏэ́гу,ус төбө
28,Finger::N,ӏэхъуа́мб,бармаҡ
29,Fingernagel::N,ӏэбжъа́н,тырнаҡ
30,Nagel[Anatomie]::N,ӏэбжъа́н,тырнаҡ
31,Zeh::N,ӏэхъуа́мб,бармаҡ
32,Fuß::N,лъэгу,табан
33,Ferse::N,лъэдакъэ,үксә
34,Knie::N,лъагуа́ндж,тубыҡ
35,Oberschenkel::N,ко,сандыр
36,Bein::N,лъакъо́,аяҡ
37,Körper::N,пкъышъол,тән
38,Haut::N,кӏы́шъу,тире
39,Blut::N,лъы,ҡан
40,Ader::N,льытф,тамыр
41,Sehne::N,фэ,һеңер
42,Sehne::N,фэ,тарамыш
43,Knochen::N,къупшъхьэ́,һойәк
44,Gehirn::N,куцӏы,мейе
45,Herz::N,гу,йорәк
46,Magen::N,мышкӏу,ашҡаҙан
47,Leber::N,шӏу,бауыр
48,Atem::N,къэщэныр,һулыш
49,Hunger::N,гъаблэ́,аслыҡ
