,Concept_ID,ja,it
0,Auge::N,目,occhio
1,Ohr::N,耳,orecchio
2,Nase::N,鼻,naso
3,Mund::N,口,bocca
4,Zahn::N,歯,dente
5,Zunge::N,舌,lingua
6,Lippe::N,唇,labbro
7,Wange::N,頬,guancia
8,Gesicht::N,顔,viso
9,Gesicht::N,顔,faccia
10,Stirn::N,額,fronte
11,Haar::N,髪,capello
12,Schnurrbart::N,口髭,baffi
13,Schnurrbart::N,口髭,mustacchi
14,Bart::N,髭,barba
15,Kinn::N,顎,mento
16,Kiefer[Anatomie]::N,顎,mascella
17,Kehle::N,喉,gola
18,Hals::N,首,collo
19,Genick::N,首,nuca
20,Kopf::N,頭,capo
21,Kopf::N,頭,testa
22,Rücken::N,背中,dorso
23,Rücken::N,背中,schiena
24,Bauch::N,腹,ventre
25,Bauch::N,お腹,ventre
26,Nabel::N,へそ,ombelico
27,Busen::N,乳房,seno
28,Brust::N,胸,petto
29,Schulter::N,肩,spalla
30,Arm::N,腕,braccio
31,Ellenbogen::N,肘,gomito
32,Hand::N,手,mano
33,Handfläche::N,手のひら,palma
34,Finger::N,指,dito
35,Fingernagel::N,爪,unghia
36,Nagel[Anatomie]::N,爪,unghia
37,Zeh::N,足の指,dito del piede
38,Fuß::N,足,piede
39,Ferse::N,かかと,tallone
40,Ferse::N,かかと,calcagno
41,Knie::N,膝,ginocchio
42,Oberschenkel::N,上腿,fèmore
43,Bein::N,足,gamba
44,Körper::N,体,corpo
45,Haut::N,皮膚,pelle
46,Blut::N,血,sangue
47,Ader::N,血管,vena
48,Sehne::N,腱,tèndine
49,Knochen::N,骨,osso
50,Gehirn::N,脳,cervello
51,Herz::N,心,cuore
52,Herz::N,心臓,cuore
53,Magen::N,胃,stòmaco
54,Leber::N,肝臓,fegato
55,Atem::N,息,fiato
56,Atem::N,息,respiro
57,Atem::N,呼吸,fiato
58,Atem::N,呼吸,respiro
59,Hunger::N,空腹,fame
60,Träne::N,涙,làcrima
61,Geschmack::N,味,gusto
62,Geschmack::N,味,sapore
63,Geruch::N,匂い,odore
64,Schlaf::N,睡眠,sonno
65,Traum::N,夢,sogno
66,Himmel::N,空,cielo
67,Sonne::N,太陽,sole
68,Mond::N,月,luna
69,Stern::N,星,stella
70,Luft::N,空気,aria
71,Wind::N,風,vento
72,Welle::N,波,onda
73,Wasser::N,水,acqua
74,Stein::N,石,sasso
75,Stein::N,石,pietra
76,Boden::N,土地,suolo
77,Boden::N,土地,terreno
78,Erde::N,土,terra
79,Staub::N,埃,polvere
80,Rauch::N,煙,fumo
81,Funke::N,火花,scintilla
82,Feuer::N,火,fuoco
83,Licht::N,光,luce
84,Schatten::N,陰,ombra
85,Wetter::N,天気,tempo
86,Nebel::N,霧,nebbia
87,Wolke::N,雲,nube
88,Wolke::N,雲,nùvola
89,Regen::N,雨,pioggia
90,Schnee::N,雪,neve
91,Eis::N,氷,ghiaccio
92,Frost::N,霜,gelo
93,Kälte::N,寒さ,freddo
94,Hitze::N,暑さ,caldo
95,Hitze::N,暑さ,calura
96,Raureif::N,霧氷,brina
97,Regenbogen::N,虹,arcobaleno
98,Donner::N,雷,tuono
99,Strömung::N,流れ,corrente
100,Tropfen::N,滴,goccia
101,Schaum::N,泡,spuma
102,Schaum::N,泡,schiuma
103,Schmutz::N,汚れ,sudiciume
104,See::N,湖,lago
105,Sumpf::N,沼,palude
106,Moor::N,湿原,torbiera
107,Wiese::N,草原,prato
108,Wald::N,森,bosco
109,Wald::N,森,foresta
110,Hügel::N,丘,colle
111,Hügel::N,丘,collina
112,Anhöhe::N,高み,altura
113,Berg::N,山,monte
114,Berg::N,山,montagna
115,Gipfel::N,頂上,cima
116,Höhle::N,洞窟,grotta
117,Höhle::N,洞窟,caverna
118,Abhang::N,斜面,pendìo
119,Quelle::N,泉,sorgente
120,Bach::N,小川,ruscello
121,Fluss::N,川,fiume
122,Ufer::N,岸,riva
123,Küste::N,海岸,costa
124,Festland::N,陸,terraferma
125,Meer::N,海,mare
126,Bucht::N,湾,cala
127,Insel::N,島,ìsola
128,Blume::N,花,fiore
129,Gras::N,草,erba
130,Wurzel::N,根,radice
131,Baum::N,木,àlbero
132,Stamm::N,幹,tronco
133,Rinde::N,皮層,corteccia
134,Ast::N,枝,ramo
135,Zweig::N,小枝,ramo
136,Blatt::N,葉,foglia
137,Birke::N,樺,betulla
138,Kiefer[Baum]::N,松,pino
139,Weide[Baum]::N,柳,sàlice
140,Tanne::N,樅,abete
141,Horn::N,角,corno
142,Feder::N,羽根,penna
143,Fell::N,毛皮,manto
144,Fell::N,毛皮,pelame
145,Flügel::N,羽,ala
146,Klaue::N,鉤爪,grinfia
147,Kralle::N,爪,unghia
148,Kralle::N,爪,artiglio
149,Schwanz::N,尻尾,coda
150,Ei::N,卵,uovo
151,Nest::N,巣,nido
152,Bau::N,穴,covo
153,Tier::N,動物,bestia
154,Tier::N,動物,animale
155,Herde::N,群れ,gregge
156,Kuh::N,牛,vacca
157,Bulle::N,雄牛,toro
158,Pferd::N,馬,cavallo
159,Schaf::N,羊,pècora
160,Schwein::N,豚,porco
161,Schwein::N,豚,maiale
162,Hund::N,犬,cane
163,Katze::N,猫,gatta
164,Bär::N,熊,orso
165,Eichhörnchen::N,栗鼠,scoiàttolo
166,Elch::N,ヘラジカ,alce
167,Fuchs::N,狐,volpe
168,Hase::N,兎,lepre
169,Maus::N,鼠,topo
170,Maus::N,鼠,sorcio
171,Wolf::N,狼,lupo
172,Vogel::N,鳥,uccello
173,Schwarm::N,群れ,stormo
174,Huhn::N,鶏,gallina
175,Hahn::N,雄鶏,gallo
176,Gans::N,ガチョウ,oca
177,Adler::N,鷲,àquila
178,Ente::N,鴨,ànatra
179,Eule::N,フクロウ,gufo
180,Eule::N,フクロウ,civetta
181,Kranich::N,鶴,gru
182,Krähe::N,烏,cornacchia
183,Kuckuck::N,郭公,cuccù
184,Kuckuck::N,郭公,cùculo
185,Schwan::N,白鳥,cigno
186,Fisch::N,魚,pesce
187,Barsch::N,鱸,pèrsico
188,Hecht::N,川魳,luccio
189,Schlange[Tier]::N,蛇,serpente
190,Wurm::N,虫,baco
191,Wurm::N,虫,verme
192,Spinne::N,蜘蛛,ragno
193,Ameise::N,蟻,formica
194,Laus::N,虱,pidocchio
195,Mücke::N,蚊,zanzara
196,Fliege::N,蝿,mosca
197,Schmetterling::N,蝶,farfalla
198,Beere::N,漿果,bacca
199,Apfel::N,林檎,mela
200,Pilz::N,茸,fungo
201,Zwiebel::N,玉葱,cipolla
202,Saat::N,種,semente
203,Korn::N,粒,grano
204,Heu::N,干し草,fieno
205,Schale::N,皮,buccia
206,Grube::N,穴,cava
207,Grube::N,穴,fossa
208,Falle::N,わな,tràppola
209,Schlinge::N,輪,laccio
210,Spur::N,跡,traccia
211,Asche::N,灰,cenere
212,Dreck::N,泥,fango
213,Eisen::N,鉄,ferro
214,Gold::N,金,oro
215,Silber::N,銀,argento
216,Kohle::N,炭,carbone
217,Glas::N,ガラス,vetro
218,Lehm::N,ローム,argilla
219,Sand::N,砂,arena
220,Sand::N,砂,sabbia
221,Mensch::N,人,uomo
222,Mensch::N,人,èssere umano
223,Mann::N,男,uomo
224,Mann::N,男性,uomo
225,Frau::N,女,donna
226,Frau::N,女性,donna
227,Kind::N,子,bambino
228,Kind::N,子供,bambino
229,Junge::N,男の子,ragazzo
230,Mädchen::N,女の子,ragazza
231,Familie::N,家族,famiglia
232,Großvater::N,祖父,nonno
233,Großvater::N,おじいさん,nonno
234,Großmutter::N,祖母,nonna
235,Großmutter::N,おばあさん,nonna
236,Eltern::N,親,genitori
237,Eltern::N,両親,genitori
238,Vater::N,父,padre
239,Vater::N,お父さん,padre
240,Mutter::N,母,madre
241,Mutter::N,お母さん,madre
242,Sohn::N,息子,figlio
243,Sohn::N,息子さん,figlio
244,Tochter::N,娘,figlia
245,Tochter::N,お嬢さん,figlia
246,Bruder::N,弟,fratello
247,Schwester::N,妹,sorella
248,Onkel::N,伯父,zio
249,Onkel::N,伯父さん,zio
250,Tante::N,叔母,zia
251,Tante::N,叔母さん,zia
252,Ehemann::N,夫,marito
253,Ehemann::N,主人,marito
254,Ehefrau::N,妻,moglie
255,Ehefrau::N,奥さん,moglie
256,Freude::N,喜び,gioia
257,Freude::N,喜び,piacere
258,Gelächter::N,笑い,risata
259,Glück::N,幸せ,felicità
260,Kummer::N,悩み,afflizione
261,Wunsch::N,希望,desiderio
262,Lust::N,気,voglia
263,Geist::N,精神,mente
264,Geist::N,精神,spìrito
265,Gedanke::N,考え,idea
266,Gedanke::N,考え,pensiero
267,Gedächtnis::N,記憶,memoria
268,Verstand::N,理解力,intelletto
269,Sinn::N,意味,senso
270,Sinn::N,意味,significato
271,Grund::N,理由,causa
272,Grund::N,理由,motivo
273,Grund::N,理由,ragione
274,Wahrheit::N,真実,verità
275,Gespräch::N,会話,discorso
276,Gespräch::N,会話,conversazione
277,Märchen::N,童話,fiaba
278,Märchen::N,童話,fàvola
279,Erzählung::N,物語,racconto
280,Erzählung::N,物語,narrazione
281,Nachricht::N,報告,messaggio
282,Neuigkeit::N,ニュース,notizia
283,Name::N,名前,nome
284,Rätsel::N,謎,indovinello
285,Rede::N,演説,discorso
286,Sprache::N,言語,lingua
287,Sprache::N,言語,linguaggio
288,Stimme::N,声,voce
289,Wort::N,言葉,parola
290,Zeichen::N,記号,segno
291,Zeichen::N,記号,segnale
292,Ruf::N,呼び声,chiamata
293,Lärm::N,騒音,chiasso
294,Lärm::N,騒音,strèpito
295,Laut::N,音,suono
296,Ton::N,音,tono
297,Lied::N,歌,canto
298,Lied::N,歌,canzone
299,Ruhe::N,静けさ,calma
300,Ruhe::N,静けさ,tranquillità
301,Leute::N,人々,gente
302,Volk::N,民族,pòpolo
303,Arbeit::N,仕事,lavoro
304,Gast::N,客,òspite
305,Gast::N,客,invitato
306,Geschenk::N,贈り物,regalo
307,Spiel::N,遊び,gioco
308,Gesellschaft::N,社会,compagnìa
309,Hilfe::N,援助,aiuto
310,Hilfe::N,援助,soccorso
311,Freund::N,友達,amico
312,Kamerad::N,同志,camerata
313,Angelegenheit::N,件,affare
314,Angelegenheit::N,件,faccenda
315,Anzahl::N,数,nùmero
316,Anzahl::N,数,quantità
317,Art::N,種類,tipo
318,Art::N,種類,specie
319,Stück::N,部分,pezzo
320,Teil::N,部分,parte
321,Hälfte::N,半分,metà
322,Kreis::N,円,cìrcolo
323,Kreuz::N,十字,croce
