,Concept_ID,sah,nl
0,Auge::N,харах,oog
1,Ohr::N,кулгаах,oor
2,Nase::N,мурун,neus
3,Mund::N,айах,mond
4,Zahn::N,тиис,tand
5,Zunge::N,тыл,tong
6,Lippe::N,уос,lip
7,Wange::N,иэдэс,wang
8,Gesicht::N,сирэй,gelaat
9,Gesicht::N,сирэй,gezicht
10,Stirn::N,сүүс,voorhoofd
11,Haar::N,баттах,haar
12,Schnurrbart::N,уос бытыга,snor
13,Bart::N,сэҥийэ бытыга,baard
14,Kinn::N,сэҥийэ,kin
15,Kiefer[Anatomie]::N,сыҥаах,kaak
16,Kehle::N,тамах,keel
17,Kehle::N,тамах,strot
18,Kehle::N,күөмэй,keel
19,Kehle::N,күөмэй,strot
20,Hals::N,моой,hals
21,Genick::N,кэтэх,nek
22,Kopf::N,бас,hoofd
23,Rücken::N,көҕүс,rug
24,Bauch::N,ис,buik
25,Nabel::N,киин,navel
26,Busen::N,эмиий,boezem
27,Brust::N,түөс,borst
28,Schulter::N,сарын,schouder
29,Arm::N,илии,arm
30,Ellenbogen::N,тоҕонох,elleboog
31,Hand::N,илии,hand
32,Handfläche::N,ытыс,handpalm
33,Finger::N,тарбах,vinger
34,Fingernagel::N,тыҥырах,nagel
35,Nagel[Anatomie]::N,тыҥырах,nagel
36,Zeh::N,тарбах,teen
37,Fuß::N,уллуҥах,voet
38,Ferse::N,тилэх,hak
39,Ferse::N,тилэх,hiel
40,Knie::N,тобук,knie
41,Knie::N,дьилбэк,knie
42,Oberschenkel::N,уллук,dij
43,Oberschenkel::N,өттүк,dij
44,Bein::N,атах,been
45,Körper::N,бэйэ,lichaam
46,Haut::N,тирии,huid
47,Blut::N,хаан,bloed
48,Ader::N,вена,ader
49,Ader::N,күөх_тымыр,ader
50,Sehne::N,иҥиир,pees
51,Knochen::N,уҥуох,bot
52,Knochen::N,уҥуох,been
53,Knochen::N,уҥуох,knook
54,Knochen::N,уҥгуох,bot
55,Knochen::N,уҥгуох,been
56,Knochen::N,уҥгуох,knook
57,Gehirn::N,мэйии,hersenen
58,Herz::N,сүрэх,hart
59,Magen::N,куртах,maag
60,Leber::N,быар,lever
61,Atem::N,тыын,adem
62,Hunger::N,аас,honger
63,Träne::N,харах уута,traan
64,Geschmack::N,амтан,smaak
65,Geruch::N,сыт,geur
66,Schlaf::N,утуйуу,slaap
67,Traum::N,түүл,droom
68,Himmel::N,халлаан,hemel
69,Sonne::N,күн,zon
70,Mond::N,ый,maan
71,Stern::N,сулус,ster
72,Luft::N,салгын,lucht
73,Wind::N,тыал,wind
74,Welle::N,долгун,golf
75,Welle::N,балхаан,golf
76,Wasser::N,уу,water
77,Stein::N,таас,steen
78,Boden::N,сир,grond
79,Erde::N,буор,aarde
80,Staub::N,быыл,stof
81,Rauch::N,буруо,rook
82,Funke::N,кыым,vonk
83,Feuer::N,уот,vuur
84,Licht::N,уот,licht
85,Schatten::N,күлүк,schaduw
86,Wetter::N,күн-дьыл,weer
87,Nebel::N,туман,mist
88,Nebel::N,туман,nevel
89,Wolke::N,былыт,wolk
90,Regen::N,самыыр,regen
91,Schnee::N,хаар,sneeuw
92,Eis::N,муус,ijs
93,Frost::N,тымныы,vorst
94,Kälte::N,тымныы,kou
95,Kälte::N,тымныы,koude
96,Hitze::N,куйаас,hitte
97,Raureif::N,кырыа,rijp
98,Regenbogen::N,кустук,regenboog
99,Donner::N,этиҥ,donder
100,Strömung::N,сүүрүк,stroming
101,Tropfen::N,таммах,druppel
102,Tropfen::N,хааппыла,druppel
103,Schaum::N,күүгэн,schuim
104,Schmutz::N,кир,vuil
105,See::N,күөл,meer
106,Sumpf::N,бадараан,moeras
107,Moor::N,дьэбэрэ,veen
108,Wiese::N,ходуһа,wei
109,Wiese::N,ходуһа,weide
110,Wald::N,ойуур,bos
111,Hügel::N,булгунньах,heuvel
112,Anhöhe::N,үрдэл,hoogte
113,Berg::N,хайа,berg
114,Gipfel::N,чыпчаал,top
115,Höhle::N,хайа_хаспаҕа,hol
116,Höhle::N,көҥүс,hol
117,Abhang::N,эниэ,helling
118,Quelle::N,дьүүктэ,bron
119,Bach::N,үрүйэ,beek
120,Fluss::N,өрүс,stroom
121,Ufer::N,биэрэк,wal
122,Ufer::N,биэрэк,oever
123,Küste::N,кытыл,kust
124,Festland::N,кураанах сир,vasteland
125,Meer::N,муора,zee
126,Bucht::N,хомо,baai
127,Bucht::N,хомо,inham
128,Bucht::N,бухта,baai
129,Bucht::N,бухта,inham
130,Insel::N,арыы,eiland
131,Blume::N,сибэкки,bloem
132,Gras::N,от,gras
133,Wurzel::N,силис,wortel
134,Baum::N,мас,boom
135,Stamm::N,умнас,stam
136,Rinde::N,хатырык,schors
137,Ast::N,мутук,tak
138,Zweig::N,лабаа,twijg
139,Blatt::N,сэбирдэх,blad
140,Birke::N,хатыҥ,berk
141,Kiefer[Baum]::N,бэс,den
142,Weide[Baum]::N,үөт,wilg
143,Weide[Baum]::N,талах,wilg
144,Tanne::N,харыйа,spar
145,Horn::N,муос,hoorn
146,Feder::N,куорсун,veer
147,Feder::N,куорсун,pluim
148,Fell::N,тирии,vel
149,Flügel::N,кынат,vleugel
150,Klaue::N,тыҥырах,klauw
151,Kralle::N,баппаҕай,klauw
152,Schwanz::N,кутурук,staart
153,Ei::N,сымыыт,ei
154,Nest::N,уйа,nest
155,Bau::N,хороон,hol
156,Tier::N,кыыл,dier
157,Tier::N,харамай,dier
158,Herde::N,үөр,kudde
159,Kuh::N,ынах,koe
160,Bulle::N,оҕус,stier
161,Pferd::N,сылгы,paard
162,Schaf::N,овца,schaap
163,Schwein::N,сибиинньэ,varken
164,Hund::N,ыт,hond
165,Katze::N,куоска,kat
166,Bär::N,эһэ,beer
167,Eichhörnchen::N,тииҥ,eekhoorntje
168,Elch::N,тайах,eland
169,Fuchs::N,саһыл,vos
170,Hase::N,куобах,haas
171,Maus::N,кутуйах,muis
172,Wolf::N,бөрө,wolf
173,Vogel::N,көтөр,vogel
174,Schwarm::N,бөлөх,zwerm
175,Huhn::N,куурусса,kip
176,Huhn::N,куурусса,hoen
177,Hahn::N,бөтүүк,haan
178,Gans::N,хаас,gans
179,Adler::N,хотой,arend
180,Ente::N,кус,eend
181,Eule::N,мэкчиргэ,uil
182,Kranich::N,туруйа,kraanvogel
183,Krähe::N,тураах,kraai
184,Kuckuck::N,кэҕэ,koekoek
185,Schwan::N,куба,zwaan
186,Fisch::N,балык,vis
