,Concept_ID,hy,te
0,Auge::N,աչք,కన్ను
1,Ohr::N,ականջ,చెవి
2,Nase::N,քիթ,ముక్కు
3,Mund::N,բերան,నోరు
4,Zahn::N,ատամ,పల్లు
5,Zunge::N,լեզու,నాలుక
6,Lippe::N,շրթունք,పెదవి
7,Wange::N,այտ,చెంప
8,Wange::N,թուշ,చెంప
9,Gesicht::N,դեմք,ముఖము
10,Stirn::N,ճակատ,నుదురు
11,Haar::N,մազ,వెండ్రుక
12,Schnurrbart::N,բեղ,మీసము
13,Bart::N,մորուք,గడ్డము
14,Kinn::N,կզակ,గడ్డము
15,Kiefer[Anatomie]::N,ծնոտ,దౌడ
16,Kehle::N,կոկորդ,గొంతు
17,Hals::N,վիզ,మెడ
18,Hals::N,պարանոց,మెడ
19,Genick::N,ծոծրակ,మూపు
20,Kopf::N,գլուխ,తల
21,Rücken::N,մեջք,వెన్ను
22,Bauch::N,փոր,కడుపు
23,Bauch::N,որովայն,కడుపు
24,Nabel::N,պորտ,బొడ్డు
25,Busen::N,ծոց,స్తనము
26,Brust::N,կուրծք,ఱొమ్ము
27,Schulter::N,ուս,భుజము
28,Arm::N,թեւ,చేయి
29,Arm::N,բազուկ,చేయి
30,Ellenbogen::N,արմունկ,మోచేయి
31,Hand::N,ձեռք,చేయి
32,Handfläche::N,ափ,అరచేయు
33,Finger::N,մատ,చేతిప్రేలు
34,Fingernagel::N,եղունգ,గోరు
35,Nagel[Anatomie]::N,եղունգ,గోరు
36,Zeh::N,ոտքի մատ,కాలిప్రేలు
37,Fuß::N,ոտք,అడుగు
38,Ferse::N,գարշապար,మడమ
39,Knie::N,ծունկ,మోకాలు
40,Oberschenkel::N,ազդր,తొడ
41,Bein::N,ոտք,కాలు
42,Körper::N,մարմին,కాయము
43,Haut::N,մաշկ,చర్మము
44,Blut::N,արյուն,రక్తము
45,Ader::N,երակ,సిర
46,Sehne::N,ջիղ,స్నాయువు
47,Sehne::N,ձգտան,స్నాయువు
48,Knochen::N,ոսկոր,ఎముక
49,Gehirn::N,խելք,మెదడు
50,Herz::N,սիրտ,హృదయము
51,Magen::N,ստամոքս,కడుపు
52,Leber::N,լյարդ,కాలేయము
53,Atem::N,շունչ,ఉపిరి
54,Hunger::N,քաղց,ఆకలి
55,Träne::N,արտասուք,కన్నీటిచుక్క
56,Geschmack::N,համ,రుచి
57,Geschmack::N,բուրմունք,రుచి
58,Geruch::N,հոտ,వాసన
59,Geruch::N,բուրում,వాసన
60,Schlaf::N,քուն,నిద్ర
61,Traum::N,երազ,కల
62,Himmel::N,երկինք,ఆకాశము
63,Sonne::N,արեւ,సూర్యుడు
64,Mond::N,լուսին,చంద్రుడు
65,Stern::N,աստղ,నక్షత్రము
66,Luft::N,օդ,గాలి
67,Wind::N,քամի,వీచుచున్నగాలి
68,Welle::N,ալիք,అల
69,Wasser::N,ջուր,నీరు
70,Stein::N,քար,ఱాయి
71,Boden::N,գետին,నేల
72,Erde::N,հող,మన్ను
73,Staub::N,փոշի,దుమ్ము
74,Rauch::N,ծուխ,పొగ
75,Funke::N,կայծ,అగ్నికణము
76,Feuer::N,կրակ,అగ్ని
77,Feuer::N,հրդեհ,అగ్ని
78,Licht::N,լույս,కాంతి
79,Schatten::N,ստվեր,నీడ
80,Wetter::N,եղանակ,వాతావరణ స్థితి
81,Nebel::N,մեգ,పొగమంచు
82,Nebel::N,մառախուղ,పొగమంచు
83,Wolke::N,ամպ,మేఘము
84,Regen::N,անձրև,వాన
85,Schnee::N,ձյուն,హిమము
86,Eis::N,սառույց,మంచుగడ్డ
87,Frost::N,սառնամանիք,పేరిన మంచు
