,Concept_ID,kl,br
0,Auge::N,isi,lagad
1,Ohr::N,siut,skouarn
2,Mund::N,paaq,genoù
3,Mund::N,qaneq,genoù
4,Zahn::N,kigut,dant
5,Zunge::N,oqaq,teod
6,Lippe::N,qarloq,muzell
7,Wange::N,ersaq,chot
8,Gesicht::N,kiinaq,dremm
9,Stirn::N,qaaq,tal
10,Haar::N,meqqoq,blev
11,Bart::N,umik,barv
12,Kinn::N,talloq,groñj
13,Kiefer[Anatomie]::N,alleroq,javed
14,Kehle::N,malaq,gouzoug
15,Hals::N,qungaseq,gouzoug
16,Genick::N,pukusuk,choug
17,Kopf::N,niaqoq,penn
18,Rücken::N,qimerlut,kein
19,Bauch::N,naaq,kof
20,Nabel::N,qalaseq,begel
21,Busen::N,iviangeq,bronn
22,Brust::N,iviangeq,bruched
23,Schulter::N,ersik,skoaz
24,Schulter::N,assaqqoq,skoaz
25,Arm::N,taleq,brec'h
26,Ellenbogen::N,ikusik,ilin
27,Hand::N,assak,dorn
28,Handfläche::N,itumak,palv
29,Finger::N,inuak,biz
30,Fingernagel::N,kikiak,ivin
31,Nagel[Anatomie]::N,kukik,ivin
32,Zeh::N,isigak,biz-troad
33,Ferse::N,kimmik,seul
34,Knie::N,seeqqoq,glin
35,Oberschenkel::N,uppat,morzhed
36,Oberschenkel::N,quttoraq,morzhed
37,Bein::N,isigak,gar
38,Körper::N,timi,korf
39,Haut::N,mattak,kroc'hen
40,Blut::N,aak,gwad
41,Ader::N,taqaq,gwazhi
42,Sehne::N,ujalu,stir
43,Sehne::N,ujaloq,stir
44,Knochen::N,saanikut,askorn
45,Gehirn::N,qarasaq,empenn
46,Herz::N,uummat,kalon
47,Magen::N,aqajaroq,stomog
48,Leber::N,tinguk,avu
49,Atem::N,anerneq,anal
50,Hunger::N,kaanneq,naon
51,Träne::N,qia,daer
52,Träne::N,qiak,daer
53,Geschmack::N,qilanaartuut,blaz
54,Geruch::N,tipi,c'hwezh
55,Geruch::N,tipik,c'hwezh
56,Traum::N,sinnattoq,hune
57,Traum::N,sinnattugaq,hune
58,Himmel::N,qilak,oabl
59,Sonne::N,seqineq,heol
60,Mond::N,qaammat,loar
61,Stern::N,ulloriaq,steredenn
62,Luft::N,silaannaq,aer
63,Wind::N,anori,avel
64,Wind::N,anorsarik,avel
65,Welle::N,aalappaa,houlenn
66,Wasser::N,imeq,dour
67,Stein::N,ujarak,maen
68,Boden::N,nateq,tachenn
69,Erde::N,issoq,douar
70,Staub::N,pujualanerit,poultr
71,Staub::N,pujoralanerit,poultr
72,Rauch::N,iseq,moged
73,Rauch::N,pujoq,moged
74,Funke::N,illoorneq,ful
75,Feuer::N,inneq,tan
76,Licht::N,qaamaneq,gouloù
77,Schatten::N,tarraq,disheol
78,Wetter::N,sila,amzer
79,Nebel::N,pujoq,brumenn
80,Wolke::N,nuia,koumoulenn
81,Regen::N,sialuk,glav
82,Schnee::N,aput,erc'h
83,Eis::N,siku,skorn
84,Frost::N,issi,rev
85,Frost::N,issik,rev
86,Kälte::N,issi,yen
87,Hitze::N,kianneq,tommder
88,Hitze::N,kiassuseq,tommder
89,Raureif::N,kaneq,frim
90,Regenbogen::N,neriusaaq,gwareg-ar-glav
91,Donner::N,kalleq,kurun
92,Tropfen::N,kuseriarneq,bannac'h
93,Tropfen::N,kuseriarneq,takenn
94,Schaum::N,qapuk,spoum
95,Schmutz::N,minguk,fank
96,See::N,taseq,lenn
97,Sumpf::N,maqulluk,gwern
98,Wiese::N,masarsuk,prad
99,Hügel::N,qattuneq,torgenn
100,Hügel::N,majuariaq,torgenn
101,Hügel::N,majorajaaq,torgenn
102,Hügel::N,qaqqannguaq,torgenn
103,Berg::N,qaqqaq,menez
104,Höhle::N,qaarusuk,kav
105,Abhang::N,ippik,naou
106,Abhang::N,sivinganeq,naou
107,Abhang::N,sivingajaaq,naou
108,Abhang::N,kussangajaaq,naou
109,Bach::N,kuunnguaq,gwazh
110,Fluss::N,kuuk,stêr
111,Ufer::N,sissap sinaa,ribl
112,Küste::N,sineriak,aod
113,Meer::N,imaq,mor
114,Bucht::N,ikeq,mor-bihan
115,Bucht::N,kangerluk,mor-bihan
116,Bucht::N,kangerliumaneq,mor-bihan
117,Insel::N,qeqertaq,enez
118,Blume::N,naasoq,bleunienn
119,Gras::N,ivigaq,geot
120,Wurzel::N,niulutaq,gwrizienn
121,Baum::N,orpik,gwezenn
122,Stamm::N,kanaartaq,kef
123,Rinde::N,ameraq,rusk
124,Ast::N,avalequt,barr
125,Zweig::N,avalequt,bod
126,Blatt::N,pilutaq,delienn
127,Birke::N,patitsit,bezvenn
128,Weide[Baum]::N,palleq,halegenn
129,Tanne::N,orsuerneq,sapenn
130,Horn::N,nassuk,korn
131,Feder::N,suluk,pluñv
132,Fell::N,ameq,kreoñ
133,Flügel::N,suluk,askell
134,Flügel::N,isaroq,askell
135,Klaue::N,kukik,skilf
136,Kralle::N,kukik,skilf
137,Schwanz::N,pamioq,lost
138,Schwanz::N,paperuusaq,lost
139,Ei::N,mannik,vi
140,Nest::N,ullut,neizh
141,Bau::N,ini,douarenn
142,Tier::N,uumasoq,loen
143,Herde::N,unguukkat,tropell
144,Kuh::N,ussik,buoc'h
145,Bulle::N,angukulak,tarv
146,Bulle::N,anguteralak,tarv
147,Bulle::N,angutikulooq,tarv
148,Schaf::N,sava,dañvad
149,Schwein::N,puuluki,pemoc'h
150,Hund::N,qimmeq,ki
151,Katze::N,puisaaq,kazh
152,Bär::N,allaq,arzh
153,Eichhörnchen::N,sissinnguaq,gwiñver
154,Fuchs::N,terianniaq,louarn
155,Hase::N,ukaleq,gad
156,Maus::N,teriannguaq,logodenn
157,Wolf::N,amaroq,bleiz
158,Vogel::N,timmiaq,labous
159,Huhn::N,kukkukooq,yar
160,Huhn::N,marloraaqaaq,yar
161,Hahn::N,kiasiusaq,kilhog
162,Gans::N,nerleq,gwazenn
163,Adler::N,nattoralik,erer
164,Eule::N,uppik,toud
165,Kranich::N,qorlorfik,garan
166,Krähe::N,tuluatsiaq,bran
167,Kuckuck::N,kukkooq,koukoug
168,Schwan::N,qussuk,alarc'h
169,Fisch::N,aalisagaq,pesk
170,Schlange[Tier]::N,pulateriarsuk,naer
171,Schlange[Tier]::N,pulateriaarsuk,naer
172,Spinne::N,aasiaq,kevnidenn
173,Spinne::N,nissavaarsuk,kevnidenn
174,Ameise::N,uniaaluk,merion
175,Laus::N,kumak,laouenn
176,Mücke::N,ippernaq,moustik
177,Fliege::N,ippernaq,kelienenn
178,Schmetterling::N,paluaq,balafenn
179,Schmetterling::N,pakkaluaq,balafenn
180,Schmetterling::N,utsuppaluaq,balafenn
181,Schmetterling::N,taqaleqisaaq,balafenn
182,Beere::N,paarmaq,hog
183,Beere::N,paarngaq,hog
184,Apfel::N,iipili,aval
185,Pilz::N,anngiusaq,kabell-touseg
186,Zwiebel::N,uanitsoq,ognonenn
187,Saat::N,naatsiiassaq,had
188,Korn::N,maannineq,ed
189,Schale::N,niutsivik,peliadur
190,Schale::N,ilulissaq qaartussaq,peliadur
191,Grube::N,itersaq,
192,Falle::N,pualavoq,pech
193,Schlinge::N,orseq,krouglas
194,Schlinge::N,norloq,krouglas
195,Spur::N,tumaa,
196,Asche::N,arsat,ludu
197,Dreck::N,minguk,fank
198,Eisen::N,savimineq,houarn
199,Eisen::N,saffiugassaq,houarn
200,Gold::N,kuulti,aour
201,Silber::N,siilviuvoq,arc'hant
202,Kohle::N,aamarsuit aamaruutissat,glaou
203,Glas::N,igalaaq,gwer
204,Glas::N,imertarfik,gwer
205,Glas::N,igalaamineq,gwer
206,Lehm::N,marraq,
207,Sand::N,sioqqat,traezh
208,Mensch::N,inuk,den
209,Mensch::N,silamiu,den
210,Mann::N,angut,den
211,Frau::N,arnaq,maouez
212,Kind::N,meeraq,bugel
213,Junge::N,nukappiaraq,paotr
214,Mädchen::N,arnannguaq,plac'h
215,Familie::N,ilaqutakka,familh
216,Familie::N,ilaqutariit,familh
217,Großvater::N,aatak,tad-kozh
218,Großmutter::N,aanaq,mamm-gozh
219,Eltern::N,angajoqqaat,kerent
220,Vater::N,ataata,tad
221,Vater::N,ataataq,tad
222,Mutter::N,anaana,mamm
223,Sohn::N,erneq,mab
224,Tochter::N,panik,merc'h
225,Bruder::N,ani,breur
226,Bruder::N,aqqaluk,breur
227,Bruder::N,qatanngut,breur
228,Schwester::N,naja,c'hoar
229,Schwester::N,aleqa,c'hoar
230,Schwester::N,qatanngut,c'hoar
231,Onkel::N,akkak,eontr
232,Tante::N,aja,moereb
233,Tante::N,ajak,moereb
234,Tante::N,atsak,moereb
235,Ehemann::N,ui,gwaz
236,Ehefrau::N,nuliaq,gwreg
237,Freude::N,tipaatsussuseq,levenez
238,Gelächter::N,illaq,c'hoarzherezh
239,Glück::N,usornaat,chañs
240,Glück::N,usornarsuseq,chañs
241,Wunsch::N,kissaat,c'hoant
242,Lust::N,illigussuseq,c'hoant
243,Lust::N,piummaseq,c'hoant
244,Geist::N,anerneq,spered
245,Geist::N,toornaq,spered
246,Gedanke::N,isumassaq,soñj
247,Gedächtnis::N,eqqaamannissuseq,eñvor
248,Verstand::N,isuma,skiant
249,Verstand::N,sianissut,skiant
250,Verstand::N,misigissut,skiant
251,Verstand::N,sianissuseq,skiant
252,Verstand::N,silaqassuseq,skiant
253,Sinn::N,isuma,ster
254,Grund::N,patsit,kaoz
255,Wahrheit::N,sallusuissut,gwirionez
256,Märchen::N,oqalualaarut,kaoz korriganez
257,Märchen::N,oqaluasaaq,kaoz korriganez
258,Erzählung::N,oqaluttuaq,kontadenn
259,Nachricht::N,oqaassut,keloù
260,Nachricht::N,oqqersuut,keloù
261,Neuigkeit::N,tusarnartaq,kelaouenn
262,Name::N,ateq,anv
263,Rätsel::N,nalorsitsaarut,divinatez
264,Rede::N,oqaluuseq,diskour
265,Sprache::N,oqaatsit,yezh
266,Stimme::N,erinaq,mouezh
267,Stimme::N,qarluuseq,mouezh
268,Wort::N,oqaasii,ger
269,Zeichen::N,nalunaaqqut,sin
270,Ruf::N,qaaqqussut,galv
271,Lärm::N,perpaluk,trouz
272,Laut::N,torsukattak,
273,Ton::N,erinaq,ton
274,Lied::N,taalliaq,kanaouenn
275,Lied::N,erinarsuut,kanaouenn
276,Ruhe::N,qatsunganeq,sioulded
277,Leute::N,inuiak,tud
278,Leute::N,inuiaqatigiit,tud
279,Volk::N,inuiaat,pobl
280,Arbeit::N,suliaq,labour
281,Gast::N,qaaqqusaq,kouviad
282,Geschenk::N,pajugut,prof
283,Hilfe::N,annertoqqut,sikour
284,Freund::N,tiliaq,mignon
285,Freund::N,ikinngut,mignon
286,Kamerad::N,tiliaq,kamarad
287,Kamerad::N,ikinngut,kamarad
288,Art::N,ileqquuseq,sort
289,Stück::N,nakkaalaniku,tamm
290,Teil::N,tassiaasat,pezh
291,Hälfte::N,affaq,hanterenn
292,Kreis::N,kaajaluinneq or kaajaluitsoq,kelc'h
293,Kreuz::N,sanningasulik,kroaz
294,Linie::N,tittaq,linenn
295,Linie::N,titarneq,linenn
296,Abstand::N,aku,distok
297,Abstand::N,ikiaq,distok
298,Entfernung::N,asi,keid
299,Entfernung::N,asi,kehid
300,Gegend::N,nuna,korn-bro
301,Platz::N,ini,plasenn
302,Platz::N,inissaq,plasenn
303,Ort::N,sumiiffik,lec'h
304,Seite::N,saneraq,tu
305,Mitte::N,qiteq,kreiz
306,Sache::N,pigisaq,tra
307,Rand::N,sini,kantenn
