,Concept_ID,sl,br
0,Auge::N,okó,lagad
1,Ohr::N,uhó,skouarn
2,Nase::N,nós,fri
3,Mund::N,ústa,genoù
4,Zahn::N,zób,dant
5,Zunge::N,jêzik,teod
6,Lippe::N,ústnica,muzell
7,Wange::N,líce,chot
8,Gesicht::N,oblíčje,dremm
9,Stirn::N,čêlo,tal
10,Haar::N,lás,blev
11,Schnurrbart::N,bŕki,mourenn
12,Bart::N,bráda,barv
13,Kinn::N,bráda,groñj
14,Kiefer[Anatomie]::N,čeljúst,javed
15,Kehle::N,gŕlo,gouzoug
16,Hals::N,vrát,gouzoug
17,Genick::N,zatílnik,choug
18,Kopf::N,gláva,penn
19,Rücken::N,hrbèt,kein
20,Bauch::N,trébuh,kof
21,Nabel::N,pópek,begel
22,Busen::N,nédrja,bronn
23,Brust::N,pŕsi,bruched
24,Schulter::N,ráma,skoaz
25,Schulter::N,plêče,skoaz
26,Arm::N,rôka,brec'h
27,Ellenbogen::N,komólec,ilin
28,Hand::N,rôka,dorn
29,Handfläche::N,dlán,palv
30,Finger::N,pŕst,biz
31,Fingernagel::N,nóht na rôki,ivin
32,Nagel[Anatomie]::N,nóht,ivin
33,Zeh::N,pŕst na nôgi,biz-troad
34,Fuß::N,nôga,troad
35,Ferse::N,pêta,seul
36,Knie::N,koléno,glin
37,Oberschenkel::N,stêgno,morzhed
38,Bein::N,nôga,gar
39,Körper::N,teló,korf
40,Haut::N,kóža,kroc'hen
41,Blut::N,krí,gwad
42,Ader::N,žíla,gwazhi
43,Sehne::N,kíta,stir
44,Knochen::N,kóst,askorn
45,Gehirn::N,možgáni,empenn
46,Herz::N,srcé,kalon
47,Magen::N,želódec,stomog
48,Leber::N,jétra,avu
49,Atem::N,díh,anal
50,Hunger::N,glád,naon
51,Träne::N,sólza,daer
52,Geschmack::N,okús,blaz
53,Geruch::N,vónj,c'hwezh
54,Schlaf::N,sèn,kousked
55,Schlaf::N,spánec,kousked
56,Traum::N,sánje,hune
57,Himmel::N,nebó,oabl
58,Sonne::N,sónce,heol
59,Mond::N,lúna,loar
60,Mond::N,mésec,loar
61,Stern::N,zvézda,steredenn
62,Luft::N,zràk,aer
63,Wind::N,véter,avel
64,Welle::N,vál,houlenn
65,Wasser::N,vôda,dour
66,Stein::N,kámen,maen
67,Boden::N,tlà,tachenn
68,Erde::N,pŕst,douar
69,Erde::N,zêmlja,douar
70,Staub::N,práh,poultr
71,Rauch::N,dìm,moged
72,Funke::N,ískra,ful
73,Feuer::N,ôgenj,tan
74,Licht::N,lúč,gouloù
75,Schatten::N,sénca,disheol
76,Wetter::N,vrême,amzer
77,Nebel::N,meglà,brumenn
78,Wolke::N,oblák,koumoulenn
79,Regen::N,dèž,glav
80,Schnee::N,snég,erc'h
81,Eis::N,léd,skorn
82,Frost::N,zmrzál,rev
83,Kälte::N,mràz,yen
84,Hitze::N,pripéka,tommder
85,Raureif::N,ívje,frim
86,Raureif::N,slána,frim
87,Regenbogen::N,mávrica,gwareg-ar-glav
88,Donner::N,gròm,kurun
89,Strömung::N,strúja,red
90,Tropfen::N,káplja,bannac'h
91,Tropfen::N,káplja,takenn
92,Schaum::N,péna,spoum
93,Schmutz::N,nesnága,fank
94,See::N,jézero,lenn
95,Sumpf::N,močvírje,gwern
96,Moor::N,bárje,taouarc'heg
97,Wiese::N,trávnik,prad
98,Wald::N,lés,koad
99,Wald::N,gòzd,koad
100,Hügel::N,brég,torgenn
101,Hügel::N,goríca,torgenn
102,Anhöhe::N,gríč,run
103,Anhöhe::N,višína,run
104,Berg::N,gôra,menez
105,Berg::N,planína,menez
106,Gipfel::N,vŕh,barr
107,Höhle::N,jáma,kav
108,Höhle::N,votlína,kav
109,Abhang::N,pobóčje,naou
110,Quelle::N,izvír,feunteun
111,Bach::N,pôtok,gwazh
112,Fluss::N,réka,stêr
113,Ufer::N,brég,ribl
114,Küste::N,obála,aod
115,Küste::N,obréžje,aod
116,Festland::N,celína,douar
117,Festland::N,kopnína,douar
118,Meer::N,mórje,mor
119,Bucht::N,zalív,mor-bihan
120,Insel::N,ôtok,enez
121,Blume::N,cvetlíca,bleunienn
122,Gras::N,tráva,geot
123,Wurzel::N,korenína,gwrizienn
124,Baum::N,drevó,gwezenn
125,Stamm::N,dêblo,kef
126,Rinde::N,lúbje,rusk
127,Rinde::N,skórja,rusk
128,Ast::N,véja,barr
129,Zweig::N,véja,bod
130,Blatt::N,líst,delienn
131,Birke::N,bréza,bezvenn
132,Kiefer[Baum]::N,bòr,pinenn
133,Weide[Baum]::N,vŕba,halegenn
134,Tanne::N,hója,sapenn
135,Horn::N,róg,korn
136,Feder::N,peró,pluñv
137,Fell::N,kŕzno,kreoñ
