,Concept_ID,mn,el
0,Auge::N,нүд,μάτι
1,Auge::N,нүд,οφθαλμός
2,Ohr::N,чих,αυτί
3,Nase::N,хамар,μύτη
4,Mund::N,ам,στόμα
5,Zahn::N,шүд,δόντι
6,Zunge::N,хэл,γλώσσα
7,Lippe::N,уруул,χείλος
8,Wange::N,хацар,παρειά
9,Wange::N,хацар,μάγουλο
10,Gesicht::N,царай,πρόσωπο
11,Gesicht::N,нүүр,πρόσωπο
12,Stirn::N,дух,μέτωπο
13,Haar::N,үс,μαλλιά
14,Schnurrbart::N,дээд сахал,μουστάκι
15,Schnurrbart::N,живэр сахал,μουστάκι
16,Bart::N,сахал,γένια
17,Kinn::N,эрүү,πιγούνι
18,Kiefer[Anatomie]::N,эрүү,σαγόνι
19,Kehle::N,хоолой,λαρύγγι
20,Hals::N,хүзүү,λαιμός
21,Genick::N,шил,σβέρκος
22,Genick::N,хүзүү,σβέρκος
23,Kopf::N,толгой,κεφάλι
24,Rücken::N,ар,ράχη
25,Rücken::N,нуруу,ράχη
26,Bauch::N,хэвлий,κοιλιά
27,Bauch::N,гэдэс,κοιλιά
28,Nabel::N,хүйс,αφαλός
29,Busen::N,хөх,στήθος
30,Brust::N,цээж,στήθος
31,Schulter::N,мөр,ώμος
32,Schulter::N,бугалга,ώμος
33,Arm::N,гар,χέρι
34,Arm::N,гар,μπράτςο
35,Ellenbogen::N,тохой,αγκώνας
36,Hand::N,гар,χέρι
37,Hand::N,алга,χέρι
38,Handfläche::N,алга,παλάμη
39,Finger::N,хуруу,δάχτυλο
40,Fingernagel::N,хурууны хумс,νύχι
41,Nagel[Anatomie]::N,хумс,νύχι
42,Zeh::N,хуруу,δάχτυλο του ποδιού
43,Fuß::N,хөл,πόδι
44,Ferse::N,өсгий,φτέρνα
45,Knie::N,өвдөг,γόνατο
46,Oberschenkel::N,гуя,μηρός
47,Bein::N,хөл,πόδι
48,Körper::N,бие,σώμα
49,Körper::N,бие,κορμί
50,Haut::N,арьс,πετσί
51,Blut::N,цус,αίμα
52,Ader::N,судас,φλέβα
53,Sehne::N,бүлх,νεύρο
54,Sehne::N,бүлх,τένοντας
55,Sehne::N,шандас,νεύρο
56,Sehne::N,шандас,τένοντας
57,Knochen::N,яс,οστό
58,Knochen::N,яс,κόκκαλο
59,Gehirn::N,тархи,μυαλό
60,Gehirn::N,тархи,εγκέφαλος
61,Herz::N,зүрх,καρδιά
62,Magen::N,ходоод,στομάχι
63,Leber::N,элэг,ήπαρ
64,Leber::N,элэг,συκωτί
65,Atem::N,амьсгаа,αναπνοή
66,Hunger::N,өлсгөлөн,πείνα
67,Träne::N,нулимс,δάκρυ
68,Geschmack::N,амт,γεύση
69,Geruch::N,үнэр,οσμή
70,Geruch::N,үнэр,μυρωδία
71,Schlaf::N,нойр,ύπνος
72,Traum::N,зүүд,όνειρο
73,Himmel::N,тэнгэр,ουρανός
74,Himmel::N,огторгуй,ουρανός
75,Sonne::N,нар,ήλιος
76,Mond::N,сар,σελήνη
77,Mond::N,сар,φεγγάρι
78,Stern::N,од,άστρο
79,Stern::N,од,αστέρι
80,Luft::N,агаар,αέρας
81,Wind::N,салхи,αέρας
82,Wind::N,салхи,άνεμος
83,Welle::N,долгио,κύμα
84,Welle::N,давалгаа,κύμα
85,Wasser::N,ус,νερό
86,Stein::N,чулуу,πέτρα
87,Boden::N,хөрс,χώμα
88,Erde::N,газар,γη
89,Erde::N,шороо,γη
90,Staub::N,тоос,σκόνη
91,Rauch::N,утаа,καπνός
92,Funke::N,оч,σπίθα
93,Funke::N,оч,σπινθήρας
94,Feuer::N,гал,φωτιά
95,Licht::N,гэрэл,φως
96,Licht::N,гэгээ,φως
97,Schatten::N,сүүдэр,σκιά
98,Schatten::N,сүүдэр,ίσκιος
99,Wetter::N,тэнгэр,καιρός
100,Wetter::N,цаг уур,καιρός
101,Nebel::N,будан,ομίχλη
102,Wolke::N,үүл,σύννεφο
103,Regen::N,бороо,βροχή
104,Schnee::N,цас,χιόνι
105,Eis::N,мөс,πάγος
106,Frost::N,хүйт,παγωνία
107,Kälte::N,хүйт,κρύο
108,Kälte::N,хүйт,ψύχος
109,Hitze::N,халуун,ζέστη
110,Raureif::N,цан,πάχνη
111,Raureif::N,хяруу,πάχνη
112,Regenbogen::N,солонго,ουράνιο τόξο
113,Donner::N,тэнгэрийн дуу,βροντή
114,Strömung::N,урсгал,ρεύμα
115,Tropfen::N,дусал,στάλα
116,Schaum::N,хөөс,αφρός
117,Schmutz::N,хир,βρωμιά
118,Schmutz::N,шавхай,βρωμιά
119,See::N,нуур,λίμνη
120,Sumpf::N,намаг,βάλτος
121,Sumpf::N,балчиг,βάλτος
122,Moor::N,хүлрийн намаг,έλος
123,Wiese::N,нуга,λιβάδι
124,Wald::N,ой,δάσος
125,Hügel::N,болдог,λόφος
126,Anhöhe::N,гүвээ,ύψωμα
127,Berg::N,уул,όρος
128,Berg::N,уул,βουνό
129,Gipfel::N,орой,κορυφή
130,Gipfel::N,оргил,κορυφή
131,Höhle::N,агуй,σπηλιά
132,Abhang::N,хүр,πλαγιά
133,Quelle::N,булаг,πηγή
134,Quelle::N,булаг,βρύση
135,Bach::N,горхи,ρυάκι
136,Fluss::N,гол,ποτάμι
137,Fluss::N,гол,ποταμός
138,Fluss::N,мөрөн,ποτάμι
139,Fluss::N,мөрөн,ποταμός
140,Ufer::N,эрэг,όχθη
141,Küste::N,эрэг,ακτή
142,Küste::N,эрэг,ακρογιαλιά
143,Festland::N,хуурай газар,στεριά
144,Meer::N,далай,θάλασσα
145,Meer::N,тэнгис,θάλασσα
146,Bucht::N,булан,κόλπος
147,Bucht::N,далайн тохой,κόλπος
148,Insel::N,арал,νησί
149,Insel::N,арал,νήσος
150,Blume::N,цэцэг,άνθος
151,Blume::N,цэцэг,λουλούδι
152,Gras::N,өвс,χόρτο
153,Gras::N,өвс,χορτάρι
154,Gras::N,ногоо,χόρτο
155,Gras::N,ногоо,χορτάρι
156,Wurzel::N,үндэс,ρίζα
157,Baum::N,мод,δέντρο
158,Stamm::N,иш,κορμός
159,Stamm::N,гуалин,κορμός
160,Rinde::N,холтос,φλούδα
161,Ast::N,гишүү,κλαδί
162,Zweig::N,салаа,κλαδί
163,Zweig::N,салаа,κλάδος
164,Blatt::N,навч,φύλλο
165,Birke::N,хус,σημύδα
166,Kiefer[Baum]::N,нарс,πεύκο
