,Concept_ID,pl,ady
0,Auge::N,oko,нэ
1,Ohr::N,ucho,тхьакӏу́м
2,Nase::N,nos,пэ
3,Mund::N,usta,жэ
4,Zahn::N,ząb,цэ
5,Zunge::N,język,бзэгу
6,Lippe::N,warga,ӏупшӏэ́
7,Wange::N,policzek,нэкӏу́шъу
8,Gesicht::N,twarz,нэ́гу
9,Stirn::N,czoło,натӏэ́
10,Haar::N,włos,шъхьацы́
11,Haar::N,włosy,шъхьацы́
12,Schnurrbart::N,wąsy,
13,Bart::N,broda,жакӏэ́
14,Kinn::N,podbródek,жэкӏэпэпкъ
15,Kiefer[Anatomie]::N,czeluść,жэпкъы́
16,Kehle::N,gardło,чый
17,Hals::N,szyja,пшъэ
18,Genick::N,kark,шъхьэпхэтыку
19,Kopf::N,głowa,шъхьэ́
20,Rücken::N,plecy,кӏыбы́
21,Rücken::N,grzbiet,кӏыбы́
22,Bauch::N,brzuch,ныбэ́
23,Nabel::N,pępek,
24,Busen::N,biust,бгъэ́
25,Brust::N,pierś,бгъэ́
26,Schulter::N,bark,блыпкъ
27,Schulter::N,ramię,блыпкъ
28,Arm::N,ręka,ӏэ
29,Arm::N,ramię,ӏэ
30,Ellenbogen::N,łokieć,ӏэнтэ́гъу
31,Hand::N,dłoń,ӏэтхьэцу
32,Handfläche::N,dłoń,ӏэ́гу
33,Finger::N,palec,ӏэхъуа́мб
34,Fingernagel::N,paznokieć,ӏэбжъа́н
35,Nagel[Anatomie]::N,paznokieć,ӏэбжъа́н
36,Zeh::N,palec,ӏэхъуа́мб
37,Fuß::N,stopa,лъэгу
38,Ferse::N,pięta,лъэдакъэ
39,Knie::N,kolano,лъагуа́ндж
40,Oberschenkel::N,udo,ко
41,Bein::N,noga,лъакъо́
42,Körper::N,ciało,пкъышъол
43,Haut::N,skóra,кӏы́шъу
44,Blut::N,krew,лъы
45,Ader::N,żyła,льытф
46,Sehne::N,ścięgno,фэ
47,Knochen::N,kość,къупшъхьэ́
48,Gehirn::N,mózg,куцӏы
49,Herz::N,serce,гу
50,Magen::N,żołądek,мышкӏу
51,Leber::N,wątroba,шӏу
52,Atem::N,dech,къэщэныр
53,Atem::N,oddech,къэщэныр
54,Hunger::N,głód,гъаблэ́
55,Träne::N,łza,нэпсы
56,Geschmack::N,smak,ӏэшӏугъа́кӏ
57,Geruch::N,woń,мэ
58,Geruch::N,zapach,мэ
59,Schlaf::N,sen,пчыхьы́пӏ
60,Traum::N,sen,пчыхьы́пӏ
61,Himmel::N,niebo,уашъо́
62,Sonne::N,słońce,тыгъэ
63,Mond::N,księżyc,мазэ
64,Stern::N,gwiazda,жъуагъо́
65,Luft::N,powietrze,жьы
66,Wind::N,wiatr,жьыбгъэ́
67,Welle::N,fala,ор
68,Welle::N,fala,оры
69,Wasser::N,woda,псы
70,Stein::N,kamień,мыжъо́
71,Boden::N,grunt,чӏ́ыгу
72,Erde::N,ziemia,чӏ́ыгу
73,Staub::N,pył,сап
74,Staub::N,kurz,сап
75,Rauch::N,dym,ӏугъо́
76,Funke::N,iskra,мэшӏуа́ч
77,Feuer::N,ogień,машӏо́
78,Licht::N,światło,нэфы
79,Licht::N,światło,нэфын
80,Schatten::N,cień,жьау́
81,Schatten::N,cień,ныбжьыкъу
82,Wetter::N,pogoda,
83,Nebel::N,mgła,пща́гъу
84,Wolke::N,obłok,ошъуапщэ
85,Wolke::N,chmura,ошъуапщэ
86,Regen::N,deszcz,ощхы
87,Schnee::N,śnieg,осы́
88,Eis::N,lód,мылы
89,Frost::N,mróz,
90,Kälte::N,chłód,чъыӏэ́
91,Hitze::N,gorąco,фэба́е
92,Raureif::N,szron,
93,Regenbogen::N,tęcza, лэгъупэкъо́пс
94,Donner::N,grzmot,шыблэ́
95,Strömung::N,nurt,ток
96,Tropfen::N,kropla,ткӏопс
97,Tropfen::N,kropla,гъуаткӏу
98,Schaum::N,piana,тхъурбэ
99,Schmutz::N,brud,псынжъы
100,See::N,jezioro,хыку́м
101,See::N,jezioro,псыхъура́й
102,Sumpf::N,bagno,орыжъ
103,Moor::N,bagno,орыжъ
104,Wiese::N,łąka,хъупӏэ́
105,Wiese::N,łąka,мэкъупӏ
106,Wald::N,las,мэзы́
107,Hügel::N,pagórek,ӏуашъхь
108,Anhöhe::N,wzgórze,чӏыӏэтыгъ
109,Berg::N,góra,къушъхьэ́
110,Gipfel::N,szczyt,шыгу
111,Gipfel::N,wierzchołek,шыгу
112,Höhle::N,pieczara,гъочӏэгъ
113,Abhang::N,stok,чапэ
114,Abhang::N,zbocze,чапэ
115,Quelle::N,zdrój,псынэчэ́чъ
116,Quelle::N,źródło,псынэчэ́чъ
117,Bach::N,potok,псышкуашку
118,Bach::N,strumień,псышкуашку
119,Fluss::N,rzeka,псыхъо́
120,Ufer::N,brzeg,нэпкъы
121,Küste::N,wybrzeże,ӏушъо
122,Festland::N,ląd,чӏл́ыгу
123,Meer::N,morze,хы
124,Bucht::N,zatoka,хыблыгу
125,Insel::N,wyspa,хыгъэхъу́н
126,Blume::N,kwiat,къэгъа́гь
127,Gras::N,trawa,уцы́
128,Wurzel::N,korzeń,лъапсэ́
129,Baum::N,drzewo,чъыгы́
130,Stamm::N,pień,пкъы
131,Rinde::N,kora,пхъашъо́
132,Ast::N,gałąź,куамэ
133,Zweig::N,gałąź,къутамэ́
134,Blatt::N,liść,тхьап
135,Birke::N,brzoza,пчэн
136,Kiefer[Baum]::N,sosna,сэснэй
137,Weide[Baum]::N,wierzba,пце́л
138,Tanne::N,jodła,ель
139,Horn::N,róg,бжъэ
140,Feder::N,pióro,къамӏы́й
141,Fell::N,futro,шъо
142,Flügel::N,skrzydło,тамэ́
143,Klaue::N,szpon,лъэбжъа́н
144,Kralle::N,pazur,лъакъо
145,Schwanz::N,ogon,кӏэ
146,Ei::N,jajko,кӏэнкӏэ́
147,Nest::N,gniazdo,набгъо́
148,Bau::N,nora,гъу
149,Bau::N,nora,бы
150,Tier::N,zwierzę,псэу́шъхь
151,Herde::N,stado,ӏэхъогъу
152,Herde::N,trzoda,ӏэхъогъу
153,Kuh::N,krowa,чэмы́
154,Bulle::N,byk,цу
155,Pferd::N,koń,шы
156,Schaf::N,owca,мэлы́
157,Schwein::N,świnia,къо
158,Hund::N,pies,бьэ
159,Katze::N,kot,чэты́у
160,Katze::N,kotka,чэты́у
161,Bär::N,niedźwiedż,мышъэ́
162,Eichhörnchen::N,wiewiórka,цызэ́
163,Elch::N,łóś,лось
164,Fuchs::N,lis,баджэ́
165,Hase::N,zając,тхьакӏумкӏы́хь
166,Maus::N,mysz,цыгъо́
167,Wolf::N,wilk,тыгъу́жъ
168,Vogel::N,ptak,бзы́у
169,Schwarm::N,stado,отэр
170,Huhn::N,kura,чэты́
171,Hahn::N,kogut,атакъэ́
172,Gans::N,gęś,къа́з
173,Adler::N,orzeł,
174,Ente::N,kaczka,псычэ́т
175,Eule::N,sowa,тыгъурыгъу
176,Kranich::N,żuraw,къэрэ́у
177,Krähe::N,wrona,къолэ́жъ
178,Kuckuck::N,kukułka,куку́у
179,Schwan::N,łabędż,
180,Fisch::N,ryba,пцэжъы́й
181,Barsch::N,okoń,тхыкъэц
182,Hecht::N,szczupak,лэнд
183,Schlange[Tier]::N,wąż,блэ́
184,Schlange[Tier]::N,żmija,блэ́
185,Wurm::N,robak,хьамлыу
186,Spinne::N,pająk,бэдж
187,Ameise::N,mrówka,къамзэ́гу
188,Laus::N,wesz,цӏэ
189,Mücke::N,komar,аргъо́й
190,Fliege::N,mucha,бадзэ́
191,Schmetterling::N,motyl,хьампӏыра́шъу
192,Beere::N,jagoda,маткӏо
193,Apfel::N,jabłko,мыӏэры́с
194,Pilz::N,grzyb,хьаӏу
195,Zwiebel::N,cebula,бжьыны́
196,Saat::N,siew,чылапхъ
197,Korn::N,ziarno,цэ
198,Heu::N,siano,мэкъу
199,Schale::N,łupina,кӏы́шъу
200,Grube::N,dół,машэ́
201,Grube::N,jama,машэ́
202,Falle::N,pułapka,зэраубытырэ́ ӏэмэпсы́м
203,Schlinge::N,sidła,бзыуубыт
204,Spur::N,ślad,ужы
205,Spur::N,ślad,лъэуж
206,Asche::N,popiół,яжьэ́
207,Dreck::N,brud,псынжъы
208,Eisen::N,żelazo,гыучӏы́
209,Eisen::N,żelazo,къэнджа́л
210,Gold::N,złoto,дышъэ́
211,Silber::N,srebro,тыжьы́н
212,Kohle::N,węgiel,шӏомыкӏ
213,Glas::N,szkło,апч
214,Lehm::N,glina,етӏагъо́
215,Sand::N,piasek,пшахъо
216,Mensch::N,człowiek,цӏыфы́
217,Mann::N,mężczyzna,хъулъфы́гъ
218,Frau::N,kobieta,бӏылъфыгъэ́
219,Kind::N,dziecko,кӏэлэцӏы́кӏу
220,Junge::N,chłopak,кӏэлэцӏы́кӏу
221,Junge::N,chłopiec,кӏэлэцӏы́кӏу
222,Mädchen::N,dziewczynka,пшъэшъэжъый
223,Familie::N,rodzina,быны́
224,Familie::N,rodzina,уна́гъу
225,Großvater::N,dziadek,тэтэ́жъ
226,Großmutter::N,babka,нэнэ́жъ
227,Eltern::N,rodzice,ны-тыхэ́р
228,Vater::N,ojciec,ты
229,Mutter::N,matka,ны
230,Sohn::N,syn,къо
231,Tochter::N,córka,пхъу
232,Bruder::N,brat,шы
233,Schwester::N,siostra,шы́пхъу
234,Onkel::N,wuj,янэ́ш
235,Onkel::N,stryj,янэ́ш
236,Tante::N,ciotka,атэшыпхъу
237,Ehemann::N,mąż,лӏы
238,Ehefrau::N,żona,шъу́з
239,Freude::N,radość,гушӏуа́гъу
240,Gelächter::N,śmiech,щхыныр
241,Glück::N,szczęście,насы́п
242,Kummer::N,zmartwienie,тхьамыкӏагъу
243,Wunsch::N,życzenie,шӏонгъоны́гъ
244,Lust::N,chęć,шӏонгъоны́гъ
245,Lust::N,ochota,шӏонгъоны́гъ
246,Geist::N,duch,гу
247,Gedanke::N,myśl,гупшыс
248,Gedächtnis::N,pamięć,память
249,Verstand::N,rozum,акъы́л
250,Sinn::N,zmysł,мэхьанэ
251,Grund::N,powód,ушъхьагъу
252,Wahrheit::N,prawda,шъыпкъэ́
253,Gespräch::N,rozmowa,гущыӏ
254,Märchen::N,bajka,пшысэ
255,Erzählung::N,opowiadanie,къэба́р
256,Nachricht::N,wiadomość,къэба́р
257,Neuigkeit::N,nowina,къэбарыкӏ
258,Name::N,imię,цӏэ
259,Rätsel::N,zagadka,коджэхь-къоджэшх
260,Rede::N,mowa,гущыӏ
261,Sprache::N,język,бзэ
262,Stimme::N,głos,макъэ́
263,Wort::N,słowo,гущыӏ
264,Zeichen::N,znak,тамы́гъ
265,Ruf::N,wołanie,джэ макъ
266,Lärm::N,hałas,макъэ
267,Lärm::N,zgiełk,макъэ
268,Laut::N,dźwięk,макъэ
269,Ton::N,ton,
270,Ton::N,dźwięk,
271,Lied::N,pieśń,орэ́д
272,Lied::N,piosenka,орэ́д
273,Ruhe::N,spokój,самбырыныгъ
274,Leute::N,ludzie,цӏыфхэ́р
275,Volk::N,naród,цӏыф лъэпкъ
276,Arbeit::N,praca,ӏофшӏакӏэ́н
277,Arbeit::N,robota,ӏофшӏакӏэ́н
278,Gast::N,gość,хьакӏэ́
279,Geschenk::N,prezent,шӏухьафтын
280,Geschenk::N,podarunek,шӏухьафтын
281,Spiel::N,gra,еоны́р
282,Spiel::N,gra,джэгуны́р
283,Spiel::N,gra,къегъэӏоны́р
284,Spiel::N,zabawa,еоны́р
285,Spiel::N,zabawa,джэгуны́р
286,Spiel::N,zabawa,къегъэӏоны́р
287,Gesellschaft::N,towarzystwo,обществ
288,Hilfe::N,pomoc,ӏэпыӏэгъу
289,Freund::N,przyjaciel,ныбджэгъу
290,Kamerad::N,kolega,ныбджэгъу
291,Angelegenheit::N,sprawa,ӏофы́
292,Anzahl::N,ilość,пчъагъэ́
293,Art::N,rodzaj,изэрэщы́т
294,Art::N,rodzaj,лъэпкъ
295,Stück::N,kawałek,такъы́р
296,Teil::N,część,щыщ
297,Teil::N,część,ӏахь
298,Hälfte::N,połowa,ныкъо́
299,Kreis::N,krąg,хъура́й
300,Kreuz::N,krzyż,къащ
301,Linie::N,linia,хъахъ
302,Linie::N,linia,итхъа́гъ
303,Strich::N,kreska,хъахъ
304,Strich::N,kreska,итхъагъ
305,Abstand::N,odstęp,азыфагу
306,Entfernung::N,odległość,чӏыгууанэ
307,Gegend::N,okolica,чӏыпӏэ́
308,Platz::N,miejsce,азыфагу
309,Ort::N,miejsce,чӏыпӏэ́
310,Seite::N,bok,лъэны́къу
311,Seite::N,strona,лъэны́къу
312,Mitte::N,środek,гузэ́гу
313,Gegenstand::N,przedmiot,пкъыгъо
314,Sache::N,rzecz,
315,Rand::N,skraj,цакӏэ́
316,Rand::N,krawędź,цакӏэ́
317,Kante::N,kant,цэгэналъ
318,Kante::N,krawędź,цэгэналъ
319,Ecke::N,róg,къогъу
320,Spitze::N,ostrze,пакӏэ
321,Ende::N,koniec,кӏэ
322,Loch::N,dziura,гъуа́н
323,Winkel::N,kąt,къогъу
324,Winkel::N,kącik,къогъу
325,Muster::N,wzór,тхыпхъэ
326,Größe::N,rozmiar,иина́гъ
327,Größe::N,wielkość,иина́гъ
328,Länge::N,długość,икӏыхьа́гъ
329,Höhe::N,wysokość,лъэгагъ
330,Gewicht::N,ciężar,онтэгъугъэ́
331,Menge::N,ilość,пчъагъэ́
332,Haufen::N,kupa,ӏат
333,Reihe::N,rząd,саты́р
334,Reihe::N,szereg,саты́р
335,Boot::N,łódź,къуашъо́
336,Boot::N,łódka,къуашъо́
337,Ruder::N,wiosło,къошъобэ́щ
338,Schlitten::N,sanki,
339,Ski::N,narta,лыжэхэр
340,Lagerfeuer::N,ognisko,пхъэмашӏу
341,Last::N,ciężar,
342,Last::N,brzemię,
343,Gang::N,chód,кӏоныр
344,Schritt::N,krok,лъэубэ́къу
345,Norden::N,północ,темы́р
346,Süden::N,południe,къыблэ́
347,Westen::N,zachód,тыгъэкъохьа́пӏ
348,Osten::N,wschód,тыгьэкъокӏы́пӏ
349,Holz::N,drzewo,чъыгы́
350,Brett::N,deska,пхъэ́мбгъу
351,Platte::N,płyta,упсыхьагъ
352,Stütze::N,podpora,кӏэгъэкъон
353,Stange::N,drąg,къорэ́гъ
354,Stange::N,żerdź,къорэ́гъ
355,Stock::N,kij,бэщ
356,Stock::N,laska,бэщ
357,Stab::N,pręt,бэщ кӏы́хь
358,Rohr::N,rura,онджэкъ
359,Haus::N,dom,унэ́
360,Heim::N,dom,унэ́
361,Ofen::N,piec,гъэжъэн
362,Fußboden::N,podłoga,джэхашъу
363,Tisch::N,stół,стол
364,Stuhl::N,krzesło,пхъэнтӏэ́кӏу
365,Wiege::N,kołyska,кушъэ́
366,Bett::N,łóżko,пӏэкӏо́р
367,Bett::N,pościel,пӏэкӏо́р
368,Regal::N,regał,мэкӏай
369,Kiste::N,skrzynia,ящык
370,Fenster::N,okno,шъхьаныгъу́пчъ
371,Tür::N,drzwi,пчъэ
372,Tor::N,brama,къэла́пчъ
373,Zaun::N,płot,шӏыхьагъэ́
374,Zaun::N,parkan,шӏыхьагъэ́
375,Dach::N,dach,шъхьэ́
376,Leiter::N,drabina,лъэо́й
377,Leiter::N,drabina,дэкӏояпӏэ́
378,Besen::N,miotła,пхъэнкӏы́пхъ
379,Spaten::N,rydel,къазгъы́р
380,Schaufel::N,łopata,хэӏалъ
381,Gabel::N,widelec,цацэ
382,Löffel::N,łyżka,джэмы́шх
383,Messer::N,nóż,шъэжъы́й
384,Nagel::N,gwóźdź,гъучӏыӏу́н
385,Netz::N,sieć,хъытыу
386,Haken::N,hak,хьажтӏаркъу
