,Concept_ID,hy,cv
0,Auge::N,աչք,куҫ
1,Ohr::N,ականջ,хӑлха
2,Nase::N,քիթ,сӑмса
3,Mund::N,բերան,ҫӑвар
4,Zahn::N,ատամ,шӑл
5,Zunge::N,լեզու,чӗлхе
6,Lippe::N,շրթունք,тута
7,Wange::N,այտ,пит ҫӑмарти
8,Wange::N,թուշ,пит ҫӑмарти
9,Gesicht::N,դեմք,пит
10,Gesicht::N,դեմք,пит-куҫ
11,Stirn::N,ճակատ,ҫамка
12,Haar::N,մազ,ҫӳҫ
13,Schnurrbart::N,բեղ,усси
14,Bart::N,մորուք,сухал
15,Kinn::N,կզակ,янах
16,Kiefer[Anatomie]::N,ծնոտ,янах
17,Kehle::N,կոկորդ,пыр
18,Kehle::N,կոկորդ,карланкӑ
19,Hals::N,վիզ,пыр
20,Hals::N,պարանոց,пыр
21,Genick::N,ծոծրակ,ӗнсе
22,Kopf::N,գլուխ,пуҫ
23,Rücken::N,մեջք,ҫурӑм
24,Bauch::N,փոր,
25,Bauch::N,որովայն,
26,Nabel::N,պորտ,кӑвапа
27,Busen::N,ծոց,кӑкӑр
28,Brust::N,կուրծք,умӗ
29,Schulter::N,ուս,хул пуҫҫи
30,Arm::N,թեւ,алӑ
31,Arm::N,բազուկ,алӑ
32,Ellenbogen::N,արմունկ,чавса
33,Hand::N,ձեռք,алӑ сыппи
34,Handfläche::N,ափ,ал лаппи
35,Finger::N,մատ,пӳрне
36,Fingernagel::N,եղունգ,чӗрне
37,Nagel[Anatomie]::N,եղունգ,чӗрне
38,Zeh::N,ոտքի մատ,пӳрне
39,Fuß::N,ոտք,ура лаппи
40,Ferse::N,գարշապար,кӗле
41,Knie::N,ծունկ,чӗркуҫҫи
42,Oberschenkel::N,ազդր,пӗҫӗ
43,Bein::N,ոտք,ура
44,Körper::N,մարմին,ӳт
45,Körper::N,մարմին,ӳт-пӳ
46,Haut::N,մաշկ,тир
47,Blut::N,արյուն,юн
48,Ader::N,երակ,вена
49,Sehne::N,ջիղ,шӑнӑр
50,Sehne::N,ձգտան,шӑнӑр
51,Knochen::N,ոսկոր,шӑмӑ
52,Gehirn::N,խելք,миме
53,Herz::N,սիրտ,чӗре
54,Magen::N,ստամոքս,хырӑмлӑх
55,Leber::N,լյարդ,пӗвер
56,Atem::N,շունչ,сывлав
57,Hunger::N,քաղց,выҫлӑх
58,Träne::N,արտասուք,куҫҫуль
59,Geschmack::N,համ,техӗм
60,Geschmack::N,բուրմունք,техӗм
61,Geruch::N,հոտ,шӑршӑ
62,Geruch::N,բուրում,шӑршӑ
63,Schlaf::N,քուն,ыйхӑ
64,Traum::N,երազ,тӗлӗк
65,Himmel::N,երկինք,пӗлӗт
66,Sonne::N,արեւ,хӗвел
67,Mond::N,լուսին,уйӑх
68,Stern::N,աստղ,ҫӑлтӑр
69,Luft::N,օդ,сывлӑш
70,Wind::N,քամի,ҫил
71,Welle::N,ալիք,хум
72,Wasser::N,ջուր,шыв
73,Wasser::N,ջուր,шыв-шур
74,Stein::N,քար,чул
75,Boden::N,գետին,тӑпра
76,Erde::N,հող,ҫӗр
77,Staub::N,փոշի,тусан
78,Rauch::N,ծուխ,тӗтӗм
79,Funke::N,կայծ,хӗм
80,Feuer::N,կրակ,вут
81,Feuer::N,կրակ,ҫулӑм
82,Feuer::N,հրդեհ,вут
83,Feuer::N,հրդեհ,ҫулӑм
84,Licht::N,լույս,ҫутӑ
85,Schatten::N,ստվեր,сулхӑн
86,Wetter::N,եղանակ,ҫанталӑк
87,Nebel::N,մեգ,тӗтре
88,Nebel::N,մառախուղ,тӗтре
89,Wolke::N,ամպ,пӗлӗт
90,Regen::N,անձրև,ҫумӑр
91,Schnee::N,ձյուն,юр
92,Eis::N,սառույց,пӑр
93,Frost::N,սառնամանիք,сивӗ
94,Kälte::N,դող,сивӗ
95,Hitze::N,շոգ,вӗри
96,Hitze::N,շոգ,шӑрӑх
97,Raureif::N,ցօղեղեամ,пас
98,Regenbogen::N,ծիածան,асамат кӗперӗ
99,Donner::N,որոտ,аслати
100,Strömung::N,հոսանք,юхӑ
101,Tropfen::N,կաթիլ,тумлам
102,Schaum::N,փրփուր,кӑпӑк
103,Schmutz::N,կեղտ,пылчӑк
104,See::N,լիճ,кӳлӗ
105,Sumpf::N,ճահիճ,шур
106,Sumpf::N,ճահիճ,шурлӑх
107,Moor::N,ճահիճ,торфлӑ шурлӑх
108,Wiese::N,մարգագետին,улӑх
109,Wiese::N,մարգագետին,ҫаран
110,Wald::N,անտառ,вӑрман
111,Hügel::N,բլուր,сӑрт
112,Hügel::N,բլուր,тӗмеске
113,Anhöhe::N,բարձունք,сӑрт
114,Berg::N,լեռ,ту
115,Gipfel::N,գագաթ,тӳпе
116,Gipfel::N,կատար,тӳпе
117,Höhle::N,քարայր,ҫӗр хӑвӑлӗ
118,Abhang::N,լանջ,тӑвайкки
119,Abhang::N,զառիվայր,тӑвайкки
120,Quelle::N,աղբյուր,ҫӑл куҫ
121,Bach::N,վտակ,пӗчӗк шыв
122,Fluss::N,գետ,юхан шыв
123,Ufer::N,ծովափ,ҫыран
124,Küste::N,ափ,тинӗс ҫыранӗ
125,Küste::N,ծովափ,тинӗс ҫыранӗ
126,Festland::N,ցամաք,тип ҫӗр
127,Meer::N,ծով,тинӗс
128,Bucht::N,հաչիւն,тинӗс кукӑрӗ
129,Insel::N,վղզի,утрав
130,Blume::N,ծաղիկ,чечек
131,Gras::N,խոտ,курӑк
132,Wurzel::N,արմատ,тымар
133,Baum::N,ծառ,йывӑҫ
134,Stamm::N,իրան,вулӑ
135,Rinde::N,կեղեւ,хуйӑр
136,Rinde::N,հաչոց,хуйӑр
137,Ast::N,ճյուղ,турат
138,Zweig::N,ճյուղ,турат
139,Blatt::N,տերեւ,ҫулҫӑ
140,Birke::N,ցարասի,хурӑн
141,Kiefer[Baum]::N,սոճի,хыр
142,Weide[Baum]::N,ուռենի,хӑва
143,Tanne::N,եղեւին,чӑрӑш
144,Feder::N,փետուր,тӗк
145,Fell::N,մորթի,ҫӑм
146,Flügel::N,թեւ,ҫунат
147,Klaue::N,չանչ,чӗрне
148,Kralle::N,ճանկ,ура
149,Schwanz::N,պոչ,хӳре
150,Ei::N,ձու,ҫӑмарта
151,Nest::N,բույն,йӑва
152,Bau::N,որջ,йӗнӗ
153,Bau::N,բայոց,йӗнӗ
154,Tier::N,կենդանի,выльӑх
155,Herde::N,հոտ,кӗтӳ
156,Kuh::N,կով,ӗне
157,Bulle::N,ցուլ,вӑкӑр
158,Pferd::N,ձի,лаша
159,Schaf::N,ոչխար,сурӑх
160,Schwein::N,խոզ,сысна
161,Hund::N,շուն,йытӑ
162,Katze::N,կատու,кушак
163,Bär::N,արջ,упа
164,Eichhörnchen::N,սկյուռ,пакша
165,Elch::N,հիւսիսային եղջերու,пӑши
166,Fuchs::N,աղվես,тилӗ
167,Hase::N,նապաստակ,куян
168,Hase::N,նապաստակ,мулкач
169,Maus::N,մուկ,шӑши
170,Wolf::N,գայլ,кашкӑр
171,Vogel::N,թռչուն,кайӑк
172,Vogel::N,թռչուն,вӗҫен кайӑк
173,Schwarm::N,երամ,ушкӑн
174,Huhn::N,հավ,чӑх
175,Huhn::N,հավ,чӑхӑ
176,Hahn::N,աքաղաղ,автан
177,Gans::N,սագ,хур
178,Adler::N,արծիվ,ӑмӑрт кайӑк
179,Ente::N,բադ,кӑвакал
180,Eule::N,բու,тӑмана
181,Kranich::N,կռունկ,тӑрна
182,Krähe::N,ագռավ,ула курак
183,Kuckuck::N,կուկու,куккук
184,Schwan::N,կարապ,акӑш
185,Fisch::N,ձուկ,пулӑ
186,Barsch::N,պերկես,уланкӑ
187,Hecht::N,գայլաձուկ,ҫӑрттан
188,Schlange[Tier]::N,օձ,ҫӗлен
189,Wurm::N,որդ,ӑман
190,Wurm::N,ճիճու,ӑман
191,Spinne::N,սարդ,эрешмен
192,Ameise::N,միջյուն,кӑткӑ
193,Laus::N,ոջիլ,пыйтӑ
194,Mücke::N,մժղուկ,вӑрӑм туна
195,Fliege::N,ճանճ,шӑна
196,Schmetterling::N,թիթեռ,лӗпӗш
197,Beere::N,հատապտուղ,ҫырла
198,Apfel::N,խնձոր,улма
199,Apfel::N,խնձոր,пан улми
200,Pilz::N,սունկ,кӑмпа
201,Zwiebel::N,սոխ,сухан
202,Saat::N,սերմ,вӑрӑ
203,Korn::N,հատիկ,тӗшӗ
204,Korn::N,հատիկ,пӗрчӗ
205,Heu::N,խոտ,утӑ
206,Schale::N,կեղեւ,хупӑ
207,Grube::N,փոս,шӑтӑк
208,Falle::N,ծուղակ,тапӑ
209,Falle::N,ծուղակ,капкӑн
210,Schlinge::N,խեղդան,йӑлӑ
211,Spur::N,հետք,йӗр
212,Asche::N,մոխիր,кӗл
213,Dreck::N,աղտ,пылчӑк
214,Eisen::N,երկաթ,тимӗр
215,Gold::N,ոսկի,ылтӑн
216,Silber::N,արծաթ,кӗмӗл
217,Kohle::N,քարածուխ,кӑмрӑк
218,Glas::N,ապակի,кӗленче
219,Lehm::N,կավ,тӑм
220,Sand::N,ավազ,хӑйӑр
221,Mensch::N,մարդ,ҫын
222,Mensch::N,մարդ,этем
