,Concept_ID,be,av
173,Schwarm::N,чарада,тӏел
174,Huhn::N,курыца,гӏанкӏу
175,Hahn::N,певень,хӏелеко
176,Gans::N,гусь,хъаз
177,Adler::N,арол,цӏум
178,Ente::N,качка,ордек
179,Eule::N,сава,беццаруз
180,Kranich::N,жораў,къункъра
181,Kranich::N,журавель,къункъра
182,Krähe::N,варона,гъеду
183,Kuckuck::N,зязюля,гагу
184,Schwan::N,лебедзь,хӏанкъва
185,Fisch::N,рыба,ччугӏа
186,Barsch::N,акунь,окунь
187,Hecht::N,шчупак,щука
188,Schlange[Tier]::N,змяя,борохь
189,Wurm::N,чарвяк,хӏапара
190,Spinne::N,павук,хъанхъра
191,Ameise::N,мурашка,цӏунцӏра
192,Laus::N,вош,нацӏ
193,Mücke::N,камар,кӏкӏара
194,Fliege::N,муха,тӏутӏ
195,Schmetterling::N,матыль,кӏалкӏучӏ
196,Beere::N,ягада,
197,Apfel::N,яблык,гӏеч
198,Pilz::N,грыб,гӏурдахӏан
199,Zwiebel::N,цыбуля,кӏочӏопер
200,Saat::N,семя,хьон
201,Korn::N,зерне,мугь
202,Heu::N,сена,хер
203,Schale::N,шалупінне,хъал
204,Grube::N,яма,гвенд
205,Falle::N,пастка,къор
206,Falle::N,пастка,къотен
207,Schlinge::N,сіло,кӏичӏ
208,Spur::N,след,лъалкӏ
209,Asche::N,попел,рахъу
210,Dreck::N,бруд,гъиз
211,Dreck::N,бруд,хӏарщ
212,Eisen::N,жалеза,махх
213,Gold::N,золата,месед
214,Silber::N,сребра,гӏарац
215,Kohle::N,вугаль,тӏурччи
216,Glas::N,шкло,цӏер
217,Lehm::N,гліна,хӏатӏ
218,Sand::N,пясок,сали
219,Mensch::N,чалавек,чи
220,Mann::N,мужчына,бихьинчи
221,Frau::N,жанчына,гӏадан
222,Kind::N,дзіця,лъимер
223,Junge::N,хлопчык,вас
224,Mädchen::N,дзяўчынка,яс
225,Familie::N,сямʼя,хъизан
226,Großvater::N,дзядуля,кӏудада
227,Großmutter::N,бабуля,кӏодо
228,Eltern::N,бацькі,эбел-эмен
229,Vater::N,бацька,эмен
230,Mutter::N,маці,эбел
231,Sohn::N,сын,вас
232,Tochter::N,дачка,яс
233,Bruder::N,брат,вац
234,Schwester::N,сястра,яц
235,Onkel::N,дзядзька,даци
236,Tante::N,цётка,ада
237,Ehemann::N,муж,рос
238,Ehefrau::N,жонка,чӏужу
239,Freude::N,радасць,ракӏбохи
240,Gelächter::N,смех,релъи
241,Glück::N,шчасце,талихӏ
242,Glück::N,шчасце,талихӏ-рохел
243,Kummer::N,гора,хӏалкъай
244,Wunsch::N,жаданне,къасд
245,Lust::N,цяга,гъира
246,Geist::N,дух,чӏанкӏ
247,Geist::N,дух,рухӏ-жан
248,Gedanke::N,думка,пикру
249,Gedächtnis::N,памяць,
250,Verstand::N,розум,лумалъи
251,Verstand::N,розум,цӏодорлъи
252,Sinn::N,сэнс,магӏна
253,Grund::N,зачэпка,багьана
254,Wahrheit::N,праўда,ритӏухълъи
255,Gespräch::N,размова,накъит
256,Märchen::N,казка,маргьа
257,Erzählung::N,расказ,къиса
258,Erzählung::N,апавяданне,къиса
259,Nachricht::N,вестка,хабар
260,Nachricht::N,паведамленне,хабар
261,Neuigkeit::N,навіна,хабар-гӏазаб
262,Name::N,імя,цӏар
263,Rätsel::N,загадка,бицанкӏо
264,Rede::N,прамова,речь
265,Rede::N,прамова,калам
266,Sprache::N,мова,мацӏ
267,Stimme::N,голас,гьаракь
268,Wort::N,слова,рагӏи
269,Zeichen::N,знак,ишара
270,Zeichen::N,знак,гӏаламат
271,Ruf::N,кліч,ахӏи
272,Lärm::N,шум,хъуй
273,Lärm::N,шум,хъуди
274,Laut::N,гук,гьаракь
275,Laut::N,гук,сас
276,Ton::N,гучанне,
277,Lied::N,песня,кечӏ
278,Ruhe::N,спакой,рахӏат
279,Leute::N,людзі,гӏадамал
280,Volk::N,народ,халкъ
281,Arbeit::N,праца,хӏалтӏи
282,Arbeit::N,работа,хӏалтӏи
283,Gast::N,госць,гьобол
284,Geschenk::N,падарунак,сайигъат
285,Spiel::N,гульня,хӏай
286,Spiel::N,гульня,расанди
287,Gesellschaft::N,таварыства,жамагӏат
288,Hilfe::N,дапамога,кумек
289,Freund::N,друг,гьудул
290,Freund::N,сябар,гьудул
291,Kamerad::N,прыяцель,гьалмагъ
292,Angelegenheit::N,справа,къваригӏел
293,Anzahl::N,колькасць,рикӏкӏен
294,Art::N,від,жинс
295,Stück::N,кусок,кесек
296,Stück::N,кавалак,кесек
297,Teil::N,частка,пай
298,Hälfte::N,палова,бащдаб
299,Hälfte::N,палавіна,бащдаб
300,Kreis::N,круг,гор
301,Kreuz::N,крыж,хъанч
302,Linie::N,лінія,мухъ
303,Strich::N,рыса,хӏучч
304,Abstand::N,прамежак,манзил
305,Entfernung::N,адлегласць,манзил
306,Gegend::N,мясцовасць,рахъ
307,Platz::N,месца,бакӏ
308,Ort::N,месца,бакӏ
309,Seite::N,бок,рахъ
310,Mitte::N,сярэдзіна,бакьулъбакӏ
311,Gegenstand::N,прадмет,жо
312,Sache::N,рэч,жо
313,Rand::N,край,мицӏир
314,Kante::N,руб,рагӏал
315,Kante::N,руб,рагӏа-ракьан
316,Kante::N,кант,рагӏал
317,Kante::N,кант,рагӏа-ракьан
318,Ecke::N,вугал,цили
319,Spitze::N,кончык,тӏогь
320,Ende::N,канец,кӏал
321,Loch::N,дзірка,каратӏ
322,Winkel::N,вугал,
323,Muster::N,узор,накъиш
324,Größe::N,памер,кӏодо́лъи
325,Länge::N,даўжыня,халалъи
326,Höhe::N,вышыня,борхалъи
327,Gewicht::N,вага,бакӏлъи
328,Menge::N,колькасць,
329,Haufen::N,куча,гъуни
330,Reihe::N,рад,ирга́
331,Boot::N,лодка,раса
332,Ruder::N,вясло,раххан
333,Schlitten::N,сані,чанагъ
334,Ski::N,лыжа,лыжаби
335,Lagerfeuer::N,вогнішча,цӏа
336,Last::N,цяжар,бакӏлъи
337,Gang::N,ход,хьвади
338,Gang::N,ход,хьвада-чӏвади
339,Schritt::N,шаг,гали
340,Schritt::N,крок,гали
341,Norden::N,поўнач,шимал
342,Süden::N,поўдзень,юг
343,Süden::N,поўдзень,къибла
344,Westen::N,захад,гъарб
345,Westen::N,захад,магъриб
346,Osten::N,усход,шаркъ
347,Osten::N,усход,машрикъ
348,Holz::N,дрэва,цӏул
349,Holz::N,драўніна,цӏул
350,Brett::N,дошка,хъарщи
351,Platte::N,пліта,къоно
352,Stütze::N,падпорка,
353,Stange::N,жэрдка,гӏер
354,Stock::N,палка,тӏил
355,Stab::N,шост,гӏер
356,Rohr::N,труба,турба
357,Haus::N,дом,ригь
358,Haus::N,дом,рукъзал
359,Heim::N,дом,рукъ
360,Heim::N,хата,рукъ
361,Ofen::N,печ,печь
362,Fußboden::N,падлога,чӏабар
363,Tisch::N,стол,стол
364,Stuhl::N,стул,бакӏу
365,Stuhl::N,крэсла,бакӏу
366,Wiege::N,калыска,кини
367,Bett::N,ложак,кровать
368,Bett::N,пасцель,кровать
369,Regal::N,паліца,хъарщи
370,Kiste::N,скрынка,ящик
371,Kiste::N,скрынка,тӏалагъуд
372,Fenster::N,акно,гордо
373,Tür::N,дзверы,нуцӏа
374,Tor::N,вароты,каву
375,Zaun::N,агароджа,раци
376,Dach::N,дах,тӏох
377,Leiter::N,лесвіца,мали
378,Besen::N,мятла,жул
379,Spaten::N,лапата,бел
380,Spaten::N,жалязняк,бел
381,Schaufel::N,шуфлік,раххан
382,Schaufel::N,лапатка,раххан
383,Gabel::N,відэлец,гӏучӏ
384,Löffel::N,лыжка,гъуд
385,Messer::N,нож,нус
386,Nagel::N,цвік,магӏ
387,Netz::N,сетка,гьин
388,Haken::N,крук,гъанцӏа
389,Griff::N,ручка,гӏоркь
390,Schloss::N,замок,кӏулал
391,Bild::N,карціна,сурат
392,Figur::N,фігура,
393,Puppe::N,лялька,нани
394,Beutel::N,мяшок,таргьа
395,Bündel::N,вязка,къай
396,Tasche::N,торба,сумка
397,Tasche::N,торба,къвачӏа
398,Eimer::N,вядро,ведро
399,Deckel::N,накрыўка,тӏалъел
400,Deckel::N,накрыўка,дадитӏалъел
401,Geschirr::N,пасуда,цӏарагӏ
402,Sack::N,мех,хъап
403,Sack::N,мех,къандалъо
404,Tasse::N,кубак,чашка
405,Topf::N,каструля,хьаг
406,Kessel::N,кацёл,хьаг
407,Kessel::N,кацёл,гереги
408,Essen::N,ежа,тӏагӏам
409,Nahrung::N,харч,квен
410,Speise::N,страва,квен
411,Fleisch::N,мяса,гьан
412,Getreide::N,збожжа,бугӏа-ролъ
413,Getreide::N,збожжа,могьолабл_культураби
414,Brei::N,каша,карщ
415,Brot::N,хлеб,чед
416,Scheibe::N,луста,мочӏу
417,Scheibe::N,скібка,мочӏу
418,Fett::N,тлушч,беэнлъи
419,Butter::N,масла,нах
420,Öl::N,алей,нах
421,Salz::N,соль,цӏам
422,Suppe::N,суп,чурпа
423,Honig::N,мёд,гьоцӏо
424,Milch::N,малако,рахь
425,Tee::N,чай,чай
426,Tee::N,гарбата,чай
427,Leder::N,скура,тӏом
428,Wolle::N,воўна,квас
429,Stoff::N,тканіна,ххам
430,Nadel::N,іголка,рокӏкӏен
431,Faden::N,нітка,кун
432,Knopf::N,гузік,маргъал
433,Knoten::N,вузел,гарацӏ
434,Farbe::N,фарба,релъен
435,Kleidung::N,адзенне,ретӏел
436,Hemd::N,кашуля,гурде
437,Kragen::N,каўнер,габур
438,Ärmel::N,рукаў,къвал
439,Hose::N,штаны,тӏажу
440,Gürtel::N,пояс,рачел
441,Mütze::N,шапка,тӏагъур
442,Schuh::N,чаравік,
443,Stiefel::N,бот,этек
444,Stiefel::N,бот,чакма
445,Ring::N,кольца,баргъич
446,Band::N,стужка,лента
447,Kamm::N,расчоска,гьоркьо
448,Spiegel::N,люстра,матӏу
449,Riemen::N,рэмень,рижу
450,Schnur::N,вяроўка,
451,Leine::N,павадок,
452,Decke::N,коўдра,одея́ло
453,Kissen::N,падушка,къандалъо
454,Tuch::N,хустка,квархьи
455,Handtuch::N,ручнік,беркӏалрацӏцӏ
456,Kraft::N,сіла,гуч
457,Kraft::N,сіла,къуват
458,Stärke::N,моц,хӏалкӏвей
459,Gesundheit::N,здароўе,сахлъи́
460,Krankheit::N,хвароба,унти
461,Krankheit::N,хвароба,щокълъи
462,Schmerz::N,боль,унти
463,Wunde::N,рана,ругъун
464,Fieber::N,гарачка,цӏа-кан
465,Fieber::N,ліхаманка,цӏа-кан
466,Arznei::N,лекі,дару
467,Brücke::N,мост,кьо
468,Brunnen::N,калодзеж,гъуй
469,Weide::N,паша,рицӏцӏ
470,Weide::N,паша,лъичӏирма
471,Weide::N,паша,гӏурдаллъи
472,Weide::N,паша,ри́цӏигъветӏ
473,Weide::N,паша,рицӏцӏигъветӏ
474,Pfad::N,сцежка,сухъмахъ
475,Weg::N,шлях,нух
476,Weg::N,дарога,нух
477,Straße::N,вуліца,нух
478,Dorf::N,вёска,росу
479,Stadt::N,горад,шагьар
480,Brief::N,ліст,кагъат
481,Brief::N,ліст,рисалат
482,Brief::N,пісьмо,кагъат
483,Brief::N,пісьмо,рисалат
484,Buch::N,кніга,тӏехь
485,Buchstabe::N,літара,хӏарп
486,Zeitung::N,газета,газет
487,Leben::N,жыццё,яшав
488,Tod::N,смерць,хвел
489,Grab::N,магіла,хоб
490,Kirche::N,касцёл,килиса
491,Kirche::N,царква,килиса
492,Sünde::N,грэх,хӏакъ
493,Sünde::N,грэх,мунагь
494,Gott::N,бог,бичас
495,Gott::N,бог,аллагь
496,Arbeiter::N,рабочы,хӏалтӏухъан
497,Chef::N,начальнік,хӏаким
498,Chef::N,начальнік,начальник
499,Meister::N,майстар,устар
500,Meister::N,майстар,мастер
501,Meister::N,майстар,махщалилав
502,Arzt::N,урач,жайрахӏ
503,Lehrer::N,настаўнік,мугӏалим
504,Geld::N,грошы,гӏарац
505,Geschäft::N,заняцце,
506,Laden::N,крама,тукен
507,Laden::N,магазін,тукен
508,Preis::N,цана,багьа
509,Ware::N,тавар,къайи
510,Nutzen::N,выгада,мунпагӏат
511,Reichtum::N,багацце,бечелъи
512,Welt::N,свет,дуниял
513,Land::N,краіна,улка
514,Land::N,краіна,икълим
515,Staat::N,дзяржава,пачалихъ
516,König::N,кароль,пача
517,König::N,кароль,малик
518,König::N,кароль,къирал
519,König::N,кароль,падишагь
520,Macht::N,улада,кверщел
521,Grenze::N,граніца,гӏорхъи
522,Krieg::N,вайна,рагъ
523,Feind::N,вораг,тушман
524,Gewalt::N,насілле,зулму
525,Kampf::N,барацьба,къеркьей
526,Bogen[Waffe]::N,лук,газаргъо
527,Pfeil::N,страла,чӏор
528,Gewehr::N,ружжо,туманкӏ
529,Fehler::N,памылка,гъалатӏ
530,Lüge::N,хлусня,гьереси
531,Schaden::N,шкода,зиян
532,Schaden::N,шкода,зарал
533,Unglück::N,ліха,балагь
534,Unglück::N,бядота,балагь
535,Schuld::N,віна,гӏайиб
536,Alter::N,узрост,гӏумру
537,Schluss::N,канец,ахир
538,Zeit::N,час,заман
539,Tag::N,дзень,къо
540,Morgen::N,ранак,радалмех
541,Morgen::N,раніца,радалмех
542,Mittag::N,паўдня,къадемех
543,Mittag::N,поўдзень,къадемех
544,Abend::N,вечар,релъедамех
545,Nacht::N,ноч,сордо
546,Woche::N,тыдзень,анкь
547,Monat::N,месяц,моцӏ
548,Jahr::N,год,сон
549,Jahr::N,год,лъагӏел
550,Frühling::N,вясна,их
551,Sommer::N,лета,рии
552,Herbst::N,восень,хасалихълъи
553,Winter::N,зіма,кьин
554,Januar::N,студзень,январь
555,Februar::N,люты,февра́ль
556,März::N,сакавік,март
557,April::N,красавік,апрель
558,Mai::N,май,май
559,Mai::N,травень,май
560,Juni::N,чэрвень,июнь
561,Juli::N,ліпень,июль
562,August::N,жнівень,август
563,September::N,верасень,сентябрь
564,Oktober::N,кастрычнік,октябрь
565,November::N,лістапад,ноябрь
566,Dezember::N,снежань,декабрь
567,Montag::N,панядзелак,итни
568,Dienstag::N,аўторак,талат
569,Mittwoch::N,серада,арбагӏ
570,Donnerstag::N,чацвер,хамиз
571,Freitag::N,пятніца,рузман
572,Samstag::N,субота,щамат
573,Sonntag::N,нядзеля,гьатӏан
574,groß::A,вялікі,кӏудияб
575,klein::A,маленькі,гьитӏинаб
576,lang::A,доўгі,халатаб
577,kurz::A,кароткі,къокъаб
578,breit::A,шырокі,гӏебаб
579,schmal::A,вузкі,къваридаб
580,dicht::A,густы,ризаб
581,dick[Gegenstand]::A,тоўсты,бицатаб
582,dünn::A,тонкі,тӏеренаб
583,fein::A,тонкі,тӏеренаб
584,fest::A,моцны,къвакӏараб
