,Concept_ID,av,myv
0,Ohr::N,гӏин,пиле
1,Nase::N,мегӏер,судо
2,Mund::N,кӏал,курго
3,Zahn::N,гӏус,пей
4,Zunge::N,мацӏ,кель
5,Lippe::N,кӏветӏ,турва
6,Wange::N,гӏоно,чамабока
7,Wange::N,гӏоно,чамаумарь
8,Gesicht::N,гьумер,чама
9,Stirn::N,нодо,коня
10,Haar::N,рас,черь
11,Schnurrbart::N,михъ,ус
12,Schnurrbart::N,михъ,муюк
13,Bart::N,мегеж,сакал
14,Kinn::N,нилъу,уло
15,Kiefer[Anatomie]::N,чанагъ,пейпакар
16,Kiefer[Anatomie]::N,чанагъ,пейловажа
17,Kehle::N,щекъер,кирьгапарь
18,Hals::N,габур,кирьга
19,Genick::N,гъванща,човонь
20,Kopf::N,бетӏер,пря
21,Rücken::N,мугъ,копорь
22,Bauch::N,чехь,пеке
23,Nabel::N,цӏину,почо
24,Busen::N,керен,поте
25,Brust::N,керен,меште
26,Schulter::N,гъажазубетӏер,лавтов
27,Arm::N,гъеж,кедь
28,Ellenbogen::N,гӏункӏрукь,кенерепакарь
29,Hand::N,квер,кедь
30,Handfläche::N,огъохъат,кедькуншка
31,Handfläche::N,огъохъат,кедьлапушка
32,Handfläche::N,жанисахъат,кедькуншка
33,Handfläche::N,жанисахъат,кедьлапушка
34,Finger::N,килищ,сур
35,Fingernagel::N,малъ,кенже
36,Nagel[Anatomie]::N,малъ,кенже
37,Zeh::N,килищ,пильге сур
38,Fuß::N,хӏетӏ,пильге
39,Fuß::N,хӏетӏе,пильге
40,Ferse::N,эгъе,кочкаря
41,Knie::N,наку,эле
42,Knie::N,наку,эзне
43,Knie::N,наку,кумажа
44,Oberschenkel::N,мачӏ,качо
45,Bein::N,бох,пильге
46,Körper::N,къаркъала,рунго
47,Haut::N,тӏом,киське
48,Blut::N,би,верь
49,Ader::N,бидурихь,сан
50,Knochen::N,ракьа,пакарь
51,Gehirn::N,гӏадалнах,удем
52,Herz::N,ракӏ,седей
53,Magen::N,кванирукъ,пеке
54,Leber::N,тӏул,максо
55,Atem::N,хӏухь,лексема
56,Atem::N,хӏухь,оймень таргсема
57,Hunger::N,ракъи,вачочи
58,Träne::N,магӏу,селведь
59,Geschmack::N,тату,тансть
60,Geruch::N,махӏ,чине
61,Schlaf::N,макьу,удома
62,Traum::N,макьу,он
63,Himmel::N,зоб,менель
64,Sonne::N,бакъ,чи
65,Mond::N,моцӏ,ков
66,Stern::N,цӏва,теште
67,Luft::N,гьава,кошт
68,Wind::N,гьури,варма
69,Welle::N,карачел,толкун
70,Wasser::N,лъим,ведь
71,Stein::N,гьецӏо,кев
72,Boden::N,ракь,мода
73,Erde::N,ракь,мастор
74,Erde::N,дуниял,мастор
75,Staub::N,хӏур,пуль
76,Rauch::N,кӏкӏуй,качамо
77,Feuer::N,цӏа,тол
78,Licht::N,канлъи,валдо
79,Schatten::N,рагӏад,сулей
80,Schatten::N,рагӏад,сулейкс
81,Wetter::N,гьава-бакъ,ушо
82,Nebel::N,гӏодобнакӏкӏ,сув
83,Wolke::N,накӏкӏ,пель
84,Regen::N,цӏад,пиземс
85,Schnee::N,гӏазу,лов
86,Eis::N,цӏер,эй
87,Frost::N,замгьари,кельме
88,Kälte::N,квач,якшамо
89,Hitze::N,багӏари,пси
90,Raureif::N,мартӏ,лекш
91,Regenbogen::N,нур,пурьгинечирьке
92,Regenbogen::N,нур,пурьгинеёнкс
93,Regenbogen::N,чамбара,пурьгинечирьке
94,Regenbogen::N,чамбара,пурьгинеёнкс
95,Donner::N,гъугъай,пурьгине
96,Donner::N,гъугъади,пурьгине
97,Strömung::N,чвахи,чудема
98,Strömung::N,чвахи,чудевкс
99,Tropfen::N,резел,петнявкс
100,Tropfen::N,тӏинкӏ,петнявкс
101,Tropfen::N,къатӏра,петнявкс
102,Tropfen::N,тӏенкӏел,петнявкс
103,Schaum::N,полоп,чов
104,Schmutz::N,чороклъи,рудаз
105,See::N,хӏор,эрьке
106,Sumpf::N,хьуцӏ,чей
107,Wiese::N,мегъ,луга
108,Wiese::N,гӏурдаллъи,луга
109,Wald::N,рохь,вирь
110,Hügel::N,гохӏ,губорь
111,Hügel::N,гохӏ,пандыне
112,Anhöhe::N,сийитма,губорь
113,Anhöhe::N,сийитма,пандыне
114,Berg::N,мегӏер,пандо
115,Gipfel::N,тӏогь,пря
116,Höhle::N,нохъо,пещера
117,Abhang::N,лабаллъи,пандочама
118,Quelle::N,ицц,ушодкс
119,Bach::N,лъар,чудикерькс
120,Fluss::N,гӏор,лей
121,Ufer::N,рагӏал,чире
122,Küste::N,рагӏал,лейчире
123,Festland::N,ракь,мода
124,Festland::N,ракъдаллъи,мода
125,Meer::N,ралъад,моря
126,Bucht::N,кӏветӏ,усия
127,Insel::N,чӏинкӏиллъи,усия
128,Blume::N,тӏегь,цеця
129,Gras::N,хер,тикше
130,Wurzel::N,кьибил,юр
131,Wurzel::N,кьибил,ундокс
132,Baum::N,гъветӏ,чувто
133,Stamm::N,рохти,рунго
134,Rinde::N,макъар,суд
135,Rinde::N,макъар,керь
136,Ast::N,ноцӏ,морго
137,Zweig::N,гӏаркьел,тарад
138,Blatt::N,тӏамах,лопа
139,Birke::N,мах,килей
140,Birke::N,махигъветӏ,килей
141,Kiefer[Baum]::N,накӏкӏигъветӏ,пиче
142,Weide[Baum]::N,рицӏцӏ,каль
143,Weide[Baum]::N,рицӏцӏигъветӏ,каль
144,Tanne::N,ёлка,куз
145,Horn::N,лълъар,сюро
146,Feder::N,хӏули,толга
147,Fell::N,тӏом,пона
148,Fell::N,цӏоко,пона
149,Flügel::N,кваркьи,сёлмо
150,Klaue::N,галъ,кенже
151,Kralle::N,квачӏ,кенже
152,Kralle::N,катиквачӏ,кенже
153,Schwanz::N,рачӏ,пуло
154,Ei::N,хоно,ал
155,Nest::N,бусен,пизэ
156,Bau::N,каратӏ,варя
157,Bau::N,каратӏ,пизе
158,Tier::N,хӏайван,ракша
159,Herde::N,рехъен,стада
160,Herde::N,рехъед,стада
161,Kuh::N,гӏака,скал
162,Bulle::N,оц,бука
163,Pferd::N,чу,лишме
164,Schaf::N,чахъу,реве
165,Schwein::N,болъон,туво
166,Hund::N,гьой,пине
167,Hund::N,гьой,киска
168,Katze::N,кету,псака
169,Bär::N,ци,овто
170,Eichhörnchen::N,гвангва,ур
171,Fuchs::N,цер,ривезь
172,Hase::N,гӏанкӏ,нумоло
173,Maus::N,гӏункӏкӏ,чеерь
174,Wolf::N,бацӏ,верьгиз
175,Vogel::N,хӏинчӏ,нармунь
176,Schwarm::N,тӏел,полк
177,Schwarm::N,тӏел,стада
178,Huhn::N,гӏанкӏу,сараз
179,Hahn::N,хӏелеко,атякш
180,Gans::N,хъаз,гала
181,Gans::N,хъаз,мацей
182,Adler::N,цӏум,куцькан
183,Adler::N,цӏум,тумоатякш
184,Ente::N,ордек,яксярго
185,Eule::N,беццаруз,корж
186,Kranich::N,къункъра,карго
187,Krähe::N,гъеду,варака
188,Kuckuck::N,гагу,куко
189,Schwan::N,хӏанкъва,локсей
190,Fisch::N,ччугӏа,кал
191,Barsch::N,окунь,окунь
192,Hecht::N,щука,щука
193,Schlange[Tier]::N,борохь,гуй
194,Wurm::N,хӏапара,сукс
195,Spinne::N,хъанхъра,шанжав
196,Ameise::N,цӏунцӏра,коткудав
197,Laus::N,нацӏ,сий
198,Mücke::N,кӏкӏара,сеське
199,Fliege::N,тӏутӏ,карво
200,Schmetterling::N,кӏалкӏучӏ,нимиляв
201,Apfel::N,гӏеч,умарь
202,Pilz::N,гӏурдахӏан,панго
203,Zwiebel::N,кӏочӏопер,чурька
204,Saat::N,хьон,видьметь
205,Korn::N,мугь,сюро
206,Heu::N,хер,тикше
207,Schale::N,хъал,кедь
208,Schale::N,хъал,ваткавкс
209,Grube::N,гвенд,латко
210,Falle::N,къор,тувор
211,Falle::N,къор,кундамка
212,Falle::N,къотен,тувор
213,Falle::N,къотен,кундамка
214,Schlinge::N,кӏичӏ,килькш
215,Spur::N,лъалкӏ,челькс
216,Spur::N,лъалкӏ,пильгеки
217,Asche::N,рахъу,кулов
218,Dreck::N,гъиз,рудаз
219,Dreck::N,хӏарщ,рудаз
220,Eisen::N,махх,кшни
221,Gold::N,месед,сырне
222,Silber::N,гӏарац,сия
223,Kohle::N,тӏурччи,сэдь
224,Kohle::N,тӏурччи,уголия
225,Glas::N,цӏер,сулика
226,Lehm::N,хӏатӏ,сёвонь
227,Sand::N,сали,човар
228,Mensch::N,чи,ломань
229,Mann::N,бихьинчи,аля
230,Mann::N,бихьинчи,цёраломань
231,Frau::N,гӏадан,ава
232,Kind::N,лъимер,эйкакш
233,Junge::N,вас,цёрыне
234,Mädchen::N,яс,тейтерне
235,Familie::N,хъизан,семия
236,Großvater::N,кӏудада,покштя
237,Großmutter::N,кӏодо,баба
238,Eltern::N,эбел-эмен,тетят-ават
239,Vater::N,эмен,тетя
240,Mutter::N,эбел,ава
241,Sohn::N,вас,цёра
242,Tochter::N,яс,тейтерь
243,Bruder::N,вац,леля
244,Bruder::N,вац,ялакс
245,Schwester::N,яц,сазор
246,Onkel::N,даци,леля
247,Tante::N,ада,патя
248,Ehemann::N,рос,мирде
249,Ehefrau::N,чӏужу,ни
250,Freude::N,ракӏбохи,кеняркс
251,Gelächter::N,релъи,ракамо
252,Gelächter::N,релъи,пейдема
253,Glück::N,талихӏ,уцяска
254,Glück::N,талихӏ-рохел,уцяска
255,Kummer::N,хӏалкъай,рискс
256,Kummer::N,хӏалкъай,мелявкс
257,Wunsch::N,къасд,мель
258,Wunsch::N,къасд,бажамо
259,Lust::N,гъира,бажамо
260,Geist::N,чӏанкӏ,ойме
261,Geist::N,рухӏ-жан,ойме
262,Gedanke::N,пикру,мель
263,Verstand::N,лумалъи,прев
264,Verstand::N,цӏодорлъи,прев
265,Sinn::N,магӏна,толк
266,Sinn::N,магӏна,смысла
267,Grund::N,багьана,тувтал
268,Wahrheit::N,ритӏухълъи,видечи
269,Gespräch::N,накъит,кортнема
270,Märchen::N,маргьа,ёвкс
271,Erzählung::N,къиса,ёвтнема
272,Nachricht::N,хабар,куля
273,Neuigkeit::N,хабар-гӏазаб,куля
274,Name::N,цӏар,лем
275,Rätsel::N,бицанкӏо,содамоёвкс
276,Rede::N,речь,кортамо
277,Rede::N,калам,кортамо
278,Sprache::N,мацӏ,кель
279,Stimme::N,гьаракь,ваигель
280,Wort::N,рагӏи,вал
281,Zeichen::N,ишара,теште
282,Zeichen::N,гӏаламат,теште
283,Ruf::N,ахӏи,тердема
284,Lärm::N,хъуй,шалнома
285,Lärm::N,хъуди,шалнома
286,Laut::N,гьаракь,вайгель
287,Laut::N,сас,вайгель
288,Lied::N,кечӏ,моро
289,Ruhe::N,рахӏат,оймамо
290,Leute::N,гӏадамал,ломанть
291,Volk::N,халкъ,народ
292,Arbeit::N,хӏалтӏи,тев
293,Gast::N,гьобол,инже
294,Geschenk::N,сайигъат,казне
295,Spiel::N,хӏай,налксема
296,Spiel::N,расанди,налксема
297,Gesellschaft::N,жамагӏат,община
298,Hilfe::N,кумек,лездамо
299,Freund::N,гьудул,оя
300,Freund::N,гьудул,ялга
301,Kamerad::N,гьалмагъ,оя
302,Kamerad::N,гьалмагъ,ялга
303,Angelegenheit::N,къваригӏел,тев
304,Anzahl::N,рикӏкӏен,ламоксчи
305,Art::N,жинс,вид
306,Stück::N,кесек,пакш
307,Stück::N,кесек,пелькс
308,Teil::N,пай,часть
309,Teil::N,пай,пелькс
310,Hälfte::N,бащдаб,пель
311,Hälfte::N,бащдаб,пелькс
312,Kreis::N,гор,кирькс
313,Kreuz::N,хъанч,крёст
314,Linie::N,мухъ,кикс
315,Strich::N,хӏучч,межа
316,Abstand::N,манзил,ютко
317,Entfernung::N,манзил,ютко
318,Gegend::N,рахъ,тарка
319,Gegend::N,рахъ,пертьпелькс
320,Platz::N,бакӏ,васолкс
321,Ort::N,бакӏ,тарка
322,Seite::N,рахъ,ён
323,Seite::N,рахъ,чире
324,Mitte::N,бакьулъбакӏ,куншка
325,Gegenstand::N,жо,предмет
326,Sache::N,жо,тев
327,Sache::N,жо,веща
328,Rand::N,мицӏир,пе
