,Concept_ID,sah,hi
0,Auge::N,харах,आँख
1,Auge::N,харах,चक्षु
2,Ohr::N,кулгаах,कान
3,Ohr::N,кулгаах,कर्ण
4,Nase::N,мурун,नाक
5,Nase::N,мурун,नासा
6,Mund::N,айах,मुख
7,Mund::N,айах,मुँह
8,Zahn::N,тиис,दंत
9,Zahn::N,тиис,दाँत
10,Zunge::N,тыл,जीभ
11,Zunge::N,тыл,ज़बान
12,Zunge::N,тыл,जिह्वा
13,Lippe::N,уос,ओंठ
14,Lippe::N,уос,होंठ
15,Wange::N,иэдэс,गाल
16,Wange::N,иэдэс,कपोल
17,Gesicht::N,сирэй,मुँह
18,Gesicht::N,сирэй,चेहरा
19,Stirn::N,сүүс,माथा
20,Stirn::N,сүүс,मस्तक
21,Haar::N,баттах,बाल
22,Schnurrbart::N,уос бытыга,मूँछें
23,Bart::N,сэҥийэ бытыга,दाढ़ी
24,Kinn::N,сэҥийэ,चिबुक
25,Kiefer[Anatomie]::N,сыҥаах,जबड़ा
26,Kehle::N,тамах,गला
27,Kehle::N,күөмэй,गला
28,Hals::N,моой,गला
29,Hals::N,моой,गरदन
30,Genick::N,кэтэх,गरदन
31,Genick::N,кэтэх,ग्रीवा
32,Kopf::N,бас,सिर
33,Kopf::N,бас,शीर्ष
34,Rücken::N,көҕүс,पीठ
35,Bauch::N,ис,उदर
36,Nabel::N,киин,नाभि
37,Nabel::N,киин,ढोंढी
38,Busen::N,эмиий,कुच
39,Busen::N,эмиий,स्तन
40,Brust::N,түөс,वक्ष
41,Schulter::N,сарын,कंधा
42,Schulter::N,сарын,स्कंध
43,Arm::N,илии,बाँह
44,Arm::N,илии,बाज़ू
45,Ellenbogen::N,тоҕонох,कुहनी
46,Hand::N,илии,हाथ
47,Hand::N,илии,हस्त
48,Handfläche::N,ытыс,हथेली
49,Finger::N,тарбах,उँगली
50,Finger::N,тарбах,अँगुली
51,Fingernagel::N,тыҥырах,नख
52,Fingernagel::N,тыҥырах,नाख़ून
53,Nagel[Anatomie]::N,тыҥырах,नख
54,Nagel[Anatomie]::N,тыҥырах,नाख़ून
55,Zeh::N,тарбах,उँगली
56,Zeh::N,тарбах,पाँव की उँगली
57,Fuß::N,уллуҥах,चरण
58,Fuß::N,уллуҥах,पाँव
59,Ferse::N,тилэх,एड़ी
60,Knie::N,тобук,जानु
61,Knie::N,тобук,घुटना
62,Knie::N,дьилбэк,जानु
63,Knie::N,дьилбэк,घुटना
64,Oberschenkel::N,уллук,उरु
65,Oberschenkel::N,өттүк,उरु
66,Bein::N,атах,टाँग
67,Körper::N,бэйэ,तन
68,Körper::N,бэйэ,देह
69,Körper::N,бэйэ,शरीर
70,Haut::N,тирии,चर्म
71,Haut::N,тирии,त्वचा
72,Blut::N,хаан,लहू
73,Blut::N,хаан,ख़ून
74,Ader::N,вена,रग
75,Ader::N,вена,शिरा
76,Ader::N,күөх_тымыр,रग
77,Ader::N,күөх_тымыр,शिरा
78,Sehne::N,иҥиир,कंडरा
79,Sehne::N,иҥиир,स्नायु
80,Knochen::N,уҥуох,अस्थि
81,Knochen::N,уҥгуох,अस्थि
82,Gehirn::N,мэйии,दिमाग़
83,Gehirn::N,мэйии,मस्तिष्क
84,Herz::N,сүрэх,दिल
85,Herz::N,сүрэх,हृदय
86,Magen::N,куртах,मेदा
87,Magen::N,куртах,अमाशय
88,Leber::N,быар,जिगर
89,Leber::N,быар,यकृत्
90,Atem::N,тыын,दम
91,Atem::N,тыын,साँस
92,Atem::N,тыын,श्वास
93,Hunger::N,аас,भूख
94,Hunger::N,аас,क्षुधा
95,Träne::N,харах уута,आँसू
96,Träne::N,харах уута,अश्रु
97,Geschmack::N,амтан,स्वाद
98,Geschmack::N,амтан,ज़ायक़ा
99,Geruch::N,сыт,बू
100,Geruch::N,сыт,गंध
101,Schlaf::N,утуйуу,नींद
102,Schlaf::N,утуйуу,निद्रा
103,Traum::N,түүл,सपना
104,Traum::N,түүл,स्वप्न
105,Himmel::N,халлаан,आकाश
106,Himmel::N,халлаан,आसमान
107,Sonne::N,күн,रवि
108,Sonne::N,күн,सूरज
109,Sonne::N,күн,सूर्य
110,Mond::N,ый,चाँद
111,Mond::N,ый,चंद्र
112,Stern::N,сулус,तारा
113,Stern::N,сулус,सितारा
114,Luft::N,салгын,हवा
115,Luft::N,салгын,वायु
116,Wind::N,тыал,पाद
117,Welle::N,долгун,लहर
118,Welle::N,долгун,तरंग
119,Welle::N,балхаан,लहर
120,Welle::N,балхаан,तरंग
