,Concept_ID,mrj,os
0,Auge::N,сӹнзӓ,цӕст
1,Ohr::N,пӹлӹш,хъус
2,Nase::N,нер,фындз
3,Mund::N,ышма,дзых
4,Zahn::N,пӱ,дӕндаг
5,Zunge::N,йӹлмӹ,ӕвзаг
6,Lippe::N,тӹрвӹ,был
7,Wange::N,шӹргӹ,рус
8,Wange::N,шӹргӹ,уадул
9,Wange::N,шӹргӹ,ӕхсӕрфарс
10,Gesicht::N,лицӓ,цӕсгом
11,Stirn::N,лепкӓ,ных
12,Haar::N,ӱп,хил
13,Schnurrbart::N,öрш,рихи
14,Bart::N,пандаш,зачъе
15,Kinn::N,онгылаш,роцъо
16,Kiefer[Anatomie]::N,пӱ арата,ӕфсӕр
17,Kehle::N,логер,хъуыр
18,Hals::N,шӱ,къубал
19,Genick::N,ланга,къӕбут
20,Kopf::N,вуй,сӕр
21,Rücken::N,туп,фӕсонтӕ
22,Bauch::N,мӹшкӹр,гуыбын
23,Nabel::N,кӹлӹмдӹ,бикъ
24,Busen::N,цӹзӹ,дзидзи
25,Brust::N,мел,риу
26,Schulter::N,ӹнгӹжӓ,уӕхск
27,Arm::N,кид,цонг
28,Ellenbogen::N,кӹнервуй,рæмбын
29,Hand::N,лапа,къух
30,Handfläche::N,кид лапа,армытъӕпӕн
31,Finger::N,парня,ӕнруылдз
32,Fingernagel::N,кӹч,ных
33,Nagel[Anatomie]::N,кӹч,ных
34,Zeh::N,парня,къух
35,Fuß::N,ял лапа,фад
36,Ferse::N,ялгавал,зӕвӕт
37,Ferse::N,ял кавал,зӕвӕт
38,Knie::N,пылвуй,уӕраг
39,Oberschenkel::N,ӓрдӹ,агъд
40,Bein::N,ял,зӕнг
41,Körper::N,монгыр,буар
42,Haut::N,кавашты,царм
43,Blut::N,вӹр,туг
44,Ader::N,вӹршӓр,дадзин
45,Ader::N,вӹршӓр,тугдадзин
46,Sehne::N,кукшышӱн,хъиутæ
47,Sehne::N,кукшышӱн,нуар
48,Knochen::N,лу,стӕг
49,Gehirn::N,вим,магъз
50,Herz::N,шӱм,зӕрдӕ
51,Magen::N,шӱм,ахсӕн
52,Leber::N,мокш,игæр
53,Atem::N,шӱлӹш,улӕфт
54,Hunger::N,шужымаш,стонг
55,Träne::N,сӹнзӓвӹд,цæссыг
56,Geschmack::N,тот,ад
57,Geruch::N,пыш,смаг
58,Schlaf::N,ом,хуыссӕг
59,Traum::N,ом,фын
60,Himmel::N,пӹлгом,арв
61,Himmel::N,пӹлгом,уӕларв
62,Sonne::N,кечӹ,хур
63,Mond::N,тӹлзӹ,мӕй
64,Stern::N,шӹдӹр,стъалы
65,Luft::N,юж,уӕлдӕф
66,Luft::N,воздух,уӕлдӕф
67,Wind::N,мардеж,дымгӕ
68,Welle::N,ко,уылӕн
69,Welle::N,коэ,уылӕн
70,Wasser::N,вӹд,дон
71,Stein::N,кӱ,дур
72,Boden::N,рок,зӕхх
73,Erde::N,свет,сыджыт
74,Staub::N,пырак,рыг
75,Rauch::N,шӹкш,фӕздӕг
76,Funke::N,ип,цӕхӕр
77,Funke::N,тылип,цӕхӕр
78,Feuer::N,тыл,зынг
79,Licht::N,соты,рухс
80,Licht::N,валгыды,рухс
81,Schatten::N,ӹмӹл,аууон
82,Wetter::N,игечӹ,боныхъӕд
83,Nebel::N,тӹтӹрӓ,мигъ
84,Wolke::N,пӹл,ӕврагъ
85,Regen::N,юр,уарын
86,Schnee::N,лым,мит
87,Eis::N,и,их
88,Frost::N,ӱштӹ,ихæн
89,Kälte::N,ӱштӹ,уазал
90,Hitze::N,шокшы,ӕнтӕф
91,Raureif::N,пöрш,халас
92,Regenbogen::N,шанавӹл,арвырон
93,Regenbogen::N,шанавӹл,арвырдын
94,Donner::N,хӹдӹртӹш,æрвнæрын
95,Strömung::N,йогы,цыд
96,Tropfen::N,капльы,æртах
97,Tropfen::N,капльык,æртах
98,Schaum::N,шонг,фынк
99,Schmutz::N,лявӹрӓ,цъыф
100,See::N,йӓр,цад
101,Sumpf::N,лӱкӹ,цъыфдзаст
102,Moor::N,куп,цъыфдзаст
103,Wiese::N,алык,уыгӕрдӕн
104,Wald::N,шӹргӹ,хъӕд
105,Hügel::N,пӱгӹрикӓ,обау
106,Hügel::N,пӱгӹрикӓ,къуыбыр
107,Anhöhe::N,кӱкшикӓ,уæлвæз
108,Anhöhe::N,кӱкшикӓ,уæлхох
109,Berg::N,кырык,хох
110,Gipfel::N,неркӓ,цъупп
111,Höhle::N,ы́раж,лӕгӕт
112,Abhang::N,полом,къул
113,Quelle::N,вӹдсӹнзӓ,суадон
114,Bach::N,ӓнгӹр,мӕсчъыдон
115,Fluss::N,вӹд,дон
116,Fluss::N,вӹд,цӕугӕдон
117,Ufer::N,сир,был
118,Küste::N,сир,донбыл
119,Festland::N,мӱлӓндӹ,сурзæхх
120,Meer::N,тангыж,денджыз
121,Bucht::N,вӹдъял,донбакæлæн
122,Insel::N,острок,сакъадах
123,Blume::N,пеледӹш,дидинӕг
124,Gras::N,шуды,кӕрдӕг
125,Wurzel::N,важ,уидаг
126,Baum::N,пушӓнгӹ,бӕлас
127,Stamm::N,пушӓнгӹ тӹнг,хӕтӕл
128,Rinde::N,каргыж,цъар
129,Ast::N,укш,арх
130,Zweig::N,укш,къалиу
131,Blatt::N,листӹ,сыф
132,Birke::N,куги,бæрз
133,Kiefer[Baum]::N,йӓктӹ,нӕзы
134,Weide[Baum]::N,уа,хӕрис
135,Tanne::N,кож,наз
136,Horn::N,шур,сыкъа
137,Feder::N,пын,сис
138,Fell::N,кавашты,царм
139,Flügel::N,шылдыр,базыр
140,Klaue::N,кӹч,ных
141,Kralle::N,лапа,дзӕмбы
142,Schwanz::N,пач,къӕдзил
143,Ei::N,мыны,айк
144,Nest::N,пӹжӓш,ахстон
145,Bau::N,ыраж,хуынкъ
146,Tier::N,во́льык,сырд
147,Tier::N,во́льык,цӕрӕгой
148,Herde::N,кӹтö,дзуг
149,Herde::N,кӹтö,рӕгъау
150,Kuh::N,ышкал,хъуг
151,Bulle::N,ӱшкӱж,гал
152,Pferd::N,имни,бӕх
153,Schaf::N,шарык,фыс
154,Schwein::N,сасна,хуы
155,Hund::N,пи,куыдз
156,Katze::N,коти,гӕды
157,Bär::N,мöскӓ,арс
158,Eichhörnchen::N,ур,æхсæрæг
159,Elch::N,шарды,цæгатаг саг
160,Fuchs::N,рӹвӹж,рувас
161,Hase::N,морен,тæрхъус
162,Maus::N,каля,мыст
163,Wolf::N,пирӹ,бирӕгъ
164,Vogel::N,кек,цъиу
165,Vogel::N,кек,маргъ
166,Schwarm::N,цуца,бал
167,Huhn::N,цӹвӹ,карк
168,Hahn::N,ӓптӓн,уасӕг
169,Gans::N,комбы,хъаз
170,Adler::N,кучкыж,цӕргӕс
171,Ente::N,лыды,ацц
172,Eule::N,тымана, уыг
173,Eule::N,тымана,сидахъ
174,Kranich::N,тырня,зырнæг
175,Kranich::N,тырня,хърихъупп
176,Kranich::N,тыртня,зырнæг
177,Kranich::N,тыртня,хърихъупп
178,Krähe::N,лудыгарак,халон
179,Kuckuck::N,куку,гаккук
180,Schwan::N,йӱксӹ,доныхъаз
181,Fisch::N,кол,кӕсаг
182,Barsch::N,алангы,окунь
183,Hecht::N,нуж,хихор кӕсаг
184,Hecht::N,нужгол,хихор кӕсаг
185,Schlange[Tier]::N,кӹшкы,калм
186,Wurm::N,шукш,зулкъ
187,Wurm::N,шукш,къуыдыргалм
188,Spinne::N,ӓнгӹремшӹ,хӕлуарӕг
189,Ameise::N,кыткы,мæлдзыг
190,Laus::N,ти,сыст
191,Mücke::N,кужнер,къогъо
192,Mücke::N,кужынер,къогъо
193,Fliege::N,шӹнгӓ,бындз
194,Schmetterling::N,лӹпӹ,гæлæбу
195,Beere::N,мöр,гагадыргъ
196,Apfel::N,олма,фӕткъуы
197,Pilz::N,понгы,зокъо
198,Pilz::N,понгы,къозо
199,Zwiebel::N,охыра,хъӕдындз
200,Saat::N,нӱшмӹ,тауинаг
201,Saat::N,нӱшмӹ,мыггаг
202,Saat::N,нӱшмӱ,тауинаг
203,Saat::N,нӱшмӱ,мыггаг
204,Korn::N,пӹрцӹ,мыггаг
205,Korn::N,пӹрцӹ,тауинаг
206,Heu::N,шуды,хос
207,Schale::N,аваха,цъар
208,Schale::N,карлангы,цъар
209,Grube::N,йӓм,урм
210,Grube::N,йӓм,къахт
211,Grube::N,йӓм,дзыхъхъ
212,Falle::N,лӱдӹ,цъысым
213,Falle::N,лӱдӹ,къӕппӕг
214,Falle::N,лӱдӹш,цъысым
215,Falle::N,лӱдӹш,къӕппӕг
216,Schlinge::N,онгы,цасм
217,Spur::N,кишӓ,фæд
218,Asche::N,ломых,фӕнык
219,Asche::N,ломых,ӕртхутӕг
220,Asche::N,ломпыж,фӕнык
221,Asche::N,ломпыж,ӕртхутӕг
222,Dreck::N,лявӹрӓ,цъыф
223,Eisen::N,кӹртни,ӕфсӕйнаг
224,Gold::N,шöртни,сыгъзӕрин
225,Gold::N,шöртньӹ,сыгъзӕрин
226,Silber::N,ши,ӕвзист
227,Kohle::N,шӱ,ӕвзалы
228,Glas::N,охоница,авг
229,Lehm::N,шун,ӕлыг
230,Sand::N,ошма,змис
231,Mensch::N,эдем,лӕг
232,Mensch::N,эдем,адӕймаг
233,Mensch::N,эдем,удгоймаг
234,Mann::N,пӱэргӹ,лӕг
235,Mann::N,пӱэргӹ,нӕлгоймаг
236,Frau::N,ӹдӹрӓмӓш,сылгоймаг
