,Concept_ID,ba,lez
0,Auge::N,күҙ,вил
1,Ohr::N,ҡолаҡ,яб
2,Nase::N,танау,нер
3,Mund::N,ауыҙ,сив
4,Zahn::N,теш,сас
5,Zahn::N,теш,свах
6,Zunge::N,тел,мез
7,Lippe::N,ирен,пӏуз
8,Wange::N,яцаҡтар,хъвехъ
9,Gesicht::N,бит,ччин
10,Stirn::N,маңлай,пел
11,Haar::N,сәс,чӏар
12,Schnurrbart::N,мылтыҡ,спел
13,Schnurrbart::N,мылтыҡ,спелар
14,Bart::N,һаҡал,ччуру
15,Kinn::N,эйэк,чене
16,Kiefer[Anatomie]::N,яңаҡ һөйәге,чене
17,Kehle::N,тамаҡ,туьд
18,Hals::N,муйын,гардан
19,Genick::N,соңҡа,кьам
20,Kopf::N,баш,кьил
21,Rücken::N,арҡа,далу
22,Bauch::N,ҡорһаҡ,руфун
23,Nabel::N,кендек,пицӏ
24,Busen::N,күкрәк,мам
25,Brust::N,түш,хур
26,Schulter::N,яурын,къуьн
27,Arm::N,ҡул,гъил
28,Ellenbogen::N,терһәк,кьуьнт
29,Hand::N,ҡул,капаш
30,Hand::N,ҡул суғы,капаш
31,Handfläche::N,ус төбө,капан юкь
32,Finger::N,бармаҡ,тӏуб
33,Fingernagel::N,тырнаҡ,кек
34,Nagel[Anatomie]::N,тырнаҡ,кек
35,Zeh::N,бармаҡ,кул
36,Fuß::N,табан,кӏвач
37,Ferse::N,үксә,дабан
38,Knie::N,тубыҡ,мет
39,Oberschenkel::N,сандыр,
40,Bein::N,аяҡ,кӏвач
41,Körper::N,тән,беден
42,Haut::N,тире,хам
43,Blut::N,ҡан,иви
44,Ader::N,тамыр,дамар
45,Sehne::N,һеңер,кьуру дамар
46,Sehne::N,тарамыш,кьуру дамар
47,Knochen::N,һойәк,кӏараб
48,Gehirn::N,мейе,мефт
49,Herz::N,йорәк,рикӏ
50,Magen::N,ашҡаҙан,хук
51,Leber::N,бауыр,лекь
52,Atem::N,һулыш,ял
53,Atem::N,һулыш,нефес
54,Hunger::N,аслыҡ,каш
55,Träne::N,күҙ иәше,вилин нагъв
56,Geschmack::N,тәм,дад
57,Geschmack::N,тәм,тӏям
58,Geruch::N,еҫ,ни
59,Schlaf::N,йоҡлау,ахвар
60,Traum::N,төш,ахвар
61,Himmel::N,күк,цав
62,Sonne::N,ҡояш,рагъ
63,Mond::N,ай,варз
64,Stern::N,йондоҙ,гъед
65,Luft::N,һауа,гьава
66,Wind::N,ел,гар
67,Welle::N,тулҡын,лепе
68,Wasser::N,һыу,яд
69,Stein::N,таш,къван
70,Boden::N,тупраҡ,накьв
71,Erde::N,балсҡ,ччил
72,Staub::N,туҙан,руг
73,Rauch::N,төтөн,гум
74,Funke::N,осҡон,цӏелхем
75,Feuer::N,ут,цӏай
76,Licht::N,яҡтылыҡ,экв
77,Schatten::N,күләгә,серин
78,Wetter::N,һауа торошо,гьава
79,Nebel::N,төман,ччилин циф
80,Wolke::N,болот,циф
81,Regen::N,ямғыр,марф
82,Schnee::N,ҡар,жив
83,Eis::N,боҙ,мурк
84,Frost::N,һалҡын,аяз
85,Kälte::N,һыуыҡ,мекь
86,Kälte::N,һыуыҡ,мекьивал
87,Hitze::N,томра,зегьем
88,Hitze::N,эҫелек,зегьем
89,Raureif::N,ҡырау,къирав
90,Regenbogen::N,йәйғор,яргъируш
91,Donner::N,күк күкрәү,цавун ван
92,Strömung::N,ағым,
93,Tropfen::N,тамсы,стӏал
94,Schaum::N,күбек,каф
95,Schmutz::N,батҡаҡ,чирк
96,Schmutz::N,батҡаҡ,кьуруш
97,See::N,күл,вир
98,Sumpf::N,һаҙлык,уьлен
99,Moor::N,һаҙ,
100,Wiese::N,болон,векь
101,Wald::N,урман,там
102,Hügel::N,түбә,кӏунтӏ
103,Anhöhe::N,түбә,тепе
104,Anhöhe::N,түбә,гьуьндуьрвал
105,Anhöhe::N,ҡалҡыулыҡ,тепе
106,Anhöhe::N,ҡалҡыулыҡ,гьуьндуьрвал
107,Berg::N,тау,дагъ
108,Gipfel::N,түбә,кӏукӏ
109,Höhle::N,мәмерйә,кьветӏ
110,Abhang::N,ипкен,гуьне
111,Quelle::N,шишмә,чешме
112,Bach::N,шишмә,булах
113,Fluss::N,йылға,вацӏ
114,Ufer::N,яр,къерех
115,Küste::N,яр буйы,къерех
116,Festland::N,ҡоро ер,кьурамат
117,Meer::N,диңгез,гьуьл
118,Bucht::N,бухта,бухта
119,Insel::N,үтрау,остров
120,Blume::N,сәскә,цуьк
121,Gras::N,үлән,хъач
122,Wurzel::N,тамыр,дувул
123,Baum::N,ағас,ттар
124,Stamm::N,олон,тан
125,Stamm::N,көбәк,тан
126,Rinde::N,ҡабыҡ,чкал
127,Ast::N,ботаҡ,тӏур
128,Zweig::N,ботаҡ,хел
129,Zweig::N,тармаҡ,хел
130,Blatt::N,япраҡ,пеш
131,Birke::N,ҡайын,верх
132,Kiefer[Baum]::N,ҡарғай,шамагъаж
133,Weide[Baum]::N,тал,цӏвелин ттар
134,Tanne::N,шыршы,ель
135,Horn::N,мөғөҙ,карч
136,Feder::N,ҡауырһын,цӏакул
137,Fell::N,тире,хам
138,Flügel::N,ҡанат,лув
139,Klaue::N,тырнаҡ,къармах
140,Kralle::N,аяҡ,пац
141,Kralle::N,аяҡ,тапас
142,Schwanz::N,ҡойроҡ,ттум
143,Ei::N,йомортҡа,кака
144,Nest::N,оя,муг
145,Bau::N,оң,тӏеквен
146,Tier::N,жайуан,гьайван
147,Tier::N,йыртҡыс,гьайван
148,Herde::N,көтөү,суьруь
149,Kuh::N,һыйыр,ккал
150,Bulle::N,үгеҙ,яц
151,Bulle::N,үгеҙ,бугъа
152,Pferd::N,ат,балкӏан
153,Schaf::N,һарыҡ,хеб
154,Schwein::N,сусҡа,вак
155,Hund::N,эт,кицӏ
156,Katze::N,бесәй,кац
157,Bär::N,айыу,сев
158,Eichhörnchen::N,тейен,белка
159,Elch::N,мышы,лось
160,Fuchs::N,төлкө,сикӏ
161,Hase::N,ҡуян,къуьр
162,Maus::N,сысҡан,кьиф
163,Wolf::N,бүре,жанавур
164,Vogel::N,ҡош,луван ничхир
165,Schwarm::N,көтөү,луж
166,Huhn::N,тауыҡ,верч
167,Hahn::N,әтәс,кӏек
168,Gans::N,ҡаҙ,къаз
169,Adler::N,бөркөт,лекь
170,Ente::N,өйрәк,пӏатӏ
171,Eule::N,өкө,тӏиб
172,Eule::N,ябалаҡ,тӏиб
173,Kranich::N,торна,дурна
174,Krähe::N,ҡарға,къаргъа
175,Kuckuck::N,кәкүк,кукупӏ
176,Schwan::N,аҡҡош,къугь
177,Fisch::N,балыҡ,гъед
178,Barsch::N,алабуға,окунь
179,Hecht::N,суртан,щука
180,Schlange[Tier]::N,йылан,илан
181,Schlange[Tier]::N,йылан,гъуьлягъ
182,Wurm::N,селяүсен,квак
183,Spinne::N,үрмәксе,хуьшрекан
184,Ameise::N,ҡырмыҫҡа,цегв
185,Laus::N,бет,нет
186,Mücke::N,серәкәй,ветӏ
187,Fliege::N,себен,тӏветӏ
188,Schmetterling::N,күбәләк,чепелукь
189,Beere::N,еләк,куьлуь емиш
190,Apfel::N,алма,ич
191,Pilz::N,бәшмәк,къарникъуз
192,Zwiebel::N,һуган,чичӏек
193,Saat::N,орлоҡ,тумар
194,Korn::N,иген,твар
195,Heu::N,бесән,векь
196,Heu::N,бесән,векьер
197,Schale::N,ҡабыҡ,пириш
198,Schale::N,ҡабыҡ,хъуьруьш
199,Grube::N,соҡор,фур
200,Falle::N,тоҙак,ракьар
201,Falle::N,ҡапҡан,ракьар
202,Schlinge::N,тоҙак,гьалкъа
203,Spur::N,әҫер,гел
204,Asche::N,көл,руьхъ
205,Dreck::N,батҡаҡ,чирк
206,Dreck::N,батҡаҡ,кьуруш
207,Eisen::N,тимер,ракь
208,Gold::N,алтын,алтун
209,Silber::N,көмөш,гимиш
210,Kohle::N,күмер,цӏивин
211,Glas::N,быяла,шуьше
212,Lehm::N,балсыҡ,ччеб
213,Sand::N,ҡом,къум
214,Mensch::N,кеше,инсан
215,Mann::N,ир,итим
216,Frau::N,ҡатын,паб
217,Frau::N,ҡатын,дишегьли
218,Kind::N,бала,аял
219,Junge::N,малай,гада
220,Mädchen::N,ҡыҙ,руш
221,Mädchen::N,ҡыҙыҡай,руш
222,Familie::N,ғаилә,хзан
223,Familie::N,ғаилә,килфет
224,Großvater::N,олатай,чӏехи буба
225,Großmutter::N,әбәй,чӏехи диде
226,Eltern::N,ата-әсә,диде-буба
227,Vater::N,атай,буба
228,Mutter::N,әсә,диде
229,Sohn::N,ул,хва
230,Tochter::N,ҡыҙ,руш
231,Bruder::N,агай,стха
232,Schwester::N,алай,вах
233,Schwester::N,һеңле,вах
234,Onkel::N,ағай,ими
235,Onkel::N,ағай,халу
236,Tante::N,апай,эме
237,Tante::N,апай,хала
238,Ehemann::N,ир,гъуьл
239,Ehefrau::N,ҡатын,паб
240,Freude::N,шатлыҡ,шадвал
241,Freude::N,ҡыуаныс,шадвал
242,Gelächter::N,көлөү,хъвер
243,Glück::N,бәхет,бахт
244,Kummer::N,ҡайғы,дерт
245,Kummer::N,ҡайғы,хажалат
246,Wunsch::N,теләк,мурад
247,Lust::N,әүәҫлек,гьевес
248,Geist::N,аң,руьгь
249,Geist::N,рух,руьгь
250,Gedanke::N,уй,фикир
251,Gedanke::N,фекер,фикир
252,Gedächtnis::N,хәтер,
253,Verstand::N,аҡыл,акьул
254,Sinn::N,мәғәня,мана
255,Grund::N,сәбәп,себеб
256,Wahrheit::N,дөрөҫлөк,керчек
257,Wahrheit::N,дөрөҫлөк,гьакъикъат
258,Gespräch::N,әңгәмә,ихтилат
259,Märchen::N,әкиәт,мах
260,Erzählung::N,хикәйә,кьиса
261,Nachricht::N,хәбәр,хабар
262,Neuigkeit::N,яңылыҡ,цӏийи хабар
263,Name::N,исем,тӏвар
264,Rätsel::N,йомаҡ,мискӏал
265,Rede::N,телмәр,рахун
266,Sprache::N,тел,чӏал
267,Sprache::N,телмәр,чӏал
268,Stimme::N,тауыш,ван
269,Wort::N,һүҙ,гаф
270,Zeichen::N,билдә,ишара
271,Ruf::N,саҡырыу,эвер
272,Lärm::N,шаулау,ван-сес
273,Laut::N,тауыш,ван
274,Laut::N,тауыш,сес
275,Ton::N,яңғырау,ван-сес
276,Lied::N,йыр,мани
277,Ruhe::N,ял,ласвал
278,Ruhe::N,ял,фаракъат
279,Ruhe::N,ял,асайиш
280,Ruhe::N,тыныслыҡ,ласвал
281,Ruhe::N,тыныслыҡ,фаракъат
282,Ruhe::N,тыныслыҡ,асайиш
283,Leute::N,кешеләр,инсанар
284,Volk::N,халҡ,халкь
285,Arbeit::N,эш,кӏвалах
286,Gast::N,ҡунаҡ,мугьман
287,Geschenk::N,бүләк,савкьат
288,Spiel::N,уйын,къугъун
289,Gesellschaft::N,йәмғиәт,жемят
290,Gesellschaft::N,йәмғиәт,общество
291,Hilfe::N,ярҙам,куьмек
292,Freund::N,дуҫ,дуст
293,Kamerad::N,иптәш,яр-дуст
294,Angelegenheit::N,әш,кар
295,Anzahl::N,һан,сан
296,Anzahl::N,һан,кьадар
297,Art::N,төр,жуьре
298,Stück::N,киҫәк,кӏус
