,Concept_ID,be,ady
0,Auge::N,вока,нэ
1,Ohr::N,вуха,тхьакӏу́м
2,Nase::N,нос,пэ
3,Mund::N,рот,жэ
4,Zahn::N,зуб,цэ
5,Zunge::N,язык,бзэгу
6,Lippe::N,губа,ӏупшӏэ́
7,Wange::N,шчака,нэкӏу́шъу
8,Gesicht::N,твар,нэ́гу
9,Stirn::N,лоб,натӏэ́
10,Haar::N,волас,шъхьацы́
11,Haar::N,валасы,шъхьацы́
12,Schnurrbart::N,вус,
13,Schnurrbart::N,вусы,
14,Bart::N,барада,жакӏэ́
15,Kinn::N,падбародак,жэкӏэпэпкъ
16,Kiefer[Anatomie]::N,сківіца,жэпкъы́
17,Kehle::N,горла,чый
18,Hals::N,шыя,пшъэ
19,Genick::N,патыліца,шъхьэпхэтыку
20,Kopf::N,галава,шъхьэ́
21,Rücken::N,спіна,кӏыбы́
22,Bauch::N,жывот,ныбэ́
23,Nabel::N,пупок,
24,Busen::N,грудзі,бгъэ́
25,Brust::N,грудзі,бгъэ́
26,Schulter::N,плячо,блыпкъ
27,Arm::N,рука,ӏэ
28,Ellenbogen::N,локаць,ӏэнтэ́гъу
29,Hand::N,кісць,ӏэтхьэцу
30,Handfläche::N,далонь,ӏэ́гу
31,Finger::N,палец,ӏэхъуа́мб
32,Fingernagel::N,ногаць,ӏэбжъа́н
33,Nagel[Anatomie]::N,ногаць,ӏэбжъа́н
34,Zeh::N,палец,ӏэхъуа́мб
35,Fuß::N,нага,лъэгу
36,Ferse::N,пята,лъэдакъэ
37,Ferse::N,пятка,лъэдакъэ
38,Knie::N,калена,лъагуа́ндж
39,Oberschenkel::N,бядро,ко
40,Oberschenkel::N,сцягно,ко
41,Bein::N,нага,лъакъо́
42,Körper::N,цела,пкъышъол
43,Haut::N,скура,кӏы́шъу
44,Blut::N,кроў,лъы
45,Ader::N,вена,льытф
46,Ader::N,сасуд,льытф
47,Sehne::N,жыла,фэ
48,Sehne::N,цеціва,фэ
49,Sehne::N,сухажылле,фэ
