,Concept_ID,ca,de
0,Auge::N,ull,Auge
1,Ohr::N,orella,Ohr
2,Nase::N,nas,Nase
3,Mund::N,boca,Mund
4,Zahn::N,dent,Zahn
5,Zunge::N,llēngua,Zunge
6,Lippe::N,llavi,Lippe
7,Wange::N,galta,Wange
8,Gesicht::N,cara,Gesicht
9,Stirn::N,front,Stirn
10,Haar::N,cabēll,Haar
11,Schnurrbart::N,bigoti,Schnurrbart
12,Bart::N,barba,Bart
13,Kinn::N,mentó,Kinn
14,Kinn::N,barbeta,Kinn
15,Kiefer[Anatomie]::N,queix,Kiefer
16,Kiefer[Anatomie]::N,mandíbula,Kiefer
17,Kehle::N,gola,Kehle
18,Kehle::N,gorja,Kehle
19,Hals::N,coll,Hals
20,Genick::N,nuca,Genick
21,Kopf::N,cap,Kopf
22,Rücken::N,esquena,Rücken
23,Bauch::N,panxa,Bauch
24,Nabel::N,llombrígol,Nabel
25,Busen::N,pit,Busen
26,Busen::N,mama,Busen
27,Brust::N,pit,Brust
28,Schulter::N,espatlla,Schulter
29,Arm::N,braç,Arm
30,Ellenbogen::N,colze,Ellenbogen
31,Hand::N,mà,Hand
32,Handfläche::N,palma,Handfläche
33,Finger::N,dit,Finger
34,Fingernagel::N,ungla,Fingernagel
35,Nagel[Anatomie]::N,ungla,Nagel
36,Zeh::N,dit del peu,Zeh
37,Fuß::N,peu,Fuß
38,Ferse::N,taló,Ferse
39,Knie::N,genoll,Knie
40,Oberschenkel::N,cuixa,Oberschenkel
41,Bein::N,cama,Bein
42,Körper::N,cos,Körper
43,Haut::N,pell,Haut
44,Blut::N,sang,Blut
45,Ader::N,vena,Ader
46,Sehne::N,tendó,Sehne
47,Knochen::N,os,Knochen
48,Gehirn::N,cervell,Gehirn
49,Herz::N,cor,Herz
50,Magen::N,estómac,Magen
51,Leber::N,fetge,Leber
52,Atem::N,alè,Atem
53,Atem::N,hàlit,Atem
54,Hunger::N,fam,Hunger
55,Hunger::N,gana,Hunger
56,Träne::N,llàgrima,Träne
57,Geschmack::N,gust,Geschmack
58,Geschmack::N,sabor,Geschmack
59,Geruch::N,olor,Geruch
60,Schlaf::N,son,Schlaf
61,Traum::N,somni,Traum
62,Himmel::N,celm,Himmel
63,Sonne::N,sol,Sonne
64,Mond::N,lluna,Mond
65,Stern::N,estel,Stern
66,Stern::N,estrella,Stern
67,Luft::N,aire,Luft
68,Wind::N,vent,Wind
69,Welle::N,ona,Welle
70,Wasser::N,āigua,Wasser
71,Stein::N,pedra,Stein
72,Boden::N,sòl,Boden
73,Erde::N,terra,Erde
74,Staub::N,pols,Staub
75,Rauch::N,fum,Rauch
76,Funke::N,guspira,Funke
77,Funke::N,centella,Funke
78,Feuer::N,foc,Feuer
79,Licht::N,llum,Licht
80,Schatten::N,ombra,Schatten
81,Wetter::N,temps,Wetter
82,Nebel::N,boira,Nebel
83,Wolke::N,núvol,Wolke
84,Regen::N,pluja,Regen
85,Schnee::N,neu,Schnee
86,Eis::N,gel,Eis
87,Eis::N,glaç,Eis
88,Frost::N,glaçada,Frost
89,Kälte::N,fred,Kälte
90,Hitze::N,calor,Hitze
91,Raureif::N,gebre,Raureif
