,Concept_ID,fa,hy
0,Auge::N,چشم,աչք
1,Ohr::N,گوش,ականջ
2,Nase::N,بینی,քիթ
3,Mund::N,دهان,բերան
4,Zahn::N,دندان,ատամ
5,Zunge::N,زبان,լեզու
6,Lippe::N,لب,շրթունք
7,Wange::N,لپ,այտ
8,Wange::N,لپ,թուշ
9,Gesicht::N,رو,դեմք
10,Gesicht::N,چهره,դեմք
11,Stirn::N,پیشانی,ճակատ
12,Haar::N,مو,մազ
13,Schnurrbart::N,سبیل,բեղ
14,Bart::N,ریش,մորուք
15,Kinn::N,چانه,կզակ
16,Kiefer[Anatomie]::N,فک,ծնոտ
17,Kiefer[Anatomie]::N,آرواره,ծնոտ
18,Kehle::N,حلق,կոկորդ
19,Hals::N,گردن,վիզ
20,Hals::N,گردن,պարանոց
21,Genick::N,پشت گردن,ծոծրակ
22,Kopf::N,سر,գլուխ
23,Kopf::N,کله,գլուխ
24,Rücken::N,پشت,մեջք
25,Bauch::N,شکم,փոր
26,Bauch::N,شکم,որովայն
27,Nabel::N,ناف,պորտ
28,Busen::N,پستان,ծոց
29,Brust::N,سینه,կուրծք
30,Schulter::N,دوش,ուս
31,Schulter::N,شانه,ուս
32,Arm::N,بازو,թեւ
33,Arm::N,بازو,բազուկ
34,Ellenbogen::N,آرنج,արմունկ
35,Hand::N,دست,ձեռք
36,Handfläche::N,کف دست,ափ
37,Finger::N,انگشت,մատ
38,Fingernagel::N,ناخن دست,եղունգ
39,Nagel[Anatomie]::N,ناخن,եղունգ
40,Zeh::N,انگشت پا,ոտքի մատ
41,Fuß::N,پا,ոտք
42,Ferse::N,پاشنه,գարշապար
43,Knie::N,زانو,ծունկ
44,Oberschenkel::N,ران,ազդր
45,Bein::N,پا,ոտք
46,Bein::N,لنگ,ոտք
47,Körper::N,تن,մարմին
48,Körper::N,بدن,մարմին
49,Haut::N,پوست,մաշկ
50,Blut::N,خون,արյուն
51,Ader::N,رگ,երակ
52,Sehne::N,زردپی,ջիղ
53,Sehne::N,زردپی,ձգտան
54,Knochen::N,استخوان,ոսկոր
55,Gehirn::N,مخ,խելք
56,Gehirn::N,مغز,խելք
57,Herz::N,دل,սիրտ
58,Herz::N,قلب,սիրտ
59,Magen::N,معده,ստամոքս
60,Leber::N,کبد,լյարդ
61,Atem::N,نفس,շունչ
62,Hunger::N,گرسنگی,քաղց
63,Träne::N,اشک,արտասուք
64,Geschmack::N,مزه,համ
65,Geschmack::N,مزه,բուրմունք
66,Geruch::N,بو,հոտ
67,Geruch::N,بو,բուրում
68,Schlaf::N,خواب,քուն
69,Traum::N,رؤیا,երազ
70,Himmel::N,فلک,երկինք
71,Himmel::N,آسمان,երկինք
72,Sonne::N,آفتاب,արեւ
73,Sonne::N,خورشید,արեւ
74,Mond::N,ماه,լուսին
75,Stern::N,ستاره,աստղ
76,Luft::N,هوا,օդ
77,Wind::N,باد,քամի
78,Welle::N,موج,ալիք
79,Wasser::N,آب,ջուր
80,Stein::N,سنگ,քար
81,Boden::N,زمین,գետին
82,Erde::N,خاک,հող
83,Erde::N,زمین,հող
84,Staub::N,گرد,փոշի
85,Staub::N,غبار,փոշի
86,Rauch::N,دود,ծուխ
87,Funke::N,جرقه,կայծ
88,Feuer::N,آتش,կրակ
89,Feuer::N,آتش,հրդեհ
90,Licht::N,نور,լույս
91,Licht::N,روشنی,լույս
92,Schatten::N,سایه,ստվեր
93,Wetter::N,هوا,եղանակ
94,Nebel::N,مه,մեգ
95,Nebel::N,مه,մառախուղ
96,Wolke::N,ابر,ամպ
97,Regen::N,باران,անձրև
98,Schnee::N,برف,ձյուն
99,Eis::N,یخ,սառույց
100,Frost::N,یخبندان,սառնամանիք
101,Kälte::N,سرما,դող
102,Hitze::N,گرما,շոգ
103,Hitze::N,حرارت,շոգ
104,Raureif::N,برف ریزه,ցօղեղեամ
105,Regenbogen::N,رنگین‌کمان,ծիածան
106,Donner::N,رعد,որոտ
107,Strömung::N,جریان,հոսանք
108,Tropfen::N,قطره,կաթիլ
109,Schaum::N,کف,փրփուր
110,Schmutz::N,گل,կեղտ
111,Schmutz::N,کثافت,կեղտ
112,See::N,دریاچه,լիճ
113,Sumpf::N,مرداب,ճահիճ
114,Sumpf::N,باتلاق,ճահիճ
115,Moor::N,باتلاق,ճահիճ
116,Wiese::N,چمن,մարգագետին
117,Wald::N,جنگل,անտառ
118,Hügel::N,تل,բլուր
119,Hügel::N,تپه,բլուր
120,Anhöhe::N,بلندی,բարձունք
121,Berg::N,کوه,լեռ
122,Gipfel::N,قله,գագաթ
123,Gipfel::N,قله,կատար
124,Höhle::N,غار,քարայր
125,Abhang::N,سرازیری,լանջ
126,Abhang::N,سرازیری,զառիվայր
127,Quelle::N,چشمه,աղբյուր
128,Bach::N,نهر,վտակ
129,Fluss::N,رود,գետ
130,Ufer::N,ساحل,ծովափ
131,Ufer::N,کرانه,ծովափ
132,Küste::N,ساحل,ափ
133,Küste::N,ساحل,ծովափ
134,Festland::N,خشکی,ցամաք
135,Meer::N,دریا,ծով
136,Bucht::N,خلیج,հաչիւն
137,Insel::N,جزیره,վղզի
138,Blume::N,گل,ծաղիկ
139,Gras::N,علف,խոտ
140,Wurzel::N,ریشه,արմատ
141,Baum::N,درخت,ծառ
142,Stamm::N,تنه,իրան
143,Rinde::N,توژ,կեղեւ
144,Rinde::N,توژ,հաչոց
145,Rinde::N,پوست,կեղեւ
146,Rinde::N,پوست,հաչոց
147,Ast::N,شاخه,ճյուղ
148,Zweig::N,شاخه,ճյուղ
149,Blatt::N,برگ,տերեւ
150,Birke::N,غان,ցարասի
151,Kiefer[Baum]::N,کاج,սոճի
152,Weide[Baum]::N,بید,ուռենի
153,Tanne::N,صنوبر,եղեւին
154,Horn::N,شاخ,
155,Feder::N,پر,փետուր
156,Fell::N,خز,մորթի
157,Flügel::N,پر,թեւ
158,Flügel::N,بال,թեւ
159,Klaue::N,چنگ,չանչ
160,Klaue::N,پنجه,չանչ
161,Kralle::N,پنجه,ճանկ
162,Schwanz::N,دم,պոչ
163,Ei::N,تخم,ձու
164,Nest::N,لانه,բույն
165,Bau::N,بنا,որջ
166,Bau::N,بنا,բայոց
167,Bau::N,ساختمان,որջ
168,Bau::N,ساختمان,բայոց
169,Tier::N,هیوان,կենդանի
170,Herde::N,رمه,հոտ
171,Kuh::N,گاو,կով
172,Bulle::N,گاو نر,ցուլ
173,Pferd::N,اسب,ձի
174,Schaf::N,گوسفند,ոչխար
175,Schwein::N,خوک,խոզ
176,Hund::N,سگ,շուն
177,Katze::N,گربه,կատու
178,Bär::N,خرس,արջ
179,Eichhörnchen::N,سنجاب,սկյուռ
180,Elch::N,گوزن شمالی,հիւսիսային եղջերու
181,Fuchs::N,روباه,աղվես
182,Hase::N,خرگوش,նապաստակ
183,Maus::N,موش,մուկ
184,Wolf::N,گرگ,գայլ
185,Vogel::N,پرنده,թռչուն
186,Schwarm::N,دسته,երամ
187,Huhn::N,مرغ,հավ
188,Hahn::N,خروس,աքաղաղ
189,Gans::N,غاز,սագ
190,Adler::N,عقاب,արծիվ
191,Ente::N,اردک,բադ
192,Ente::N,مرغابی,բադ
193,Eule::N,جغد,բու
194,Kranich::N,درنا,կռունկ
195,Krähe::N,زاغ,ագռավ
196,Krähe::N,کلاغ,ագռավ
197,Kuckuck::N,فاخته,կուկու
198,Schwan::N,قو,կարապ
199,Fisch::N,ماهی,ձուկ
200,Barsch::N,ماهی خاردار,պերկես
201,Hecht::N,اردک ماهی,գայլաձուկ
202,Schlange[Tier]::N,مار,օձ
203,Wurm::N,کرم,որդ
204,Wurm::N,کرم,ճիճու
205,Spinne::N,عنکبوت,սարդ
206,Ameise::N,مورچه,միջյուն
207,Laus::N,شپش,ոջիլ
208,Mücke::N,پشه,մժղուկ
209,Fliege::N,مگس,ճանճ
210,Schmetterling::N,پروانه,թիթեռ
211,Beere::N,گیله,հատապտուղ
212,Apfel::N,سیب,խնձոր
213,Pilz::N,قارچ,սունկ
214,Zwiebel::N,پیاز,սոխ
215,Saat::N,بذر,սերմ
216,Korn::N,تخم,հատիկ
217,Korn::N,دانه,հատիկ
218,Heu::N,علف خشک,խոտ
219,Schale::N,پوست,կեղեւ
220,Grube::N,گودال,փոս
221,Falle::N,دام,ծուղակ
222,Schlinge::N,حلقه,խեղդան
223,Spur::N,رد,հետք
224,Asche::N,خاکستر,մոխիր
225,Dreck::N,کثافت,աղտ
226,Eisen::N,آهن,երկաթ
227,Gold::N,زر,ոսկի
228,Gold::N,طلا,ոսկի
229,Silber::N,نقره,արծաթ
230,Kohle::N,زغال,քարածուխ
231,Glas::N,شیشه,ապակի
232,Lehm::N,گل,կավ
233,Sand::N,شن,ավազ
234,Sand::N,ماسه,ավազ
235,Mensch::N,آدم,մարդ
236,Mensch::N,انسان,մարդ
237,Mann::N,مرد,մարդ
238,Mann::N,مرد,տղամարդ
239,Frau::N,زن,կին
240,Kind::N,بچه,զավակ
241,Kind::N,کودک,զավակ
242,Junge::N,پسر,տղա
243,Mädchen::N,دختر,աղջիկ
244,Familie::N,فامیل,ընտանիք
245,Familie::N,خانواده,ընտանիք
246,Großvater::N,پدربزرگ,պապ
247,Großmutter::N,مادر‌بزرگ,տատ
248,Eltern::N,والدین,ծնողներ
249,Eltern::N,پدر‌و‌مادر,ծնողներ
250,Vater::N,پدر,հայր
251,Mutter::N,مادر,մայր
252,Sohn::N,پسر,որդի
253,Tochter::N,دختر,աղջիկ
254,Tochter::N,دختر,դուստր
255,Bruder::N,برادر,եղբայր
256,Schwester::N,خواهر,քույր
257,Onkel::N,عمو,քեռի
258,Onkel::N,عمو,հորեղբայր
259,Onkel::N,دایی,քեռի
260,Onkel::N,دایی,հորեղբայր
261,Tante::N,عمه,մորաքույր
262,Tante::N,خاله,մորաքույր
263,Ehemann::N,همسر,մարդ
264,Ehemann::N,همسر,ամուսին
265,Ehefrau::N,همسر,կին ամուսին
266,Freude::N,شادی,ուրախություն
267,Gelächter::N,خنده,ծիծաղ
268,Gelächter::N,قاه‌قاه,ծիծաղ
269,Glück::N,اقبال,երջանկություն
270,Kummer::N,غم,վիշտ
271,Kummer::N,غصه,վիշտ
272,Wunsch::N,آرزو,ցանկություն
273,Lust::N,هوس,փափագ
274,Lust::N,هوس,իղձ
275,Geist::N,روح,ոգի
276,Gedanke::N,فکر,միտք
277,Gedächtnis::N,حافظه,հիշողություն
278,Verstand::N,هوش,խելք
279,Sinn::N,معنا,իմաստ
280,Sinn::N,مفهوم,իմաստ
281,Grund::N,سبب,պատճառ
282,Grund::N,دلیل,պատճառ
283,Wahrheit::N,حقیقت,ճշմարտություն
284,Gespräch::N,صحبت,զրույց
285,Gespräch::N,گفتگو,զրույց
286,Märchen::N,قصه,պայիկի պատմություն
287,Märchen::N,افسانه,պայիկի պատմություն
288,Erzählung::N,داستان,պատմվածք
289,Erzählung::N,داستان,պատմություն
290,Nachricht::N,خبر,հաղորդագրություն
291,Neuigkeit::N,خبر تازه,լուր
292,Neuigkeit::N,خبر تازه,նորություն
293,Name::N,اسم,անուն
294,Rätsel::N,معما,բարդ խնդիր
295,Rede::N,سخن,ճառ
296,Rede::N,سخن,ելույթ
297,Sprache::N,زبان,լեզու
298,Stimme::N,صدا,ձայն
299,Wort::N,کلمه,բառ
300,Zeichen::N,نشان,նշան
301,Zeichen::N,علامت,նշան
302,Ruf::N,صدا,կոչ
303,Ruf::N,صدا,կանչ
304,Lärm::N,هیاهو,աղմուկ
305,Laut::N,صدا,հնչյուն
306,Laut::N,صدا,ձայն
307,Ton::N,آهنگ,տոն
308,Lied::N,آواز,երգ
309,Lied::N,ترانه,երգ
310,Ruhe::N,آرامش,անդորրություն
311,Leute::N,مردم,մարդիկ
312,Volk::N,خلق,ազգ
313,Arbeit::N,کار,գործ
314,Arbeit::N,کار,աշխատանք
315,Gast::N,مهمان,հյուր
316,Geschenk::N,هدیه,նվեր
317,Spiel::N,بازی,խաղ
318,Gesellschaft::N,جمعیت,ընկերություն
319,Hilfe::N,کمک,օգնությթուն
320,Freund::N,دوست,ընկեր
321,Freund::N,دوست,բարեկամ
322,Kamerad::N,رفیق,ուղեկից
323,Angelegenheit::N,امر,բան
324,Angelegenheit::N,امر,գործ
325,Angelegenheit::N,قضیه,բան
326,Angelegenheit::N,قضیه,գործ
